Word	Tag
he	O
was	O
clinical	O
and	O
research	O
fellow	O
and	O
instructor	O
at	O
harvard	O
medical	O
school	O
before	O
joining	O
the	O
faculty	O
at	O
the	O
university	O
of	O
utah	O
in	O
dr	O
abel	O
has	O
earned	O
many	O
awards	O
including	O
the	O
van	O
meter	O
prize	O
of	O
the	O
american	O
thyroid	ENTITY
association	ENTITY
in	ENTITY
and	ENTITY
the	ENTITY
gerald	ENTITY
aurbach	ENTITY
award	ENTITY
from	ENTITY
the	ENTITY
endocrine	ENTITY
society	ENTITY
for	ENTITY
outstanding	ENTITY
contributions	ENTITY
to	ENTITY
endocrine	ENTITY
.	O
he	O
was	O
elected	O
chair	O
of	O
the	O
board	O
of	O
scientific	O
counselors	O
of	O
the	O
nih	O
national	O
institute	O
of	O
diabetes	ENTITY
and	ENTITY
digestive	ENTITY
and	ENTITY
kidney	ENTITY
diseases	ENTITY
and	O
now	O
serves	O
as	O
member	O
of	O
the	O
advisory	O
council	O
of	O
the	O
national	O
heart	ENTITY
lung	ENTITY
.	O
he	O
was	O
chair	O
of	O
the	O
sarnoff	O
cardiovascular	ENTITY
.	O
he	O
was	O
recently	O
elected	O
as	O
president	O
of	O
the	O
endocrine	ENTITY
.	O
dr	O
.	O
he	O
was	O
elected	O
to	O
the	O
national	O
academy	O
of	O
medicine	O
in	O
october	O
for	O
more	O
information	O
go	O
to	O
asp	ENTITY
.	O
the	O
blood	ENTITY
sugar	ENTITY
concentration	O
or	O
blood	ENTITY
glucose	ENTITY
level	ENTITY
is	O
the	O
amount	O
of	O
glucose	ENTITY
sugar	ENTITY
present	O
in	O
the	O
blood	ENTITY
of	ENTITY
human	ENTITY
.	O
the	O
body	O
naturally	O
tightly	O
regulates	O
blood	ENTITY
glucose	ENTITY
levels	ENTITY
.	O
abnormal	O
blood	ENTITY
sugar	ENTITY
level	ENTITY
also	O
gives	O
rise	O
to	O
many	O
more	O
disorders	O
.	O
aimil	O
is	O
presentation	O
where	O
renowned	O
ayurvedic	O
expert	O
dr	O
nitika	O
kohli	O
guides	O
on	O
how	O
to	O
overcome	O
diabetes	ENTITY
.	O
careworldtv	O
channel	O
is	O
the	O
destination	O
for	O
fitness	O
lifestyle	O
content	O
on	O
youtube	O
.	O
careworldtv	O
helps	O
you	O
become	O
better	O
you	O
with	O
how	O
to	O
videos	O
covering	O
everything	O
from	O
exercise	O
diet	O
and	O
