,0
blood pressure,125.02307692307693
weight loss,108.83846153846154
Diabetes,87.40384615384616
diabetes type,16.02876345876346
PCOS,14.625882173382177
metformin,14.219468864468858
neuropathy,13.90616605616605
cellulitis,10.417251370424445
body weight,10.400822785811478
Type 2 diabetes,9.492767428649787
PPG,8.28077864317683
diabetes symptoms,6.870687848903151
blood glucose,6.819230769230769
Type 1 diabetes,6.373296454048719
hypoglycemia,5.595456765456766
Gestational diabetes,4.624238020182104
bariatric surgery,4.318003310699802
gastroparesis,3.527005309595947
physical activity,3.3510179645279976
diabetes diet,2.657372441593352
high glucose,2.650166283954025
Lantus,2.6025099105760483
prediabetes,2.5984031978104096
peripheral neuropathy,2.5743716851683422
gangrene,2.546582721006813
glycemic index,2.475506051711974
diabetic diet,2.4133130457714738
Diabetes Mellitus,2.276884337518492
Januvia,2.2315725395526274
Humalog,1.7077662419121817
diabetes causes,1.6923076923076923
fasting glucose,1.6484665483519159
Novolog,1.5607951095961343
body mass index,1.5026211954209698
insulin pump,1.458304306870012
diabetic foot,1.31917714772964
metabolic syndrome,1.2858949331679563
glucose meter,1.271891232240883
ESRD,1.248144941983656
diabetes treatment,1.2313045597361845
diabetic neuropathy,1.2245325071842803
Tresiba,1.1121336720847594
Levemir,1.0409722841959912
pioglitazone,0.9763111586298573
diabetes type 2 symptoms,0.9742489979172415
glucose monitor,0.950109400091812
Invokana,0.9404696164623249
diabetes medication,0.9099042717726064
ACTOS,0.9085985546965004
diabetes cure,0.9038461538461539
acromegaly,0.8591124048324251
hirsutism,0.8427412839226033
diabetic retinopathy,0.7849256202973851
urine glucose,0.7594979417264482
HbA1c,0.7433500492230913
Toujeo,0.7355575850907144
Lispro,0.7124199009950809
about diabetes,0.7081175418653454
Humulin,0.7072005682535558
Novolin,0.690242072107508
Tradjenta,0.6592316979705409
Acanthosis nigricans,0.6405645366448536
type I diabetes,0.6318209586533579
Diabetes medicine,0.6239627726697479
Glargine,0.6048282248520974
glucose tolerance test,0.6015799088366688
diabetes diagnosis,0.5993801231660849
diabetes type 1 symptoms,0.5842057600855926
NPH insulin,0.4682346298791435
insulin injection,0.45811664226704
Regular insulin,0.45637757169016
normal blood glucose levels,0.4561985266403527
artificial sweetener,0.44285685974351724
End stage renal disease,0.4380482393750745
polycystic ovarian syndrome,0.4307692307692308
Aspart,0.42155585296409953
diabetes exercise,0.41600455613427373
insulin syringe,0.3911437357472338
Glucophage,0.38188007367479015
diabetes recipes,0.3751138255767949
insulin needles,0.36858401662676393
Sitagliptin,0.3557380904345247
diabetic coma,0.34852919082971756
plasma concentration,0.34417410956079225
diabetes prevention,0.3422182541964423
diabetes testing,0.33775256350596844
Welchol,0.31536650342837436
long acting insulin,0.3097985347985352
diabetes surgery,0.30288920888972004
FlexPen,0.2768492713600952
onset diabetes,0.27163474335629095
plasma glucose,0.2709958791602562
SGLT2 inhibitors,0.2640983253359978
alogliptin,0.2637013275078151
polyuria,0.26153846153846155
FPG,0.25823344582355345
diabetes risk factors,0.25671006901284354
diabetes study,0.24609803123463364
increased urination,0.24505189255189216
Autonomic Neuropathy,0.23519618111014332
