contentDuration_API,id,title,views,date_published,tags,likes,accreditationTag,description,channel.name,channel.url,channel.subscribers
PT3M38S,ZtVoHOayVmg,What is a Normal Blood Pressure Reading?,1093940,2016-09-19,"rachaelray, google, normal blood pressure, most googled, dr. oz, Rachael Ray Show, blood pressure, rachael ray, dr oz and rachel ray making stew",5499,0.0,"Dr. Oz says, Your blood pressure is supposed to be under 140 over 90, optimally closer to 120 over 80.""For more follow the hashtag #RachaelRayShow",Rachael Ray Show,https://www.youtube.com/UCtbkymRCxreyNHb_ON2FCsQ,777K subscribers
PT5M17S,UGOoeqSo_ws,Blood Pressure Measurement: How to Check Blood Pressure Manually,1645019,2019-06-04,"how to check blood pressure, manual blood pressure technique, manual blood pressure practice, blood pressure nursing, normal blood pressure, hypertension blood pressure, blood pressure manurement, blood pressure checker, auscultatory gap, measure blood pressure auscultatory gap, nursing skills, blood pressure explained, 2 step blood pressure, systolic number, diastolic number",21235,0.0,"Blood pressure measurement technique: nurse demonstrates how to check a blood pressure manually at home with a blood pressure cuff kit (sphygmomanometer) and stethoscope.Your blood pressure reading can be an important measurement of your overall health, especially your cardiovascular health. In this video, I provide a demonstration on taking a blood pressure by first listening to the auscultatory gap. This is an important step because some patients (not all) can have a silent gap that can occur, which cause an inaccurate blood pressure reading.First, you'll want to perform hand hygiene and gather your supplies. Next, have the patient sit down with their arm at heart level and their legs uncrossed. Palpate to find the brachial artery, which is located near the bend of the arm. Once you find the brachial artery, you'll want to estimate the systolic pressure by inflating the cuff until you can no longer feel the brachial artery.The point when you no longer feel the brachial artery will be the estimated systolic pressure number. Once you find that number, you'll deflate the cuff and let the patient rest for 30-60 seconds. Next, you'll inflate the cuff 30 mmHg higher than the estimated systolic pressure number that you got earlier. Once you inflate the cuff to the appropriate point, slowly unscrew the bulb to allow it to fall about 2 mmHg per second, and listen closely for the first sound you hear, which will be your systolic number.Continue to let the needle fall until you hear the last sound of the pulse, which will be your diastolic number.Once you have your reading, you can deflate the cuff, remove it, and wipe it off. Then you will document the blood pressure reading.Notes: https://www.registerednursern.com/how-to-take-blood-pressure-manually-clinical-nursing-skills/Website: https://www.registerednursern.com/More Videos: https://www.youtube.com/watch?v=R2XMro13dD0&list=UUPyMN8DzkFl2__xnTEiGZ1wNursing Gear: https://teespring.com/stores/registerednursernInstagram: https://www.instagram.com/registerednursern_com/Facebook: https://www.facebook.com/RegisteredNurseRNsTwitter: https://twitter.com/NursesRNPopular Playlists:NCLEX Reviews: https://www.youtube.com/playlist?list=PLQrdx7rRsKfWtwCDmLHyX2UeHofCIcgo0Fluid & Electrolytes: https://www.youtube.com/playlist?list=PLQrdx7rRsKfWJSZ9pL8L3Q1dzdlxUzeKvNursing Skills: https://www.youtube.com/playlist?list=PLQrdx7rRsKfUhd_qQYEbp0Eab3uUKhgKb",RegisteredNurseRN,https://www.youtube.com/UCPyMN8DzkFl2__xnTEiGZ1w,1.88 million subscribers
PT4M32S,Ab9OZsDECZw,How blood pressure works - Wilfred Manzano,16255148,2015-07-23,"Blood pressure, Blood, Blood vessel, Oxygen, Nutrients, Glucose, Amino acids, Systolic pressure, Diastolic pressure, Circulatory system, Salt, Stress, Hormones, High blood pressure, Low blood pressure, Hypertension, Wilfred Manzano, Fox Animation Domination High-Def, education, animation, science, biology, human body, healthy habits, lowering blood pressure, TED, TED-Ed, TED Ed, Teded, Ted Education",177262,0.0,"Travel into the circulatory system to see how blood pressure helps deliver oxygen and nutrients to your bodys tissues.-- If you lined up all the blood vessels in your body, theyd be 60 thousand miles long. And every day, they carry the equivalent of over two thousand gallons of blood to the bodys tissues. What effect does this pressure have on the walls of the blood vessels? Wilfred Manzano gives the facts on blood pressure. Lesson by Wilfred Manzano, animation by Fox Animation Domination High-Def.Support Our Non-Profit Mission----------------------------------------------Support us on Patreon: http://bit.ly/TEDEdPatreonCheck out our merch: http://bit.ly/TEDEDShop----------------------------------------------Connect With Us----------------------------------------------Sign up for our newsletter: http://bit.ly/TEDEdNewsletterFollow us on Facebook: http://bit.ly/TEDEdFacebookFind us on Twitter: http://bit.ly/TEDEdTwitterPeep us on Instagram: http://bit.ly/TEDEdInstagram----------------------------------------------Keep Learning----------------------------------------------View full lesson: https://ed.ted.com/lessons/how-blood-pressure-works-wilfred-manzanoDig deeper with additional resources: https://ed.ted.com/lessons/how-blood-pressure-works-wilfred-manzano#digdeeper----------------------------------------------",TED-Ed,https://www.youtube.com/UCsooa4yRKGN_zEE8iknghZA,16.6 million subscribers
PT2M49S,qWti317qb_w,Understanding Blood Pressure | Human Anatomy and Physiology video 3D animation | elearnin,1816689,2012-11-01,"Elearning, elearnin, learning, online, animation, lesson, videos, video, learn, tutorial, what, when, how, tube, blood, pressure, anatomy, human, flow, hypertension, tension, BP, high, biology, vessels, sphygmomanometer, understanding, effect, body, higher, lower, insurance, heart, attack, cholesterol, systolic, diastolic, Health, blood pressure, control, what is, blood pressure measurement, human anatomy, regulation, monitor, what is blood pressure, understanding blood pressure, explained, explanation, for dummies, normal, 3d",6370,0.0,"This is a biology/anatomy video for Grade 10-11 students about Blood Pressure, its causes and effects. The pressure with which blood flows in the blood vessels is called Blood Pressure or BP. BP is measured using a special device called Sphygmomanometer.",Elearnin,https://www.youtube.com/UCP6AOyxqVxfAcnQLx-9MLzg,278K subscribers
PT2M6S,8efeQ8H5cRg,Effects of Vitamin B2 supplements on people with genetically high blood pressure,5814,2017-02-10,,59,0.0,"EpiRiboSH: Epigenetic Effects of Riboflavin Supplementation in a Randomised Control Trial of Hypertensive patients stratified by MTHFR genotypeDr Diane Less-Murdock was awarded 60,595 to examine the effects of riboflavin (Vitamin B2) supplementation on individuals who have been shown to have a specific genotype which predisposes them to high blood pressure. The findings of this study will provide important information about the mechanism linking this novel genenutrient interaction with hypertension.",0,0,0
PT4M56S,V04zDVXMbuw,THE NEW CURE FOR HIGH BLOOD PRESSURE??,1202972,2019-06-10,"HIGH, BLOOD, PRESSURE, HIGHBLOODPRESSURE, HYPERTENSION, HOW TO TREAT HIGH BLOOD PRESSURE, HOW TO CURE HIGH BP, CURE, TREAT, REMEDY, NATURAL, lifestyle, change, health, nutrition, living, healthy living, high blood pressure, blood pressure, DIET, CONTROL, NATURE, HERBAL, REMEDIES, HOME, TREATMENT, hypertension treatment, high blood pressure treatment, RESEARCH, medicine, no, side effect, how to lower blood pressure, heart health, control high blood pressure, heart disease",13013,0.0,"High blood pressure is a common condition in which the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease.GERM INFECTED PLACES YOU TOUCH EVERY DAY : https://youtu.be/qjzblwFWDWkMEDSimplified T-SHIRT STORE : bit.ly/2KaICaEJOIN OUR PATREON : https://www.patreon.com/medsimplfiedBlood pressure is determined both by the amount of blood your heart pumps and the amount of resistance to blood flow in your arteries. The more blood your heart pumps and the narrower your arteries, the higher your blood pressure.You can have high blood pressure (hypertension) for years without any symptoms. Even without symptoms, damage to blood vessels and your heart continues and can be detected. Uncontrolled high blood pressure increases your risk of serious health problems, including heart attack and stroke.High blood pressure generally develops over many years, and it affects nearly everyone eventually. Fortunately, high blood pressure can be easily detected. And once you know you have high blood pressure, you can work with your doctor to control it.In this video we will look at a new research that shows a promising new lifestyle modification to reduce high blood pressure.",MEDSimplified,https://www.youtube.com/UCOmrniWfKi-uCD6Oh6fqhgw,957K subscribers
PT2M4S,kdu5QaRINIY,Dangers of High Blood Pressure,618736,2017-06-16,"animation, nucleus medical media, patient education, patient engagement, blood pressure, bp, blood pressure issues, aneurysm, cholesterol, plaque, blood plaque, blood flow, clot, blood clot, stroke, kidney disease, heart failure, hypertension, high blood pressure, brain",4125,0.0,"To license this video for patient education, content marketing or broadcast, visit: https://healthcare.nucleusmedicalmedia.com/contact-nucleus  Ref: ANH16172#HighBloodPessure #Hypertension #BloodPessureIf you or someone you know has high blood pressure, this video will help you understand what it is and why it's important to keep it under control. Over time, high blood pressure will damage the walls of your arteries. This damage can lead to life threatening conditions. For example, an artery wall may become weak and form an enlarged area called an aneurysm. The wall may burst, and bleed into the tissue around it. In another example, damage to an artery wall may attract certain substances in your blood, such as cholesterol, fat, and calcium. They may form a buildup called a plaque. As the plaque gets bigger, blood flow in the artery is reduced. Blood cells can stick to the plaque and form solid clumps called clots. Blood clots further reduce, or completely block your blood flow. If this happens in your brain, it can lead to a stroke. If it happens in your heart, it can lead to a heart attack. In another example, damage to the arteries in your kidneys may reduce their ability to work properly. This can lead to kidney disease. In a final example, damage to your arteries makes your heartbeat even harder, which raises your blood pressure even more and can lead to heart failure. If you have questions about high blood pressure or any medications you have been prescribed for it, speak with your doctor. It is important to take your medications as directed and report any side effects you have.",Nucleus Medical Media,https://www.youtube.com/UC85VW73bQLEjs_taFKP7TwQ,5.38 million subscribers
PT1M1S,PDB5K5q7II4,Mayo Clinic Minute: Millions of Americans have hypertension under new blood pressure guidelines,495800,2017-11-14,"Mayo Clinic, Health Care (Issue), Healthcare Science (Field Of Study), Blood pressure guidelines, hypertension, Dr. Sandra Taler, American Heart Association, American College of Cardiology",1335,1.0,"The American College of Cardiology and the American Heart Association released new blood pressure guidelines on Monday, Nov. 13, that will classify millions more Americans as having hypertension.The new guidelines lowered the blood pressure range of what is considered normal. That means people whose blood pressure used to be considered high normal or prehypertension now will be considered elevated blood pressure or stage 1 hypertension.The American College of Cardiology and the American Heart Association estimate the change will affect more than 31 million Americans.More health and medical news on the Mayo Clinic News Network http://newsnetwork.mayoclinic.org/",Mayo Clinic,https://www.youtube.com/UC8fQzKHIhSoZeSq3bwQx4mw,837K subscribers
PT3M19S,6EwqFalqfGE,B.Well PRO-33 Automatic blood pressure monitor,1593,2020-04-17,"B.Well Swiss, Blood Pressure, BP monitor",6,0.0,The automatic blood pressure monitor PRO-33 is easy to use and has a precise blood pressure control  a device which everybody should have at home.The digital blood pressure monitor PRO-33 with the Intellect Classic algorithm measures during deflation and permanently ensures precise results.The Pulse Arrhythmia Detection identifies pulse irregularities at an early stage.The fan shape cuff ensures close adherence to the arm for a precise result. B.Well (Swiss) pressure measurements are comfortable: the anatomic shape prevents excess arm compression.,B.Well Swiss Global,https://www.youtube.com/UCtHRvsWD4rfZilep5dJ3ENw,108 subscribers
PT1M57S,XOxQyO-Sw-g,CDC Vital Signs: Getting Blood Pressure Under Control,392166,2012-09-05,"High blood pressure, hypertension, systolic, diastolic, heart attack, stroke, CDC, public health, government",2334,1.0,"About 67 million adults have high blood pressure. More than half (36 million) have uncontrolled high blood pressure. High blood pressure is a major risk factor for heart disease and stroke, the first and fourth leading causes of death in the United States, leading to nearly 1,000 deaths a day. The majority of people with high blood pressure are being treated with medicine, yet their condition is still not under control. Millions more are either aware they have high blood pressure but aren't getting any treatment with medicine or don't know they have high blood pressure. The September issue of CDC's Vital Signs highlights the importance of awareness and treatment for adults with uncontrolled hypertension. Adults with high blood pressure can gain control by taking their blood pressure medicine. Find out why you should know your blood pressure numbers and what to do about it...Comments on this video are allowed in accordance with our comment policy: http://www.cdc.gov/SocialMedia/Tools/CommentPolicy.htmlThis video can also be viewed at: http://streaming.cdc.gov/vod.php?id=cfe44713ff40c19070fa806669d7911c20120905131228429",Centers for Disease Control and Prevention (CDC),https://www.youtube.com/UCiMg06DjcUk5FRiM3g5sqoQ,585K subscribers
