date,Diabetes,diabetes complication,diabetes cure,diabetes depression,diabetes causes,isPartial
2017-05-28,77,0,1,0,1,False
2017-06-04,85,0,1,0,1,False
2017-06-11,83,0,1,0,1,False
2017-06-18,83,0,1,0,2,False
2017-06-25,84,0,1,0,2,False
2017-07-02,76,0,1,0,2,False
2017-07-09,86,0,1,0,2,False
2017-07-16,83,0,1,0,2,False
2017-07-23,85,0,1,0,2,False
2017-07-30,85,0,1,0,2,False
2017-08-06,83,0,1,0,1,False
2017-08-13,81,0,1,0,1,False
2017-08-20,74,0,1,0,1,False
2017-08-27,77,0,1,0,1,False
2017-09-03,71,0,1,0,1,False
2017-09-10,80,0,1,0,2,False
2017-09-17,84,0,1,0,2,False
2017-09-24,86,0,1,0,2,False
2017-10-01,84,0,1,0,2,False
2017-10-08,87,0,1,0,2,False
2017-10-15,91,0,1,0,2,False
2017-10-22,92,0,1,0,2,False
2017-10-29,95,0,1,0,2,False
2017-11-05,95,0,1,0,2,False
2017-11-12,100,0,1,0,2,False
2017-11-19,72,0,1,0,1,False
2017-11-26,91,0,1,0,2,False
2017-12-03,90,0,1,0,2,False
2017-12-10,86,0,1,0,2,False
2017-12-17,77,0,1,0,1,False
2017-12-24,66,0,1,0,1,False
2017-12-31,76,0,1,0,1,False
2018-01-07,86,0,1,0,1,False
2018-01-14,85,0,1,0,2,False
2018-01-21,89,0,1,0,2,False
2018-01-28,90,0,1,0,2,False
2018-02-04,93,0,1,0,2,False
2018-02-11,87,0,1,0,2,False
2018-02-18,90,0,1,0,2,False
2018-02-25,94,0,1,0,2,False
2018-03-04,90,0,1,0,2,False
2018-03-11,88,0,1,0,2,False
2018-03-18,91,0,1,0,2,False
2018-03-25,90,0,1,0,2,False
2018-04-01,92,0,1,0,2,False
2018-04-08,93,0,1,0,2,False
2018-04-15,93,0,1,0,2,False
2018-04-22,93,0,1,0,2,False
2018-04-29,88,0,1,0,2,False
2018-05-06,87,0,1,0,2,False
2018-05-13,80,0,1,0,1,False
2018-05-20,78,0,1,0,1,False
2018-05-27,80,0,1,0,2,False
2018-06-03,82,0,1,0,1,False
2018-06-10,84,0,1,0,1,False
2018-06-17,86,0,1,0,1,False
2018-06-24,84,0,1,0,1,False
2018-07-01,75,0,1,0,1,False
2018-07-08,85,0,1,0,2,False
2018-07-15,84,0,1,0,1,False
2018-07-22,84,0,1,0,1,False
2018-07-29,84,0,1,0,1,False
2018-08-05,83,0,1,0,1,False
2018-08-12,84,0,1,0,1,False
2018-08-19,81,0,1,0,1,False
2018-08-26,83,0,1,0,1,False
2018-09-02,81,0,1,0,1,False
2018-09-09,86,0,1,0,1,False
2018-09-16,91,0,1,0,2,False
2018-09-23,91,0,1,0,2,False
2018-09-30,89,0,1,0,2,False
2018-10-07,87,0,1,0,2,False
2018-10-14,88,0,1,0,2,False
2018-10-21,86,0,1,0,2,False
2018-10-28,91,0,1,0,2,False
2018-11-04,97,0,1,0,2,False
2018-11-11,96,0,1,0,2,False
2018-11-18,77,0,1,0,2,False
2018-11-25,92,0,1,0,2,False
2018-12-02,90,0,1,0,2,False
2018-12-09,86,0,1,0,2,False
2018-12-16,88,0,1,0,2,False
2018-12-23,69,0,1,0,1,False
2018-12-30,80,0,1,0,2,False
2019-01-06,91,0,1,0,1,False
2019-01-13,90,0,1,0,2,False
2019-01-20,90,0,1,0,2,False
2019-01-27,90,0,1,0,2,False
