date,diabetes magazines,herbal treatment for diabetes,diabetes supplements,diabetes type,diabetes causes,isPartial
2017-05-28,0,0,1,59,6,False
2017-06-04,0,0,1,68,7,False
2017-06-11,0,0,0,66,7,False
2017-06-18,0,0,1,66,9,False
2017-06-25,0,0,1,65,8,False
2017-07-02,0,0,1,60,9,False
2017-07-09,0,0,1,68,9,False
2017-07-16,0,0,0,64,9,False
2017-07-23,0,0,0,69,9,False
2017-07-30,0,0,1,65,8,False
2017-08-06,0,0,1,65,7,False
2017-08-13,0,0,1,62,7,False
2017-08-20,0,0,0,62,7,False
2017-08-27,0,0,1,57,6,False
2017-09-03,0,0,1,58,7,False
2017-09-10,0,0,0,65,8,False
2017-09-17,0,0,1,70,9,False
2017-09-24,0,0,1,71,8,False
2017-10-01,0,0,1,74,9,False
2017-10-08,0,0,1,75,8,False
2017-10-15,0,0,0,83,8,False
2017-10-22,0,0,1,82,9,False
2017-10-29,0,0,1,88,10,False
2017-11-05,0,0,1,87,8,False
2017-11-12,0,0,0,95,10,False
2017-11-19,0,0,1,64,7,False
2017-11-26,0,0,1,86,9,False
2017-12-03,0,0,1,83,10,False
2017-12-10,0,0,1,81,9,False
2017-12-17,0,0,0,65,6,False
2017-12-24,0,0,0,54,6,False
2017-12-31,0,0,1,60,6,False
2018-01-07,0,0,0,75,7,False
2018-01-14,0,0,0,69,8,False
2018-01-21,0,0,1,75,9,False
2018-01-28,0,0,1,78,8,False
2018-02-04,0,0,0,82,9,False
2018-02-11,0,0,1,81,8,False
2018-02-18,0,0,1,82,9,False
2018-02-25,0,0,1,82,10,False
2018-03-04,0,0,1,78,9,False
2018-03-11,0,0,1,77,8,False
2018-03-18,0,0,1,76,8,False
2018-03-25,0,0,1,80,10,False
2018-04-01,0,0,1,82,9,False
2018-04-08,0,0,1,77,10,False
2018-04-15,0,0,1,81,9,False
2018-04-22,0,0,1,81,8,False
2018-04-29,0,0,1,74,8,False
2018-05-06,0,0,1,72,9,False
2018-05-13,0,0,1,68,7,False
2018-05-20,0,0,0,67,6,False
2018-05-27,0,0,1,69,8,False
2018-06-03,0,0,0,68,7,False
2018-06-10,0,0,1,67,6,False
2018-06-17,0,0,0,68,6,False
2018-06-24,0,0,1,66,6,False
2018-07-01,0,0,1,58,5,False
2018-07-08,0,0,0,67,8,False
2018-07-15,0,0,1,69,7,False
2018-07-22,0,0,1,68,7,False
2018-07-29,0,0,1,69,7,False
2018-08-05,0,0,1,66,7,False
2018-08-12,0,0,1,68,7,False
2018-08-19,0,0,0,65,7,False
2018-08-26,0,0,1,66,7,False
2018-09-02,0,0,1,67,7,False
2018-09-09,0,0,0,70,7,False
2018-09-16,0,0,1,80,9,False
2018-09-23,0,0,1,83,8,False
2018-09-30,0,0,0,80,9,False
2018-10-07,0,0,1,78,9,False
2018-10-14,0,0,1,77,8,False
2018-10-21,0,0,0,76,8,False
2018-10-28,0,0,1,83,9,False
2018-11-04,0,0,1,93,9,False
2018-11-11,0,0,1,88,9,False
2018-11-18,0,0,0,68,9,False
2018-11-25,0,0,1,84,10,False
2018-12-02,0,0,0,85,9,False
2018-12-09,0,0,1,79,9,False
2018-12-16,0,0,1,76,8,False
2018-12-23,0,0,1,61,7,False
2018-12-30,0,0,1,64,8,False
2019-01-06,0,0,1,78,7,False
2019-01-13,0,0,1,75,8,False
2019-01-20,0,0,1,75,8,False
2019-01-27,0,0,0,77,9,False
2019-02-03,0,0,1,82,9,False
2019-02-10,0,0,0,78,9,False
2019-02-17,0,0,1,84,10,False
2019-02-24,0,0,1,80,8,False
2019-03-03,0,0,0,87,10,False
2019-03-10,0,0,1,80,9,False
2019-03-17,0,0,1,81,10,False
2019-03-24,0,0,1,86,9,False
2019-03-31,0,0,1,84,9,False
2019-04-07,0,0,1,92,10,False
2019-04-14,0,0,1,80,9,False
2019-04-21,0,0,1,86,10,False
2019-04-28,0,0,0,82,9,False
2019-05-05,0,0,1,74,11,False
2019-05-12,0,0,1,72,9,False
2019-05-19,0,0,1,71,7,False
2019-05-26,0,0,1,68,8,False
2019-06-02,0,0,1,70,7,False
2019-06-09,0,0,1,68,7,False
2019-06-16,0,0,1,69,8,False
2019-06-23,0,0,1,72,7,False
2019-06-30,0,0,0,64,6,False
2019-07-07,0,0,0,71,7,False
2019-07-14,0,0,1,71,7,False
2019-07-21,0,0,1,70,7,False
2019-07-28,0,0,1,74,6,False
2019-08-04,0,0,1,69,7,False
2019-08-11,0,0,1,68,6,False
2019-08-18,0,0,1,70,6,False
2019-08-25,0,0,1,68,8,False
2019-09-01,0,0,1,65,7,False
2019-09-08,0,0,1,73,8,False
2019-09-15,0,0,1,78,7,False
2019-09-22,0,0,1,81,8,False
2019-09-29,0,0,1,84,10,False
2019-10-06,0,0,0,81,8,False
2019-10-13,0,0,0,77,8,False
2019-10-20,0,0,1,89,9,False
2019-10-27,0,0,1,83,9,False
2019-11-03,0,0,1,92,9,False
2019-11-10,0,0,1,97,9,False
2019-11-17,0,0,1,94,9,False
2019-11-24,0,0,0,67,7,False
2019-12-01,0,0,1,92,10,False
2019-12-08,0,0,1,80,9,False
2019-12-15,0,0,1,72,7,False
2019-12-22,0,0,1,62,7,False
2019-12-29,0,0,1,65,7,False
2020-01-05,0,0,1,79,8,False
2020-01-12,0,0,1,81,7,False
2020-01-19,0,0,1,82,7,False
2020-01-26,0,0,1,81,8,False
2020-02-02,0,0,1,84,9,False
2020-02-09,0,0,1,84,9,False
2020-02-16,0,0,1,84,8,False
2020-02-23,0,0,1,88,9,False
2020-03-01,0,0,1,83,8,False
2020-03-08,0,0,1,90,7,False
2020-03-15,0,0,1,76,7,False
2020-03-22,0,0,1,73,7,False
2020-03-29,0,0,1,73,7,False
2020-04-05,0,0,1,74,10,False
2020-04-12,0,0,1,73,8,False
2020-04-19,0,0,1,75,9,False
2020-04-26,0,0,1,73,9,False
2020-05-03,0,0,1,75,8,False
2020-05-10,0,0,1,69,7,False
2020-05-17,0,0,1,68,8,False
2020-05-24,0,0,0,64,7,False
2020-05-31,0,0,1,64,6,False
2020-06-07,0,0,1,74,7,False
2020-06-14,0,0,1,76,7,False
2020-06-21,0,0,1,75,8,False
2020-06-28,0,0,1,71,7,False
2020-07-05,0,0,1,78,7,False
2020-07-12,0,0,1,76,8,False
2020-07-19,0,0,1,78,8,False
2020-07-26,0,0,1,75,6,False
2020-08-02,0,0,1,73,8,False
2020-08-09,0,0,1,72,8,False
2020-08-16,0,0,1,71,9,False
2020-08-23,0,0,1,72,7,False
2020-08-30,0,0,1,69,8,False
2020-09-06,0,0,1,73,7,False
2020-09-13,0,0,0,77,8,False
2020-09-20,0,0,1,76,9,False
2020-09-27,0,0,1,77,9,False
2020-10-04,0,0,1,87,8,False
2020-10-11,0,0,1,78,9,False
2020-10-18,0,0,1,84,9,False
2020-10-25,0,0,1,80,8,False
2020-11-01,0,0,1,65,7,False
2020-11-08,0,0,1,81,8,False
2020-11-15,0,0,1,86,10,False
2020-11-22,0,0,1,68,7,False
2020-11-29,0,0,1,75,8,False
2020-12-06,0,0,1,77,8,False
2020-12-13,0,0,1,74,8,False
2020-12-20,0,0,1,58,5,False
2020-12-27,0,0,1,61,6,False
2021-01-03,0,0,1,70,6,False
2021-01-10,0,0,1,77,7,False
2021-01-17,0,0,1,83,7,False
2021-01-24,0,0,1,84,8,False
2021-01-31,0,0,1,84,8,False
2021-02-07,0,0,1,93,9,False
2021-02-14,0,0,1,83,8,False
2021-02-21,0,0,1,88,10,False
2021-02-28,0,0,1,93,10,False
2021-03-07,0,0,1,94,8,False
2021-03-14,0,0,1,86,7,False
2021-03-21,0,0,1,80,8,False
2021-03-28,0,0,1,80,7,False
2021-04-04,0,0,1,81,8,False
2021-04-11,0,0,1,83,9,False
2021-04-18,0,0,1,82,8,False
2021-04-25,0,0,1,78,8,False
2021-05-02,0,0,1,77,8,False
2021-05-09,0,0,1,80,7,False
2021-05-16,0,0,1,76,7,False
2021-05-23,0,0,1,70,8,False
2021-05-30,0,0,1,69,6,False
2021-06-06,0,0,1,75,8,False
2021-06-13,0,0,1,70,7,False
2021-06-20,0,0,1,74,8,False
