date,diabetes and depression,diabetes impotence,about diabetes,diabetes recipes,diabetes causes,isPartial
2017-05-28,3,2,20,11,57,False
2017-06-04,1,1,21,21,65,False
2017-06-11,2,2,20,14,69,False
2017-06-18,3,1,15,16,81,False
2017-06-25,7,0,23,18,72,False
2017-07-02,4,1,21,18,83,False
2017-07-09,3,1,17,15,84,False
2017-07-16,4,1,22,19,82,False
2017-07-23,2,3,21,19,87,False
2017-07-30,3,0,24,16,71,False
2017-08-06,4,1,18,15,68,False
2017-08-13,4,1,22,19,64,False
2017-08-20,4,2,17,15,66,False
2017-08-27,2,0,26,15,60,False
2017-09-03,6,1,22,17,65,False
2017-09-10,5,1,24,14,73,False
2017-09-17,3,1,33,14,83,False
2017-09-24,6,0,41,15,74,False
2017-10-01,5,2,38,17,81,False
2017-10-08,7,1,34,17,78,False
2017-10-15,3,1,39,26,76,False
2017-10-22,5,1,35,21,86,False
2017-10-29,2,0,41,20,91,False
2017-11-05,7,1,41,18,78,False
2017-11-12,3,0,56,17,92,False
2017-11-19,1,1,35,16,65,False
2017-11-26,3,0,38,20,85,False
2017-12-03,4,1,38,16,93,False
2017-12-10,6,0,32,20,85,False
2017-12-17,3,1,19,19,61,False
2017-12-24,3,1,12,13,60,False
2017-12-31,5,0,17,18,60,False
2018-01-07,5,3,22,18,67,False
2018-01-14,3,2,29,17,74,False
2018-01-21,3,1,31,20,84,False
2018-01-28,4,0,26,17,78,False
2018-02-04,6,1,36,23,80,False
2018-02-11,3,0,37,13,77,False
2018-02-18,3,1,40,18,86,False
2018-02-25,3,1,31,20,92,False
2018-03-04,6,1,36,16,88,False
2018-03-11,1,2,31,22,76,False
2018-03-18,2,1,35,13,79,False
2018-03-25,5,1,33,18,93,False
2018-04-01,7,0,33,12,84,False
2018-04-08,3,1,41,23,90,False
2018-04-15,3,1,33,18,85,False
2018-04-22,3,1,25,20,78,False
2018-04-29,5,0,41,18,74,False
2018-05-06,4,2,28,19,83,False
2018-05-13,3,0,26,14,68,False
2018-05-20,3,0,24,14,60,False
2018-05-27,7,0,25,17,80,False
2018-06-03,3,1,19,20,62,False
2018-06-10,2,1,27,18,58,False
2018-06-17,5,1,26,11,60,False
2018-06-24,2,1,22,14,60,False
2018-07-01,2,0,21,21,50,False
2018-07-08,5,1,19,22,72,False
2018-07-15,3,2,27,13,67,False
2018-07-22,4,0,25,17,68,False
2018-07-29,5,0,26,18,67,False
2018-08-05,5,2,23,12,62,False
2018-08-12,3,1,19,19,62,False
2018-08-19,3,1,17,18,62,False
2018-08-26,2,0,22,20,66,False
2018-09-02,2,1,23,19,64,False
2018-09-09,4,0,36,17,65,False
2018-09-16,5,1,34,23,87,False
2018-09-23,4,1,30,20,73,False
2018-09-30,5,0,30,18,85,False
2018-10-07,5,1,27,15,84,False
2018-10-14,4,0,35,17,75,False
2018-10-21,2,1,42,21,78,False
2018-10-28,3,0,38,17,85,False
2018-11-04,2,1,53,21,82,False
2018-11-11,6,0,50,19,85,False
2018-11-18,3,0,21,16,83,False
2018-11-25,1,1,40,20,91,False
2018-12-02,4,2,49,19,89,False
2018-12-09,4,0,32,19,82,False
2018-12-16,3,2,22,15,77,False
2018-12-23,3,2,11,16,61,False
2018-12-30,1,3,21,23,74,False
2019-01-06,3,0,26,19,67,False
2019-01-13,3,1,21,19,78,False
2019-01-20,3,1,25,18,74,False
2019-01-27,4,1,37,19,84,False
2019-02-03,4,0,39,23,82,False
2019-02-10,4,0,29,18,81,False
2019-02-17,4,1,35,15,89,False
2019-02-24,6,1,44,14,78,False
2019-03-03,5,2,35,18,91,False
2019-03-10,4,1,36,12,86,False
2019-03-17,3,1,42,18,94,False
2019-03-24,8,0,38,16,85,False
2019-03-31,5,1,38,17,85,False
2019-04-07,4,2,48,20,97,False
2019-04-14,3,0,36,18,84,False
2019-04-21,2,1,38,14,95,False
2019-04-28,6,1,37,16,85,False
2019-05-05,4,1,33,18,100,False
2019-05-12,1,1,27,17,83,False
2019-05-19,4,2,24,15,67,False
2019-05-26,4,1,22,18,74,False
2019-06-02,2,1,20,16,68,False
2019-06-09,4,0,26,16,63,False
2019-06-16,2,1,20,16,73,False
2019-06-23,3,1,25,19,65,False
2019-06-30,1,1,22,14,57,False
2019-07-07,5,1,23,17,68,False
2019-07-14,4,1,23,13,67,False
2019-07-21,3,0,21,12,70,False
2019-07-28,4,1,22,16,58,False
2019-08-04,3,1,25,16,63,False
2019-08-11,3,0,17,15,58,False
2019-08-18,4,1,22,14,59,False
2019-08-25,3,0,21,16,77,False
2019-09-01,2,1,26,9,66,False
2019-09-08,1,0,23,14,72,False
2019-09-15,3,0,32,18,64,False
2019-09-22,5,0,31,15,76,False
2019-09-29,4,2,37,16,91,False
