date,diabetes lifestyle,diabetes medication side effects,blood glucose,blood pressure,diabetes causes,isPartial
2017-05-28,0,0,3,57,1,False
2017-06-04,0,0,3,58,1,False
2017-06-11,0,0,3,58,1,False
2017-06-18,0,0,3,57,1,False
2017-06-25,0,0,3,55,1,False
2017-07-02,0,0,3,55,1,False
2017-07-09,0,0,3,60,1,False
2017-07-16,0,0,3,59,1,False
2017-07-23,0,0,3,60,1,False
2017-07-30,0,0,3,59,1,False
2017-08-06,0,0,3,61,1,False
2017-08-13,0,0,3,59,1,False
2017-08-20,0,0,3,56,1,False
2017-08-27,0,0,3,56,1,False
2017-09-03,0,0,3,53,1,False
2017-09-10,0,0,3,56,1,False
2017-09-17,0,0,4,61,1,False
2017-09-24,0,0,4,59,1,False
2017-10-01,0,0,4,59,1,False
2017-10-08,0,0,4,59,1,False
2017-10-15,0,0,4,62,1,False
2017-10-22,0,0,4,63,1,False
2017-10-29,0,0,4,60,1,False
2017-11-05,0,0,4,63,1,False
2017-11-12,0,0,4,86,1,False
2017-11-19,0,0,3,61,1,False
2017-11-26,0,0,4,65,1,False
2017-12-03,0,0,4,62,1,False
2017-12-10,0,0,3,60,1,False
2017-12-17,0,0,3,61,1,False
2017-12-24,0,0,3,55,1,False
2017-12-31,0,0,3,60,1,False
2018-01-07,0,0,3,68,1,False
2018-01-14,0,0,3,68,1,False
2018-01-21,0,0,4,72,1,False
2018-01-28,0,0,4,75,1,False
2018-02-04,0,0,4,74,1,False
2018-02-11,0,0,4,73,1,False
2018-02-18,0,0,4,72,1,False
2018-02-25,0,0,4,75,1,False
2018-03-04,0,0,4,73,1,False
2018-03-11,0,0,4,72,1,False
2018-03-18,0,0,4,73,1,False
2018-03-25,0,0,4,69,1,False
2018-04-01,0,0,4,71,1,False
2018-04-08,0,0,4,74,1,False
2018-04-15,0,0,4,71,1,False
2018-04-22,0,0,4,72,1,False
2018-04-29,0,0,4,71,1,False
2018-05-06,0,0,4,69,1,False
2018-05-13,0,0,4,68,1,False
2018-05-20,0,0,3,65,1,False
2018-05-27,0,0,3,62,1,False
2018-06-03,0,0,3,66,1,False
2018-06-10,0,0,4,68,1,False
2018-06-17,0,0,3,66,1,False
2018-06-24,0,0,3,65,1,False
2018-07-01,0,0,4,61,1,False
2018-07-08,0,0,3,68,1,False
2018-07-15,0,0,4,79,1,False
2018-07-22,0,0,4,72,1,False
2018-07-29,0,0,3,69,1,False
2018-08-05,0,0,4,71,1,False
2018-08-12,0,0,4,72,1,False
2018-08-19,0,0,3,68,1,False
2018-08-26,0,0,4,72,1,False
2018-09-02,0,0,4,65,1,False
2018-09-09,0,0,4,68,1,False
2018-09-16,0,0,5,70,1,False
2018-09-23,0,0,5,69,1,False
2018-09-30,0,0,4,69,1,False
2018-10-07,0,0,4,69,1,False
2018-10-14,0,0,4,69,1,False
2018-10-21,0,0,4,68,1,False
2018-10-28,0,0,4,70,1,False
2018-11-04,0,0,4,73,1,False
2018-11-11,0,0,4,74,1,False
2018-11-18,0,0,3,62,1,False
2018-11-25,0,0,4,75,1,False
2018-12-02,0,0,4,79,1,False
2018-12-09,0,0,4,71,1,False
2018-12-16,0,0,3,68,1,False
2018-12-23,0,0,2,64,1,False
2018-12-30,0,0,3,82,1,False
2019-01-06,0,0,4,79,1,False
2019-01-13,0,0,4,75,1,False
2019-01-20,0,0,4,78,1,False
2019-01-27,0,0,4,78,1,False
2019-02-03,0,0,5,78,1,False
2019-02-10,0,0,4,77,1,False
2019-02-17,0,0,5,78,1,False
2019-02-24,0,0,4,82,1,False
2019-03-03,0,0,5,85,1,False
2019-03-10,0,0,4,81,1,False
2019-03-17,0,0,4,80,1,False
2019-03-24,0,0,4,79,1,False
2019-03-31,0,0,4,79,1,False
2019-04-07,0,0,4,76,1,False
2019-04-14,0,0,4,75,1,False
2019-04-21,0,0,4,74,1,False
2019-04-28,0,0,4,75,1,False
2019-05-05,0,0,3,74,1,False
2019-05-12,0,0,4,75,1,False
2019-05-19,0,0,3,72,1,False
2019-05-26,0,0,3,67,1,False
2019-06-02,0,0,4,70,1,False
2019-06-09,0,0,3,70,1,False
2019-06-16,0,0,4,73,1,False
2019-06-23,0,0,3,71,1,False
2019-06-30,0,0,3,65,1,False
2019-07-07,0,0,4,72,1,False
2019-07-14,0,0,3,74,1,False
2019-07-21,0,0,4,74,1,False
2019-07-28,0,0,3,72,1,False
2019-08-04,0,0,3,72,1,False
2019-08-11,0,0,3,72,1,False
2019-08-18,0,0,3,73,1,False
2019-08-25,0,0,3,69,1,False
2019-09-01,0,0,3,66,1,False
2019-09-08,0,0,4,71,1,False
2019-09-15,0,0,4,73,1,False
2019-09-22,0,0,5,81,1,False
2019-09-29,0,0,5,75,1,False
2019-10-06,0,0,4,72,1,False
2019-10-13,0,0,4,75,1,False
2019-10-20,0,0,4,78,1,False
2019-10-27,0,0,4,69,1,False
2019-11-03,0,0,4,76,1,False
2019-11-10,0,0,4,73,1,False
2019-11-17,0,0,4,78,1,False
2019-11-24,0,0,3,66,1,False
2019-12-01,0,0,4,71,1,False
2019-12-08,0,0,3,68,1,False
2019-12-15,0,0,3,68,1,False
2019-12-22,0,0,2,66,1,False
2019-12-29,0,0,3,72,1,False
2020-01-05,0,0,3,79,1,False
2020-01-12,0,0,4,81,1,False
2020-01-19,0,0,4,80,1,False
2020-01-26,0,0,4,82,1,False
2020-02-02,0,0,4,81,1,False
2020-02-09,0,0,4,79,1,False
2020-02-16,0,0,4,83,1,False
2020-02-23,0,0,4,83,1,False
2020-03-01,0,0,4,77,1,False
2020-03-08,0,0,3,69,1,False
2020-03-15,0,0,3,61,1,False
