date,continuous glucose monitoring systems,c-peptide test,fasting glucose,fasting plasma glucose,diabetes causes,isPartial
2017-05-28,0,1,49,2,55,False
2017-06-04,0,0,64,2,62,False
2017-06-11,0,1,52,2,66,False
2017-06-18,0,3,53,3,78,False
2017-06-25,0,1,58,2,69,False
2017-07-02,0,0,63,1,80,False
2017-07-09,0,0,56,3,81,False
2017-07-16,0,1,65,0,79,False
2017-07-23,0,1,64,0,83,False
2017-07-30,0,1,66,0,68,False
2017-08-06,0,2,64,1,66,False
2017-08-13,0,2,61,1,62,False
2017-08-20,0,1,59,1,64,False
2017-08-27,0,1,59,2,58,False
2017-09-03,0,0,51,2,63,False
2017-09-10,0,2,52,2,70,False
2017-09-17,0,0,73,1,80,False
2017-09-24,0,2,63,0,71,False
2017-10-01,0,2,66,1,78,False
2017-10-08,0,1,62,3,75,False
2017-10-15,0,2,64,3,73,False
2017-10-22,0,1,65,1,83,False
2017-10-29,0,1,70,2,88,False
2017-11-05,0,1,67,3,75,False
2017-11-12,0,1,69,3,88,False
2017-11-19,0,0,57,2,63,False
2017-11-26,0,1,65,1,82,False
2017-12-03,0,1,53,1,90,False
2017-12-10,0,0,54,1,82,False
2017-12-17,0,1,45,0,59,False
2017-12-24,0,1,49,2,58,False
2017-12-31,0,1,62,0,58,False
2018-01-07,0,0,62,2,65,False
2018-01-14,0,1,62,1,72,False
2018-01-21,0,0,59,3,81,False
2018-01-28,0,1,64,0,75,False
2018-02-04,0,0,73,2,77,False
2018-02-11,0,2,68,2,74,False
2018-02-18,0,2,63,2,83,False
2018-02-25,0,1,80,3,89,False
2018-03-04,0,1,74,2,84,False
2018-03-11,0,1,80,2,74,False
2018-03-18,0,0,65,2,76,False
2018-03-25,0,2,72,2,90,False
2018-04-01,0,0,71,1,81,False
2018-04-08,0,1,80,3,87,False
2018-04-15,0,2,80,3,82,False
2018-04-22,0,1,62,1,75,False
2018-04-29,0,2,76,2,71,False
2018-05-06,1,3,60,2,80,False
2018-05-13,0,0,55,1,66,False
2018-05-20,0,2,63,4,58,False
2018-05-27,0,1,54,1,77,False
2018-06-03,0,1,69,1,59,False
2018-06-10,0,2,72,1,56,False
2018-06-17,0,1,77,1,58,False
2018-06-24,0,0,71,0,58,False
2018-07-01,0,1,74,0,49,False
2018-07-08,0,2,66,1,69,False
2018-07-15,0,2,73,0,65,False
2018-07-22,0,2,88,0,65,False
2018-07-29,0,1,69,1,64,False
2018-08-05,0,1,77,2,60,False
2018-08-12,0,2,71,2,59,False
2018-08-19,0,1,74,1,60,False
2018-08-26,0,1,70,0,64,False
2018-09-02,0,1,64,0,62,False
2018-09-09,0,2,82,0,62,False
2018-09-16,0,0,80,3,84,False
2018-09-23,0,1,66,2,71,False
2018-09-30,0,1,76,0,82,False
2018-10-07,0,3,68,2,81,False
2018-10-14,0,1,70,2,73,False
2018-10-21,0,1,82,1,75,False
2018-10-28,0,1,76,2,82,False
2018-11-04,0,1,76,1,79,False
