date,fingerstick glucose test,FPG,glucometers,glucose meter,diabetes causes,isPartial
2017-05-28,0,15,3,50,57,False
2017-06-04,0,9,5,52,65,False
2017-06-11,0,7,1,50,69,False
2017-06-18,0,14,3,47,81,False
2017-06-25,0,13,4,60,72,False
2017-07-02,0,11,4,51,83,False
2017-07-09,0,8,5,50,84,False
2017-07-16,0,14,4,40,82,False
2017-07-23,0,14,5,47,87,False
2017-07-30,0,10,1,53,71,False
2017-08-06,0,11,1,42,68,False
2017-08-13,0,15,2,56,64,False
2017-08-20,0,10,2,35,66,False
2017-08-27,0,13,4,53,60,False
2017-09-03,0,15,3,47,65,False
2017-09-10,0,13,3,50,73,False
2017-09-17,0,12,4,46,83,False
2017-09-24,0,15,5,55,74,False
2017-10-01,0,15,2,47,81,False
2017-10-08,0,13,2,54,78,False
2017-10-15,0,11,2,50,76,False
2017-10-22,0,11,4,53,86,False
2017-10-29,0,9,3,49,91,False
2017-11-05,0,16,4,50,78,False
2017-11-12,0,13,4,50,92,False
2017-11-19,0,9,1,40,65,False
2017-11-26,0,14,3,59,85,False
2017-12-03,0,9,4,46,93,False
2017-12-10,0,13,2,43,85,False
2017-12-17,0,9,2,57,61,False
2017-12-24,0,8,1,59,60,False
2017-12-31,0,9,1,49,60,False
2018-01-07,0,16,3,66,67,False
2018-01-14,0,9,4,42,74,False
2018-01-21,0,14,2,64,84,False
2018-01-28,0,12,3,61,78,False
2018-02-04,0,15,5,54,80,False
2018-02-11,0,9,2,59,77,False
2018-02-18,0,13,1,48,86,False
2018-02-25,0,14,2,56,92,False
2018-03-04,0,8,2,58,88,False
2018-03-11,0,13,4,67,76,False
2018-03-18,0,13,2,64,79,False
2018-03-25,0,12,3,54,93,False
2018-04-01,0,16,3,54,84,False
2018-04-08,0,25,6,53,90,False
2018-04-15,0,19,2,65,85,False
2018-04-22,0,10,2,59,78,False
2018-04-29,0,11,4,52,74,False
2018-05-06,0,17,3,58,83,False
2018-05-13,0,11,1,63,68,False
2018-05-20,0,16,4,62,60,False
2018-05-27,0,14,1,52,80,False
2018-06-03,0,15,2,59,62,False
2018-06-10,0,16,2,56,58,False
2018-06-17,0,9,3,48,60,False
2018-06-24,0,11,0,57,60,False
2018-07-01,0,10,0,70,50,False
2018-07-08,0,18,4,75,72,False
2018-07-15,0,10,4,81,67,False
2018-07-22,0,12,3,73,68,False
2018-07-29,0,12,4,57,67,False
2018-08-05,0,11,1,69,62,False
2018-08-12,0,14,1,73,62,False
2018-08-19,0,14,4,80,62,False
2018-08-26,0,13,3,59,66,False
2018-09-02,0,12,3,50,64,False
2018-09-09,0,11,3,57,65,False
2018-09-16,0,17,4,63,87,False
2018-09-23,0,11,3,72,73,False
2018-09-30,0,14,2,48,85,False
2018-10-07,0,12,3,55,84,False
2018-10-14,0,12,1,56,75,False
2018-10-21,0,17,2,63,78,False
2018-10-28,0,16,1,53,85,False
2018-11-04,0,9,3,63,82,False
2018-11-11,0,13,4,55,85,False
2018-11-18,0,13,2,55,83,False
2018-11-25,0,18,2,58,91,False
2018-12-02,0,10,2,66,89,False
2018-12-09,0,13,3,64,82,False
2018-12-16,0,7,3,66,77,False
2018-12-23,0,4,3,54,61,False
2018-12-30,0,13,2,58,74,False
2019-01-06,0,9,5,67,67,False
2019-01-13,0,14,4,73,78,False
2019-01-20,0,15,2,67,74,False
2019-01-27,0,9,4,71,84,False
2019-02-03,0,14,3,74,82,False
2019-02-10,0,12,2,65,81,False
2019-02-17,0,11,4,73,89,False
2019-02-24,0,10,3,57,78,False
2019-03-03,0,9,4,65,91,False
2019-03-10,0,13,3,67,86,False
2019-03-17,0,14,3,66,94,False
2019-03-24,0,13,3,65,85,False
2019-03-31,0,9,2,70,85,False
2019-04-07,0,10,3,55,97,False
2019-04-14,0,11,3,62,84,False
2019-04-21,0,13,2,66,95,False
2019-04-28,0,11,2,65,85,False
2019-05-05,0,11,3,48,100,False
2019-05-12,0,10,4,61,83,False
2019-05-19,0,9,4,56,67,False
2019-05-26,0,11,3,55,74,False
2019-06-02,0,11,4,58,68,False
2019-06-09,0,13,1,57,63,False
2019-06-16,0,13,2,58,73,False
2019-06-23,0,14,4,58,65,False
2019-06-30,0,11,3,59,57,False
2019-07-07,0,11,2,60,68,False
2019-07-14,0,13,5,55,67,False
2019-07-21,0,17,3,67,70,False
2019-07-28,0,14,2,61,58,False
2019-08-04,0,9,2,57,63,False
2019-08-11,0,15,3,59,58,False
2019-08-18,0,11,3,62,59,False
2019-08-25,0,15,3,52,77,False
2019-09-01,0,13,2,49,66,False
2019-09-08,0,14,4,53,72,False
2019-09-15,0,14,4,56,64,False
2019-09-22,0,13,1,55,76,False
2019-09-29,0,14,2,55,91,False
2019-10-06,0,14,3,47,78,False
2019-10-13,0,10,3,45,76,False
2019-10-20,0,13,3,49,86,False
2019-10-27,0,13,2,49,81,False
2019-11-03,0,14,3,53,80,False
2019-11-10,0,12,2,53,84,False
2019-11-17,0,13,2,61,88,False
2019-11-24,0,11,1,49,62,False
2019-12-01,0,13,2,54,89,False
2019-12-08,0,11,4,44,86,False
2019-12-15,0,12,3,44,65,False
2019-12-22,0,6,1,46,62,False
2019-12-29,0,7,1,52,70,False
2020-01-05,0,16,3,67,72,False
2020-01-12,0,14,3,67,66,False
2020-01-19,0,11,2,60,67,False
2020-01-26,0,11,2,53,76,False
2020-02-02,0,15,3,64,84,False
2020-02-09,0,15,4,57,82,False
2020-02-16,0,15,4,57,76,False
2020-02-23,0,14,3,58,86,False
2020-03-01,0,14,2,57,77,False
2020-03-08,0,12,2,51,66,False
2020-03-15,0,10,1,50,62,False
2020-03-22,0,7,2,38,64,False
2020-03-29,0,10,3,49,70,False
2020-04-05,0,8,2,46,90,False
2020-04-12,0,9,1,46,75,False
2020-04-19,0,14,3,49,87,False
2020-04-26,0,10,2,45,83,False
2020-05-03,0,7,3,50,77,False
2020-05-10,0,8,2,48,66,False
2020-05-17,0,7,3,50,71,False
2020-05-24,0,13,2,45,69,False
2020-05-31,0,10,2,54,59,False
2020-06-07,0,10,2,48,63,False
2020-06-14,0,8,3,54,69,False
2020-06-21,0,11,2,59,79,False
2020-06-28,0,12,2,67,65,False
2020-07-05,0,15,3,60,69,False
2020-07-12,0,12,3,56,75,False
2020-07-19,0,10,2,62,80,False
2020-07-26,0,14,4,61,60,False
2020-08-02,0,23,4,51,71,False
2020-08-09,0,13,3,65,78,False
2020-08-16,0,13,2,46,82,False
2020-08-23,0,14,3,54,70,False
2020-08-30,0,10,3,53,74,False
2020-09-06,0,8,3,56,65,False
2020-09-13,0,10,1,59,76,False
2020-09-20,0,11,1,51,88,False
2020-09-27,0,9,2,52,81,False
2020-10-04,0,13,3,50,79,False
2020-10-11,0,9,3,47,81,False
2020-10-18,0,9,3,58,86,False
2020-10-25,0,10,2,55,74,False
2020-11-01,0,9,4,36,63,False
2020-11-08,0,11,3,51,80,False
2020-11-15,0,9,4,56,90,False
2020-11-22,0,12,1,51,68,False
2020-11-29,0,11,1,48,76,False
2020-12-06,0,12,3,55,76,False
2020-12-13,0,7,0,46,73,False
2020-12-20,0,7,0,49,51,False
2020-12-27,0,5,1,55,54,False
2021-01-03,0,14,4,55,55,False
2021-01-10,0,10,5,67,69,False
2021-01-17,0,11,2,64,68,False
2021-01-24,0,15,0,62,80,False
2021-01-31,0,11,5,63,77,False
2021-02-07,0,16,3,70,82,False
2021-02-14,0,10,1,60,76,False
2021-02-21,0,9,4,67,90,False
2021-02-28,0,14,6,74,95,False
2021-03-07,0,12,5,62,79,False
2021-03-14,0,11,2,68,64,False
2021-03-21,0,11,4,53,78,False
2021-03-28,0,7,3,57,70,False
2021-04-04,0,14,3,60,77,False
2021-04-11,0,10,1,61,86,False
2021-04-18,0,8,3,53,75,False
2021-04-25,0,10,1,63,75,False
2021-05-02,0,9,3,55,76,False
2021-05-09,0,12,3,63,65,False
2021-05-16,0,12,4,51,66,False
2021-05-23,0,14,1,62,77,False
2021-05-30,0,8,4,60,58,False
2021-06-06,0,6,3,59,77,False
2021-06-13,0,10,3,56,70,False
2021-06-20,0,10,3,57,71,False
2021-06-27,0,9,4,66,68,False
2021-07-04,0,6,3,49,71,False
2021-07-11,0,10,4,61,66,False
2021-07-18,0,10,4,63,60,False
2021-07-25,0,8,1,64,63,False
2021-08-01,0,10,3,57,63,False
2021-08-08,0,7,1,50,64,False
2021-08-15,0,10,2,52,68,False
2021-08-22,0,11,1,66,61,False
2021-08-29,0,11,2,65,66,False
2021-09-05,0,12,4,54,63,False
2021-09-12,0,10,3,62,73,False
2021-09-19,0,7,2,59,75,False
2021-09-26,0,11,3,55,79,False
2021-10-03,0,11,4,55,80,False
2021-10-10,0,9,1,58,73,False
2021-10-17,0,11,2,67,90,False
2021-10-24,0,10,2,72,77,False
2021-10-31,0,8,1,69,64,False
2021-11-07,0,11,2,59,73,False
2021-11-14,0,16,3,60,68,False
2021-11-21,0,6,3,52,63,False
2021-11-28,0,8,3,53,85,False
2021-12-05,0,7,2,69,76,False
2021-12-12,0,9,2,63,71,False
2021-12-19,0,12,0,50,66,False
2021-12-26,0,10,1,52,57,False
2022-01-02,0,14,1,58,54,False
2022-01-09,0,12,5,64,76,False
2022-01-16,0,14,2,56,82,False
2022-01-23,0,11,4,61,74,False
2022-01-30,0,13,5,55,80,False
2022-02-06,0,11,3,53,78,False
2022-02-13,0,21,5,65,74,False
2022-02-20,0,12,2,66,83,False
2022-02-27,0,7,2,66,80,False
2022-03-06,0,7,3,66,82,False
2022-03-13,0,14,1,58,86,False
2022-03-20,0,13,3,47,68,False
2022-03-27,0,13,3,71,68,False
2022-04-03,0,12,3,66,85,False
2022-04-10,0,8,6,56,77,False
2022-04-17,0,8,3,63,88,False
2022-04-24,0,11,1,58,82,False
2022-05-01,0,7,3,50,69,False
2022-05-08,0,10,2,55,75,False
2022-05-15,0,8,1,57,72,False
2022-05-22,0,0,0,0,0,True
