date,glucose monitor,glucose test strip,glucose tolerance test,HbA1c,diabetes causes,isPartial
2017-05-28,20,2,31,27,57,False
2017-06-04,28,3,36,26,65,False
2017-06-11,23,1,25,35,69,False
2017-06-18,22,3,32,27,81,False
2017-06-25,20,2,30,30,72,False
2017-07-02,20,2,25,26,83,False
2017-07-09,26,2,34,34,84,False
2017-07-16,25,2,31,33,82,False
2017-07-23,24,2,33,31,87,False
2017-07-30,27,1,37,37,71,False
2017-08-06,23,3,32,36,68,False
2017-08-13,30,1,33,37,64,False
2017-08-20,24,3,33,24,66,False
2017-08-27,26,1,30,24,60,False
2017-09-03,27,3,28,32,65,False
2017-09-10,32,0,23,28,73,False
2017-09-17,30,3,24,37,83,False
2017-09-24,32,3,28,35,74,False
2017-10-01,29,2,33,32,81,False
2017-10-08,23,3,36,37,78,False
2017-10-15,23,4,32,34,76,False
2017-10-22,23,3,39,32,86,False
2017-10-29,22,2,36,35,91,False
2017-11-05,30,3,33,36,78,False
2017-11-12,33,3,31,37,92,False
2017-11-19,22,3,27,22,65,False
2017-11-26,33,2,29,28,85,False
2017-12-03,26,3,34,34,93,False
2017-12-10,25,2,28,35,85,False
2017-12-17,25,4,27,24,61,False
2017-12-24,27,2,25,20,60,False
2017-12-31,19,0,20,22,60,False
2018-01-07,30,1,32,28,67,False
2018-01-14,29,2,30,26,74,False
2018-01-21,31,2,35,29,84,False
2018-01-28,32,4,29,33,78,False
2018-02-04,34,4,34,36,80,False
2018-02-11,39,4,26,33,77,False
2018-02-18,31,3,37,29,86,False
2018-02-25,43,2,37,35,92,False
2018-03-04,35,4,35,39,88,False
2018-03-11,39,1,40,29,76,False
2018-03-18,37,3,27,36,79,False
2018-03-25,30,3,32,36,93,False
2018-04-01,33,2,33,35,84,False
2018-04-08,32,2,35,30,90,False
2018-04-15,37,3,33,29,85,False
2018-04-22,30,4,33,41,78,False
2018-04-29,40,2,28,27,74,False
2018-05-06,34,2,36,30,83,False
2018-05-13,33,2,34,26,68,False
2018-05-20,29,0,31,23,60,False
2018-05-27,28,2,32,24,80,False
2018-06-03,31,3,28,31,62,False
2018-06-10,36,2,28,27,58,False
2018-06-17,31,3,28,34,60,False
2018-06-24,28,1,34,31,60,False
2018-07-01,39,2,34,25,50,False
2018-07-08,53,2,40,33,72,False
2018-07-15,56,1,32,40,67,False
2018-07-22,43,1,38,28,68,False
2018-07-29,30,1,34,31,67,False
2018-08-05,38,3,28,41,62,False
2018-08-12,37,3,29,30,62,False
2018-08-19,46,2,36,35,62,False
2018-08-26,34,2,37,27,66,False
2018-09-02,34,4,22,20,64,False
2018-09-09,38,4,26,27,65,False
2018-09-16,44,2,33,37,87,False
2018-09-23,36,4,33,31,73,False
2018-09-30,36,4,30,38,85,False
2018-10-07,32,1,31,35,84,False
2018-10-14,39,2,30,28,75,False
2018-10-21,30,3,32,37,78,False
2018-10-28,42,2,38,39,85,False
2018-11-04,37,3,31,43,82,False
2018-11-11,45,4,33,25,85,False
2018-11-18,36,2,22,29,83,False
2018-11-25,35,2,28,32,91,False
2018-12-02,36,2,29,38,89,False
2018-12-09,32,3,32,35,82,False
2018-12-16,28,1,33,29,77,False
2018-12-23,28,3,14,22,61,False
2018-12-30,29,2,20,21,74,False
2019-01-06,37,3,40,32,67,False
2019-01-13,37,3,37,39,78,False
2019-01-20,37,3,23,33,74,False
2019-01-27,34,4,29,28,84,False
2019-02-03,39,2,30,29,82,False
2019-02-10,36,1,29,35,81,False
2019-02-17,35,1,28,37,89,False
2019-02-24,44,2,31,37,78,False
2019-03-03,39,4,28,35,91,False
2019-03-10,39,2,31,39,86,False
2019-03-17,40,2,31,33,94,False
2019-03-24,34,2,31,35,85,False
2019-03-31,39,3,34,27,85,False
2019-04-07,47,1,33,36,97,False
2019-04-14,43,5,37,29,84,False
2019-04-21,40,1,29,32,95,False
2019-04-28,28,4,30,34,85,False
2019-05-05,33,4,29,33,100,False
2019-05-12,34,2,33,34,83,False
2019-05-19,43,2,27,34,67,False
2019-05-26,35,3,28,27,74,False
2019-06-02,33,1,31,28,68,False
2019-06-09,38,1,27,34,63,False
2019-06-16,31,0,27,32,73,False
2019-06-23,36,2,34,35,65,False
2019-06-30,31,1,25,28,57,False
2019-07-07,38,3,31,38,68,False
2019-07-14,37,1,27,36,67,False
2019-07-21,35,2,35,24,70,False
2019-07-28,48,1,35,26,58,False
2019-08-04,39,0,32,32,63,False
2019-08-11,36,0,31,33,58,False
2019-08-18,30,3,28,33,59,False
2019-08-25,39,1,24,31,77,False
2019-09-01,36,1,24,26,66,False
2019-09-08,33,3,29,31,72,False
2019-09-15,35,0,29,33,64,False
2019-09-22,32,3,27,42,76,False
2019-09-29,35,4,30,34,91,False
2019-10-06,32,1,36,33,78,False
2019-10-13,35,2,29,39,76,False
2019-10-20,33,2,31,35,86,False
2019-10-27,42,1,32,30,81,False
2019-11-03,40,3,23,38,80,False
2019-11-10,39,2,33,37,84,False
2019-11-17,50,4,30,42,88,False
2019-11-24,40,1,19,24,62,False
2019-12-01,48,3,29,35,89,False
2019-12-08,39,1,37,36,86,False
2019-12-15,38,2,19,32,65,False
2019-12-22,37,2,15,25,62,False
2019-12-29,34,2,26,22,70,False
2020-01-05,45,1,24,31,72,False
2020-01-12,40,2,24,29,66,False
2020-01-19,38,4,29,32,67,False
2020-01-26,41,1,29,35,76,False
2020-02-02,44,3,26,33,84,False
2020-02-09,44,2,26,34,82,False
2020-02-16,43,2,22,32,76,False
2020-02-23,43,2,26,39,86,False
2020-03-01,45,2,29,35,77,False
2020-03-08,41,2,24,29,66,False
2020-03-15,32,3,23,21,62,False
2020-03-22,31,3,21,25,64,False
2020-03-29,32,1,23,26,70,False
2020-04-05,32,2,28,25,90,False
2020-04-12,32,2,18,25,75,False
2020-04-19,38,2,28,32,87,False
2020-04-26,35,1,30,31,83,False
2020-05-03,39,1,30,26,77,False
2020-05-10,37,3,24,22,66,False
2020-05-17,40,1,26,31,71,False
2020-05-24,37,3,27,23,69,False
2020-05-31,43,3,27,26,59,False
2020-06-07,37,2,32,29,63,False
2020-06-14,40,3,22,34,69,False
2020-06-21,40,2,30,34,79,False
2020-06-28,35,2,29,31,65,False
2020-07-05,42,2,28,35,69,False
2020-07-12,40,3,27,36,75,False
2020-07-19,42,2,26,31,80,False
2020-07-26,47,2,25,30,60,False
2020-08-02,51,0,24,34,71,False
2020-08-09,48,1,25,35,78,False
2020-08-16,47,1,29,28,82,False
2020-08-23,47,3,28,31,70,False
2020-08-30,40,2,27,35,74,False
2020-09-06,34,2,23,31,65,False
2020-09-13,45,2,31,35,76,False
2020-09-20,41,2,23,40,88,False
2020-09-27,47,2,31,29,81,False
2020-10-04,46,3,24,39,79,False
2020-10-11,50,6,26,40,81,False
2020-10-18,54,0,29,38,86,False
2020-10-25,51,1,17,48,74,False
2020-11-01,38,2,26,29,63,False
2020-11-08,47,1,22,39,80,False
2020-11-15,50,2,30,36,90,False
2020-11-22,51,0,22,33,68,False
2020-11-29,49,3,26,29,76,False
2020-12-06,52,2,26,42,76,False
2020-12-13,42,1,22,34,73,False
2020-12-20,45,1,19,26,51,False
2020-12-27,43,3,18,19,54,False
2021-01-03,52,0,24,22,55,False
2021-01-10,49,3,27,24,69,False
2021-01-17,59,3,22,32,68,False
2021-01-24,63,2,28,40,80,False
2021-01-31,62,4,19,35,77,False
2021-02-07,67,3,30,31,82,False
2021-02-14,61,2,22,34,76,False
2021-02-21,53,3,32,41,90,False
2021-02-28,62,2,29,35,95,False
2021-03-07,66,3,32,39,79,False
2021-03-14,53,2,20,38,64,False
2021-03-21,52,1,25,33,78,False
2021-03-28,62,3,23,35,70,False
2021-04-04,52,3,27,39,77,False
2021-04-11,57,3,20,40,86,False
2021-04-18,59,1,22,43,75,False
2021-04-25,58,4,25,32,75,False
2021-05-02,62,4,21,29,76,False
2021-05-09,62,1,18,44,65,False
2021-05-16,54,2,20,38,66,False
2021-05-23,49,1,20,29,77,False
2021-05-30,54,1,19,38,58,False
2021-06-06,62,2,21,32,77,False
2021-06-13,51,3,21,33,70,False
2021-06-20,67,2,24,31,71,False
2021-06-27,64,2,23,40,68,False
2021-07-04,58,3,22,33,71,False
2021-07-11,65,3,23,33,66,False
2021-07-18,63,3,20,40,60,False
2021-07-25,58,2,16,33,63,False
2021-08-01,56,2,17,37,63,False
2021-08-08,50,0,14,36,64,False
2021-08-15,60,3,18,46,68,False
2021-08-22,63,2,20,37,61,False
2021-08-29,59,3,15,36,66,False
2021-09-05,55,2,20,30,63,False
2021-09-12,64,5,24,38,73,False
2021-09-19,63,3,18,33,75,False
2021-09-26,64,4,20,33,79,False
2021-10-03,58,5,17,44,80,False
2021-10-10,74,5,20,41,73,False
2021-10-17,59,1,20,47,90,False
2021-10-24,69,2,18,40,77,False
2021-10-31,67,0,19,43,64,False
2021-11-07,66,2,21,39,73,False
2021-11-14,65,1,26,40,68,False
2021-11-21,52,3,17,36,63,False
2021-11-28,66,4,23,40,85,False
2021-12-05,62,1,18,37,76,False
2021-12-12,63,2,20,28,71,False
2021-12-19,41,2,9,28,66,False
2021-12-26,61,2,16,30,57,False
2022-01-02,64,2,18,36,54,False
2022-01-09,65,1,21,28,76,False
2022-01-16,68,1,18,32,82,False
2022-01-23,72,4,24,48,74,False
2022-01-30,74,2,19,41,80,False
2022-02-06,70,2,21,41,78,False
2022-02-13,73,2,21,36,74,False
2022-02-20,71,6,22,35,83,False
2022-02-27,64,1,21,48,80,False
2022-03-06,70,3,24,49,82,False
2022-03-13,70,1,17,42,86,False
2022-03-20,58,3,19,46,68,False
2022-03-27,68,3,21,44,68,False
2022-04-03,66,5,24,34,85,False
2022-04-10,60,2,19,48,77,False
2022-04-17,69,3,18,37,88,False
2022-04-24,73,3,23,46,82,False
2022-05-01,62,1,22,32,69,False
2022-05-08,70,1,20,41,75,False
2022-05-15,63,1,25,38,72,False
2022-05-22,0,0,0,0,0,True
