date,HemoglobinA1c,high glucose,iv glucose tolerance test,lifescan,diabetes causes,isPartial
2017-05-28,0,49,0,3,32,False
2017-06-04,0,49,0,4,36,False
2017-06-11,0,49,0,6,38,False
2017-06-18,0,41,0,3,45,False
2017-06-25,0,42,0,5,40,False
2017-07-02,0,43,0,5,47,False
2017-07-09,0,36,0,6,47,False
2017-07-16,1,50,0,4,46,False
2017-07-23,0,40,0,7,48,False
2017-07-30,0,40,0,5,40,False
2017-08-06,0,45,0,6,38,False
2017-08-13,0,43,0,6,36,False
2017-08-20,0,44,0,6,37,False
2017-08-27,0,52,0,5,34,False
2017-09-03,0,43,0,3,37,False
2017-09-10,0,48,0,4,41,False
2017-09-17,1,58,0,3,47,False
2017-09-24,0,63,0,5,41,False
2017-10-01,0,57,0,5,45,False
2017-10-08,0,60,0,4,44,False
2017-10-15,0,61,0,4,42,False
2017-10-22,0,54,0,4,48,False
2017-10-29,0,64,0,4,51,False
2017-11-05,0,67,0,5,44,False
2017-11-12,0,62,0,8,51,False
2017-11-19,0,52,0,3,37,False
2017-11-26,1,54,0,3,48,False
2017-12-03,0,59,0,6,52,False
2017-12-10,0,49,0,3,48,False
2017-12-17,0,40,0,3,34,False
2017-12-24,0,35,0,4,34,False
2017-12-31,0,39,0,4,34,False
2018-01-07,0,54,0,4,38,False
2018-01-14,0,48,0,5,42,False
2018-01-21,0,52,0,3,47,False
2018-01-28,0,62,0,6,44,False
2018-02-04,0,58,0,6,45,False
2018-02-11,0,59,0,3,43,False
2018-02-18,0,62,0,6,48,False
2018-02-25,0,60,0,4,52,False
2018-03-04,0,60,0,5,49,False
2018-03-11,0,54,0,8,43,False
2018-03-18,0,55,0,6,44,False
2018-03-25,0,56,0,5,52,False
2018-04-01,0,62,0,3,47,False
2018-04-08,0,63,0,4,50,False
2018-04-15,0,64,0,3,48,False
2018-04-22,0,65,0,4,43,False
2018-04-29,0,53,0,5,41,False
2018-05-06,0,56,0,5,46,False
2018-05-13,0,45,0,4,38,False
2018-05-20,0,59,0,5,34,False
