date,normal blood glucose levels,normal glucose tolerance,oral glucose challenge,Oral glucose tolerance test,diabetes causes,isPartial
2017-05-28,18,3,0,2,57,False
2017-06-04,14,4,0,1,65,False
2017-06-11,22,1,0,3,69,False
2017-06-18,17,1,0,2,81,False
2017-06-25,15,1,0,4,72,False
2017-07-02,19,3,0,0,83,False
2017-07-09,13,2,0,2,84,False
2017-07-16,17,3,0,1,82,False
2017-07-23,21,1,0,2,87,False
2017-07-30,18,3,0,2,71,False
2017-08-06,12,2,0,2,68,False
2017-08-13,16,2,0,2,64,False
2017-08-20,11,0,0,3,66,False
2017-08-27,13,2,0,2,60,False
2017-09-03,16,2,0,3,65,False
2017-09-10,20,2,0,1,73,False
2017-09-17,22,2,0,1,83,False
2017-09-24,19,3,0,2,74,False
2017-10-01,22,2,0,2,81,False
2017-10-08,23,3,0,2,78,False
2017-10-15,19,2,0,4,76,False
2017-10-22,18,3,0,3,86,False
2017-10-29,23,2,0,0,91,False
2017-11-05,25,3,0,3,78,False
2017-11-12,32,1,0,4,92,False
2017-11-19,26,0,0,2,65,False
2017-11-26,26,2,0,2,85,False
2017-12-03,24,3,0,0,93,False
2017-12-10,26,3,0,1,85,False
2017-12-17,16,1,0,1,61,False
2017-12-24,13,2,0,1,60,False
2017-12-31,19,3,0,1,60,False
2018-01-07,17,1,0,1,67,False
2018-01-14,14,3,0,1,74,False
2018-01-21,25,4,0,2,84,False
2018-01-28,28,1,0,2,78,False
2018-02-04,21,2,0,2,80,False
2018-02-11,15,3,0,2,77,False
2018-02-18,27,4,0,2,86,False
2018-02-25,20,4,0,2,92,False
2018-03-04,17,6,0,3,88,False
2018-03-11,14,3,0,3,76,False
2018-03-18,18,3,0,0,79,False
2018-03-25,19,2,0,2,93,False
2018-04-01,25,2,0,2,84,False
2018-04-08,15,4,0,4,90,False
2018-04-15,22,1,0,3,85,False
2018-04-22,21,3,0,4,78,False
2018-04-29,19,2,0,3,74,False
2018-05-06,19,1,0,2,83,False
2018-05-13,16,3,0,2,68,False
2018-05-20,17,4,0,1,60,False
2018-05-27,11,2,0,2,80,False
2018-06-03,19,1,0,1,62,False
2018-06-10,18,2,0,2,58,False
2018-06-17,15,2,0,2,60,False
2018-06-24,15,3,0,2,60,False
2018-07-01,8,2,0,2,50,False
2018-07-08,19,4,0,3,72,False
2018-07-15,15,2,0,2,67,False
2018-07-22,15,3,0,2,68,False
2018-07-29,12,2,0,2,67,False
2018-08-05,18,4,0,1,62,False
2018-08-12,16,3,0,1,62,False
2018-08-19,14,2,0,4,62,False
2018-08-26,23,3,0,4,66,False
2018-09-02,17,1,0,4,64,False
2018-09-09,18,2,0,3,65,False
2018-09-16,25,2,0,1,87,False
2018-09-23,23,2,0,2,73,False
2018-09-30,19,2,0,4,85,False
2018-10-07,18,3,0,3,84,False
2018-10-14,22,4,0,3,75,False
2018-10-21,20,4,0,1,78,False
2018-10-28,19,3,0,5,85,False
2018-11-04,25,4,0,2,82,False
2018-11-11,21,4,0,4,85,False
2018-11-18,13,2,0,2,83,False
2018-11-25,23,4,0,3,91,False
2018-12-02,17,5,0,1,89,False
2018-12-09,22,4,0,1,82,False
2018-12-16,12,2,0,3,77,False
2018-12-23,6,2,0,1,61,False
2018-12-30,13,3,0,1,74,False
2019-01-06,19,4,0,0,67,False
2019-01-13,19,4,0,2,78,False
2019-01-20,25,2,0,1,74,False
2019-01-27,22,3,0,3,84,False
2019-02-03,17,3,0,2,82,False
2019-02-10,18,5,0,2,81,False
2019-02-17,19,3,0,3,89,False
2019-02-24,19,3,0,0,78,False
2019-03-03,24,3,0,4,91,False
2019-03-10,22,6,0,4,86,False
2019-03-17,24,4,0,3,94,False
2019-03-24,21,6,0,2,85,False
2019-03-31,22,4,0,2,85,False
2019-04-07,23,3,0,2,97,False
2019-04-14,21,5,0,4,84,False
2019-04-21,18,4,0,1,95,False
2019-04-28,18,1,0,2,85,False
2019-05-05,16,3,0,2,100,False
2019-05-12,15,4,0,2,83,False
2019-05-19,18,2,0,1,67,False
2019-05-26,16,4,0,2,74,False
2019-06-02,17,3,0,2,68,False
2019-06-09,20,4,0,1,63,False
2019-06-16,23,3,0,2,73,False
2019-06-23,17,4,0,1,65,False
2019-06-30,18,4,0,2,57,False
2019-07-07,21,2,0,1,68,False
2019-07-14,15,2,0,2,67,False
2019-07-21,17,2,0,3,70,False
2019-07-28,17,3,0,2,58,False
2019-08-04,12,2,0,1,63,False
2019-08-11,10,3,0,1,58,False
2019-08-18,14,2,0,1,59,False
2019-08-25,16,1,0,1,77,False
2019-09-01,18,2,0,1,66,False
2019-09-08,22,2,0,4,72,False
2019-09-15,23,3,0,4,64,False
2019-09-22,25,4,0,4,76,False
2019-09-29,22,3,0,3,91,False
2019-10-06,18,2,0,1,78,False
2019-10-13,22,3,0,2,76,False
2019-10-20,19,4,0,3,86,False
2019-10-27,21,6,0,4,81,False
2019-11-03,27,3,0,2,80,False
2019-11-10,16,1,0,3,84,False
2019-11-17,22,2,0,3,88,False
2019-11-24,15,3,0,2,62,False
2019-12-01,19,5,0,3,89,False
