date,plasma concentration,plasma glucose,post glucose tolerance test,post prandial glucose,diabetes causes,isPartial
2017-05-28,6,5,0,1,57,False
2017-06-04,7,10,0,0,65,False
2017-06-11,9,8,0,1,69,False
2017-06-18,10,8,0,0,81,False
2017-06-25,5,4,0,1,72,False
2017-07-02,5,7,0,1,83,False
2017-07-09,6,8,0,0,84,False
2017-07-16,7,4,0,0,82,False
2017-07-23,6,6,0,1,87,False
2017-07-30,4,5,0,1,71,False
2017-08-06,3,4,0,1,68,False
2017-08-13,6,5,0,0,64,False
2017-08-20,4,5,0,1,66,False
2017-08-27,13,13,0,1,60,False
2017-09-03,18,14,0,1,65,False
2017-09-10,20,12,0,1,73,False
2017-09-17,27,16,0,0,83,False
2017-09-24,27,14,0,0,74,False
2017-10-01,20,10,0,0,81,False
2017-10-08,20,14,0,1,78,False
2017-10-15,20,11,0,1,76,False
2017-10-22,15,6,0,0,86,False
2017-10-29,17,9,0,2,91,False
2017-11-05,22,12,0,1,78,False
2017-11-12,16,13,0,0,92,False
2017-11-19,8,10,0,0,65,False
2017-11-26,17,14,0,2,85,False
2017-12-03,15,10,0,1,93,False
2017-12-10,16,10,0,1,85,False
2017-12-17,8,6,0,1,61,False
2017-12-24,4,3,0,1,60,False
2017-12-31,4,4,0,2,60,False
2018-01-07,14,8,0,0,67,False
2018-01-14,9,8,0,0,74,False
2018-01-21,16,10,0,1,84,False
2018-01-28,20,8,0,0,78,False
2018-02-04,19,17,0,1,80,False
2018-02-11,20,9,0,2,77,False
2018-02-18,17,17,0,1,86,False
2018-02-25,16,15,0,1,92,False
2018-03-04,17,11,0,1,88,False
2018-03-11,9,8,0,0,76,False
2018-03-18,9,9,0,1,79,False
2018-03-25,11,9,0,0,93,False
2018-04-01,12,6,0,0,84,False
2018-04-08,10,13,0,1,90,False
2018-04-15,14,12,0,1,85,False
2018-04-22,13,12,0,0,78,False
2018-04-29,8,11,0,0,74,False
2018-05-06,8,6,0,0,83,False
2018-05-13,7,3,0,1,68,False
2018-05-20,9,7,0,0,60,False
2018-05-27,6,9,0,0,80,False
2018-06-03,8,7,0,0,62,False
2018-06-10,6,5,0,1,58,False
2018-06-17,11,7,0,0,60,False
2018-06-24,5,5,0,1,60,False
2018-07-01,6,6,0,1,50,False
2018-07-08,8,7,0,1,72,False
2018-07-15,2,7,0,1,67,False
2018-07-22,5,6,0,1,68,False
2018-07-29,4,4,0,1,67,False
2018-08-05,3,4,0,1,62,False
2018-08-12,4,5,0,2,62,False
2018-08-19,8,7,0,0,62,False
2018-08-26,17,9,0,0,66,False
2018-09-02,16,11,0,2,64,False
2018-09-09,20,17,0,1,65,False
2018-09-16,25,17,0,2,87,False
2018-09-23,32,21,0,2,73,False
2018-09-30,26,13,0,1,85,False
2018-10-07,21,14,0,2,84,False
2018-10-14,19,13,0,0,75,False
2018-10-21,18,8,0,2,78,False
2018-10-28,18,14,0,1,85,False
2018-11-04,16,10,0,2,82,False
2018-11-11,14,12,0,1,85,False
2018-11-18,10,8,0,1,83,False
2018-11-25,14,10,0,1,91,False
2018-12-02,19,9,0,1,89,False
2018-12-09,14,12,0,0,82,False
2018-12-16,11,8,0,0,77,False
2018-12-23,2,2,0,1,61,False
2018-12-30,2,4,0,0,74,False
2019-01-06,9,6,0,1,67,False
2019-01-13,15,8,0,1,78,False
2019-01-20,12,10,0,1,74,False
2019-01-27,18,17,0,0,84,False
2019-02-03,16,13,0,0,82,False
2019-02-10,23,16,0,1,81,False
2019-02-17,16,12,0,1,89,False
2019-02-24,15,14,0,1,78,False
2019-03-03,15,14,0,0,91,False
2019-03-10,15,10,0,0,86,False
2019-03-17,15,12,0,0,94,False
2019-03-24,13,14,0,0,85,False
