date,Post-prandial glucose,PPG,urine glucose,Acarbose,diabetes causes,isPartial
2017-05-28,0,77,4,1,10,False
2017-06-04,0,83,4,1,12,False
2017-06-11,0,74,5,1,12,False
2017-06-18,0,60,4,2,14,False
2017-06-25,0,66,5,0,13,False
2017-07-02,0,58,4,1,15,False
2017-07-09,0,57,4,1,15,False
2017-07-16,0,59,4,1,15,False
2017-07-23,0,60,3,1,15,False
2017-07-30,0,58,4,2,13,False
2017-08-06,0,58,4,2,12,False
2017-08-13,0,58,4,1,12,False
2017-08-20,0,69,5,1,12,False
2017-08-27,0,56,5,2,11,False
2017-09-03,0,52,4,2,12,False
2017-09-10,0,61,4,2,13,False
2017-09-17,0,74,4,2,15,False
2017-09-24,0,72,6,1,13,False
2017-10-01,0,60,4,1,14,False
2017-10-08,0,71,5,2,14,False
2017-10-15,0,67,4,2,14,False
2017-10-22,0,69,5,1,15,False
2017-10-29,0,67,5,1,16,False
2017-11-05,0,68,6,2,14,False
2017-11-12,0,68,6,3,16,False
2017-11-19,0,63,5,1,12,False
2017-11-26,0,74,7,2,15,False
2017-12-03,0,62,6,2,17,False
2017-12-10,0,67,5,1,15,False
2017-12-17,0,65,4,2,11,False
2017-12-24,0,58,3,2,11,False
2017-12-31,0,55,3,2,11,False
2018-01-07,0,66,5,2,12,False
2018-01-14,0,71,5,1,13,False
2018-01-21,0,76,5,2,15,False
2018-01-28,0,75,7,2,14,False
2018-02-04,0,74,6,2,14,False
2018-02-11,0,76,6,2,14,False
2018-02-18,0,61,5,2,15,False
2018-02-25,0,73,6,2,17,False
2018-03-04,0,76,6,2,16,False
2018-03-11,0,100,6,2,14,False
2018-03-18,0,72,6,2,14,False
2018-03-25,0,70,6,2,17,False
2018-04-01,0,70,6,2,15,False
2018-04-08,0,70,9,3,16,False
2018-04-15,0,65,9,3,15,False
2018-04-22,0,73,9,2,14,False
2018-04-29,0,70,7,2,13,False
2018-05-06,0,69,6,2,15,False
2018-05-13,0,62,5,1,12,False
2018-05-20,0,58,5,2,11,False
2018-05-27,0,80,4,2,14,False
2018-06-03,0,75,5,2,11,False
2018-06-10,0,68,5,1,10,False
2018-06-17,0,61,6,2,11,False
2018-06-24,0,61,5,2,11,False
2018-07-01,0,60,5,1,9,False
2018-07-08,0,72,7,2,13,False
2018-07-15,0,83,5,1,12,False
2018-07-22,0,76,6,2,12,False
2018-07-29,0,64,5,2,12,False
2018-08-05,0,63,6,1,11,False
2018-08-12,0,60,5,2,11,False
2018-08-19,0,56,4,1,11,False
2018-08-26,0,54,4,2,12,False
2018-09-02,0,58,6,1,11,False
2018-09-09,0,57,6,2,12,False
2018-09-16,0,66,5,1,16,False
2018-09-23,0,67,6,1,13,False
2018-09-30,0,62,7,2,15,False
2018-10-07,0,80,5,1,15,False
2018-10-14,0,71,7,2,14,False
2018-10-21,0,73,6,1,14,False
2018-10-28,0,83,6,2,15,False
2018-11-04,0,70,8,2,15,False
2018-11-11,0,78,6,2,15,False
2018-11-18,0,70,4,1,15,False
2018-11-25,0,69,6,1,16,False
2018-12-02,0,70,7,2,16,False
2018-12-09,0,66,5,1,15,False
2018-12-16,0,67,5,1,14,False
2018-12-23,0,77,3,1,11,False
2018-12-30,0,70,3,1,13,False
2019-01-06,0,75,5,2,12,False
2019-01-13,0,73,6,2,14,False
2019-01-20,0,72,5,2,13,False
2019-01-27,0,71,6,2,15,False
2019-02-03,0,70,5,2,15,False
2019-02-10,0,74,7,1,14,False
2019-02-17,0,76,5,2,16,False
2019-02-24,0,73,7,2,14,False
2019-03-03,0,75,6,2,16,False
2019-03-10,0,82,7,2,15,False
2019-03-17,0,89,6,1,17,False
2019-03-24,0,80,6,2,15,False
2019-03-31,0,76,6,2,15,False
2019-04-07,0,69,7,2,17,False
2019-04-14,0,73,9,2,15,False
2019-04-21,0,68,8,2,17,False
2019-04-28,0,68,8,1,15,False
2019-05-05,0,67,7,2,18,False
