date,diabetes diagnosis,diabetes exercise,diabetes high risk,diabetes information,diabetes causes,isPartial
2017-05-28,11,17,1,5,57,False
2017-06-04,23,17,6,8,65,False
2017-06-11,19,16,4,6,69,False
2017-06-18,20,14,2,6,81,False
2017-06-25,24,17,6,7,72,False
2017-07-02,23,24,2,8,83,False
2017-07-09,25,15,5,7,84,False
2017-07-16,14,10,6,5,82,False
2017-07-23,23,12,5,6,87,False
2017-07-30,26,18,4,7,71,False
2017-08-06,18,11,4,5,68,False
2017-08-13,23,13,5,4,64,False
2017-08-20,21,15,3,7,66,False
2017-08-27,21,12,4,7,60,False
2017-09-03,20,13,6,6,65,False
2017-09-10,23,18,5,9,73,False
2017-09-17,23,14,8,10,83,False
2017-09-24,27,21,5,7,74,False
2017-10-01,29,18,7,9,81,False
2017-10-08,30,24,4,12,78,False
2017-10-15,33,24,7,14,76,False
2017-10-22,30,20,4,8,86,False
2017-10-29,30,21,6,11,91,False
2017-11-05,31,28,7,13,78,False
2017-11-12,38,35,6,15,92,False
2017-11-19,17,14,4,6,65,False
2017-11-26,33,23,5,16,85,False
2017-12-03,25,26,7,10,93,False
2017-12-10,22,22,6,8,85,False
2017-12-17,15,16,2,4,61,False
2017-12-24,10,9,2,1,60,False
2017-12-31,15,15,1,7,60,False
2018-01-07,21,16,4,7,67,False
2018-01-14,21,16,5,6,74,False
2018-01-21,24,16,3,9,84,False
2018-01-28,29,21,5,7,78,False
2018-02-04,32,22,5,8,80,False
2018-02-11,29,19,5,11,77,False
2018-02-18,29,22,4,11,86,False
2018-02-25,29,17,6,14,92,False
2018-03-04,35,21,7,12,88,False
2018-03-11,34,23,3,8,76,False
2018-03-18,36,15,1,10,79,False
2018-03-25,30,21,7,14,93,False
2018-04-01,35,23,7,9,84,False
2018-04-08,36,26,5,11,90,False
2018-04-15,29,27,6,9,85,False
2018-04-22,26,23,6,12,78,False
2018-04-29,33,27,5,9,74,False
2018-05-06,27,17,4,11,83,False
2018-05-13,19,17,3,9,68,False
2018-05-20,20,12,5,10,60,False
2018-05-27,26,21,4,7,80,False
2018-06-03,21,17,7,9,62,False
2018-06-10,24,17,6,8,58,False
2018-06-17,23,15,4,5,60,False
2018-06-24,24,13,2,5,60,False
2018-07-01,22,19,2,5,50,False
2018-07-08,24,17,3,6,72,False
2018-07-15,24,22,5,7,67,False
2018-07-22,26,13,6,6,68,False
2018-07-29,22,13,4,6,67,False
2018-08-05,23,15,4,10,62,False
2018-08-12,26,17,2,8,62,False
2018-08-19,20,18,4,5,62,False
2018-08-26,22,12,4,12,66,False
2018-09-02,21,16,2,8,64,False
2018-09-09,27,20,2,11,65,False
2018-09-16,28,17,3,11,87,False
2018-09-23,31,21,7,11,73,False
2018-09-30,32,21,3,11,85,False
2018-10-07,30,14,8,13,84,False
2018-10-14,29,19,7,10,75,False
2018-10-21,29,26,7,11,78,False
2018-10-28,35,20,8,11,85,False
2018-11-04,39,27,4,14,82,False
2018-11-11,34,32,6,11,85,False
2018-11-18,28,16,4,6,83,False
2018-11-25,27,23,7,8,91,False
2018-12-02,32,29,5,13,89,False
2018-12-09,28,26,6,8,82,False
2018-12-16,29,18,4,6,77,False
2018-12-23,11,13,3,4,61,False
2018-12-30,15,12,3,7,74,False
2019-01-06,23,15,6,12,67,False
2019-01-13,22,20,4,6,78,False
2019-01-20,21,19,4,11,74,False
2019-01-27,31,23,6,11,84,False
2019-02-03,30,17,5,7,82,False
2019-02-10,32,19,9,9,81,False
