date,ACTOS,alogliptin,alpha-glucosidase inhibitors,Apidra,diabetes causes,isPartial
2017-05-28,39,5,0,8,57,False
2017-06-04,41,4,0,9,65,False
2017-06-11,45,7,0,6,69,False
2017-06-18,41,5,0,5,81,False
2017-06-25,32,4,0,7,72,False
2017-07-02,33,3,0,5,83,False
2017-07-09,43,7,1,4,84,False
2017-07-16,45,7,0,5,82,False
2017-07-23,42,6,0,8,87,False
2017-07-30,39,5,0,13,71,False
2017-08-06,37,4,0,9,68,False
2017-08-13,45,5,0,10,64,False
2017-08-20,33,5,0,8,66,False
2017-08-27,40,3,0,6,60,False
2017-09-03,36,7,0,7,65,False
2017-09-10,44,5,0,7,73,False
2017-09-17,45,7,0,7,83,False
2017-09-24,38,4,0,8,74,False
2017-10-01,29,6,1,6,81,False
2017-10-08,39,4,0,8,78,False
2017-10-15,46,10,0,9,76,False
2017-10-22,52,4,0,9,86,False
2017-10-29,52,5,0,9,91,False
2017-11-05,43,6,0,8,78,False
2017-11-12,44,3,0,7,92,False
2017-11-19,42,8,0,7,65,False
2017-11-26,35,4,1,6,85,False
2017-12-03,45,5,1,4,93,False
2017-12-10,45,3,0,9,85,False
2017-12-17,43,3,0,8,61,False
2017-12-24,32,5,0,7,60,False
2017-12-31,36,6,0,7,60,False
2018-01-07,42,7,0,7,67,False
2018-01-14,47,5,0,13,74,False
2018-01-21,44,5,0,11,84,False
2018-01-28,46,8,0,8,78,False
2018-02-04,51,5,0,4,80,False
2018-02-11,45,4,0,8,77,False
2018-02-18,44,5,0,6,86,False
2018-02-25,42,6,0,11,92,False
2018-03-04,37,5,0,10,88,False
2018-03-11,35,7,0,11,76,False
2018-03-18,50,6,0,7,79,False
2018-03-25,48,5,0,9,93,False
2018-04-01,41,3,0,9,84,False
2018-04-08,45,6,0,10,90,False
2018-04-15,50,5,0,10,85,False
2018-04-22,47,6,0,6,78,False
2018-04-29,40,6,1,9,74,False
2018-05-06,46,9,0,7,83,False
2018-05-13,40,7,0,9,68,False
2018-05-20,34,7,0,5,60,False
2018-05-27,39,9,0,6,80,False
2018-06-03,37,7,0,10,62,False
2018-06-10,40,5,0,10,58,False
2018-06-17,40,6,0,11,60,False
2018-06-24,40,7,0,8,60,False
2018-07-01,32,5,0,7,50,False
2018-07-08,41,8,0,8,72,False
2018-07-15,34,9,0,5,67,False
2018-07-22,43,6,0,7,68,False
2018-07-29,33,8,0,9,67,False
2018-08-05,33,11,1,10,62,False
2018-08-12,34,7,0,9,62,False
2018-08-19,33,6,0,7,62,False
2018-08-26,39,5,1,7,66,False
2018-09-02,45,6,0,7,64,False
2018-09-09,42,4,0,8,65,False
2018-09-16,43,5,0,7,87,False
2018-09-23,42,6,1,5,73,False
2018-09-30,41,6,0,10,85,False
2018-10-07,45,6,1,9,84,False
2018-10-14,44,7,0,6,75,False
2018-10-21,38,9,0,8,78,False
2018-10-28,44,9,1,8,85,False
2018-11-04,36,8,1,5,82,False
2018-11-11,42,7,0,6,85,False
2018-11-18,37,6,0,7,83,False
2018-11-25,47,4,0,6,91,False
2018-12-02,38,7,0,7,89,False
2018-12-09,42,11,0,7,82,False
2018-12-16,33,10,0,10,77,False
2018-12-23,30,10,0,5,61,False
2018-12-30,36,5,0,3,74,False
2019-01-06,40,6,0,8,67,False
2019-01-13,40,8,0,6,78,False
2019-01-20,40,8,0,8,74,False
2019-01-27,43,7,0,8,84,False
2019-02-03,38,13,0,6,82,False
2019-02-10,43,9,0,6,81,False
2019-02-17,48,11,1,3,89,False
2019-02-24,40,13,0,8,78,False
2019-03-03,47,11,0,5,91,False
2019-03-10,47,14,0,3,86,False
2019-03-17,34,12,0,6,94,False
2019-03-24,48,12,0,8,85,False
2019-03-31,44,12,1,7,85,False
2019-04-07,39,15,0,6,97,False
2019-04-14,39,13,0,6,84,False
2019-04-21,44,16,1,7,95,False
2019-04-28,40,11,0,3,85,False
2019-05-05,42,12,0,7,100,False
2019-05-12,42,12,0,6,83,False
2019-05-19,47,13,0,9,67,False
2019-05-26,39,12,0,4,74,False
2019-06-02,36,12,0,4,68,False
2019-06-09,45,16,0,4,63,False
2019-06-16,31,16,0,6,73,False
2019-06-23,44,16,0,7,65,False
2019-06-30,47,13,0,6,57,False
2019-07-07,42,11,0,2,68,False
2019-07-14,45,11,0,3,67,False
2019-07-21,35,15,0,4,70,False
2019-07-28,37,14,0,5,58,False
2019-08-04,42,16,0,5,63,False
2019-08-11,40,10,0,7,58,False
2019-08-18,47,17,0,6,59,False
2019-08-25,39,11,1,5,77,False
2019-09-01,35,12,0,6,66,False
2019-09-08,49,15,0,6,72,False
2019-09-15,49,14,0,8,64,False
2019-09-22,39,12,0,6,76,False
2019-09-29,52,12,1,7,91,False
2019-10-06,43,13,0,6,78,False
2019-10-13,44,9,0,4,76,False
2019-10-20,44,12,0,7,86,False
2019-10-27,46,15,0,4,81,False
2019-11-03,47,13,0,6,80,False
2019-11-10,39,11,1,6,84,False
2019-11-17,41,15,0,9,88,False
2019-11-24,37,12,1,5,62,False
2019-12-01,43,16,0,3,89,False
2019-12-08,36,13,0,4,86,False
2019-12-15,34,18,0,2,65,False
2019-12-22,35,9,0,5,62,False
2019-12-29,28,12,0,7,70,False
2020-01-05,44,12,0,7,72,False
2020-01-12,42,15,0,5,66,False
2020-01-19,40,17,0,5,67,False
2020-01-26,41,21,0,6,76,False
2020-02-02,48,16,1,7,84,False
2020-02-09,44,20,0,3,82,False
2020-02-16,44,22,0,5,76,False
2020-02-23,40,17,1,5,86,False
2020-03-01,49,20,1,3,77,False
2020-03-08,42,21,0,4,66,False
2020-03-15,33,13,0,4,62,False
2020-03-22,41,12,1,4,64,False
2020-03-29,34,8,0,6,70,False
2020-04-05,31,14,1,3,90,False
2020-04-12,36,12,0,6,75,False
2020-04-19,31,12,0,5,87,False
2020-04-26,38,12,0,5,83,False
2020-05-03,37,14,1,6,77,False
2020-05-10,37,12,1,4,66,False
2020-05-17,26,15,1,5,71,False
2020-05-24,36,9,1,4,69,False
2020-05-31,40,13,0,4,59,False
2020-06-07,34,13,0,5,63,False
2020-06-14,40,11,0,5,69,False
2020-06-21,40,15,0,4,79,False
2020-06-28,33,11,0,3,65,False
2020-07-05,36,13,0,7,69,False
2020-07-12,30,10,0,3,75,False
2020-07-19,43,9,0,3,80,False
2020-07-26,35,17,0,5,60,False
2020-08-02,38,20,0,2,71,False
2020-08-09,42,17,0,4,78,False
2020-08-16,38,16,0,4,82,False
2020-08-23,42,11,0,3,70,False
2020-08-30,34,13,0,3,74,False
2020-09-06,38,13,0,3,65,False
2020-09-13,43,14,0,4,76,False
2020-09-20,42,12,0,4,88,False
2020-09-27,48,19,0,4,81,False
2020-10-04,47,14,0,3,79,False
2020-10-11,50,16,1,5,81,False
2020-10-18,46,12,0,3,86,False
2020-10-25,49,18,0,3,74,False
2020-11-01,35,13,0,3,63,False
2020-11-08,39,13,0,2,80,False
2020-11-15,43,14,0,4,90,False
2020-11-22,34,11,0,3,68,False
2020-11-29,40,16,1,3,76,False
2020-12-06,39,15,0,3,76,False
2020-12-13,40,18,0,4,73,False
2020-12-20,28,9,0,2,51,False
2020-12-27,26,16,0,6,54,False
2021-01-03,39,10,0,6,55,False
2021-01-10,41,16,0,5,69,False
2021-01-17,43,14,0,5,68,False
2021-01-24,35,14,0,5,80,False
2021-01-31,40,12,0,4,77,False
2021-02-07,35,24,0,5,82,False
2021-02-14,48,13,0,5,76,False
2021-02-21,37,19,1,7,90,False
2021-02-28,44,18,0,4,95,False
2021-03-07,42,17,1,6,79,False
2021-03-14,45,20,0,2,64,False
2021-03-21,47,18,0,2,78,False
2021-03-28,42,18,0,3,70,False
2021-04-04,44,15,1,3,77,False
2021-04-11,46,15,0,3,86,False
2021-04-18,40,17,2,5,75,False
2021-04-25,45,13,0,6,75,False
2021-05-02,41,14,1,2,76,False
2021-05-09,43,16,0,3,65,False
2021-05-16,46,14,1,4,66,False
2021-05-23,35,16,0,2,77,False
2021-05-30,35,16,0,5,58,False
2021-06-06,45,18,0,5,77,False
2021-06-13,43,12,0,4,70,False
2021-06-20,37,16,0,3,71,False
2021-06-27,41,19,0,4,68,False
2021-07-04,37,19,0,3,71,False
2021-07-11,34,19,0,5,66,False
2021-07-18,40,17,0,4,60,False
2021-07-25,42,15,0,5,63,False
2021-08-01,40,18,0,5,63,False
2021-08-08,36,13,0,3,64,False
2021-08-15,39,17,0,3,68,False
2021-08-22,42,16,0,4,61,False
2021-08-29,27,15,0,4,66,False
2021-09-05,36,14,0,3,63,False
2021-09-12,40,16,0,3,73,False
2021-09-19,39,20,0,4,75,False
2021-09-26,38,17,0,2,79,False
2021-10-03,45,13,0,4,80,False
2021-10-10,47,16,1,3,73,False
2021-10-17,38,15,0,4,90,False
2021-10-24,45,16,1,7,77,False
2021-10-31,40,16,1,3,64,False
2021-11-07,45,13,0,4,73,False
2021-11-14,38,16,0,6,68,False
2021-11-21,37,14,0,2,63,False
2021-11-28,35,15,0,1,85,False
2021-12-05,38,16,0,3,76,False
2021-12-12,40,12,0,2,71,False
2021-12-19,32,13,0,3,66,False
2021-12-26,28,12,0,3,57,False
2022-01-02,38,13,0,3,54,False
2022-01-09,37,16,0,4,76,False
2022-01-16,36,16,0,2,82,False
2022-01-23,41,17,0,8,74,False
2022-01-30,48,22,0,3,80,False
2022-02-06,41,20,0,5,78,False
2022-02-13,48,21,0,3,74,False
2022-02-20,50,16,0,4,83,False
2022-02-27,40,19,0,7,80,False
2022-03-06,43,14,0,4,82,False
2022-03-13,46,17,0,5,86,False
2022-03-20,47,15,0,8,68,False
2022-03-27,42,14,0,3,68,False
2022-04-03,39,17,0,7,85,False
2022-04-10,36,18,0,3,77,False
2022-04-17,41,16,0,5,88,False
2022-04-24,43,16,0,3,82,False
2022-05-01,37,18,1,5,69,False
