date,artificial pancreas,Aspart,Avandia,bariatric surgery,diabetes causes,isPartial
2017-05-28,1,4,1,56,20,False
2017-06-04,2,4,2,62,23,False
2017-06-11,2,5,2,61,24,False
2017-06-18,1,4,2,59,28,False
2017-06-25,1,6,1,60,25,False
2017-07-02,1,4,1,53,29,False
2017-07-09,2,5,1,64,30,False
2017-07-16,2,6,1,55,29,False
2017-07-23,1,4,1,62,30,False
2017-07-30,1,5,1,57,25,False
2017-08-06,1,5,1,61,24,False
2017-08-13,1,6,1,61,23,False
2017-08-20,1,6,1,52,23,False
2017-08-27,0,5,1,48,21,False
2017-09-03,1,5,1,52,23,False
2017-09-10,1,7,2,55,26,False
2017-09-17,2,8,2,57,29,False
2017-09-24,1,8,1,59,26,False
2017-10-01,2,6,1,55,28,False
2017-10-08,1,7,2,54,28,False
2017-10-15,2,8,1,58,27,False
2017-10-22,2,7,1,61,30,False
2017-10-29,2,8,2,63,32,False
2017-11-05,2,7,2,62,28,False
2017-11-12,2,6,2,61,32,False
2017-11-19,1,3,1,44,23,False
2017-11-26,2,6,2,54,30,False
2017-12-03,1,5,1,57,33,False
2017-12-10,2,5,2,56,30,False
2017-12-17,1,4,1,53,21,False
2017-12-24,0,5,2,55,21,False
2017-12-31,1,5,0,57,21,False
2018-01-07,1,6,0,72,24,False
2018-01-14,1,6,1,67,26,False
2018-01-21,1,6,1,66,29,False
2018-01-28,1,7,1,63,27,False
2018-02-04,2,6,2,59,28,False
2018-02-11,2,7,2,62,27,False
2018-02-18,1,6,2,71,30,False
2018-02-25,3,5,2,70,33,False
2018-03-04,1,7,1,65,31,False
2018-03-11,2,7,2,58,27,False
2018-03-18,2,6,2,59,28,False
2018-03-25,2,7,1,65,33,False
2018-04-01,1,7,1,64,30,False
2018-04-08,1,8,0,67,32,False
2018-04-15,2,9,2,66,30,False
2018-04-22,2,6,2,66,27,False
2018-04-29,2,5,1,62,26,False
2018-05-06,1,6,1,66,29,False
2018-05-13,1,8,1,59,24,False
2018-05-20,1,5,1,63,21,False
2018-05-27,1,5,2,60,28,False
2018-06-03,1,6,1,60,22,False
2018-06-10,1,4,2,64,21,False
2018-06-17,1,6,2,63,21,False
2018-06-24,1,5,3,68,21,False
2018-07-01,1,5,2,59,18,False
2018-07-08,1,5,1,69,25,False
2018-07-15,1,6,2,65,24,False
2018-07-22,1,6,1,63,24,False
2018-07-29,1,6,1,67,23,False
2018-08-05,1,6,1,62,22,False
2018-08-12,1,5,1,62,22,False
2018-08-19,1,6,2,61,22,False
2018-08-26,1,5,1,56,23,False
2018-09-02,1,5,1,53,23,False
2018-09-09,1,6,1,52,23,False
2018-09-16,1,7,1,59,31,False
2018-09-23,1,7,1,62,26,False
2018-09-30,2,6,1,56,30,False
2018-10-07,1,6,2,62,29,False
2018-10-14,1,8,1,63,27,False
2018-10-21,1,6,1,66,27,False
2018-10-28,1,6,2,66,30,False
2018-11-04,1,6,1,58,29,False
2018-11-11,2,6,1,64,30,False
2018-11-18,2,5,1,48,29,False
2018-11-25,2,6,1,63,32,False
2018-12-02,3,6,1,64,31,False
2018-12-09,1,6,1,56,29,False
2018-12-16,1,5,1,55,27,False
2018-12-23,0,3,1,53,22,False
2018-12-30,1,5,1,62,26,False
2019-01-06,1,5,1,65,24,False
2019-01-13,1,5,2,60,27,False
2019-01-20,1,7,2,61,26,False
2019-01-27,1,5,1,61,30,False
2019-02-03,1,6,0,67,29,False
2019-02-10,2,7,2,60,28,False
2019-02-17,1,8,0,68,31,False
2019-02-24,1,6,0,69,28,False
2019-03-03,1,4,1,65,32,False
2019-03-10,1,7,2,69,30,False
2019-03-17,1,7,1,69,33,False
2019-03-24,1,7,1,68,30,False
2019-03-31,1,7,2,66,30,False
2019-04-07,1,4,1,58,34,False
2019-04-14,1,6,0,65,30,False
2019-04-21,1,5,1,69,34,False
2019-04-28,2,6,2,66,30,False
2019-05-05,1,5,2,65,35,False
2019-05-12,1,6,1,68,29,False
2019-05-19,1,5,1,65,24,False
2019-05-26,2,6,1,69,26,False
2019-06-02,2,4,1,68,24,False
2019-06-09,0,6,1,68,22,False
2019-06-16,0,5,0,72,26,False
2019-06-23,1,6,2,66,23,False
2019-06-30,1,6,1,61,20,False
2019-07-07,1,6,1,67,24,False
2019-07-14,2,6,1,68,24,False
2019-07-21,0,7,1,69,25,False
2019-07-28,1,4,1,66,20,False
2019-08-04,0,5,1,65,22,False
2019-08-11,1,5,1,69,20,False
2019-08-18,1,7,1,70,21,False
2019-08-25,1,6,1,66,27,False
2019-09-01,0,4,0,63,23,False
2019-09-08,1,5,1,65,25,False
2019-09-15,1,6,0,68,23,False
2019-09-22,1,6,2,68,27,False
2019-09-29,1,7,1,64,32,False
2019-10-06,1,6,1,68,28,False
2019-10-13,1,4,1,61,27,False
2019-10-20,1,5,1,71,30,False
2019-10-27,1,5,1,69,28,False
2019-11-03,1,9,1,71,28,False
2019-11-10,1,4,1,75,30,False
2019-11-17,2,7,1,69,31,False
2019-11-24,2,5,1,51,22,False
2019-12-01,2,6,1,64,32,False
2019-12-08,1,6,0,62,30,False
2019-12-15,1,5,1,65,23,False
2019-12-22,1,5,1,58,22,False
2019-12-29,2,5,1,65,25,False
2020-01-05,2,5,1,75,25,False
2020-01-12,1,4,1,74,23,False
2020-01-19,1,5,0,73,23,False
2020-01-26,1,6,0,73,27,False
2020-02-02,1,8,1,73,30,False
2020-02-09,1,8,1,67,29,False
2020-02-16,0,6,1,68,27,False
2020-02-23,1,8,1,64,30,False
2020-03-01,1,8,1,64,27,False
2020-03-08,1,7,1,61,23,False
2020-03-15,0,6,0,38,22,False
2020-03-22,1,6,1,33,22,False
2020-03-29,1,5,1,36,25,False
2020-04-05,1,6,1,35,32,False
2020-04-12,1,7,1,35,27,False
2020-04-19,0,6,1,38,31,False
2020-04-26,1,7,1,38,29,False
