date,Biguanides,bolus insulin,Canagliflozin,carbohydrate counting,diabetes causes,isPartial
2017-05-28,1,3,4,2,57,False
2017-06-04,1,3,7,2,65,False
2017-06-11,3,3,14,0,69,False
2017-06-18,2,3,7,1,81,False
2017-06-25,3,4,8,1,72,False
2017-07-02,3,5,5,2,83,False
2017-07-09,2,2,3,1,84,False
2017-07-16,1,5,8,1,82,False
2017-07-23,1,2,6,2,87,False
2017-07-30,2,3,4,1,71,False
2017-08-06,1,5,4,2,68,False
2017-08-13,2,5,8,2,64,False
2017-08-20,0,3,4,1,66,False
2017-08-27,2,3,5,1,60,False
2017-09-03,4,2,6,1,65,False
2017-09-10,0,3,6,2,73,False
2017-09-17,3,3,4,3,83,False
2017-09-24,4,3,6,0,74,False
2017-10-01,3,3,7,0,81,False
2017-10-08,2,4,6,2,78,False
2017-10-15,4,4,8,3,76,False
2017-10-22,2,5,10,2,86,False
2017-10-29,2,5,7,4,91,False
2017-11-05,1,3,8,3,78,False
2017-11-12,1,6,7,2,92,False
2017-11-19,1,4,4,0,65,False
2017-11-26,2,2,4,2,85,False
2017-12-03,4,5,4,1,93,False
2017-12-10,2,2,3,3,85,False
2017-12-17,1,3,3,1,61,False
2017-12-24,0,2,3,1,60,False
2017-12-31,1,4,5,2,60,False
2018-01-07,0,4,5,0,67,False
2018-01-14,1,2,9,1,74,False
2018-01-21,2,2,5,2,84,False
2018-01-28,1,7,4,2,78,False
2018-02-04,1,4,8,4,80,False
2018-02-11,2,3,5,2,77,False
2018-02-18,3,5,7,2,86,False
2018-02-25,3,2,7,2,92,False
2018-03-04,0,3,4,2,88,False
2018-03-11,3,5,7,0,76,False
2018-03-18,3,7,9,2,79,False
2018-03-25,3,5,5,1,93,False
2018-04-01,1,2,6,0,84,False
2018-04-08,2,4,8,2,90,False
2018-04-15,1,4,10,3,85,False
2018-04-22,3,3,5,3,78,False
2018-04-29,2,4,7,3,74,False
2018-05-06,1,2,5,1,83,False
2018-05-13,5,4,6,2,68,False
2018-05-20,2,3,3,0,60,False
2018-05-27,3,4,7,1,80,False
2018-06-03,2,4,5,4,62,False
2018-06-10,2,2,7,2,58,False
2018-06-17,2,4,4,1,60,False
2018-06-24,2,5,9,0,60,False
2018-07-01,2,1,5,1,50,False
2018-07-08,3,5,13,1,72,False
2018-07-15,1,4,4,1,67,False
2018-07-22,2,3,9,2,68,False
2018-07-29,2,2,5,0,67,False
2018-08-05,1,6,8,1,62,False
2018-08-12,2,3,7,3,62,False
2018-08-19,2,3,6,2,62,False
2018-08-26,2,2,6,2,66,False
2018-09-02,4,3,6,1,64,False
2018-09-09,3,3,3,1,65,False
2018-09-16,3,4,6,2,87,False
2018-09-23,2,6,7,1,73,False
2018-09-30,1,5,8,1,85,False
2018-10-07,1,3,6,1,84,False
2018-10-14,2,3,9,1,75,False
2018-10-21,2,5,4,2,78,False
2018-10-28,4,2,7,2,85,False
2018-11-04,2,5,3,3,82,False
2018-11-11,2,2,6,3,85,False
2018-11-18,3,3,4,0,83,False
2018-11-25,2,3,7,1,91,False
2018-12-02,0,4,7,0,89,False
2018-12-09,1,4,5,0,82,False
2018-12-16,1,4,7,2,77,False
2018-12-23,1,2,4,1,61,False
2018-12-30,1,3,7,1,74,False
2019-01-06,1,4,5,3,67,False
2019-01-13,1,4,7,0,78,False
2019-01-20,2,5,9,2,74,False
2019-01-27,3,2,4,2,84,False
2019-02-03,2,5,7,1,82,False
2019-02-10,5,7,5,1,81,False
2019-02-17,3,5,4,1,89,False
2019-02-24,2,7,6,2,78,False
2019-03-03,3,4,5,0,91,False
2019-03-10,3,3,7,0,86,False
2019-03-17,2,3,7,3,94,False
2019-03-24,3,3,6,1,85,False
2019-03-31,3,5,6,2,85,False
2019-04-07,5,5,4,0,97,False
2019-04-14,2,4,26,3,84,False
2019-04-21,3,2,7,2,95,False
2019-04-28,3,3,6,2,85,False
2019-05-05,2,3,6,1,100,False
2019-05-12,3,4,5,1,83,False
2019-05-19,1,2,5,3,67,False
2019-05-26,1,3,6,1,74,False
2019-06-02,1,5,8,0,68,False
2019-06-09,0,1,7,1,63,False
2019-06-16,2,3,3,1,73,False
2019-06-23,2,5,7,2,65,False
2019-06-30,1,3,4,1,57,False
2019-07-07,1,5,3,1,68,False
2019-07-14,4,3,9,2,67,False
2019-07-21,1,5,11,1,70,False
2019-07-28,2,1,5,2,58,False
2019-08-04,1,4,2,2,63,False
2019-08-11,0,3,4,2,58,False
2019-08-18,1,5,6,1,59,False
2019-08-25,1,3,8,1,77,False
2019-09-01,3,4,5,1,66,False
2019-09-08,2,4,7,1,72,False
2019-09-15,2,3,9,1,64,False
2019-09-22,2,8,5,3,76,False
2019-09-29,2,9,8,0,91,False
2019-10-06,3,3,5,0,78,False
2019-10-13,4,5,7,2,76,False
2019-10-20,3,5,9,1,86,False
2019-10-27,3,3,8,1,81,False
2019-11-03,2,4,7,1,80,False
2019-11-10,5,2,10,2,84,False
2019-11-17,2,5,11,1,88,False
2019-11-24,2,3,5,1,62,False
2019-12-01,2,3,9,1,89,False
2019-12-08,3,1,5,2,86,False
2019-12-15,1,3,6,2,65,False
2019-12-22,0,1,3,0,62,False
2019-12-29,1,4,4,1,70,False
2020-01-05,2,2,5,2,72,False
2020-01-12,2,5,6,2,66,False
2020-01-19,2,6,6,2,67,False
2020-01-26,2,5,5,1,76,False
2020-02-02,4,6,7,1,84,False
2020-02-09,3,7,6,2,82,False
2020-02-16,3,6,4,1,76,False
2020-02-23,1,6,7,0,86,False
2020-03-01,6,6,8,1,77,False
2020-03-08,3,4,5,1,66,False
2020-03-15,2,3,6,1,62,False
2020-03-22,3,5,4,2,64,False
2020-03-29,3,5,7,1,70,False
2020-04-05,5,3,7,0,90,False
2020-04-12,3,6,6,1,75,False
2020-04-19,4,3,5,0,87,False
2020-04-26,1,2,5,1,83,False
2020-05-03,2,2,4,0,77,False
2020-05-10,4,4,6,0,66,False
2020-05-17,2,2,5,1,71,False
2020-05-24,2,2,6,1,69,False
2020-05-31,2,2,4,1,59,False
2020-06-07,4,6,5,1,63,False
2020-06-14,2,4,3,2,69,False
2020-06-21,2,2,4,1,79,False
2020-06-28,3,2,4,1,65,False
2020-07-05,2,4,4,0,69,False
2020-07-12,3,4,5,0,75,False
2020-07-19,2,4,6,2,80,False
2020-07-26,1,4,5,0,60,False
2020-08-02,3,3,6,1,71,False
2020-08-09,2,4,4,0,78,False
2020-08-16,3,2,8,1,82,False
2020-08-23,3,4,7,0,70,False
2020-08-30,2,3,5,1,74,False
2020-09-06,1,4,7,1,65,False
2020-09-13,2,5,8,1,76,False
2020-09-20,1,5,5,2,88,False
2020-09-27,4,4,6,1,81,False
2020-10-04,2,3,9,2,79,False
2020-10-11,1,3,2,1,81,False
2020-10-18,2,5,7,1,86,False
2020-10-25,2,6,6,0,74,False
2020-11-01,2,3,2,1,63,False
2020-11-08,3,5,8,1,80,False
2020-11-15,3,6,7,0,90,False
2020-11-22,2,4,2,1,68,False
2020-11-29,1,4,5,1,76,False
2020-12-06,2,3,5,0,76,False
2020-12-13,2,3,4,0,73,False
2020-12-20,2,0,0,1,51,False
2020-12-27,1,2,3,0,54,False
2021-01-03,2,2,4,0,55,False
2021-01-10,2,2,6,0,69,False
2021-01-17,3,3,7,0,68,False
2021-01-24,1,5,6,0,80,False
2021-01-31,1,3,6,0,77,False
2021-02-07,3,6,6,1,82,False
2021-02-14,2,4,6,1,76,False
2021-02-21,2,3,5,0,90,False
2021-02-28,1,4,7,1,95,False
2021-03-07,3,8,5,3,79,False
2021-03-14,1,5,5,2,64,False
2021-03-21,3,4,5,0,78,False
2021-03-28,2,3,7,1,70,False
2021-04-04,3,5,6,1,77,False
2021-04-11,5,4,8,1,86,False
2021-04-18,4,2,6,1,75,False
2021-04-25,3,2,7,1,75,False
2021-05-02,2,3,4,1,76,False
2021-05-09,1,4,5,0,65,False
2021-05-16,3,5,4,1,66,False
2021-05-23,2,4,4,1,77,False
2021-05-30,0,4,6,1,58,False
2021-06-06,2,3,4,1,77,False
2021-06-13,1,1,7,0,70,False
2021-06-20,0,5,6,0,71,False
2021-06-27,2,4,7,0,68,False
2021-07-04,2,5,4,2,71,False
2021-07-11,2,8,9,0,66,False
2021-07-18,2,3,7,1,60,False
2021-07-25,2,4,2,1,63,False
2021-08-01,1,3,6,1,63,False
2021-08-08,2,2,7,1,64,False
2021-08-15,2,3,5,1,68,False
2021-08-22,3,3,4,2,61,False
2021-08-29,1,6,5,4,66,False
2021-09-05,2,5,4,1,63,False
2021-09-12,1,5,5,1,73,False
2021-09-19,6,4,5,1,75,False
2021-09-26,3,5,4,0,79,False
2021-10-03,4,6,7,1,80,False
2021-10-10,4,6,4,0,73,False
2021-10-17,1,4,8,1,90,False
2021-10-24,1,6,3,2,77,False
2021-10-31,1,7,4,1,64,False
2021-11-07,3,4,5,1,73,False
2021-11-14,3,4,5,2,68,False
2021-11-21,2,4,5,0,63,False
2021-11-28,3,4,7,0,85,False
2021-12-05,1,4,3,2,76,False
2021-12-12,4,4,3,0,71,False
2021-12-19,2,3,3,2,66,False
2021-12-26,1,2,4,1,57,False
2022-01-02,0,2,3,1,54,False
2022-01-09,2,2,4,0,76,False
2022-01-16,2,4,4,0,82,False
2022-01-23,2,5,5,1,74,False
2022-01-30,3,6,5,0,80,False
2022-02-06,2,6,7,0,78,False
2022-02-13,2,7,10,2,74,False
2022-02-20,4,4,5,0,83,False
2022-02-27,3,1,3,2,80,False
2022-03-06,4,3,7,1,82,False
2022-03-13,2,7,3,0,86,False
2022-03-20,2,6,5,1,68,False
2022-03-27,3,3,6,3,68,False
2022-04-03,2,6,5,1,85,False
2022-04-10,1,3,9,0,77,False
2022-04-17,1,2,4,1,88,False
2022-04-24,3,5,2,2,82,False
2022-05-01,3,5,5,1,69,False
2022-05-08,3,4,5,0,75,False
2022-05-15,1,7,6,1,72,False
2022-05-22,0,0,0,0,0,True
