date,colesevelam,Cycloset,Detemir,diabetes clinical trails,diabetes causes,isPartial
2017-05-28,3,0,3,0,57,False
2017-06-04,1,0,8,0,65,False
2017-06-11,5,2,9,0,69,False
2017-06-18,2,3,8,0,81,False
2017-06-25,4,2,6,0,72,False
2017-07-02,3,1,7,0,83,False
2017-07-09,2,0,8,0,84,False
2017-07-16,2,0,10,0,82,False
2017-07-23,3,3,6,0,87,False
2017-07-30,3,2,8,0,71,False
2017-08-06,3,0,7,0,68,False
2017-08-13,1,0,7,0,64,False
2017-08-20,3,0,9,0,66,False
2017-08-27,3,1,9,0,60,False
2017-09-03,2,0,7,0,65,False
2017-09-10,2,0,8,0,73,False
2017-09-17,3,0,7,0,83,False
2017-09-24,2,1,9,0,74,False
2017-10-01,2,1,6,0,81,False
2017-10-08,4,1,11,0,78,False
2017-10-15,4,1,6,0,76,False
2017-10-22,3,1,12,0,86,False
2017-10-29,2,1,12,0,91,False
2017-11-05,5,1,11,0,78,False
2017-11-12,5,0,10,0,92,False
2017-11-19,3,0,6,0,65,False
2017-11-26,4,1,7,0,85,False
2017-12-03,1,0,6,0,93,False
2017-12-10,2,1,12,0,85,False
2017-12-17,2,2,7,0,61,False
2017-12-24,1,2,6,0,60,False
2017-12-31,3,0,8,0,60,False
2018-01-07,3,1,5,0,67,False
2018-01-14,1,2,6,0,74,False
2018-01-21,3,1,11,0,84,False
2018-01-28,3,0,12,0,78,False
2018-02-04,4,1,8,0,80,False
2018-02-11,4,2,9,0,77,False
2018-02-18,4,1,8,0,86,False
2018-02-25,3,1,12,0,92,False
2018-03-04,4,1,9,0,88,False
2018-03-11,7,0,7,0,76,False
2018-03-18,4,2,13,0,79,False
2018-03-25,3,0,9,0,93,False
2018-04-01,3,2,8,0,84,False
2018-04-08,3,1,12,0,90,False
2018-04-15,3,1,12,0,85,False
2018-04-22,4,1,9,0,78,False
2018-04-29,3,0,8,0,74,False
2018-05-06,5,1,8,0,83,False
2018-05-13,2,0,11,0,68,False
2018-05-20,6,2,11,0,60,False
2018-05-27,5,0,11,0,80,False
2018-06-03,3,2,9,0,62,False
2018-06-10,4,1,5,0,58,False
2018-06-17,7,1,9,0,60,False
2018-06-24,7,2,13,0,60,False
2018-07-01,7,0,8,0,50,False
2018-07-08,6,1,10,0,72,False
2018-07-15,9,0,7,0,67,False
2018-07-22,6,1,10,0,68,False
2018-07-29,8,0,8,0,67,False
2018-08-05,7,1,9,0,62,False
2018-08-12,8,1,7,0,62,False
2018-08-19,5,0,6,0,62,False
2018-08-26,4,2,11,0,66,False
2018-09-02,6,0,5,0,64,False
2018-09-09,6,0,4,0,65,False
2018-09-16,5,1,8,0,87,False
2018-09-23,4,1,7,0,73,False
2018-09-30,11,0,9,0,85,False
2018-10-07,9,1,8,0,84,False
2018-10-14,7,1,9,0,75,False
2018-10-21,7,3,9,0,78,False
2018-10-28,9,1,13,0,85,False
2018-11-04,6,1,5,0,82,False
2018-11-11,9,1,11,0,85,False
2018-11-18,6,1,6,0,83,False
2018-11-25,11,1,8,0,91,False
2018-12-02,7,2,9,0,89,False
2018-12-09,5,2,10,0,82,False
2018-12-16,6,0,5,0,77,False
2018-12-23,6,1,7,0,61,False
2018-12-30,5,1,5,0,74,False
2019-01-06,4,0,8,0,67,False
2019-01-13,8,3,7,0,78,False
2019-01-20,4,1,9,0,74,False
2019-01-27,12,2,8,0,84,False
2019-02-03,12,3,6,0,82,False
2019-02-10,8,2,12,0,81,False
2019-02-17,6,2,9,0,89,False
2019-02-24,8,2,9,0,78,False
2019-03-03,7,0,7,0,91,False
2019-03-10,7,0,7,0,86,False
2019-03-17,7,1,8,0,94,False
2019-03-24,5,3,9,0,85,False
2019-03-31,9,0,11,0,85,False
2019-04-07,10,1,8,0,97,False
2019-04-14,7,0,7,0,84,False
2019-04-21,6,1,7,0,95,False
2019-04-28,11,0,7,0,85,False
2019-05-05,9,1,9,0,100,False
2019-05-12,7,2,6,0,83,False
2019-05-19,6,1,7,0,67,False
2019-05-26,3,1,8,0,74,False
2019-06-02,8,0,7,0,68,False
2019-06-09,8,1,8,0,63,False
2019-06-16,7,1,7,0,73,False
2019-06-23,5,0,10,0,65,False
2019-06-30,6,0,7,0,57,False
2019-07-07,6,1,5,0,68,False
2019-07-14,6,1,8,0,67,False
2019-07-21,9,2,11,0,70,False
2019-07-28,5,1,7,0,58,False
2019-08-04,5,1,5,0,63,False
2019-08-11,9,2,9,0,58,False
2019-08-18,10,1,9,0,59,False
2019-08-25,4,1,9,0,77,False
2019-09-01,3,2,7,0,66,False
2019-09-08,9,0,8,0,72,False
2019-09-15,10,0,6,0,64,False
2019-09-22,6,1,9,0,76,False
2019-09-29,6,2,9,0,91,False
2019-10-06,8,1,6,0,78,False
2019-10-13,5,2,8,0,76,False
2019-10-20,5,2,6,0,86,False
2019-10-27,9,0,9,0,81,False
2019-11-03,11,1,10,0,80,False
2019-11-10,5,1,8,0,84,False
2019-11-17,7,2,5,0,88,False
2019-11-24,7,0,6,0,62,False
2019-12-01,9,1,5,0,89,False
2019-12-08,7,1,7,0,86,False
2019-12-15,8,1,6,0,65,False
2019-12-22,2,1,5,0,62,False
2019-12-29,6,0,8,0,70,False
2020-01-05,11,0,7,0,72,False
2020-01-12,11,1,6,0,66,False
2020-01-19,8,2,6,0,67,False
2020-01-26,10,1,9,0,76,False
2020-02-02,9,1,9,0,84,False
2020-02-09,8,1,6,0,82,False
2020-02-16,11,1,6,0,76,False
2020-02-23,10,1,5,0,86,False
2020-03-01,11,2,9,0,77,False
2020-03-08,9,0,7,0,66,False
2020-03-15,8,0,6,0,62,False
2020-03-22,6,0,6,0,64,False
2020-03-29,7,1,4,0,70,False
2020-04-05,5,1,5,0,90,False
2020-04-12,8,0,5,0,75,False
2020-04-19,3,0,8,0,87,False
2020-04-26,11,0,5,0,83,False
2020-05-03,6,0,6,0,77,False
2020-05-10,5,0,4,0,66,False
2020-05-17,8,1,6,0,71,False
2020-05-24,10,0,5,0,69,False
2020-05-31,11,1,8,0,59,False
2020-06-07,9,0,6,0,63,False
2020-06-14,11,1,3,0,69,False
2020-06-21,6,0,8,0,79,False
2020-06-28,8,0,5,0,65,False
2020-07-05,6,2,7,0,69,False
2020-07-12,7,1,7,0,75,False
2020-07-19,7,0,5,0,80,False
2020-07-26,10,1,4,0,60,False
2020-08-02,9,1,6,0,71,False
2020-08-09,8,1,7,0,78,False
2020-08-16,7,0,8,0,82,False
2020-08-23,7,0,7,0,70,False
2020-08-30,9,2,7,0,74,False
2020-09-06,5,1,6,0,65,False
2020-09-13,7,1,8,0,76,False
2020-09-20,9,1,10,0,88,False
2020-09-27,9,1,5,0,81,False
2020-10-04,7,0,5,0,79,False
2020-10-11,10,1,6,0,81,False
2020-10-18,12,0,9,0,86,False
2020-10-25,9,2,5,0,74,False
2020-11-01,8,0,8,0,63,False
2020-11-08,9,0,6,0,80,False
2020-11-15,12,1,8,0,90,False
2020-11-22,9,0,8,0,68,False
2020-11-29,8,1,8,0,76,False
2020-12-06,11,1,4,0,76,False
2020-12-13,11,1,7,0,73,False
2020-12-20,9,0,6,0,51,False
2020-12-27,6,2,5,0,54,False
2021-01-03,12,1,5,0,55,False
2021-01-10,12,1,3,0,69,False
2021-01-17,12,1,6,0,68,False
2021-01-24,10,2,6,0,80,False
2021-01-31,9,1,5,0,77,False
2021-02-07,6,0,9,0,82,False
2021-02-14,7,0,4,0,76,False
2021-02-21,12,1,8,0,90,False
2021-02-28,8,1,8,0,95,False
2021-03-07,9,0,8,0,79,False
2021-03-14,8,0,8,0,64,False
2021-03-21,14,1,8,0,78,False
2021-03-28,9,1,7,0,70,False
2021-04-04,7,0,4,0,77,False
2021-04-11,11,0,4,0,86,False
2021-04-18,11,0,5,0,75,False
2021-04-25,10,1,9,0,75,False
2021-05-02,11,1,5,0,76,False
2021-05-09,12,0,5,0,65,False
2021-05-16,5,1,7,0,66,False
2021-05-23,9,2,5,0,77,False
2021-05-30,9,0,5,0,58,False
2021-06-06,11,1,6,0,77,False
2021-06-13,9,0,7,0,70,False
2021-06-20,7,2,6,0,71,False
2021-06-27,12,1,5,0,68,False
2021-07-04,8,0,6,0,71,False
2021-07-11,12,1,5,0,66,False
2021-07-18,7,1,5,0,60,False
2021-07-25,8,0,5,0,63,False
2021-08-01,8,2,10,0,63,False
2021-08-08,7,0,6,0,64,False
2021-08-15,10,1,4,0,68,False
2021-08-22,13,1,6,0,61,False
2021-08-29,8,1,8,0,66,False
2021-09-05,8,0,9,0,63,False
2021-09-12,8,1,9,0,73,False
2021-09-19,8,1,8,0,75,False
2021-09-26,13,1,8,0,79,False
2021-10-03,9,0,5,0,80,False
2021-10-10,9,1,8,0,73,False
2021-10-17,14,1,6,0,90,False
2021-10-24,8,0,10,0,77,False
2021-10-31,11,1,10,0,64,False
2021-11-07,6,1,8,0,73,False
2021-11-14,8,0,6,0,68,False
2021-11-21,9,0,4,0,63,False
2021-11-28,10,0,9,0,85,False
2021-12-05,14,0,10,0,76,False
2021-12-12,11,0,6,0,71,False
2021-12-19,10,1,6,0,66,False
2021-12-26,8,0,4,0,57,False
2022-01-02,8,0,6,0,54,False
2022-01-09,7,0,8,0,76,False
2022-01-16,9,1,4,0,82,False
2022-01-23,13,1,6,0,74,False
2022-01-30,10,0,8,0,80,False
2022-02-06,15,0,10,0,78,False
2022-02-13,10,0,10,0,74,False
2022-02-20,8,0,4,0,83,False
2022-02-27,18,0,11,0,80,False
2022-03-06,10,1,5,0,82,False
2022-03-13,7,1,6,0,86,False
2022-03-20,11,0,8,0,68,False
2022-03-27,12,0,7,0,68,False
2022-04-03,11,0,7,0,85,False
2022-04-10,15,0,11,0,77,False
2022-04-17,9,1,10,0,88,False
2022-04-24,14,1,4,0,82,False
2022-05-01,11,0,7,0,69,False
2022-05-08,9,0,8,0,75,False
2022-05-15,11,0,5,0,72,False
2022-05-22,0,0,0,0,0,True
