date,Diabetes medicine,DPP-4 Inhibitors,FlexPen,Glargine,diabetes causes,isPartial
2017-05-28,20,1,12,18,57,False
2017-06-04,29,2,12,23,65,False
2017-06-11,28,1,13,20,69,False
2017-06-18,27,1,11,19,81,False
2017-06-25,21,2,9,15,72,False
2017-07-02,21,2,11,22,83,False
2017-07-09,22,0,14,22,84,False
2017-07-16,24,2,10,24,82,False
2017-07-23,27,2,12,22,87,False
2017-07-30,25,1,15,21,71,False
2017-08-06,27,1,10,27,68,False
2017-08-13,24,2,11,23,64,False
2017-08-20,25,2,11,20,66,False
2017-08-27,21,3,7,21,60,False
2017-09-03,22,2,7,21,65,False
2017-09-10,25,1,9,28,73,False
2017-09-17,24,1,13,24,83,False
2017-09-24,32,1,15,22,74,False
2017-10-01,24,2,11,22,81,False
2017-10-08,25,1,12,23,78,False
2017-10-15,28,2,14,34,76,False
2017-10-22,26,3,11,22,86,False
2017-10-29,28,1,16,30,91,False
2017-11-05,28,1,17,27,78,False
2017-11-12,28,0,19,25,92,False
2017-11-19,21,1,14,19,65,False
2017-11-26,25,1,10,27,85,False
2017-12-03,27,1,7,24,93,False
2017-12-10,31,2,9,21,85,False
2017-12-17,25,1,13,23,61,False
2017-12-24,17,1,11,17,60,False
2017-12-31,26,1,12,15,60,False
2018-01-07,24,1,8,20,67,False
2018-01-14,28,1,10,22,74,False
2018-01-21,32,1,10,25,84,False
2018-01-28,26,2,8,25,78,False
2018-02-04,25,3,9,31,80,False
2018-02-11,31,3,7,34,77,False
2018-02-18,31,1,8,27,86,False
2018-02-25,27,1,11,29,92,False
2018-03-04,30,1,12,27,88,False
2018-03-11,31,3,13,25,76,False
2018-03-18,23,1,8,28,79,False
2018-03-25,28,2,12,27,93,False
2018-04-01,28,3,14,27,84,False
2018-04-08,26,1,8,29,90,False
2018-04-15,27,4,13,25,85,False
2018-04-22,20,1,10,29,78,False
2018-04-29,23,0,12,28,74,False
2018-05-06,24,1,13,27,83,False
2018-05-13,27,1,8,17,68,False
2018-05-20,21,1,8,30,60,False
2018-05-27,24,3,8,29,80,False
2018-06-03,21,2,13,24,62,False
2018-06-10,26,2,9,28,58,False
2018-06-17,27,2,13,20,60,False
2018-06-24,35,1,11,30,60,False
2018-07-01,20,1,10,18,50,False
2018-07-08,25,4,18,32,72,False
2018-07-15,24,3,16,26,67,False
2018-07-22,30,2,8,24,68,False
2018-07-29,31,1,8,24,67,False
2018-08-05,33,3,12,20,62,False
2018-08-12,28,1,11,30,62,False
2018-08-19,32,2,9,27,62,False
2018-08-26,32,2,12,28,66,False
2018-09-02,35,1,10,26,64,False
2018-09-09,27,1,10,26,65,False
2018-09-16,30,1,5,28,87,False
2018-09-23,31,4,9,30,73,False
2018-09-30,27,2,9,28,85,False
2018-10-07,28,3,12,24,84,False
2018-10-14,28,3,9,26,75,False
2018-10-21,26,0,7,39,78,False
2018-10-28,29,1,9,30,85,False
2018-11-04,26,0,11,22,82,False
2018-11-11,35,0,12,26,85,False
2018-11-18,28,2,6,22,83,False
2018-11-25,24,0,8,25,91,False
2018-12-02,35,0,9,25,89,False
2018-12-09,28,1,10,24,82,False
2018-12-16,27,1,9,19,77,False
2018-12-23,23,0,6,18,61,False
2018-12-30,35,1,10,22,74,False
2019-01-06,41,2,9,26,67,False
2019-01-13,25,2,8,31,78,False
2019-01-20,28,3,15,36,74,False
2019-01-27,27,2,11,30,84,False
2019-02-03,26,2,14,30,82,False
2019-02-10,31,3,12,35,81,False
2019-02-17,36,3,8,30,89,False
2019-02-24,26,2,11,36,78,False
2019-03-03,29,2,9,26,91,False
2019-03-10,32,3,8,31,86,False
2019-03-17,28,1,11,20,94,False
2019-03-24,26,1,12,26,85,False
2019-03-31,33,2,11,37,85,False
2019-04-07,33,3,13,25,97,False
2019-04-14,27,1,13,27,84,False
2019-04-21,35,0,12,33,95,False
2019-04-28,27,1,9,25,85,False
2019-05-05,26,1,7,22,100,False
2019-05-12,26,1,11,26,83,False
2019-05-19,31,1,9,28,67,False
2019-05-26,25,0,7,32,74,False
2019-06-02,22,1,8,28,68,False
2019-06-09,22,1,12,26,63,False
2019-06-16,29,2,10,25,73,False
2019-06-23,27,0,15,32,65,False
2019-06-30,22,1,6,27,57,False
2019-07-07,31,1,10,29,68,False
2019-07-14,27,0,14,34,67,False
2019-07-21,25,1,15,27,70,False
2019-07-28,20,2,11,26,58,False
2019-08-04,31,1,12,21,63,False
2019-08-11,23,1,11,25,58,False
2019-08-18,28,2,12,29,59,False
2019-08-25,26,3,8,27,77,False
2019-09-01,24,2,11,22,66,False
2019-09-08,30,3,12,19,72,False
2019-09-15,30,0,12,30,64,False
2019-09-22,23,0,8,30,76,False
2019-09-29,27,4,13,29,91,False
2019-10-06,24,2,12,26,78,False
2019-10-13,29,2,15,37,76,False
2019-10-20,30,2,16,23,86,False
2019-10-27,26,2,9,33,81,False
2019-11-03,32,2,12,31,80,False
2019-11-10,29,2,8,31,84,False
2019-11-17,33,2,14,30,88,False
2019-11-24,24,1,7,24,62,False
2019-12-01,26,1,10,18,89,False
2019-12-08,27,3,9,32,86,False
2019-12-15,29,2,12,24,65,False
2019-12-22,26,0,10,20,62,False
2019-12-29,30,1,9,23,70,False
2020-01-05,34,2,13,24,72,False
2020-01-12,25,2,12,32,66,False
2020-01-19,28,3,11,30,67,False
2020-01-26,33,2,17,25,76,False
2020-02-02,27,2,13,34,84,False
2020-02-09,37,3,12,39,82,False
2020-02-16,31,2,16,31,76,False
2020-02-23,32,1,11,33,86,False
2020-03-01,27,2,8,30,77,False
2020-03-08,23,4,15,24,66,False
2020-03-15,25,3,10,24,62,False
2020-03-22,25,2,12,21,64,False
2020-03-29,26,2,11,32,70,False
2020-04-05,16,1,10,25,90,False
2020-04-12,19,1,13,27,75,False
2020-04-19,29,2,14,24,87,False
2020-04-26,25,3,11,23,83,False
2020-05-03,25,2,9,20,77,False
2020-05-10,26,1,11,22,66,False
2020-05-17,22,2,11,24,71,False
2020-05-24,32,3,12,25,69,False
2020-05-31,27,1,11,28,59,False
2020-06-07,30,1,12,25,63,False
2020-06-14,22,2,8,26,69,False
2020-06-21,27,3,14,24,79,False
2020-06-28,30,4,8,26,65,False
2020-07-05,29,5,12,23,69,False
2020-07-12,27,1,8,21,75,False
2020-07-19,25,2,10,31,80,False
2020-07-26,30,1,13,20,60,False
2020-08-02,26,1,10,26,71,False
2020-08-09,21,4,11,24,78,False
2020-08-16,30,1,10,33,82,False
2020-08-23,26,3,12,24,70,False
2020-08-30,24,2,9,32,74,False
2020-09-06,21,1,12,27,65,False
2020-09-13,30,2,11,25,76,False
2020-09-20,36,2,8,26,88,False
2020-09-27,28,3,14,26,81,False
2020-10-04,37,2,16,30,79,False
2020-10-11,38,3,11,29,81,False
2020-10-18,28,3,13,29,86,False
