date,Glucophage,Glulisine,Glumetza,glyset,diabetes causes,isPartial
2017-05-28,20,1,2,1,57,False
2017-06-04,18,1,4,1,65,False
2017-06-11,18,1,2,1,69,False
2017-06-18,16,1,5,1,81,False
2017-06-25,12,3,3,1,72,False
2017-07-02,21,2,1,0,83,False
2017-07-09,21,2,4,1,84,False
2017-07-16,13,1,5,1,82,False
2017-07-23,19,2,4,2,87,False
2017-07-30,24,0,3,2,71,False
2017-08-06,23,2,2,0,68,False
2017-08-13,21,1,2,2,64,False
2017-08-20,19,1,3,0,66,False
2017-08-27,14,0,2,0,60,False
2017-09-03,15,1,3,1,65,False
2017-09-10,20,3,2,0,73,False
2017-09-17,20,2,3,1,83,False
2017-09-24,17,1,3,0,74,False
2017-10-01,18,1,5,0,81,False
2017-10-08,17,1,2,0,78,False
2017-10-15,14,1,4,0,76,False
2017-10-22,24,1,3,0,86,False
2017-10-29,18,2,3,0,91,False
2017-11-05,22,2,1,0,78,False
2017-11-12,19,4,4,0,92,False
2017-11-19,19,0,2,0,65,False
2017-11-26,18,3,3,0,85,False
2017-12-03,16,1,1,0,93,False
2017-12-10,17,0,2,0,85,False
2017-12-17,18,2,4,1,61,False
2017-12-24,13,2,2,0,60,False
2017-12-31,13,1,3,1,60,False
2018-01-07,21,0,3,0,67,False
2018-01-14,20,1,1,0,74,False
2018-01-21,19,2,4,1,84,False
2018-01-28,23,2,3,0,78,False
2018-02-04,18,1,4,0,80,False
2018-02-11,26,2,4,0,77,False
2018-02-18,21,3,2,1,86,False
2018-02-25,21,2,2,1,92,False
2018-03-04,20,1,3,0,88,False
2018-03-11,20,2,4,0,76,False
2018-03-18,16,0,3,0,79,False
2018-03-25,21,3,5,0,93,False
2018-04-01,20,3,2,0,84,False
2018-04-08,20,3,3,0,90,False
2018-04-15,22,3,4,1,85,False
2018-04-22,19,1,3,0,78,False
2018-04-29,20,1,4,0,74,False
2018-05-06,23,1,3,0,83,False
2018-05-13,15,1,3,0,68,False
2018-05-20,18,5,4,0,60,False
2018-05-27,22,1,0,0,80,False
2018-06-03,18,3,2,0,62,False
2018-06-10,20,0,2,0,58,False
2018-06-17,20,1,3,0,60,False
