date,Humalog,Humulin,Humulin N,inhaled insulin,diabetes causes,isPartial
2017-05-28,46,25,8,1,47,False
2017-06-04,56,28,8,1,53,False
2017-06-11,46,35,9,0,57,False
2017-06-18,52,27,8,1,66,False
2017-06-25,56,24,5,1,59,False
2017-07-02,58,24,5,1,68,False
2017-07-09,55,32,11,0,70,False
2017-07-16,63,28,9,0,67,False
2017-07-23,54,28,7,1,71,False
2017-07-30,57,30,9,0,58,False
2017-08-06,64,29,9,1,56,False
2017-08-13,64,27,9,1,53,False
2017-08-20,56,27,8,0,54,False
2017-08-27,55,27,9,1,49,False
2017-09-03,49,24,6,1,54,False
2017-09-10,53,23,7,1,60,False
2017-09-17,57,24,4,1,69,False
2017-09-24,61,28,6,0,61,False
2017-10-01,55,33,11,2,66,False
2017-10-08,65,33,7,2,64,False
2017-10-15,67,31,6,2,62,False
2017-10-22,58,23,3,2,71,False
2017-10-29,57,29,9,2,75,False
2017-11-05,63,23,6,1,64,False
2017-11-12,69,27,8,2,75,False
2017-11-19,61,20,5,0,54,False
2017-11-26,57,26,8,0,70,False
2017-12-03,52,27,6,1,77,False
2017-12-10,55,29,8,0,70,False
2017-12-17,56,20,7,1,50,False
2017-12-24,42,19,6,0,49,False
2017-12-31,50,27,4,2,49,False
2018-01-07,64,36,9,1,55,False
2018-01-14,69,23,4,1,61,False
2018-01-21,65,36,7,1,69,False
2018-01-28,74,29,10,2,64,False
2018-02-04,69,26,7,1,66,False
2018-02-11,71,30,8,1,63,False
2018-02-18,67,28,7,2,71,False
2018-02-25,74,26,5,1,76,False
2018-03-04,59,32,9,0,72,False
2018-03-11,65,33,8,0,63,False
2018-03-18,66,28,5,1,65,False
2018-03-25,57,28,6,1,77,False
2018-04-01,65,35,7,1,69,False
2018-04-08,76,29,7,0,74,False
2018-04-15,76,33,6,1,70,False
2018-04-22,65,23,5,2,64,False
2018-04-29,63,19,5,1,61,False
2018-05-06,57,29,7,1,68,False
2018-05-13,62,23,4,1,56,False
2018-05-20,81,26,7,0,50,False
2018-05-27,74,25,3,1,66,False
2018-06-03,64,25,6,2,51,False
2018-06-10,64,27,5,1,48,False
2018-06-17,63,26,8,0,50,False
2018-06-24,56,26,7,1,50,False
2018-07-01,64,21,7,0,42,False
2018-07-08,71,30,10,2,59,False
2018-07-15,65,26,8,1,55,False
2018-07-22,65,27,6,0,56,False
2018-07-29,65,24,8,1,55,False
2018-08-05,71,32,8,1,51,False
2018-08-12,75,28,7,1,51,False
2018-08-19,76,27,8,1,51,False
2018-08-26,66,26,8,2,54,False
2018-09-02,56,20,4,1,53,False
2018-09-09,66,26,7,1,53,False
2018-09-16,62,24,5,2,72,False
2018-09-23,67,30,7,1,60,False
2018-09-30,69,25,4,3,70,False
2018-10-07,62,27,6,1,69,False
2018-10-14,65,29,8,2,62,False
2018-10-21,59,29,5,1,64,False
2018-10-28,69,27,5,2,70,False
2018-11-04,57,25,6,2,68,False
2018-11-11,53,28,5,2,70,False
2018-11-18,63,25,5,0,69,False
2018-11-25,65,28,6,2,75,False
2018-12-02,64,27,5,1,73,False
2018-12-09,62,26,6,1,67,False
2018-12-16,59,23,5,2,63,False
2018-12-23,47,21,6,0,51,False
2018-12-30,59,29,8,0,61,False
2019-01-06,71,29,8,0,55,False
2019-01-13,82,29,6,3,64,False
2019-01-20,74,34,8,3,61,False
2019-01-27,71,32,7,5,69,False
2019-02-03,100,36,9,4,67,False
2019-02-10,76,30,8,2,67,False
2019-02-17,71,33,7,3,74,False
2019-02-24,71,32,7,3,64,False
2019-03-03,90,33,8,1,75,False
2019-03-10,75,27,7,1,71,False
2019-03-17,67,32,7,2,77,False
2019-03-24,76,32,8,3,70,False
2019-03-31,72,31,6,1,70,False
2019-04-07,76,30,7,0,80,False
2019-04-14,68,33,10,0,69,False
2019-04-21,71,32,7,0,78,False
2019-04-28,66,27,5,1,70,False
2019-05-05,69,22,6,1,82,False
2019-05-12,67,25,7,2,68,False
2019-05-19,67,26,7,2,55,False
2019-05-26,67,20,4,0,61,False
2019-06-02,66,31,8,0,56,False
2019-06-09,59,27,6,0,52,False
2019-06-16,78,33,8,0,60,False
2019-06-23,67,27,8,0,54,False
2019-06-30,62,20,6,1,47,False
2019-07-07,67,28,8,2,56,False
2019-07-14,66,30,6,0,55,False
2019-07-21,74,21,6,0,58,False
2019-07-28,64,20,4,2,48,False
2019-08-04,66,25,7,0,52,False
2019-08-11,73,23,4,1,48,False
2019-08-18,80,26,6,1,49,False
2019-08-25,69,21,4,0,64,False
2019-09-01,60,19,5,1,54,False
2019-09-08,66,23,4,2,60,False
2019-09-15,57,22,6,1,53,False
2019-09-22,71,29,8,1,63,False
2019-09-29,61,29,5,1,75,False
2019-10-06,64,26,9,1,65,False
2019-10-13,68,28,10,2,62,False
2019-10-20,74,20,6,1,71,False
2019-10-27,69,20,5,0,66,False
2019-11-03,69,24,7,3,66,False
2019-11-10,65,31,3,1,69,False
2019-11-17,69,25,7,0,72,False
2019-11-24,48,20,5,0,51,False
2019-12-01,67,25,6,0,74,False
2019-12-08,57,21,5,1,71,False
2019-12-15,59,26,4,1,54,False
2019-12-22,52,22,5,0,51,False
2019-12-29,57,20,5,1,58,False
2020-01-05,71,18,5,1,59,False
2020-01-12,66,29,6,0,55,False
2020-01-19,68,27,7,1,55,False
2020-01-26,79,27,7,1,63,False
2020-02-02,75,25,8,1,69,False
2020-02-09,69,22,6,0,67,False
2020-02-16,75,29,8,1,63,False
2020-02-23,79,34,9,1,71,False
2020-03-01,63,29,8,2,64,False
2020-03-08,73,25,4,2,55,False
2020-03-15,60,24,4,2,51,False
2020-03-22,57,25,5,1,52,False
2020-03-29,55,19,5,1,58,False
2020-04-05,54,25,8,1,74,False
2020-04-12,50,21,5,2,62,False
2020-04-19,54,22,8,0,71,False
2020-04-26,55,24,6,1,68,False
2020-05-03,50,23,6,1,64,False
2020-05-10,50,18,4,1,55,False
2020-05-17,53,20,6,1,59,False
2020-05-24,50,24,8,1,57,False
2020-05-31,58,23,6,1,49,False
2020-06-07,53,20,4,1,52,False
2020-06-14,48,22,5,1,57,False
2020-06-21,55,24,7,1,65,False
2020-06-28,48,21,7,0,54,False
2020-07-05,59,21,8,2,57,False
2020-07-12,59,22,7,0,62,False
2020-07-19,64,22,5,1,66,False
2020-07-26,57,24,6,1,49,False
2020-08-02,60,22,6,1,58,False
2020-08-09,60,21,4,2,64,False
2020-08-16,61,26,6,1,68,False
2020-08-23,60,18,5,0,57,False
2020-08-30,54,24,7,1,61,False
2020-09-06,58,23,5,1,54,False
2020-09-13,56,28,7,1,62,False
2020-09-20,58,29,7,0,72,False
2020-09-27,60,28,5,1,67,False
2020-10-04,73,22,4,0,65,False
2020-10-11,61,28,6,2,67,False
2020-10-18,69,29,6,1,71,False
2020-10-25,68,25,4,0,61,False
2020-11-01,48,20,6,1,52,False
2020-11-08,56,26,6,1,66,False
2020-11-15,68,32,9,2,74,False
2020-11-22,50,21,4,1,56,False
2020-11-29,73,28,8,1,63,False
2020-12-06,60,18,4,0,62,False
2020-12-13,62,25,8,0,60,False
2020-12-20,48,19,5,0,42,False
2020-12-27,57,15,4,0,44,False
2021-01-03,58,22,6,0,45,False
2021-01-10,63,26,6,1,57,False
2021-01-17,70,21,7,1,56,False
2021-01-24,65,28,7,0,66,False
2021-01-31,63,24,6,1,63,False
2021-02-07,69,23,6,1,67,False
2021-02-14,65,25,6,1,62,False
2021-02-21,76,30,9,2,74,False
2021-02-28,65,25,6,1,78,False
2021-03-07,61,26,6,2,65,False
2021-03-14,63,30,8,1,53,False
2021-03-21,57,30,6,0,64,False
2021-03-28,69,23,6,1,58,False
2021-04-04,60,26,4,1,64,False
2021-04-11,66,25,7,0,71,False
2021-04-18,54,26,9,2,62,False
2021-04-25,60,28,7,1,62,False
2021-05-02,55,25,6,0,62,False
2021-05-09,60,21,5,0,53,False
2021-05-16,56,26,7,1,54,False
2021-05-23,60,23,7,3,63,False
2021-05-30,63,22,7,1,48,False
2021-06-06,49,22,6,1,63,False
2021-06-13,62,24,8,1,57,False
2021-06-20,66,28,7,0,58,False
2021-06-27,60,23,6,1,56,False
2021-07-04,58,26,7,1,58,False
2021-07-11,62,26,7,0,54,False
2021-07-18,59,19,5,2,49,False
2021-07-25,58,27,6,1,52,False
2021-08-01,60,25,8,2,52,False
2021-08-08,48,26,8,1,53,False
2021-08-15,51,24,8,0,56,False
2021-08-22,58,20,3,0,51,False
2021-08-29,54,18,5,1,54,False
2021-09-05,57,22,7,0,52,False
2021-09-12,58,29,7,0,60,False
2021-09-19,56,29,10,2,62,False
2021-09-26,60,25,3,0,65,False
2021-10-03,66,24,7,0,66,False
2021-10-10,57,21,5,0,60,False
2021-10-17,61,24,8,0,74,False
2021-10-24,62,25,5,1,64,False
