date,injection site rotation,insulin infusion pump,insulin injection,insulin needles,diabetes causes,isPartial
2017-05-28,0,2,17,12,57,False
2017-06-04,0,2,22,18,65,False
2017-06-11,0,3,18,13,69,False
2017-06-18,0,0,18,15,81,False
2017-06-25,0,2,27,15,72,False
2017-07-02,0,2,13,18,83,False
2017-07-09,0,2,17,17,84,False
2017-07-16,0,4,21,13,82,False
2017-07-23,0,2,19,15,87,False
2017-07-30,0,2,14,15,71,False
2017-08-06,0,0,19,10,68,False
2017-08-13,0,3,10,11,64,False
2017-08-20,0,1,15,12,66,False
2017-08-27,0,1,19,15,60,False
2017-09-03,0,2,15,13,65,False
2017-09-10,0,2,20,12,73,False
2017-09-17,0,0,18,12,83,False
2017-09-24,0,0,28,10,74,False
2017-10-01,0,2,18,12,81,False
2017-10-08,0,4,20,14,78,False
2017-10-15,0,1,20,19,76,False
2017-10-22,0,4,15,13,86,False
2017-10-29,0,1,16,10,91,False
2017-11-05,0,3,26,15,78,False
2017-11-12,0,1,25,16,92,False
2017-11-19,0,2,17,17,65,False
2017-11-26,0,0,15,16,85,False
2017-12-03,0,0,15,15,93,False
2017-12-10,0,1,21,15,85,False
2017-12-17,0,1,17,17,61,False
2017-12-24,0,1,13,17,60,False
2017-12-31,0,1,11,15,60,False
2018-01-07,0,3,17,14,67,False
2018-01-14,0,2,18,13,74,False
2018-01-21,0,1,15,14,84,False
2018-01-28,0,1,20,11,78,False
2018-02-04,0,3,22,15,80,False
2018-02-11,0,2,19,17,77,False
2018-02-18,0,3,19,18,86,False
2018-02-25,0,1,25,21,92,False
2018-03-04,0,0,20,14,88,False
2018-03-11,0,1,16,19,76,False
2018-03-18,0,0,19,19,79,False
2018-03-25,0,4,21,16,93,False
2018-04-01,0,2,20,17,84,False
2018-04-08,0,1,20,15,90,False
2018-04-15,0,1,23,18,85,False
2018-04-22,0,2,18,16,78,False
2018-04-29,0,1,20,18,74,False
2018-05-06,0,0,20,16,83,False
2018-05-13,0,1,19,16,68,False
2018-05-20,0,1,11,16,60,False
2018-05-27,0,2,27,17,80,False
2018-06-03,0,0,22,15,62,False
2018-06-10,0,2,16,14,58,False
2018-06-17,0,1,21,15,60,False
2018-06-24,0,0,17,15,60,False
2018-07-01,0,1,20,17,50,False
2018-07-08,0,2,16,23,72,False
2018-07-15,0,0,19,17,67,False
