date,insulin pen injector,insulin pump,insulin syringe,insulin therapy,diabetes causes,isPartial
2017-05-28,0,37,7,4,32,False
2017-06-04,0,34,11,5,36,False
2017-06-11,0,34,8,2,38,False
2017-06-18,0,34,8,5,44,False
2017-06-25,0,34,11,3,40,False
2017-07-02,0,31,9,4,46,False
2017-07-09,0,44,8,5,47,False
2017-07-16,0,38,9,5,45,False
2017-07-23,0,39,8,4,48,False
2017-07-30,0,39,7,4,39,False
2017-08-06,0,38,11,3,38,False
2017-08-13,0,36,7,3,35,False
2017-08-20,0,40,7,4,36,False
2017-08-27,0,35,8,3,33,False
2017-09-03,0,32,7,3,36,False
2017-09-10,0,34,8,5,40,False
2017-09-17,0,34,8,2,46,False
2017-09-24,1,33,9,4,41,False
2017-10-01,0,45,9,4,44,False
2017-10-08,0,45,11,5,43,False
2017-10-15,1,45,12,4,42,False
2017-10-22,0,40,9,7,47,False
2017-10-29,0,43,7,6,50,False
2017-11-05,0,44,8,6,43,False
2017-11-12,0,43,8,5,50,False
2017-11-19,0,32,7,3,36,False
2017-11-26,0,40,8,5,47,False
2017-12-03,0,36,8,4,51,False
2017-12-10,0,38,10,5,47,False
2017-12-17,0,37,9,3,34,False
2017-12-24,0,37,6,1,33,False
2017-12-31,0,35,10,4,33,False
2018-01-07,0,41,8,2,37,False
2018-01-14,0,35,8,5,41,False
2018-01-21,0,36,8,4,46,False
2018-01-28,0,38,14,5,43,False
2018-02-04,0,41,11,4,44,False
2018-02-11,0,42,10,4,42,False
2018-02-18,0,39,10,5,47,False
2018-02-25,0,40,9,4,51,False
2018-03-04,0,43,11,6,48,False
2018-03-11,0,38,8,5,42,False
2018-03-18,0,33,11,3,44,False
2018-03-25,0,37,11,5,51,False
2018-04-01,0,36,12,5,46,False
2018-04-08,0,29,8,4,50,False
2018-04-15,0,38,12,5,47,False
2018-04-22,0,41,9,6,43,False
2018-04-29,0,37,10,4,41,False
2018-05-06,0,33,7,4,46,False
2018-05-13,0,35,8,5,37,False
2018-05-20,0,35,10,3,33,False
2018-05-27,0,39,10,4,44,False
2018-06-03,1,33,10,5,34,False
2018-06-10,0,38,8,5,32,False
2018-06-17,0,37,10,3,33,False
2018-06-24,0,42,8,2,33,False
2018-07-01,0,36,9,2,28,False
2018-07-08,0,42,7,3,39,False
2018-07-15,0,37,9,2,37,False
2018-07-22,0,41,9,3,37,False
2018-07-29,1,36,10,3,37,False
2018-08-05,0,41,8,2,34,False
2018-08-12,0,36,9,3,34,False
2018-08-19,1,35,13,3,34,False
2018-08-26,0,39,7,3,36,False
2018-09-02,0,30,12,5,35,False
2018-09-09,0,35,10,4,36,False
2018-09-16,0,33,11,6,48,False
2018-09-23,0,53,11,5,40,False
2018-09-30,0,39,12,5,47,False
2018-10-07,0,38,8,5,46,False
2018-10-14,0,43,12,6,42,False
2018-10-21,0,36,7,6,43,False
2018-10-28,0,35,11,7,47,False
2018-11-04,0,40,11,7,45,False
2018-11-11,0,35,10,6,47,False
2018-11-18,0,34,7,4,46,False
2018-11-25,0,43,8,5,50,False
2018-12-02,0,34,11,5,49,False
2018-12-09,0,37,10,5,45,False
2018-12-16,0,36,8,4,42,False
2018-12-23,0,26,6,2,34,False
2018-12-30,0,29,8,2,41,False
2019-01-06,0,32,11,3,37,False
2019-01-13,0,32,9,4,43,False
2019-01-20,0,34,7,3,41,False
2019-01-27,0,42,9,3,46,False
2019-02-03,0,47,7,4,45,False
2019-02-10,0,42,7,4,45,False
2019-02-17,0,43,9,6,49,False
2019-02-24,0,35,7,4,43,False
2019-03-03,0,39,10,2,50,False
2019-03-10,0,36,11,4,48,False
2019-03-17,0,38,9,2,52,False
2019-03-24,0,38,11,5,47,False
2019-03-31,0,36,8,7,47,False
2019-04-07,0,42,9,4,54,False
2019-04-14,0,36,6,3,46,False
2019-04-21,0,35,11,4,53,False
2019-04-28,0,40,13,5,47,False
2019-05-05,0,39,9,7,55,False
2019-05-12,0,36,9,3,46,False
2019-05-19,0,29,12,3,37,False
2019-05-26,0,36,8,2,41,False
2019-06-02,0,36,12,2,37,False
2019-06-09,1,32,8,4,35,False
2019-06-16,0,45,8,4,40,False
2019-06-23,0,47,8,3,36,False
2019-06-30,0,41,10,2,31,False
2019-07-07,0,37,11,3,37,False
2019-07-14,0,47,7,3,37,False
2019-07-21,0,35,10,3,39,False
2019-07-28,0,35,7,2,32,False
2019-08-04,0,38,8,2,35,False
2019-08-11,0,41,11,4,32,False
2019-08-18,0,40,14,3,33,False
2019-08-25,0,33,9,4,42,False
2019-09-01,0,25,9,3,36,False
2019-09-08,0,38,9,5,40,False
2019-09-15,0,37,11,4,35,False
2019-09-22,0,36,8,5,42,False
2019-09-29,0,39,9,4,50,False
2019-10-06,0,38,9,2,43,False
2019-10-13,0,32,10,4,42,False
2019-10-20,0,38,6,4,47,False
2019-10-27,0,39,7,6,44,False
2019-11-03,0,41,11,3,44,False
2019-11-10,0,32,8,5,46,False
2019-11-17,0,42,10,3,48,False
2019-11-24,0,31,6,4,34,False
2019-12-01,0,31,9,3,49,False
2019-12-08,0,33,7,4,47,False
2019-12-15,0,37,7,2,36,False
2019-12-22,1,26,9,2,34,False
2019-12-29,0,30,9,0,39,False
2020-01-05,0,39,9,4,40,False
2020-01-12,1,40,9,3,36,False
2020-01-19,0,40,7,2,37,False
2020-01-26,0,36,11,5,42,False
2020-02-02,0,35,12,3,46,False
2020-02-09,0,100,8,4,45,False
2020-02-16,1,53,8,6,42,False
2020-02-23,0,36,7,4,47,False
2020-03-01,0,34,10,3,43,False
2020-03-08,0,32,11,5,37,False
2020-03-15,0,21,7,3,34,False
2020-03-22,0,22,9,6,35,False
2020-03-29,0,24,8,4,39,False
2020-04-05,0,30,12,4,50,False
2020-04-12,0,22,8,6,42,False
2020-04-19,0,28,10,3,48,False
2020-04-26,0,24,11,4,46,False
2020-05-03,0,28,10,3,43,False
2020-05-10,0,23,9,4,37,False
2020-05-17,0,27,8,4,39,False
2020-05-24,0,29,8,3,38,False
2020-05-31,0,25,9,2,33,False
2020-06-07,0,28,12,4,35,False
2020-06-14,0,33,10,4,38,False
2020-06-21,0,36,10,4,43,False
2020-06-28,0,29,6,3,36,False
2020-07-05,0,34,8,2,38,False
2020-07-12,0,34,8,4,41,False
2020-07-19,0,29,9,4,44,False
2020-07-26,0,34,7,2,33,False
2020-08-02,0,29,10,2,39,False
2020-08-09,0,33,10,3,43,False
2020-08-16,0,35,10,3,45,False
2020-08-23,1,24,9,3,38,False
2020-08-30,0,28,10,2,41,False
2020-09-06,0,28,8,7,36,False
2020-09-13,0,34,10,3,42,False
2020-09-20,0,37,10,4,48,False
2020-09-27,1,33,10,3,44,False
2020-10-04,0,36,11,2,44,False
2020-10-11,0,39,9,4,45,False
2020-10-18,0,33,12,5,48,False
2020-10-25,0,36,13,5,41,False
2020-11-01,0,26,6,4,34,False
2020-11-08,0,33,10,4,44,False
2020-11-15,0,37,14,6,50,False
2020-11-22,0,29,9,5,37,False
2020-11-29,0,32,9,4,42,False
2020-12-06,0,31,11,6,42,False
2020-12-13,0,34,7,3,40,False
2020-12-20,0,23,7,1,28,False
2020-12-27,0,24,11,1,30,False
2021-01-03,0,30,9,2,30,False
2021-01-10,0,31,10,3,38,False
2021-01-17,0,35,11,4,37,False
2021-01-24,0,31,14,3,44,False
2021-01-31,0,35,12,4,42,False
2021-02-07,0,34,8,5,45,False
2021-02-14,0,27,11,7,42,False
2021-02-21,0,36,12,3,50,False
2021-02-28,0,39,13,5,52,False
2021-03-07,0,38,9,6,44,False
2021-03-14,0,35,11,4,35,False
2021-03-21,0,28,9,4,43,False
2021-03-28,0,34,12,3,39,False
2021-04-04,0,34,8,2,43,False
2021-04-11,0,36,12,3,47,False
2021-04-18,0,36,9,5,41,False
2021-04-25,0,36,10,4,41,False
2021-05-02,0,34,9,4,42,False
2021-05-09,0,34,12,5,36,False
2021-05-16,0,33,11,3,36,False
2021-05-23,0,29,16,5,42,False
2021-05-30,0,37,11,3,32,False
2021-06-06,0,32,12,3,42,False
2021-06-13,0,40,11,4,38,False
2021-06-20,0,39,10,3,39,False
2021-06-27,0,35,9,2,38,False
2021-07-04,0,35,12,2,39,False
2021-07-11,0,38,10,3,36,False
2021-07-18,0,35,8,5,33,False
2021-07-25,0,34,9,2,35,False
2021-08-01,0,30,12,3,35,False
2021-08-08,0,30,11,5,35,False
2021-08-15,0,35,11,3,38,False
2021-08-22,0,32,12,2,34,False
2021-08-29,1,34,11,4,36,False
2021-09-05,1,28,13,3,35,False
2021-09-12,0,37,10,5,40,False
2021-09-19,0,34,10,4,41,False
2021-09-26,0,32,13,6,43,False
2021-10-03,0,50,12,5,44,False
2021-10-10,0,40,12,3,40,False
2021-10-17,0,37,13,6,50,False
2021-10-24,0,37,12,4,43,False
2021-10-31,0,35,13,6,35,False
2021-11-07,0,36,10,2,40,False
2021-11-14,0,35,10,4,37,False
2021-11-21,0,28,8,3,35,False
2021-11-28,0,39,10,5,47,False
2021-12-05,0,40,11,5,42,False
2021-12-12,0,34,11,3,39,False
2021-12-19,0,27,9,2,37,False
2021-12-26,0,28,10,2,31,False
2022-01-02,0,32,8,3,30,False
2022-01-09,0,34,10,3,42,False
2022-01-16,0,31,11,3,45,False
2022-01-23,0,36,10,3,41,False
2022-01-30,0,38,10,6,44,False
2022-02-06,0,42,11,3,43,False
2022-02-13,0,38,13,7,41,False
2022-02-20,0,37,13,4,46,False
2022-02-27,1,33,9,4,44,False
2022-03-06,0,35,11,3,45,False
2022-03-13,0,38,9,4,47,False
2022-03-20,1,42,12,3,37,False
2022-03-27,0,43,9,5,38,False
2022-04-03,0,38,14,5,47,False
2022-04-10,0,35,8,4,42,False
2022-04-17,0,40,11,3,49,False
2022-04-24,0,33,10,5,45,False
2022-05-01,0,41,11,5,38,False
2022-05-08,0,32,10,6,41,False
2022-05-15,0,32,12,5,40,False
2022-05-22,0,18,4,0,30,True
