date,intermediate acting insulin,Invokana,islet cell transplantation,Januvia,diabetes causes,isPartial
2017-05-28,0,53,0,60,42,False
2017-06-04,0,55,0,70,48,False
2017-06-11,0,62,0,67,51,False
2017-06-18,0,59,0,60,60,False
2017-06-25,0,59,0,66,53,False
2017-07-02,1,41,0,55,61,False
2017-07-09,0,63,0,75,62,False
2017-07-16,2,54,0,69,60,False
2017-07-23,0,62,0,69,64,False
2017-07-30,0,62,0,62,52,False
2017-08-06,0,57,0,75,50,False
2017-08-13,0,58,0,65,48,False
2017-08-20,0,56,0,67,49,False
2017-08-27,0,45,0,65,44,False
2017-09-03,1,40,0,61,48,False
2017-09-10,1,53,0,64,54,False
2017-09-17,0,45,0,86,62,False
2017-09-24,1,51,0,73,55,False
2017-10-01,1,52,0,68,60,False
2017-10-08,1,38,0,68,58,False
2017-10-15,1,58,0,81,56,False
2017-10-22,1,45,0,80,64,False
2017-10-29,1,49,0,71,67,False
2017-11-05,1,42,0,69,58,False
2017-11-12,2,45,0,72,68,False
2017-11-19,0,41,0,57,48,False
2017-11-26,0,47,0,61,63,False
2017-12-03,0,45,0,63,69,False
2017-12-10,0,40,0,60,63,False
2017-12-17,0,39,0,59,45,False
2017-12-24,0,38,0,54,44,False
2017-12-31,1,41,0,55,44,False
2018-01-07,0,44,0,82,50,False
2018-01-14,0,51,0,71,55,False
2018-01-21,1,54,0,81,62,False
2018-01-28,2,55,0,84,58,False
2018-02-04,1,49,0,74,59,False
2018-02-11,0,48,0,69,57,False
2018-02-18,1,50,0,74,64,False
2018-02-25,0,49,0,70,68,False
2018-03-04,1,55,0,81,65,False
2018-03-11,1,45,0,64,57,False
2018-03-18,0,40,0,66,58,False
2018-03-25,1,38,0,73,69,False
2018-04-01,0,38,0,75,62,False
2018-04-08,1,38,0,78,67,False
2018-04-15,1,40,0,76,63,False
2018-04-22,0,39,0,74,57,False
2018-04-29,0,38,0,60,54,False
2018-05-06,1,42,0,77,61,False
2018-05-13,0,33,0,77,50,False
2018-05-20,1,34,0,70,45,False
2018-05-27,1,34,0,65,59,False
2018-06-03,1,29,0,65,46,False
2018-06-10,1,35,0,74,43,False
2018-06-17,1,32,0,77,45,False
2018-06-24,0,40,0,78,44,False
