date,diabetes medication,Diabetes Mellitus,diabetes self care,diabetes self management,diabetes causes,isPartial
2017-05-28,18,52,1,2,41,False
2017-06-04,27,67,0,2,46,False
2017-06-11,20,62,0,1,49,False
2017-06-18,23,54,1,2,58,False
2017-06-25,19,63,1,2,51,False
2017-07-02,22,67,1,1,59,False
2017-07-09,26,64,0,2,60,False
2017-07-16,23,60,0,1,58,False
2017-07-23,26,67,0,1,62,False
2017-07-30,21,66,1,2,51,False
2017-08-06,27,65,1,1,49,False
2017-08-13,16,47,1,1,46,False
2017-08-20,16,59,0,2,47,False
2017-08-27,20,66,1,1,43,False
2017-09-03,20,50,0,2,47,False
2017-09-10,24,73,0,2,52,False
2017-09-17,20,72,1,2,60,False
2017-09-24,28,75,0,1,53,False
2017-10-01,26,72,1,2,58,False
2017-10-08,29,85,0,2,56,False
2017-10-15,29,77,1,1,54,False
2017-10-22,22,78,0,1,61,False
2017-10-29,24,72,1,3,65,False
2017-11-05,29,77,2,3,56,False
2017-11-12,24,87,1,1,65,False
2017-11-19,19,53,1,1,47,False
2017-11-26,28,92,1,1,61,False
2017-12-03,22,80,1,2,67,False
2017-12-10,26,66,0,1,61,False
2017-12-17,19,52,1,1,43,False
2017-12-24,18,33,1,1,43,False
2017-12-31,28,34,0,0,43,False
2018-01-07,27,57,1,2,48,False
2018-01-14,16,63,1,2,53,False
2018-01-21,24,72,0,3,60,False
2018-01-28,23,78,1,2,56,False
2018-02-04,25,82,2,2,57,False
2018-02-11,22,73,0,1,55,False
2018-02-18,27,83,1,2,62,False
2018-02-25,26,80,1,3,66,False
2018-03-04,28,73,1,2,63,False
2018-03-11,33,65,2,4,55,False
2018-03-18,24,87,0,2,56,False
2018-03-25,26,86,1,2,67,False
2018-04-01,24,85,1,1,60,False
2018-04-08,27,91,0,2,64,False
2018-04-15,29,94,1,1,61,False
2018-04-22,25,88,0,2,55,False
2018-04-29,29,81,1,2,53,False
2018-05-06,24,69,0,1,59,False
2018-05-13,24,57,0,2,49,False
2018-05-20,19,62,0,0,43,False
2018-05-27,28,62,0,1,57,False
2018-06-03,22,61,1,2,44,False
2018-06-10,29,65,2,2,42,False
2018-06-17,24,63,0,2,43,False
2018-06-24,24,62,0,2,43,False
2018-07-01,23,57,1,2,36,False
2018-07-08,29,70,0,1,51,False
2018-07-15,26,62,1,1,48,False
2018-07-22,27,66,1,1,48,False
2018-07-29,24,62,1,1,48,False
2018-08-05,27,57,0,2,44,False
2018-08-12,28,58,1,1,44,False
2018-08-19,25,54,1,1,44,False
2018-08-26,33,70,0,2,47,False
2018-09-02,33,65,0,2,46,False
2018-09-09,30,72,0,2,46,False
2018-09-16,32,79,1,3,62,False
2018-09-23,32,79,1,3,52,False
2018-09-30,27,75,2,1,61,False
2018-10-07,27,78,1,1,60,False
2018-10-14,29,76,0,2,54,False
2018-10-21,27,71,1,1,56,False
2018-10-28,27,75,0,2,61,False
2018-11-04,29,92,1,2,59,False
2018-11-11,28,83,0,1,61,False
2018-11-18,17,54,1,1,59,False
2018-11-25,31,73,1,1,65,False
2018-12-02,33,87,0,2,63,False
2018-12-09,29,70,1,1,58,False
2018-12-16,27,58,0,1,55,False
2018-12-23,23,47,1,0,44,False
2018-12-30,26,39,1,1,53,False
2019-01-06,29,56,0,2,48,False
2019-01-13,25,71,0,2,56,False
2019-01-20,30,76,0,2,53,False
2019-01-27,30,81,0,1,60,False
2019-02-03,28,79,1,3,59,False
2019-02-10,31,76,2,1,58,False
2019-02-17,30,79,0,2,64,False
2019-02-24,29,72,1,2,56,False
2019-03-03,32,82,1,2,65,False
2019-03-10,32,76,1,2,62,False
2019-03-17,28,79,0,2,67,False
2019-03-24,30,81,1,0,61,False
2019-03-31,28,77,0,2,61,False
2019-04-07,32,91,1,1,70,False
2019-04-14,32,95,1,1,60,False
2019-04-21,30,87,1,2,68,False
2019-04-28,26,85,0,1,60,False
2019-05-05,30,72,0,1,71,False
2019-05-12,32,66,0,1,59,False
2019-05-19,31,68,0,1,48,False
2019-05-26,26,65,1,1,53,False
2019-06-02,26,70,0,1,49,False
2019-06-09,24,66,0,1,45,False
2019-06-16,30,63,1,1,52,False
2019-06-23,34,73,1,1,46,False
2019-06-30,26,55,1,1,41,False
2019-07-07,33,68,0,2,49,False
2019-07-14,28,69,1,2,48,False
2019-07-21,20,68,1,2,50,False
2019-07-28,28,72,0,1,41,False
2019-08-04,26,63,1,2,45,False
2019-08-11,27,58,0,3,41,False
2019-08-18,28,63,0,1,42,False
2019-08-25,23,69,1,1,55,False
2019-09-01,25,66,0,1,47,False
2019-09-08,28,76,0,1,52,False
2019-09-15,30,87,1,1,46,False
2019-09-22,31,74,0,3,55,False
2019-09-29,25,80,1,1,65,False
2019-10-06,27,81,1,1,56,False
2019-10-13,30,69,1,0,54,False
2019-10-20,30,81,1,2,61,False
2019-10-27,31,73,1,1,58,False
2019-11-03,37,89,1,3,57,False
2019-11-10,31,89,1,1,60,False
2019-11-17,31,89,2,2,63,False
2019-11-24,23,60,0,1,44,False
2019-12-01,32,80,0,2,64,False
2019-12-08,26,66,0,2,61,False
2019-12-15,27,65,0,1,47,False
2019-12-22,20,37,0,0,44,False
2019-12-29,23,42,1,0,50,False
2020-01-05,29,63,1,2,51,False
2020-01-12,32,75,0,2,47,False
2020-01-19,33,81,1,1,48,False
2020-01-26,31,85,0,1,54,False
2020-02-02,30,81,1,2,60,False
2020-02-09,34,96,0,1,58,False
2020-02-16,30,78,0,1,54,False
2020-02-23,33,83,1,1,61,False
2020-03-01,27,80,1,2,55,False
2020-03-08,26,80,0,1,47,False
2020-03-15,25,68,1,1,44,False
2020-03-22,26,71,0,2,45,False
2020-03-29,27,87,1,1,50,False
2020-04-05,27,90,0,1,64,False
2020-04-12,23,80,1,1,54,False
2020-04-19,25,92,1,1,62,False
2020-04-26,27,86,1,0,59,False
2020-05-03,28,74,0,0,55,False
2020-05-10,26,66,0,1,47,False
2020-05-17,27,66,0,1,51,False
2020-05-24,29,58,1,1,49,False
2020-05-31,20,63,0,1,42,False
2020-06-07,30,72,0,2,45,False
2020-06-14,31,72,1,1,49,False
2020-06-21,32,64,1,0,56,False
2020-06-28,26,48,1,3,47,False
2020-07-05,30,73,0,1,49,False
2020-07-12,24,57,0,1,53,False
2020-07-19,30,80,0,1,57,False
2020-07-26,24,67,1,1,43,False
2020-08-02,28,72,0,0,50,False
2020-08-09,27,65,0,1,56,False
2020-08-16,28,63,0,1,59,False
2020-08-23,26,74,1,2,50,False
2020-08-30,26,73,0,1,53,False
2020-09-06,28,70,1,1,47,False
2020-09-13,33,77,1,0,54,False
2020-09-20,33,74,0,2,63,False
2020-09-27,35,73,1,2,58,False
2020-10-04,35,83,0,1,57,False
2020-10-11,39,85,1,2,58,False
2020-10-18,30,83,0,1,62,False
2020-10-25,34,77,1,2,53,False
2020-11-01,29,78,1,1,45,False
2020-11-08,35,85,0,0,57,False
2020-11-15,36,99,1,1,65,False
2020-11-22,27,61,0,0,48,False
2020-11-29,32,85,1,2,54,False
2020-12-06,34,97,1,1,54,False
2020-12-13,27,58,0,1,52,False
2020-12-20,17,48,0,0,36,False
2020-12-27,20,50,0,1,38,False
2021-01-03,25,59,1,1,39,False
2021-01-10,27,69,0,1,49,False
2021-01-17,34,85,1,0,49,False
2021-01-24,41,95,1,2,57,False
2021-01-31,30,83,1,2,55,False
2021-02-07,36,82,0,1,58,False
2021-02-14,37,85,0,1,54,False
2021-02-21,36,95,1,2,65,False
2021-02-28,43,100,1,1,68,False
2021-03-07,43,92,1,2,57,False
2021-03-14,32,96,1,1,46,False
2021-03-21,30,81,0,1,56,False
2021-03-28,34,84,1,2,50,False
2021-04-04,33,89,0,2,55,False
2021-04-11,34,88,1,1,61,False
2021-04-18,33,97,1,1,54,False
2021-04-25,32,86,1,1,54,False
2021-05-02,34,82,1,1,54,False
2021-05-09,38,67,1,1,46,False
2021-05-16,31,71,1,2,47,False
2021-05-23,32,66,1,1,55,False
2021-05-30,33,63,1,1,42,False
2021-06-06,40,61,0,1,55,False
2021-06-13,37,77,0,3,50,False
2021-06-20,27,60,1,2,51,False
2021-06-27,29,65,0,0,49,False
2021-07-04,26,57,0,1,50,False
2021-07-11,34,54,0,1,47,False
2021-07-18,33,69,1,1,43,False
2021-07-25,33,68,1,1,45,False
2021-08-01,31,68,0,1,45,False
2021-08-08,26,62,0,0,46,False
2021-08-15,33,58,1,1,49,False
2021-08-22,31,56,0,1,44,False
2021-08-29,27,71,0,1,47,False
2021-09-05,34,70,0,0,45,False
2021-09-12,39,71,1,1,52,False
2021-09-19,30,80,1,1,54,False
2021-09-26,43,71,1,1,56,False
2021-10-03,38,72,0,0,57,False
2021-10-10,35,82,0,0,52,False
2021-10-17,31,76,2,2,64,False
2021-10-24,35,82,0,1,55,False
2021-10-31,32,74,0,1,46,False
2021-11-07,36,76,1,1,52,False
2021-11-14,37,85,2,2,48,False
2021-11-21,23,63,0,1,45,False
2021-11-28,33,88,1,1,61,False
2021-12-05,36,77,0,1,54,False
