date,Lantus,Levemir,linagliptin,Lispro,diabetes causes,isPartial
2017-05-28,75,33,5,9,39,False
2017-06-04,74,38,5,16,44,False
2017-06-11,80,33,6,10,47,False
2017-06-18,74,38,4,12,55,False
2017-06-25,81,33,5,13,49,False
2017-07-02,78,34,2,11,57,False
2017-07-09,89,37,6,13,58,False
2017-07-16,83,40,2,14,56,False
2017-07-23,76,33,4,13,59,False
2017-07-30,88,46,6,15,48,False
2017-08-06,83,36,4,18,46,False
2017-08-13,82,37,8,14,44,False
2017-08-20,74,35,6,15,45,False
2017-08-27,73,30,9,15,41,False
2017-09-03,70,31,4,13,44,False
2017-09-10,76,37,5,15,50,False
2017-09-17,77,36,5,15,57,False
2017-09-24,81,36,5,18,50,False
2017-10-01,70,32,5,17,55,False
2017-10-08,72,31,5,20,53,False
2017-10-15,90,40,5,15,52,False
2017-10-22,88,31,5,14,59,False
2017-10-29,78,41,5,17,62,False
2017-11-05,88,40,3,22,53,False
2017-11-12,85,35,7,18,62,False
2017-11-19,75,24,5,15,45,False
2017-11-26,76,36,5,24,58,False
2017-12-03,77,33,4,18,64,False
2017-12-10,79,33,7,17,58,False
2017-12-17,71,28,3,11,41,False
2017-12-24,62,32,4,14,41,False
2017-12-31,69,26,4,15,41,False
2018-01-07,82,43,6,15,46,False
2018-01-14,83,42,6,15,51,False
2018-01-21,93,46,4,14,57,False
2018-01-28,84,43,5,19,53,False
2018-02-04,99,38,7,18,55,False
2018-02-11,84,41,5,24,52,False
2018-02-18,83,36,3,22,59,False
2018-02-25,88,42,5,20,63,False
2018-03-04,80,39,5,16,60,False
2018-03-11,84,35,5,19,52,False
2018-03-18,79,39,4,17,54,False
2018-03-25,81,41,5,16,64,False
2018-04-01,90,41,6,18,57,False
2018-04-08,88,40,7,22,61,False
2018-04-15,83,42,5,21,58,False
2018-04-22,89,45,5,14,53,False
2018-04-29,80,36,6,18,50,False
2018-05-06,91,36,6,15,56,False
2018-05-13,87,29,5,15,46,False
2018-05-20,91,33,5,23,41,False
2018-05-27,84,33,5,16,54,False
2018-06-03,100,43,6,15,42,False
2018-06-10,83,35,6,18,40,False
2018-06-17,87,40,5,13,41,False
2018-06-24,77,36,5,17,41,False
2018-07-01,75,31,4,16,34,False
2018-07-08,87,44,6,16,49,False
2018-07-15,86,37,5,14,46,False
2018-07-22,78,36,2,16,46,False
2018-07-29,78,30,7,15,45,False
2018-08-05,80,37,4,16,42,False
2018-08-12,84,39,6,18,42,False
2018-08-19,84,36,6,14,42,False
2018-08-26,90,39,4,16,45,False
2018-09-02,74,30,4,17,44,False
2018-09-09,78,27,6,16,44,False
2018-09-16,80,33,7,15,59,False
2018-09-23,70,33,4,23,50,False
2018-09-30,82,38,6,21,58,False
2018-10-07,75,34,6,16,57,False
2018-10-14,73,38,4,21,51,False
2018-10-21,88,37,6,21,53,False
2018-10-28,77,33,6,15,58,False
2018-11-04,74,38,2,20,56,False
2018-11-11,67,37,4,21,58,False
2018-11-18,69,28,3,13,57,False
2018-11-25,84,36,4,20,62,False
2018-12-02,68,35,4,15,61,False
2018-12-09,73,36,5,14,56,False
2018-12-16,77,31,6,17,52,False
2018-12-23,56,22,6,13,42,False
2018-12-30,71,34,3,13,51,False
2019-01-06,71,35,5,16,46,False
2019-01-13,87,32,8,20,53,False
2019-01-20,90,38,7,21,50,False
2019-01-27,95,37,5,21,57,False
2019-02-03,85,34,9,22,56,False
2019-02-10,81,35,6,22,55,False
2019-02-17,85,36,5,27,61,False
2019-02-24,87,37,5,17,53,False
2019-03-03,82,37,4,23,62,False
2019-03-10,78,41,7,24,59,False
2019-03-17,76,36,5,21,64,False
2019-03-24,77,32,7,25,58,False
2019-03-31,90,31,4,21,58,False
2019-04-07,90,25,5,19,66,False
2019-04-14,76,34,5,23,57,False
2019-04-21,76,33,6,22,65,False
2019-04-28,78,32,4,16,58,False
2019-05-05,74,34,6,21,68,False
2019-05-12,83,37,5,22,57,False
2019-05-19,79,32,5,28,46,False
2019-05-26,83,27,4,19,51,False
2019-06-02,81,31,4,17,46,False
2019-06-09,78,36,6,24,43,False
2019-06-16,78,37,4,26,50,False
2019-06-23,80,34,4,24,44,False
2019-06-30,72,34,6,25,39,False
2019-07-07,88,34,5,23,46,False
2019-07-14,78,32,6,26,46,False
2019-07-21,80,32,4,26,48,False
2019-07-28,83,37,4,23,39,False
2019-08-04,84,31,4,20,43,False
2019-08-11,76,33,5,20,39,False
2019-08-18,87,35,4,23,40,False
2019-08-25,73,28,4,22,53,False
2019-09-01,76,30,5,22,45,False
2019-09-08,81,28,6,20,49,False
2019-09-15,87,30,3,22,44,False
2019-09-22,73,37,6,26,52,False
2019-09-29,74,33,4,25,62,False
2019-10-06,69,26,4,22,53,False
2019-10-13,76,24,4,23,52,False
2019-10-20,72,35,4,26,59,False
2019-10-27,77,33,5,28,55,False
2019-11-03,84,32,4,28,55,False
2019-11-10,76,29,4,24,57,False
2019-11-17,76,33,5,30,60,False
2019-11-24,60,25,4,16,42,False
2019-12-01,73,35,2,25,61,False
2019-12-08,71,29,5,22,59,False
2019-12-15,63,32,5,21,44,False
2019-12-22,58,26,0,20,42,False
2019-12-29,68,30,5,20,48,False
2020-01-05,88,33,4,25,49,False
2020-01-12,81,34,6,24,45,False
2020-01-19,89,38,6,22,45,False
2020-01-26,87,36,4,28,52,False
2020-02-02,85,35,5,34,57,False
2020-02-09,81,33,5,30,56,False
2020-02-16,96,35,4,32,52,False
2020-02-23,82,37,5,27,58,False
2020-03-01,81,30,4,23,53,False
2020-03-08,92,32,4,26,45,False
2020-03-15,79,28,2,21,42,False
2020-03-22,74,27,3,17,43,False
2020-03-29,65,24,3,23,48,False
2020-04-05,70,26,4,22,61,False
2020-04-12,67,29,5,20,51,False
2020-04-19,71,21,2,23,59,False
2020-04-26,70,25,5,21,56,False
2020-05-03,63,27,4,20,53,False
2020-05-10,67,27,2,21,45,False
2020-05-17,73,28,5,19,49,False
2020-05-24,68,23,4,16,47,False
2020-05-31,69,25,5,23,40,False
2020-06-07,74,30,5,27,43,False
2020-06-14,71,25,5,20,47,False
2020-06-21,73,36,4,24,54,False
2020-06-28,68,26,5,26,45,False
2020-07-05,72,30,4,23,47,False
2020-07-12,75,28,3,24,51,False
2020-07-19,73,29,3,24,54,False
2020-07-26,86,34,3,21,41,False
2020-08-02,77,26,4,24,48,False
2020-08-09,81,24,4,21,53,False
2020-08-16,84,28,3,22,56,False
2020-08-23,76,28,6,21,47,False
2020-08-30,67,23,3,20,50,False
2020-09-06,70,22,3,20,44,False
2020-09-13,72,24,3,22,52,False
2020-09-20,76,26,3,26,60,False
2020-09-27,80,24,4,29,55,False
2020-10-04,91,26,5,24,54,False
2020-10-11,85,28,6,25,55,False
2020-10-18,82,27,3,27,59,False
2020-10-25,74,34,6,25,50,False
2020-11-01,68,25,3,24,43,False
2020-11-08,79,28,5,27,54,False
2020-11-15,80,29,5,32,62,False
2020-11-22,68,24,3,22,46,False
2020-11-29,73,31,4,26,52,False
2020-12-06,67,23,6,23,52,False
2020-12-13,73,28,6,23,50,False
2020-12-20,55,20,3,24,34,False
2020-12-27,64,27,4,23,37,False
2021-01-03,81,27,5,25,37,False
2021-01-10,91,30,5,29,47,False
2021-01-17,80,29,5,24,46,False
2021-01-24,85,34,3,28,54,False
