date,long acting insulin,meglitinides,metformin,miglitol,diabetes causes,isPartial
2017-05-28,0,0,38,0,4,False
2017-06-04,1,0,41,0,5,False
2017-06-11,1,0,43,0,5,False
2017-06-18,1,0,41,0,6,False
2017-06-25,1,0,43,0,5,False
2017-07-02,1,0,43,0,6,False
2017-07-09,1,0,43,0,6,False
2017-07-16,0,0,43,0,6,False
2017-07-23,1,0,43,0,6,False
2017-07-30,1,0,46,0,5,False
2017-08-06,1,0,44,0,5,False
2017-08-13,1,0,40,0,5,False
2017-08-20,1,0,40,0,5,False
2017-08-27,1,0,39,0,4,False
2017-09-03,1,0,39,0,5,False
2017-09-10,1,0,39,0,5,False
2017-09-17,1,0,41,0,6,False
2017-09-24,1,0,40,0,5,False
2017-10-01,1,0,39,0,6,False
2017-10-08,1,0,43,0,6,False
2017-10-15,1,0,42,0,5,False
2017-10-22,1,0,40,0,6,False
2017-10-29,1,0,39,0,6,False
2017-11-05,1,0,41,0,6,False
2017-11-12,1,0,41,0,6,False
2017-11-19,1,0,34,0,5,False
2017-11-26,1,0,38,0,6,False
2017-12-03,1,0,38,0,7,False
2017-12-10,1,0,35,0,6,False
2017-12-17,1,0,35,0,4,False
2017-12-24,1,0,32,0,4,False
2017-12-31,1,0,32,0,4,False
2018-01-07,1,0,38,0,5,False
2018-01-14,1,0,40,0,5,False
2018-01-21,1,0,41,0,6,False
2018-01-28,1,0,42,0,5,False
2018-02-04,1,0,46,0,6,False
2018-02-11,1,0,42,0,5,False
2018-02-18,1,0,42,0,6,False
2018-02-25,1,0,42,0,7,False
2018-03-04,1,0,41,0,6,False
2018-03-11,1,0,43,0,5,False
2018-03-18,1,0,43,0,6,False
2018-03-25,1,0,41,0,7,False
2018-04-01,1,0,44,0,6,False
2018-04-08,1,0,43,0,6,False
2018-04-15,1,0,44,0,6,False
2018-04-22,1,0,45,0,5,False
2018-04-29,1,0,44,0,5,False
2018-05-06,1,0,42,0,6,False
2018-05-13,1,0,40,0,5,False
2018-05-20,1,0,41,0,4,False
2018-05-27,1,0,39,0,6,False
2018-06-03,1,0,44,0,4,False
2018-06-10,1,0,46,0,4,False
2018-06-17,1,0,43,0,4,False
2018-06-24,1,0,42,0,4,False
2018-07-01,1,0,39,0,4,False
2018-07-08,1,0,44,0,5,False
2018-07-15,1,0,45,0,5,False
2018-07-22,1,0,44,0,5,False
2018-07-29,1,0,46,0,5,False
2018-08-05,1,0,45,0,4,False
2018-08-12,1,0,46,0,4,False
2018-08-19,1,0,44,0,4,False
2018-08-26,1,0,47,0,5,False
2018-09-02,1,0,39,0,5,False
2018-09-09,1,0,42,0,5,False
2018-09-16,1,0,43,0,6,False
2018-09-23,1,0,42,0,5,False
2018-09-30,1,0,38,0,6,False
2018-10-07,1,0,39,0,6,False
2018-10-14,1,0,44,0,5,False
2018-10-21,1,0,41,0,5,False
2018-10-28,1,0,42,0,6,False
2018-11-04,1,0,41,0,6,False
2018-11-11,1,0,40,0,6,False
2018-11-18,1,0,36,0,6,False
2018-11-25,1,0,40,0,6,False
2018-12-02,1,0,39,0,6,False
2018-12-09,0,0,38,0,6,False
2018-12-16,1,0,35,0,5,False
2018-12-23,1,0,36,0,4,False
2018-12-30,1,0,36,0,5,False
2019-01-06,1,0,44,0,5,False
2019-01-13,1,0,42,0,5,False
2019-01-20,1,0,43,0,5,False
2019-01-27,1,0,45,0,6,False
2019-02-03,1,0,46,0,6,False
