date,Nateglinide,Nesina,Novolin,Novolin N,diabetes causes,isPartial
2017-05-28,5,3,26,5,57,False
2017-06-04,3,3,25,5,65,False
2017-06-11,3,2,26,9,69,False
2017-06-18,3,2,29,8,81,False
2017-06-25,4,3,31,7,72,False
2017-07-02,4,4,29,6,83,False
2017-07-09,3,3,33,9,84,False
2017-07-16,5,1,32,9,82,False
2017-07-23,7,3,32,10,87,False
2017-07-30,4,3,26,7,71,False
2017-08-06,4,5,26,9,68,False
2017-08-13,6,1,29,9,64,False
2017-08-20,6,5,21,9,66,False
2017-08-27,5,3,27,9,60,False
2017-09-03,5,4,35,13,65,False
2017-09-10,6,4,23,7,73,False
2017-09-17,3,3,31,7,83,False
2017-09-24,5,3,22,5,74,False
2017-10-01,5,1,31,11,81,False
2017-10-08,5,3,30,9,78,False
2017-10-15,4,3,28,6,76,False
2017-10-22,5,4,36,9,86,False
2017-10-29,4,4,23,7,91,False
2017-11-05,5,2,33,9,78,False
2017-11-12,5,5,28,6,92,False
2017-11-19,8,2,22,7,65,False
2017-11-26,5,2,24,6,85,False
2017-12-03,4,2,27,9,93,False
2017-12-10,5,4,26,9,85,False
2017-12-17,4,1,24,8,61,False
2017-12-24,1,1,22,8,60,False
2017-12-31,3,2,25,7,60,False
2018-01-07,4,3,35,10,67,False
2018-01-14,5,5,29,7,74,False
2018-01-21,5,1,36,8,84,False
2018-01-28,5,3,24,6,78,False
2018-02-04,4,4,37,11,80,False
2018-02-11,4,3,36,11,77,False
2018-02-18,6,1,23,7,86,False
2018-02-25,5,2,30,8,92,False
2018-03-04,7,4,32,6,88,False
2018-03-11,8,4,25,8,76,False
2018-03-18,3,3,34,8,79,False
2018-03-25,4,5,29,8,93,False
2018-04-01,5,5,32,7,84,False
2018-04-08,5,4,36,8,90,False
2018-04-15,5,4,35,5,85,False
2018-04-22,8,4,28,8,78,False
2018-04-29,3,4,28,8,74,False
2018-05-06,4,3,32,10,83,False
2018-05-13,4,4,24,6,68,False
2018-05-20,4,6,31,10,60,False
2018-05-27,4,4,34,10,80,False
2018-06-03,5,4,29,10,62,False
2018-06-10,7,1,32,10,58,False
2018-06-17,1,2,24,6,60,False
2018-06-24,5,1,32,10,60,False
2018-07-01,4,1,24,7,50,False
2018-07-08,3,3,34,8,72,False
2018-07-15,4,5,30,10,67,False
2018-07-22,7,2,31,12,68,False
2018-07-29,4,5,30,7,67,False
2018-08-05,4,2,34,9,62,False
2018-08-12,3,2,32,11,62,False
2018-08-19,6,3,28,8,62,False
2018-08-26,5,3,30,11,66,False
2018-09-02,6,4,31,9,64,False
2018-09-09,2,3,38,8,65,False
2018-09-16,2,4,33,11,87,False
2018-09-23,8,1,22,8,73,False
2018-09-30,8,3,21,8,85,False
2018-10-07,6,3,27,10,84,False
2018-10-14,5,2,31,9,75,False
2018-10-21,5,1,30,11,78,False
2018-10-28,3,3,27,10,85,False
2018-11-04,3,3,26,6,82,False
2018-11-11,5,2,23,6,85,False
2018-11-18,3,1,27,9,83,False
2018-11-25,3,2,32,10,91,False
2018-12-02,6,4,30,8,89,False
2018-12-09,5,3,27,6,82,False
2018-12-16,6,3,29,11,77,False
2018-12-23,4,3,23,9,61,False
2018-12-30,3,3,30,9,74,False
2019-01-06,4,5,37,11,67,False
2019-01-13,5,2,44,11,78,False
2019-01-20,5,1,38,10,74,False
2019-01-27,4,2,32,9,84,False
2019-02-03,5,3,38,10,82,False
2019-02-10,5,2,38,12,81,False
2019-02-17,6,3,36,10,89,False
2019-02-24,5,4,31,11,78,False
2019-03-03,5,3,40,11,91,False
2019-03-10,4,0,34,11,86,False
2019-03-17,8,4,30,7,94,False
2019-03-24,8,2,37,11,85,False
2019-03-31,4,2,29,6,85,False
2019-04-07,5,3,41,13,97,False
2019-04-14,6,2,29,8,84,False
2019-04-21,5,3,35,10,95,False
2019-04-28,6,4,33,10,85,False
2019-05-05,6,1,35,9,100,False
2019-05-12,3,2,37,11,83,False
2019-05-19,7,1,38,7,67,False
2019-05-26,5,3,32,7,74,False
2019-06-02,4,1,39,9,68,False
2019-06-09,6,2,32,8,63,False
2019-06-16,8,4,36,10,73,False
2019-06-23,5,4,32,13,65,False
2019-06-30,4,2,34,7,57,False
2019-07-07,6,3,33,7,68,False
2019-07-14,4,1,30,10,67,False
2019-07-21,5,2,32,10,70,False
2019-07-28,4,2,39,8,58,False
2019-08-04,2,4,36,7,63,False
2019-08-11,4,1,35,7,58,False
2019-08-18,5,2,35,9,59,False
2019-08-25,4,3,37,8,77,False
2019-09-01,3,3,24,4,66,False
2019-09-08,6,3,33,11,72,False
2019-09-15,7,3,27,7,64,False
2019-09-22,3,4,40,10,76,False
2019-09-29,5,2,41,9,91,False
2019-10-06,6,1,30,6,78,False
2019-10-13,4,3,38,10,76,False
2019-10-20,4,3,33,7,86,False
2019-10-27,4,3,27,7,81,False
2019-11-03,6,4,34,7,80,False
2019-11-10,6,2,33,9,84,False
2019-11-17,3,3,32,8,88,False
2019-11-24,3,2,25,3,62,False
2019-12-01,4,4,27,5,89,False
2019-12-08,4,3,33,11,86,False
2019-12-15,3,1,33,7,65,False
