date,Novolog,NPH insulin,Onglyza,oral hypoglycemic agents,diabetes causes,isPartial
2017-05-28,54,19,12,1,57,False
2017-06-04,60,17,12,2,65,False
2017-06-11,62,16,17,2,69,False
2017-06-18,76,18,12,0,81,False
2017-06-25,66,18,13,1,72,False
2017-07-02,69,15,6,1,83,False
2017-07-09,65,19,16,1,84,False
2017-07-16,66,20,10,1,82,False
2017-07-23,63,20,16,0,87,False
2017-07-30,68,23,15,1,71,False
2017-08-06,63,22,15,1,68,False
2017-08-13,74,17,14,0,64,False
2017-08-20,70,25,19,1,66,False
2017-08-27,71,22,9,0,60,False
2017-09-03,68,18,6,2,65,False
2017-09-10,76,22,16,0,73,False
2017-09-17,80,26,16,0,83,False
2017-09-24,65,20,17,1,74,False
2017-10-01,72,28,14,1,81,False
2017-10-08,73,23,11,1,78,False
2017-10-15,64,26,16,1,76,False
2017-10-22,72,26,10,1,86,False
2017-10-29,68,22,12,1,91,False
2017-11-05,80,26,11,1,78,False
2017-11-12,73,21,12,1,92,False
2017-11-19,60,13,8,2,65,False
2017-11-26,67,20,18,1,85,False
2017-12-03,65,27,10,2,93,False
2017-12-10,60,25,12,1,85,False
2017-12-17,72,11,12,0,61,False
2017-12-24,62,10,9,1,60,False
2017-12-31,62,13,8,1,60,False
2018-01-07,76,20,13,1,67,False
2018-01-14,73,23,12,0,74,False
2018-01-21,81,26,19,1,84,False
2018-01-28,87,30,19,0,78,False
2018-02-04,78,20,18,1,80,False
2018-02-11,76,26,14,1,77,False
2018-02-18,77,25,17,2,86,False
2018-02-25,80,17,13,1,92,False
2018-03-04,73,16,11,1,88,False
2018-03-11,77,22,13,0,76,False
2018-03-18,80,20,11,1,79,False
2018-03-25,80,26,12,1,93,False
2018-04-01,77,23,14,2,84,False
2018-04-08,78,25,10,1,90,False
2018-04-15,86,25,15,1,85,False
2018-04-22,74,22,11,1,78,False
2018-04-29,64,25,9,3,74,False
2018-05-06,77,21,17,2,83,False
2018-05-13,73,20,9,1,68,False
2018-05-20,65,21,15,1,60,False
2018-05-27,65,16,16,1,80,False
2018-06-03,67,21,11,0,62,False
2018-06-10,62,20,13,1,58,False
2018-06-17,70,26,10,0,60,False
2018-06-24,69,17,12,1,60,False
2018-07-01,67,19,11,1,50,False
2018-07-08,81,19,14,1,72,False
2018-07-15,71,16,15,1,67,False
2018-07-22,67,17,9,0,68,False
2018-07-29,72,20,13,0,67,False
2018-08-05,70,21,14,0,62,False
2018-08-12,68,18,11,0,62,False
2018-08-19,70,17,13,1,62,False
2018-08-26,71,19,13,1,66,False
2018-09-02,67,18,8,0,64,False
2018-09-09,76,22,11,2,65,False
2018-09-16,68,25,7,1,87,False
2018-09-23,68,23,11,1,73,False
2018-09-30,65,23,10,0,85,False
2018-10-07,57,27,7,2,84,False
2018-10-14,71,27,12,0,75,False
2018-10-21,63,17,12,2,78,False
2018-10-28,74,26,10,1,85,False
2018-11-04,74,30,13,1,82,False
2018-11-11,66,21,12,1,85,False
2018-11-18,54,21,8,1,83,False
2018-11-25,58,23,10,0,91,False
2018-12-02,66,20,11,0,89,False
2018-12-09,70,18,7,2,82,False
2018-12-16,70,20,10,0,77,False
2018-12-23,56,13,4,1,61,False
2018-12-30,67,14,9,0,74,False
2019-01-06,81,22,13,1,67,False
2019-01-13,90,17,16,0,78,False
2019-01-20,89,19,11,2,74,False
2019-01-27,92,20,16,1,84,False
2019-02-03,89,25,8,1,82,False
2019-02-10,81,25,11,0,81,False
2019-02-17,87,26,9,1,89,False
2019-02-24,73,22,8,1,78,False
2019-03-03,79,22,12,2,91,False
2019-03-10,73,16,13,3,86,False
2019-03-17,87,20,13,1,94,False
2019-03-24,71,25,10,2,85,False
2019-03-31,77,21,13,1,85,False
2019-04-07,85,23,11,2,97,False
2019-04-14,78,18,10,0,84,False
2019-04-21,65,19,10,0,95,False
2019-04-28,79,22,14,3,85,False
2019-05-05,83,23,12,2,100,False
2019-05-12,64,19,9,2,83,False
2019-05-19,78,16,12,1,67,False
2019-05-26,74,22,8,1,74,False
2019-06-02,61,23,5,2,68,False
2019-06-09,75,22,13,1,63,False
2019-06-16,79,19,11,0,73,False
2019-06-23,67,19,8,0,65,False
2019-06-30,59,16,8,0,57,False
2019-07-07,73,19,10,0,68,False
2019-07-14,80,23,9,1,67,False
2019-07-21,73,20,10,1,70,False
2019-07-28,82,20,12,0,58,False
2019-08-04,62,19,12,0,63,False
2019-08-11,77,22,8,1,58,False
2019-08-18,87,20,11,1,59,False
2019-08-25,68,23,7,0,77,False
2019-09-01,62,16,7,0,66,False
2019-09-08,75,21,11,0,72,False
2019-09-15,69,22,10,1,64,False
2019-09-22,65,25,5,1,76,False
2019-09-29,63,24,10,0,91,False
2019-10-06,79,22,10,2,78,False
2019-10-13,76,21,9,0,76,False
2019-10-20,77,22,11,1,86,False
2019-10-27,73,24,9,0,81,False
2019-11-03,81,22,7,3,80,False
2019-11-10,70,24,10,0,84,False
2019-11-17,72,26,6,0,88,False
2019-11-24,64,15,7,0,62,False
2019-12-01,64,21,9,1,89,False
2019-12-08,61,21,12,1,86,False
2019-12-15,66,14,8,0,65,False
2019-12-22,58,13,3,0,62,False
2019-12-29,67,13,6,1,70,False
2020-01-05,80,14,6,1,72,False
2020-01-12,90,18,9,1,66,False
2020-01-19,83,22,8,0,67,False
2020-01-26,83,22,12,1,76,False
2020-02-02,75,25,9,0,84,False
2020-02-09,86,21,11,1,82,False
2020-02-16,87,24,10,1,76,False
2020-02-23,87,26,12,1,86,False
2020-03-01,77,30,9,1,77,False
2020-03-08,91,21,10,1,66,False
2020-03-15,69,15,8,1,62,False
2020-03-22,72,21,5,0,64,False
2020-03-29,67,21,6,2,70,False
2020-04-05,60,21,5,0,90,False
2020-04-12,66,21,6,1,75,False
2020-04-19,66,26,7,1,87,False
2020-04-26,64,26,7,1,83,False
2020-05-03,58,27,7,1,77,False
2020-05-10,59,19,7,1,66,False
2020-05-17,64,17,9,1,71,False
2020-05-24,60,15,6,0,69,False
2020-05-31,61,17,5,2,59,False
2020-06-07,63,18,5,1,63,False
2020-06-14,62,22,5,0,69,False
2020-06-21,56,21,6,1,79,False
2020-06-28,58,15,8,0,65,False
2020-07-05,72,17,9,0,69,False
2020-07-12,58,20,8,2,75,False
2020-07-19,76,20,6,1,80,False
2020-07-26,68,18,6,1,60,False
2020-08-02,64,17,10,0,71,False
2020-08-09,67,18,10,0,78,False
2020-08-16,68,20,8,1,82,False
2020-08-23,63,16,5,1,70,False
2020-08-30,57,20,8,2,74,False
2020-09-06,53,19,6,1,65,False
2020-09-13,54,25,7,0,76,False
2020-09-20,67,26,7,1,88,False
2020-09-27,58,29,5,1,81,False
