date,pancreatic transplantation,parenteral glucagon emergency,pioglitazone,Pramlintide,diabetes causes,isPartial
2017-05-28,0,0,26,1,57,False
2017-06-04,0,0,32,1,65,False
2017-06-11,0,0,26,3,69,False
2017-06-18,0,0,32,2,81,False
2017-06-25,0,0,28,1,72,False
2017-07-02,0,0,29,1,83,False
2017-07-09,0,0,29,1,84,False
2017-07-16,0,0,32,1,82,False
2017-07-23,0,0,29,4,87,False
2017-07-30,0,0,31,1,71,False
2017-08-06,0,0,42,2,68,False
2017-08-13,0,0,34,1,64,False
2017-08-20,0,0,39,1,66,False
2017-08-27,0,0,33,2,60,False
2017-09-03,0,0,33,3,65,False
2017-09-10,0,0,37,2,73,False
2017-09-17,0,0,38,2,83,False
2017-09-24,0,0,44,3,74,False
2017-10-01,0,0,31,1,81,False
2017-10-08,0,0,40,1,78,False
2017-10-15,0,0,42,2,76,False
2017-10-22,0,0,29,2,86,False
2017-10-29,0,0,36,1,91,False
2017-11-05,0,0,39,1,78,False
2017-11-12,0,0,36,2,92,False
2017-11-19,0,0,28,2,65,False
2017-11-26,0,0,34,1,85,False
2017-12-03,0,0,46,2,93,False
2017-12-10,0,0,31,0,85,False
2017-12-17,0,0,36,1,61,False
2017-12-24,0,0,24,0,60,False
2017-12-31,0,0,29,1,60,False
2018-01-07,0,0,38,1,67,False
2018-01-14,0,0,35,0,74,False
2018-01-21,0,0,35,2,84,False
2018-01-28,0,0,46,1,78,False
2018-02-04,0,0,43,2,80,False
2018-02-11,0,0,39,4,77,False
2018-02-18,0,0,41,1,86,False
2018-02-25,0,0,44,4,92,False
2018-03-04,0,0,40,2,88,False
2018-03-11,0,0,39,2,76,False
2018-03-18,0,0,37,2,79,False
2018-03-25,0,0,36,2,93,False
2018-04-01,0,0,37,3,84,False
2018-04-08,0,0,39,3,90,False
2018-04-15,0,0,42,2,85,False
2018-04-22,0,0,49,3,78,False
2018-04-29,0,0,36,1,74,False
2018-05-06,0,0,36,0,83,False
2018-05-13,0,0,35,2,68,False
2018-05-20,0,0,39,1,60,False
2018-05-27,0,0,32,1,80,False
2018-06-03,0,0,38,3,62,False
2018-06-10,0,0,39,3,58,False
2018-06-17,0,0,43,3,60,False
2018-06-24,0,0,27,2,60,False
2018-07-01,0,0,36,1,50,False
2018-07-08,0,0,44,1,72,False
2018-07-15,0,0,38,3,67,False
2018-07-22,0,0,45,2,68,False
2018-07-29,0,0,32,2,67,False
2018-08-05,0,0,41,1,62,False
2018-08-12,0,0,45,2,62,False
2018-08-19,0,0,43,1,62,False
2018-08-26,0,0,46,1,66,False
2018-09-02,0,0,27,1,64,False
2018-09-09,0,0,39,0,65,False
2018-09-16,0,0,32,2,87,False
2018-09-23,0,0,36,3,73,False
2018-09-30,0,0,40,1,85,False
2018-10-07,0,0,39,2,84,False
2018-10-14,0,0,36,1,75,False
2018-10-21,0,0,45,3,78,False
2018-10-28,0,0,42,1,85,False
2018-11-04,0,0,38,2,82,False
2018-11-11,0,0,43,3,85,False
2018-11-18,0,0,30,3,83,False
2018-11-25,0,0,38,0,91,False
2018-12-02,0,0,42,0,89,False
2018-12-09,0,0,42,2,82,False
2018-12-16,0,0,36,2,77,False
2018-12-23,0,0,31,1,61,False
2018-12-30,0,0,33,2,74,False
2019-01-06,0,0,42,0,67,False
2019-01-13,0,0,39,2,78,False
2019-01-20,0,0,45,2,74,False
2019-01-27,0,0,40,1,84,False
2019-02-03,0,0,45,3,82,False
2019-02-10,0,0,41,2,81,False
2019-02-17,0,0,44,2,89,False
2019-02-24,0,0,33,2,78,False
2019-03-03,0,0,42,2,91,False
2019-03-10,0,0,46,1,86,False
2019-03-17,0,0,40,2,94,False
2019-03-24,0,0,39,1,85,False
2019-03-31,0,0,43,2,85,False
2019-04-07,0,0,50,2,97,False
2019-04-14,0,0,34,2,84,False
2019-04-21,0,0,46,0,95,False
2019-04-28,0,0,51,0,85,False
2019-05-05,0,0,44,4,100,False
2019-05-12,0,0,45,1,83,False
2019-05-19,0,0,47,0,67,False
2019-05-26,0,0,42,4,74,False
2019-06-02,0,0,51,1,68,False
2019-06-09,0,0,38,3,63,False
2019-06-16,0,0,41,2,73,False
2019-06-23,0,0,38,1,65,False
2019-06-30,0,0,38,0,57,False
2019-07-07,0,0,42,3,68,False
2019-07-14,0,0,48,2,67,False
2019-07-21,0,0,41,1,70,False
2019-07-28,0,0,38,1,58,False
2019-08-04,0,0,54,2,63,False
2019-08-11,0,0,37,0,58,False
2019-08-18,0,0,30,3,59,False
2019-08-25,0,0,42,1,77,False
2019-09-01,0,0,37,1,66,False
2019-09-08,0,0,40,2,72,False
2019-09-15,0,0,45,3,64,False
2019-09-22,0,0,50,1,76,False
2019-09-29,0,0,46,2,91,False
2019-10-06,0,0,52,0,78,False
2019-10-13,0,0,47,2,76,False
2019-10-20,0,0,48,3,86,False
2019-10-27,0,0,43,0,81,False
2019-11-03,0,0,61,1,80,False
2019-11-10,0,0,48,3,84,False
2019-11-17,0,0,42,2,88,False
2019-11-24,0,0,31,2,62,False
2019-12-01,0,0,45,0,89,False
2019-12-08,0,0,38,0,86,False
2019-12-15,0,0,43,1,65,False
2019-12-22,0,0,33,0,62,False
2019-12-29,0,0,30,1,70,False
2020-01-05,0,0,51,2,72,False
2020-01-12,0,0,42,2,66,False
2020-01-19,0,0,44,2,67,False
2020-01-26,0,0,46,3,76,False
2020-02-02,0,0,55,3,84,False
2020-02-09,0,0,53,3,82,False
2020-02-16,0,0,49,2,76,False
2020-02-23,0,0,47,1,86,False
2020-03-01,0,0,55,1,77,False
2020-03-08,0,0,46,1,66,False
2020-03-15,0,0,42,1,62,False
2020-03-22,0,0,38,1,64,False
2020-03-29,0,0,36,2,70,False
2020-04-05,0,0,36,0,90,False
2020-04-12,0,0,41,2,75,False
2020-04-19,0,0,35,1,87,False
2020-04-26,0,0,36,3,83,False
2020-05-03,0,0,35,1,77,False
2020-05-10,0,0,44,2,66,False
2020-05-17,0,0,42,1,71,False
2020-05-24,0,0,35,2,69,False
2020-05-31,0,0,35,1,59,False
2020-06-07,0,0,52,2,63,False
2020-06-14,0,0,46,2,69,False
2020-06-21,0,0,47,2,79,False
2020-06-28,0,0,40,2,65,False
2020-07-05,0,0,49,2,69,False
2020-07-12,0,0,44,1,75,False
2020-07-19,0,0,44,1,80,False
2020-07-26,0,0,47,1,60,False
2020-08-02,0,0,50,2,71,False
2020-08-09,0,0,45,1,78,False
2020-08-16,0,0,45,1,82,False
2020-08-23,0,0,46,1,70,False
2020-08-30,0,0,55,2,74,False
2020-09-06,0,0,44,1,65,False
2020-09-13,0,0,47,3,76,False
2020-09-20,0,0,48,2,88,False
2020-09-27,0,0,50,2,81,False
2020-10-04,0,0,54,2,79,False
2020-10-11,0,0,52,2,81,False
2020-10-18,0,0,55,1,86,False
2020-10-25,0,0,54,4,74,False
2020-11-01,0,0,40,2,63,False
2020-11-08,0,0,48,3,80,False
2020-11-15,0,0,45,1,90,False
2020-11-22,0,0,42,0,68,False
2020-11-29,0,0,49,0,76,False
2020-12-06,0,0,49,1,76,False
2020-12-13,0,0,48,2,73,False
2020-12-20,0,0,29,2,51,False
2020-12-27,0,0,37,0,54,False
2021-01-03,0,0,51,0,55,False
2021-01-10,0,0,48,1,69,False
2021-01-17,0,0,46,1,68,False
2021-01-24,0,0,55,2,80,False
2021-01-31,0,0,44,1,77,False
2021-02-07,0,0,50,2,82,False
2021-02-14,0,0,46,3,76,False
2021-02-21,0,0,50,1,90,False
2021-02-28,0,0,54,1,95,False
2021-03-07,0,0,61,1,79,False
2021-03-14,0,0,43,0,64,False
2021-03-21,0,0,50,3,78,False
2021-03-28,0,0,54,1,70,False
2021-04-04,0,0,52,2,77,False
2021-04-11,0,0,51,2,86,False
2021-04-18,0,0,52,1,75,False
2021-04-25,0,0,52,3,75,False
2021-05-02,0,0,48,1,76,False
2021-05-09,0,0,49,2,65,False
2021-05-16,0,0,48,0,66,False
2021-05-23,0,0,52,2,77,False
2021-05-30,0,0,51,0,58,False
2021-06-06,0,0,49,1,77,False
2021-06-13,0,0,59,2,70,False
2021-06-20,0,0,49,1,71,False
2021-06-27,0,0,50,2,68,False
2021-07-04,0,0,50,1,71,False
2021-07-11,0,0,53,2,66,False
2021-07-18,0,0,59,0,60,False
2021-07-25,0,0,59,1,63,False
2021-08-01,0,0,51,1,63,False
2021-08-08,0,0,48,1,64,False
2021-08-15,0,0,59,2,68,False
2021-08-22,0,0,62,1,61,False
2021-08-29,0,0,44,0,66,False
2021-09-05,0,0,48,3,63,False
2021-09-12,0,0,44,2,73,False
2021-09-19,0,0,51,3,75,False
2021-09-26,0,0,47,3,79,False
2021-10-03,0,0,62,0,80,False
2021-10-10,0,0,46,1,73,False
2021-10-17,0,0,54,2,90,False
2021-10-24,0,0,61,3,77,False
2021-10-31,0,0,53,2,64,False
2021-11-07,0,0,55,3,73,False
2021-11-14,0,0,53,1,68,False
2021-11-21,0,0,47,2,63,False
2021-11-28,0,0,55,4,85,False
2021-12-05,0,0,47,3,76,False
2021-12-12,0,0,50,1,71,False
2021-12-19,0,0,42,0,66,False
