date,prandin,precose,rapid acting insulin,Regular insulin,diabetes causes,isPartial
2017-05-28,5,2,2,17,57,False
2017-06-04,5,3,4,18,65,False
2017-06-11,6,1,2,18,69,False
2017-06-18,4,1,3,17,81,False
2017-06-25,4,3,3,20,72,False
2017-07-02,3,2,2,19,83,False
2017-07-09,5,2,2,16,84,False
2017-07-16,7,3,2,15,82,False
2017-07-23,4,4,2,18,87,False
2017-07-30,7,3,2,17,71,False
2017-08-06,4,2,2,14,68,False
2017-08-13,7,1,1,15,64,False
2017-08-20,5,1,1,16,66,False
2017-08-27,6,1,3,22,60,False
2017-09-03,2,2,2,19,65,False
2017-09-10,2,2,4,21,73,False
2017-09-17,3,2,6,22,83,False
2017-09-24,5,3,6,21,74,False
2017-10-01,4,2,4,21,81,False
2017-10-08,7,1,3,21,78,False
2017-10-15,5,2,2,22,76,False
2017-10-22,5,1,6,29,86,False
2017-10-29,4,2,4,18,91,False
2017-11-05,4,2,4,18,78,False
2017-11-12,6,0,2,21,92,False
2017-11-19,2,3,2,19,65,False
2017-11-26,2,1,1,23,85,False
2017-12-03,6,1,3,20,93,False
2017-12-10,3,4,4,17,85,False
2017-12-17,5,1,1,14,61,False
2017-12-24,4,1,3,15,60,False
2017-12-31,3,2,3,13,60,False
2018-01-07,4,1,3,19,67,False
2018-01-14,6,2,2,15,74,False
2018-01-21,7,3,3,21,84,False
2018-01-28,9,2,4,27,78,False
2018-02-04,4,4,4,24,80,False
2018-02-11,2,3,3,23,77,False
2018-02-18,4,2,1,22,86,False
2018-02-25,4,1,4,29,92,False
2018-03-04,7,1,4,21,88,False
2018-03-11,7,3,5,21,76,False
2018-03-18,5,0,4,18,79,False
2018-03-25,7,2,4,24,93,False
2018-04-01,10,2,4,21,84,False
2018-04-08,4,3,2,25,90,False
2018-04-15,4,2,4,30,85,False
2018-04-22,6,2,3,28,78,False
2018-04-29,7,3,3,25,74,False
2018-05-06,6,2,4,16,83,False
2018-05-13,5,1,2,19,68,False
2018-05-20,2,3,3,21,60,False
2018-05-27,4,2,2,23,80,False
2018-06-03,4,1,1,19,62,False
2018-06-10,4,1,4,17,58,False
2018-06-17,7,1,0,15,60,False
2018-06-24,9,3,5,17,60,False
2018-07-01,2,0,3,26,50,False
2018-07-08,7,0,3,19,72,False
2018-07-15,5,2,2,19,67,False
2018-07-22,5,2,1,17,68,False
2018-07-29,6,2,3,16,67,False
2018-08-05,3,1,3,22,62,False
2018-08-12,5,2,3,18,62,False
2018-08-19,6,4,3,18,62,False
2018-08-26,4,1,3,20,66,False
2018-09-02,2,2,2,19,64,False
2018-09-09,5,2,4,18,65,False
2018-09-16,3,3,4,21,87,False
2018-09-23,4,2,6,23,73,False
2018-09-30,6,1,5,22,85,False
2018-10-07,4,1,3,26,84,False
2018-10-14,4,2,4,22,75,False
2018-10-21,3,2,5,20,78,False
2018-10-28,6,1,2,23,85,False
2018-11-04,4,4,4,29,82,False
2018-11-11,7,3,3,23,85,False
2018-11-18,3,1,3,18,83,False
2018-11-25,6,1,3,23,91,False
2018-12-02,4,5,5,19,89,False
2018-12-09,3,1,1,18,82,False
2018-12-16,5,2,3,18,77,False
2018-12-23,6,1,1,10,61,False
2018-12-30,3,1,1,17,74,False
2019-01-06,6,2,1,23,67,False
2019-01-13,6,2,5,19,78,False
2019-01-20,4,2,2,21,74,False
2019-01-27,5,2,3,20,84,False
2019-02-03,5,2,4,30,82,False
2019-02-10,6,4,5,29,81,False
2019-02-17,4,1,2,33,89,False
2019-02-24,5,2,2,23,78,False
2019-03-03,6,1,4,23,91,False
2019-03-10,6,2,2,21,86,False
2019-03-17,3,3,4,23,94,False
2019-03-24,4,1,5,22,85,False
2019-03-31,7,2,3,20,85,False
2019-04-07,4,2,3,20,97,False
2019-04-14,6,3,6,20,84,False
2019-04-21,4,2,4,29,95,False
2019-04-28,4,2,4,23,85,False
2019-05-05,5,4,3,18,100,False
2019-05-12,4,3,5,19,83,False
2019-05-19,5,1,2,19,67,False
2019-05-26,5,1,1,19,74,False
2019-06-02,5,2,3,21,68,False
2019-06-09,5,0,2,20,63,False
2019-06-16,3,1,3,21,73,False
2019-06-23,8,2,4,22,65,False
2019-06-30,6,0,2,13,57,False
2019-07-07,4,1,2,18,68,False
2019-07-14,4,0,3,16,67,False
2019-07-21,6,1,2,18,70,False
2019-07-28,7,3,3,20,58,False
2019-08-04,4,2,4,17,63,False
2019-08-11,4,2,3,19,58,False
2019-08-18,4,1,4,26,59,False
2019-08-25,6,3,3,19,77,False
2019-09-01,3,2,4,17,66,False
2019-09-08,4,2,5,17,72,False
2019-09-15,3,1,3,21,64,False
2019-09-22,3,3,6,18,76,False
2019-09-29,6,2,3,22,91,False
2019-10-06,4,2,6,25,78,False
2019-10-13,4,2,3,25,76,False
2019-10-20,5,0,5,22,86,False
2019-10-27,5,3,3,22,81,False
2019-11-03,4,2,2,23,80,False
2019-11-10,4,2,5,19,84,False
2019-11-17,7,1,4,23,88,False
2019-11-24,1,1,2,13,62,False
2019-12-01,5,2,2,17,89,False
2019-12-08,4,1,2,20,86,False
2019-12-15,7,2,4,10,65,False
2019-12-22,2,1,3,11,62,False
2019-12-29,5,2,3,14,70,False
2020-01-05,4,3,2,13,72,False
2020-01-12,5,2,2,22,66,False
2020-01-19,6,2,2,20,67,False
2020-01-26,5,2,2,15,76,False
2020-02-02,5,2,4,24,84,False
2020-02-09,5,2,4,23,82,False
2020-02-16,6,3,3,24,76,False
2020-02-23,3,2,4,26,86,False
2020-03-01,5,3,5,25,77,False
2020-03-08,4,1,7,24,66,False
2020-03-15,3,1,4,16,62,False
2020-03-22,4,3,3,20,64,False
2020-03-29,4,1,3,22,70,False
2020-04-05,4,2,4,27,90,False
2020-04-12,5,1,5,29,75,False
2020-04-19,4,1,4,27,87,False
2020-04-26,5,0,5,23,83,False
2020-05-03,5,5,2,26,77,False
2020-05-10,4,1,3,18,66,False
2020-05-17,3,2,1,15,71,False
2020-05-24,4,2,4,15,69,False
2020-05-31,3,1,3,18,59,False
2020-06-07,4,2,3,20,63,False
2020-06-14,6,3,4,23,69,False
2020-06-21,5,2,3,21,79,False
2020-06-28,4,1,2,19,65,False
2020-07-05,2,1,2,19,69,False
2020-07-12,7,2,4,25,75,False
2020-07-19,4,2,4,18,80,False
2020-07-26,2,3,4,17,60,False
2020-08-02,4,2,0,20,71,False
2020-08-09,2,0,3,16,78,False
2020-08-16,4,1,4,24,82,False
2020-08-23,4,2,5,22,70,False
2020-08-30,3,3,4,18,74,False
2020-09-06,4,2,5,25,65,False
2020-09-13,4,2,6,21,76,False
2020-09-20,5,3,6,32,88,False
2020-09-27,4,3,4,30,81,False
2020-10-04,6,4,5,31,79,False
2020-10-11,9,4,6,26,81,False
2020-10-18,5,5,5,25,86,False
2020-10-25,6,4,4,30,74,False
2020-11-01,4,2,3,21,63,False
2020-11-08,5,2,4,29,80,False
2020-11-15,3,4,4,25,90,False
2020-11-22,4,3,3,12,68,False
2020-11-29,7,2,5,22,76,False
2020-12-06,6,1,4,21,76,False
2020-12-13,5,2,4,17,73,False
2020-12-20,3,0,2,13,51,False
2020-12-27,2,0,2,12,54,False
2021-01-03,2,0,2,14,55,False
2021-01-10,5,1,2,22,69,False
2021-01-17,4,2,3,19,68,False
2021-01-24,5,2,4,26,80,False
2021-01-31,1,2,3,24,77,False
2021-02-07,3,0,5,23,82,False
2021-02-14,2,2,3,19,76,False
2021-02-21,3,3,6,25,90,False
2021-02-28,5,2,4,29,95,False
2021-03-07,4,2,3,25,79,False
2021-03-14,3,1,3,23,64,False
