date,Repaglinide,Rosiglitazone,Ryzodeg,saxagliptin,diabetes causes,isPartial
2017-05-28,5,1,0,4,57,False
2017-06-04,7,3,0,5,65,False
2017-06-11,6,2,1,5,69,False
2017-06-18,6,1,0,7,81,False
2017-06-25,7,3,1,3,72,False
2017-07-02,10,2,1,4,83,False
2017-07-09,6,2,0,6,84,False
2017-07-16,4,3,0,5,82,False
2017-07-23,5,2,1,5,87,False
2017-07-30,10,2,0,3,71,False
2017-08-06,6,3,0,6,68,False
2017-08-13,4,3,0,7,64,False
2017-08-20,6,1,0,3,66,False
2017-08-27,3,2,0,10,60,False
2017-09-03,4,1,0,6,65,False
2017-09-10,8,1,0,5,73,False
2017-09-17,6,2,0,3,83,False
2017-09-24,7,2,0,3,74,False
2017-10-01,5,4,0,7,81,False
2017-10-08,7,3,0,4,78,False
2017-10-15,8,3,0,9,76,False
2017-10-22,8,2,0,6,86,False
2017-10-29,6,3,0,8,91,False
2017-11-05,6,1,0,9,78,False
2017-11-12,9,2,0,3,92,False
2017-11-19,7,2,0,5,65,False
2017-11-26,8,4,2,4,85,False
2017-12-03,8,6,0,4,93,False
2017-12-10,7,5,0,4,85,False
2017-12-17,7,3,0,4,61,False
2017-12-24,3,0,1,4,60,False
2017-12-31,5,0,0,2,60,False
2018-01-07,6,1,0,9,67,False
2018-01-14,7,0,0,7,74,False
2018-01-21,10,4,1,5,84,False
2018-01-28,9,4,0,6,78,False
2018-02-04,7,2,0,8,80,False
2018-02-11,5,5,0,8,77,False
2018-02-18,6,2,0,6,86,False
2018-02-25,9,2,0,5,92,False
2018-03-04,14,1,0,6,88,False
2018-03-11,9,2,1,6,76,False
2018-03-18,9,1,0,7,79,False
2018-03-25,7,3,0,6,93,False
2018-04-01,9,2,0,8,84,False
2018-04-08,8,3,0,6,90,False
2018-04-15,9,2,0,9,85,False
2018-04-22,10,4,0,3,78,False
2018-04-29,10,2,0,7,74,False
2018-05-06,6,4,0,4,83,False
2018-05-13,6,2,0,5,68,False
2018-05-20,9,1,1,5,60,False
2018-05-27,7,2,0,7,80,False
2018-06-03,8,1,0,6,62,False
2018-06-10,9,2,0,5,58,False
2018-06-17,5,2,0,6,60,False
2018-06-24,9,3,0,10,60,False
2018-07-01,3,3,0,3,50,False
2018-07-08,10,2,0,8,72,False
2018-07-15,7,2,0,6,67,False
2018-07-22,12,4,0,6,68,False
2018-07-29,7,1,0,7,67,False
2018-08-05,8,4,0,7,62,False
2018-08-12,8,1,0,5,62,False
2018-08-19,6,1,0,4,62,False
2018-08-26,8,4,0,8,66,False
2018-09-02,7,1,1,6,64,False
2018-09-09,8,1,1,3,65,False
2018-09-16,6,2,0,8,87,False
2018-09-23,10,0,0,4,73,False
2018-09-30,9,4,0,6,85,False
2018-10-07,7,2,0,3,84,False
2018-10-14,9,2,0,8,75,False
2018-10-21,10,1,0,7,78,False
2018-10-28,12,5,0,4,85,False
2018-11-04,8,1,0,7,82,False
2018-11-11,11,3,0,5,85,False
2018-11-18,9,3,0,7,83,False
2018-11-25,8,3,0,4,91,False
2018-12-02,10,1,0,6,89,False
2018-12-09,8,0,0,10,82,False
2018-12-16,7,2,0,6,77,False
2018-12-23,5,0,0,5,61,False
2018-12-30,7,2,0,5,74,False
2019-01-06,6,4,0,4,67,False
2019-01-13,12,5,0,7,78,False
2019-01-20,4,3,0,10,74,False
2019-01-27,7,1,0,9,84,False
2019-02-03,10,2,1,7,82,False
2019-02-10,7,3,1,8,81,False
2019-02-17,7,4,1,8,89,False
2019-02-24,7,1,0,5,78,False
2019-03-03,9,5,0,5,91,False
2019-03-10,6,1,0,7,86,False
2019-03-17,10,1,0,7,94,False
2019-03-24,7,2,0,5,85,False
2019-03-31,5,2,0,6,85,False
2019-04-07,7,2,0,4,97,False
2019-04-14,8,4,0,8,84,False
2019-04-21,7,1,0,7,95,False
2019-04-28,7,2,0,5,85,False
2019-05-05,7,2,0,3,100,False
2019-05-12,10,4,0,5,83,False
2019-05-19,8,2,1,6,67,False
2019-05-26,7,3,0,5,74,False
2019-06-02,5,2,0,5,68,False
2019-06-09,9,4,0,5,63,False
2019-06-16,6,3,0,5,73,False
2019-06-23,8,1,1,4,65,False
2019-06-30,6,2,0,3,57,False
2019-07-07,9,2,0,6,68,False
2019-07-14,9,3,0,1,67,False
2019-07-21,9,3,0,5,70,False
2019-07-28,10,0,0,4,58,False
2019-08-04,5,2,0,6,63,False
2019-08-11,9,1,0,6,58,False
2019-08-18,10,1,0,7,59,False
2019-08-25,7,2,0,3,77,False
2019-09-01,6,1,0,5,66,False
2019-09-08,8,1,0,6,72,False
2019-09-15,9,1,0,3,64,False
2019-09-22,11,2,0,2,76,False
2019-09-29,10,1,0,6,91,False
2019-10-06,9,2,0,5,78,False
2019-10-13,7,2,0,2,76,False
2019-10-20,9,3,0,3,86,False
2019-10-27,9,3,0,4,81,False
2019-11-03,13,2,0,4,80,False
2019-11-10,7,1,0,5,84,False
2019-11-17,7,4,1,4,88,False
2019-11-24,8,1,0,4,62,False
2019-12-01,8,2,0,2,89,False
2019-12-08,7,1,0,5,86,False
2019-12-15,11,1,0,4,65,False
2019-12-22,5,1,0,1,62,False
2019-12-29,7,0,0,2,70,False
2020-01-05,7,1,0,3,72,False
2020-01-12,3,5,0,5,66,False
2020-01-19,9,2,0,4,67,False
2020-01-26,9,4,0,4,76,False
2020-02-02,12,4,0,4,84,False
2020-02-09,7,3,0,2,82,False
2020-02-16,9,3,1,3,76,False
2020-02-23,8,3,0,5,86,False
2020-03-01,7,2,0,2,77,False
2020-03-08,4,2,0,2,66,False
2020-03-15,10,2,0,2,62,False
2020-03-22,7,1,1,2,64,False
2020-03-29,7,1,0,4,70,False
2020-04-05,7,4,0,2,90,False
2020-04-12,6,4,0,2,75,False
2020-04-19,6,4,1,1,87,False
2020-04-26,7,3,0,3,83,False
2020-05-03,5,2,0,3,77,False
2020-05-10,5,2,0,3,66,False
2020-05-17,8,1,0,1,71,False
2020-05-24,11,3,0,4,69,False
2020-05-31,9,0,0,3,59,False
2020-06-07,11,3,0,3,63,False
2020-06-14,6,2,1,2,69,False
2020-06-21,9,2,0,3,79,False
