date,SGLT2 inhibitors,short acting insulin,Sitagliptin,starlix,diabetes causes,isPartial
2017-05-28,5,3,12,4,57,False
2017-06-04,5,8,12,3,65,False
2017-06-11,7,6,10,3,69,False
2017-06-18,8,2,11,4,81,False
2017-06-25,5,4,13,2,72,False
2017-07-02,7,8,12,4,83,False
2017-07-09,5,6,12,3,84,False
2017-07-16,5,5,14,3,82,False
2017-07-23,9,5,13,2,87,False
2017-07-30,5,8,7,4,71,False
2017-08-06,12,5,13,3,68,False
2017-08-13,1,5,15,2,64,False
2017-08-20,5,4,15,2,66,False
2017-08-27,3,4,17,3,60,False
2017-09-03,5,7,11,5,65,False
2017-09-10,6,5,14,4,73,False
2017-09-17,4,4,19,2,83,False
2017-09-24,6,7,17,2,74,False
2017-10-01,7,5,16,2,81,False
2017-10-08,4,5,18,2,78,False
2017-10-15,8,3,18,4,76,False
2017-10-22,8,6,12,2,86,False
2017-10-29,4,6,13,3,91,False
2017-11-05,4,6,14,3,78,False
2017-11-12,6,5,14,2,92,False
2017-11-19,3,2,11,2,65,False
2017-11-26,8,6,15,2,85,False
2017-12-03,9,7,20,1,93,False
2017-12-10,5,10,13,3,85,False
2017-12-17,6,3,16,2,61,False
2017-12-24,6,3,14,3,60,False
2017-12-31,5,5,10,1,60,False
2018-01-07,7,7,13,3,67,False
2018-01-14,5,2,18,4,74,False
2018-01-21,4,5,18,2,84,False
2018-01-28,7,4,15,1,78,False
2018-02-04,8,4,13,4,80,False
2018-02-11,5,5,17,3,77,False
2018-02-18,5,4,17,4,86,False
2018-02-25,5,7,12,3,92,False
2018-03-04,4,3,16,2,88,False
2018-03-11,9,5,12,3,76,False
2018-03-18,5,8,14,2,79,False
2018-03-25,8,5,17,6,93,False
2018-04-01,10,3,18,5,84,False
2018-04-08,8,3,14,5,90,False
2018-04-15,6,7,20,2,85,False
2018-04-22,12,4,15,5,78,False
2018-04-29,9,5,14,3,74,False
2018-05-06,4,6,14,3,83,False
2018-05-13,7,2,13,2,68,False
2018-05-20,8,5,22,2,60,False
2018-05-27,5,4,16,4,80,False
2018-06-03,4,4,16,2,62,False
2018-06-10,6,4,16,2,58,False
2018-06-17,7,5,17,2,60,False
2018-06-24,9,6,15,3,60,False
2018-07-01,5,6,14,5,50,False
2018-07-08,6,5,16,1,72,False
2018-07-15,6,5,12,5,67,False
2018-07-22,6,5,19,4,68,False
2018-07-29,8,8,14,6,67,False
2018-08-05,13,5,13,3,62,False
2018-08-12,9,9,14,3,62,False
2018-08-19,9,9,17,3,62,False
2018-08-26,52,7,21,2,66,False
2018-09-02,28,6,13,2,64,False
2018-09-09,12,6,20,3,65,False
2018-09-16,10,5,19,4,87,False
2018-09-23,13,6,16,3,73,False
2018-09-30,14,8,14,4,85,False
2018-10-07,9,6,10,5,84,False
2018-10-14,13,3,17,2,75,False
2018-10-21,9,5,15,5,78,False
2018-10-28,8,5,16,1,85,False
2018-11-04,8,6,11,2,82,False
2018-11-11,13,8,15,3,85,False
2018-11-18,8,6,14,1,83,False
2018-11-25,13,11,18,2,91,False
2018-12-02,8,8,10,3,89,False
2018-12-09,10,4,12,3,82,False
2018-12-16,10,3,16,4,77,False
2018-12-23,5,2,8,3,61,False
2018-12-30,9,3,15,3,74,False
2019-01-06,13,5,17,3,67,False
2019-01-13,11,5,20,4,78,False
2019-01-20,9,4,14,4,74,False
2019-01-27,11,9,17,4,84,False
2019-02-03,10,7,27,1,82,False
2019-02-10,10,6,15,3,81,False
2019-02-17,11,6,17,3,89,False
2019-02-24,11,4,18,2,78,False
2019-03-03,13,3,13,1,91,False
2019-03-10,13,5,16,3,86,False
2019-03-17,14,4,17,4,94,False
2019-03-24,11,9,17,4,85,False
2019-03-31,7,5,20,3,85,False
2019-04-07,11,7,13,4,97,False
2019-04-14,12,5,18,4,84,False
2019-04-21,10,3,18,4,95,False
2019-04-28,9,5,17,3,85,False
2019-05-05,66,3,15,4,100,False
2019-05-12,29,7,17,1,83,False
2019-05-19,10,6,14,2,67,False
2019-05-26,9,10,19,3,74,False
2019-06-02,11,9,17,4,68,False
2019-06-09,12,6,17,3,63,False
2019-06-16,16,6,15,3,73,False
2019-06-23,10,10,13,4,65,False
2019-06-30,10,3,14,4,57,False
2019-07-07,11,6,19,3,68,False
2019-07-14,10,8,18,4,67,False
2019-07-21,14,3,21,3,70,False
2019-07-28,12,3,14,3,58,False
2019-08-04,12,3,17,4,63,False
2019-08-11,16,3,21,5,58,False
2019-08-18,10,5,24,2,59,False
2019-08-25,10,4,18,2,77,False
2019-09-01,9,5,17,1,66,False
2019-09-08,11,6,16,3,72,False
2019-09-15,10,6,23,2,64,False
2019-09-22,15,5,17,2,76,False
2019-09-29,15,4,19,4,91,False
2019-10-06,12,6,20,4,78,False
2019-10-13,9,6,18,3,76,False
2019-10-20,15,6,20,1,86,False
2019-10-27,12,4,20,4,81,False
2019-11-03,11,6,19,3,80,False
2019-11-10,11,4,17,4,84,False
2019-11-17,10,7,18,5,88,False
2019-11-24,8,6,12,2,62,False
2019-12-01,10,2,18,2,89,False
2019-12-08,9,8,14,1,86,False
2019-12-15,8,5,15,3,65,False
2019-12-22,6,3,14,2,62,False
2019-12-29,11,4,10,1,70,False
2020-01-05,11,4,13,2,72,False
2020-01-12,17,3,15,1,66,False
2020-01-19,13,8,17,3,67,False
2020-01-26,12,3,20,2,76,False
2020-02-02,16,6,18,2,84,False
2020-02-09,12,5,17,2,82,False
2020-02-16,13,8,18,5,76,False
2020-02-23,10,6,18,2,86,False
2020-03-01,9,9,22,1,77,False
2020-03-08,9,5,16,2,66,False
2020-03-15,10,5,16,3,62,False
2020-03-22,8,6,15,2,64,False
2020-03-29,7,8,11,0,70,False
2020-04-05,8,9,12,1,90,False
2020-04-12,9,11,13,2,75,False
2020-04-19,8,6,13,1,87,False
2020-04-26,10,6,14,2,83,False
2020-05-03,10,6,11,2,77,False
2020-05-10,11,8,12,2,66,False
2020-05-17,8,5,16,3,71,False
2020-05-24,8,8,14,1,69,False
2020-05-31,9,6,18,1,59,False
2020-06-07,11,6,20,3,63,False
2020-06-14,11,7,16,3,69,False
2020-06-21,11,4,18,2,79,False
2020-06-28,8,4,14,1,65,False
2020-07-05,16,9,15,5,69,False
2020-07-12,10,5,17,4,75,False
2020-07-19,10,6,18,4,80,False
2020-07-26,11,5,16,3,60,False
2020-08-02,7,7,17,2,71,False
2020-08-09,11,7,10,4,78,False
2020-08-16,11,3,13,3,82,False
2020-08-23,11,4,13,3,70,False
2020-08-30,17,7,15,2,74,False
2020-09-06,11,7,16,2,65,False
2020-09-13,14,7,19,3,76,False
2020-09-20,16,9,16,3,88,False
2020-09-27,14,9,15,2,81,False
2020-10-04,15,9,24,4,79,False
2020-10-11,20,6,16,6,81,False
2020-10-18,14,6,19,4,86,False
2020-10-25,17,8,20,5,74,False
2020-11-01,10,7,11,5,63,False
2020-11-08,13,10,16,3,80,False
2020-11-15,19,7,21,1,90,False
2020-11-22,12,7,14,2,68,False
2020-11-29,17,5,17,1,76,False
2020-12-06,15,8,16,4,76,False
2020-12-13,13,7,20,3,73,False
2020-12-20,10,6,9,2,51,False
2020-12-27,10,4,12,4,54,False
2021-01-03,13,7,17,2,55,False
2021-01-10,15,6,15,1,69,False
2021-01-17,13,5,20,2,68,False
2021-01-24,22,9,17,2,80,False
2021-01-31,14,8,20,2,77,False
2021-02-07,15,7,15,1,82,False
2021-02-14,15,7,16,2,76,False
2021-02-21,16,12,20,1,90,False
2021-02-28,16,4,21,1,95,False
2021-03-07,18,4,18,2,79,False
2021-03-14,20,8,17,2,64,False
2021-03-21,14,5,19,2,78,False
2021-03-28,21,8,21,2,70,False
2021-04-04,21,7,17,4,77,False
2021-04-11,13,7,19,0,86,False
2021-04-18,17,7,20,4,75,False
2021-04-25,15,8,17,2,75,False
2021-05-02,18,6,17,4,76,False
2021-05-09,13,7,19,3,65,False
2021-05-16,11,8,16,2,66,False
2021-05-23,15,4,16,3,77,False
2021-05-30,13,6,16,1,58,False
2021-06-06,12,5,26,2,77,False
2021-06-13,14,4,18,4,70,False
2021-06-20,15,6,14,3,71,False
2021-06-27,13,8,16,3,68,False
2021-07-04,12,7,13,2,71,False
2021-07-11,16,6,14,3,66,False
2021-07-18,19,6,18,3,60,False
2021-07-25,13,8,15,3,63,False
2021-08-01,15,7,21,3,63,False
2021-08-08,15,6,20,1,64,False
2021-08-15,13,5,15,2,68,False
2021-08-22,10,6,16,2,61,False
2021-08-29,16,7,12,2,66,False
2021-09-05,17,6,20,1,63,False
2021-09-12,20,8,19,4,73,False
2021-09-19,11,5,16,1,75,False
2021-09-26,20,3,16,2,79,False
2021-10-03,19,6,23,1,80,False
2021-10-10,15,7,17,2,73,False
2021-10-17,16,5,19,4,90,False
2021-10-24,19,9,16,2,77,False
2021-10-31,21,9,17,1,64,False
2021-11-07,20,9,18,2,73,False
2021-11-14,15,6,17,2,68,False
2021-11-21,18,3,18,5,63,False
2021-11-28,19,12,20,2,85,False
2021-12-05,22,6,18,2,76,False
2021-12-12,16,8,15,3,71,False
2021-12-19,13,4,16,3,66,False
2021-12-26,9,6,12,2,57,False
2022-01-02,14,5,14,1,54,False
2022-01-09,16,5,18,1,76,False
2022-01-16,21,6,17,1,82,False
2022-01-23,17,9,19,1,74,False
2022-01-30,16,8,18,2,80,False
2022-02-06,23,5,18,1,78,False
2022-02-13,19,8,15,2,74,False
2022-02-20,19,7,16,2,83,False
2022-02-27,17,9,15,2,80,False
2022-03-06,25,10,17,2,82,False
2022-03-13,19,8,16,3,86,False
2022-03-20,20,8,24,2,68,False
2022-03-27,18,7,16,2,68,False
2022-04-03,26,7,15,3,85,False
2022-04-10,24,7,15,3,77,False
2022-04-17,14,8,22,4,88,False
2022-04-24,20,10,14,2,82,False
2022-05-01,14,10,16,3,69,False
2022-05-08,16,8,18,3,75,False
2022-05-15,20,9,17,0,72,False
2022-05-22,13,7,13,0,54,True
