date,SymlinPen,thiazolidinediones,Toujeo,Tradjenta,diabetes causes,isPartial
2017-05-28,1,5,25,27,57,False
2017-06-04,1,4,34,34,65,False
2017-06-11,1,2,31,33,69,False
2017-06-18,0,5,45,31,81,False
2017-06-25,1,5,30,36,72,False
2017-07-02,0,4,24,27,83,False
2017-07-09,1,4,38,33,84,False
2017-07-16,0,2,44,31,82,False
2017-07-23,1,3,41,37,87,False
2017-07-30,0,2,38,43,71,False
2017-08-06,0,3,34,38,68,False
2017-08-13,0,3,44,40,64,False
2017-08-20,0,1,33,35,66,False
2017-08-27,0,2,34,35,60,False
2017-09-03,0,3,22,28,65,False
2017-09-10,0,3,28,32,73,False
2017-09-17,1,1,44,34,83,False
2017-09-24,0,4,46,34,74,False
2017-10-01,0,3,36,32,81,False
2017-10-08,0,2,29,36,78,False
2017-10-15,0,6,41,37,76,False
2017-10-22,0,2,39,29,86,False
2017-10-29,1,4,31,33,91,False
2017-11-05,0,3,40,37,78,False
2017-11-12,0,5,51,35,92,False
2017-11-19,0,3,26,28,65,False
2017-11-26,0,5,35,28,85,False
2017-12-03,0,7,40,24,93,False
2017-12-10,0,5,30,31,85,False
2017-12-17,0,3,23,26,61,False
2017-12-24,0,2,36,23,60,False
2017-12-31,0,1,34,34,60,False
2018-01-07,0,4,33,35,67,False
2018-01-14,1,4,41,46,74,False
2018-01-21,0,6,45,38,84,False
2018-01-28,0,8,41,32,78,False
2018-02-04,0,5,36,32,80,False
2018-02-11,0,4,39,33,77,False
2018-02-18,0,5,48,32,86,False
2018-02-25,0,4,46,35,92,False
2018-03-04,0,7,40,29,88,False
2018-03-11,0,5,37,38,76,False
2018-03-18,0,4,45,37,79,False
2018-03-25,0,7,39,32,93,False
2018-04-01,0,4,40,32,84,False
2018-04-08,0,5,33,37,90,False
2018-04-15,1,6,46,35,85,False
2018-04-22,0,4,52,43,78,False
2018-04-29,0,7,36,37,74,False
2018-05-06,0,5,41,34,83,False
2018-05-13,0,3,42,34,68,False
2018-05-20,0,4,36,29,60,False
2018-05-27,0,2,36,22,80,False
2018-06-03,0,3,42,36,62,False
2018-06-10,0,5,32,37,58,False
2018-06-17,0,4,39,33,60,False
2018-06-24,0,3,46,29,60,False
2018-07-01,0,2,33,32,50,False
2018-07-08,0,1,36,39,72,False
2018-07-15,0,4,31,30,67,False
2018-07-22,0,4,31,37,68,False
2018-07-29,0,2,32,37,67,False
2018-08-05,0,4,38,27,62,False
2018-08-12,0,1,38,31,62,False
2018-08-19,0,3,54,38,62,False
2018-08-26,0,4,41,40,66,False
2018-09-02,0,2,37,30,64,False
2018-09-09,0,2,44,47,65,False
2018-09-16,0,6,33,33,87,False
2018-09-23,0,4,38,35,73,False
2018-09-30,0,6,32,27,85,False
2018-10-07,0,4,33,36,84,False
2018-10-14,0,4,30,28,75,False
2018-10-21,0,8,36,34,78,False
2018-10-28,0,6,33,28,85,False
2018-11-04,0,7,30,39,82,False
2018-11-11,0,3,33,40,85,False
2018-11-18,0,4,25,24,83,False
2018-11-25,0,3,29,35,91,False
2018-12-02,0,6,35,32,89,False
2018-12-09,0,6,33,24,82,False
2018-12-16,0,2,38,26,77,False
2018-12-23,0,2,22,23,61,False
2018-12-30,0,1,31,29,74,False
2019-01-06,0,3,44,39,67,False
2019-01-13,0,3,46,39,78,False
2019-01-20,0,5,35,33,74,False
2019-01-27,0,2,36,37,84,False
2019-02-03,0,4,39,37,82,False
2019-02-10,0,6,37,35,81,False
2019-02-17,0,5,38,34,89,False
2019-02-24,0,3,44,37,78,False
2019-03-03,0,3,36,39,91,False
2019-03-10,0,5,34,35,86,False
2019-03-17,0,5,42,32,94,False
2019-03-24,0,5,43,30,85,False
2019-03-31,0,6,39,41,85,False
2019-04-07,0,4,54,31,97,False
2019-04-14,1,7,36,31,84,False
2019-04-21,0,4,34,34,95,False
2019-04-28,0,4,37,28,85,False
2019-05-05,0,5,35,29,100,False
2019-05-12,0,2,41,28,83,False
2019-05-19,0,4,39,33,67,False
2019-05-26,0,4,31,30,74,False
2019-06-02,0,3,38,33,68,False
2019-06-09,0,4,36,25,63,False
2019-06-16,0,2,42,34,73,False
2019-06-23,0,5,37,35,65,False
2019-06-30,0,3,34,35,57,False
2019-07-07,0,4,38,27,68,False
2019-07-14,1,4,39,23,67,False
2019-07-21,0,3,39,23,70,False
2019-07-28,0,5,34,26,58,False
2019-08-04,0,4,27,28,63,False
2019-08-11,0,2,39,35,58,False
2019-08-18,0,3,34,36,59,False
2019-08-25,0,5,37,27,77,False
2019-09-01,0,3,26,26,66,False
2019-09-08,0,5,26,24,72,False
2019-09-15,0,3,32,28,64,False
2019-09-22,0,4,30,27,76,False
2019-09-29,0,8,33,26,91,False
