date,Tresiba,Welchol,artificial sweetener,diabetes diet,diabetes causes,isPartial
2017-05-28,23,12,12,77,37,False
2017-06-04,21,13,9,82,42,False
2017-06-11,24,13,11,92,44,False
2017-06-18,28,10,15,81,52,False
2017-06-25,26,14,13,83,46,False
2017-07-02,18,13,12,83,54,False
2017-07-09,32,13,14,80,54,False
2017-07-16,26,12,21,89,53,False
2017-07-23,30,12,16,94,56,False
2017-07-30,28,10,12,88,46,False
2017-08-06,28,13,13,80,44,False
2017-08-13,28,13,12,83,41,False
2017-08-20,31,12,8,89,43,False
2017-08-27,33,12,10,78,39,False
2017-09-03,23,10,7,75,42,False
2017-09-10,25,10,14,79,47,False
2017-09-17,28,16,8,80,54,False
2017-09-24,24,13,12,82,48,False
2017-10-01,25,14,10,78,52,False
2017-10-08,22,13,11,92,50,False
2017-10-15,32,15,11,88,49,False
2017-10-22,28,14,12,87,55,False
2017-10-29,33,12,11,81,59,False
2017-11-05,23,13,9,85,50,False
2017-11-12,24,13,9,93,59,False
2017-11-19,23,8,12,64,42,False
2017-11-26,24,11,9,80,55,False
2017-12-03,24,10,12,85,60,False
2017-12-10,27,10,8,80,55,False
2017-12-17,31,10,7,64,39,False
2017-12-24,21,13,8,64,39,False
2017-12-31,28,10,9,85,39,False
2018-01-07,36,13,19,91,43,False
2018-01-14,34,12,14,85,48,False
2018-01-21,32,14,14,78,54,False
2018-01-28,34,17,17,84,50,False
2018-02-04,34,13,14,99,52,False
2018-02-11,37,12,15,75,49,False
2018-02-18,35,11,10,85,56,False
2018-02-25,34,15,14,90,59,False
2018-03-04,33,11,17,86,56,False
2018-03-11,36,12,12,84,49,False
2018-03-18,31,11,12,85,51,False
2018-03-25,32,18,17,94,60,False
2018-04-01,40,13,12,91,54,False
2018-04-08,37,15,12,87,58,False
2018-04-15,35,14,10,87,55,False
2018-04-22,35,13,19,85,50,False
2018-04-29,36,11,11,94,47,False
2018-05-06,41,9,13,87,53,False
2018-05-13,37,13,13,78,44,False
2018-05-20,34,12,12,79,39,False
2018-05-27,32,13,14,84,51,False
2018-06-03,40,12,14,84,40,False
2018-06-10,35,11,10,83,38,False
2018-06-17,35,12,13,79,39,False
2018-06-24,33,11,13,87,39,False
2018-07-01,27,12,15,86,33,False
2018-07-08,36,10,15,93,46,False
2018-07-15,39,9,10,70,43,False
2018-07-22,38,13,11,87,44,False
2018-07-29,39,14,16,78,43,False
2018-08-05,35,13,13,96,40,False
2018-08-12,37,14,10,85,40,False
2018-08-19,36,14,15,88,40,False
2018-08-26,42,11,11,74,42,False
2018-09-02,29,8,15,74,41,False
