date,diabetes supplies,diabetes surgery,diabetes symptoms,diabetes testing,diabetes causes,isPartial
2017-05-28,3,3,84,4,14,False
2017-06-04,4,3,88,3,16,False
2017-06-11,2,2,82,4,17,False
2017-06-18,3,4,82,4,20,False
2017-06-25,3,2,84,3,18,False
2017-07-02,2,2,76,4,21,False
2017-07-09,3,3,82,5,21,False
2017-07-16,3,4,77,4,20,False
2017-07-23,3,3,83,3,22,False
2017-07-30,4,4,80,2,18,False
2017-08-06,2,3,85,3,17,False
2017-08-13,2,3,81,4,16,False
2017-08-20,2,3,81,3,16,False
2017-08-27,3,3,75,4,15,False
2017-09-03,3,3,76,4,16,False
2017-09-10,3,3,66,3,18,False
2017-09-17,3,3,83,4,21,False
2017-09-24,2,2,84,3,18,False
2017-10-01,4,4,81,6,20,False
2017-10-08,3,4,92,4,19,False
2017-10-15,2,3,94,4,19,False
2017-10-22,3,3,93,4,21,False
2017-10-29,3,3,84,5,23,False
2017-11-05,5,4,95,5,19,False
2017-11-12,2,2,94,6,23,False
2017-11-19,3,1,77,5,16,False
2017-11-26,3,3,85,5,21,False
2017-12-03,3,3,72,4,23,False
2017-12-10,2,3,73,4,21,False
2017-12-17,3,3,70,3,15,False
2017-12-24,3,3,68,3,15,False
2017-12-31,3,3,69,3,15,False
2018-01-07,3,3,71,4,17,False
2018-01-14,2,2,68,4,18,False
2018-01-21,3,2,72,5,21,False
2018-01-28,2,3,75,4,19,False
2018-02-04,3,4,72,5,20,False
2018-02-11,3,4,73,4,19,False
2018-02-18,3,3,75,3,21,False
2018-02-25,3,4,73,5,23,False
2018-03-04,3,3,76,4,22,False
2018-03-11,3,4,76,4,19,False
2018-03-18,3,4,76,3,20,False
2018-03-25,3,4,71,5,23,False
2018-04-01,3,2,77,4,21,False
2018-04-08,2,4,76,5,22,False
2018-04-15,2,3,73,5,21,False
2018-04-22,2,3,70,4,19,False
2018-04-29,2,3,64,4,18,False
2018-05-06,2,3,67,4,21,False
2018-05-13,2,2,65,5,17,False
2018-05-20,2,3,62,3,15,False
2018-05-27,3,4,63,4,20,False
2018-06-03,4,3,64,4,15,False
2018-06-10,3,3,62,3,14,False
2018-06-17,2,5,63,3,15,False
2018-06-24,4,4,68,4,15,False
2018-07-01,3,4,61,3,13,False
2018-07-08,3,2,67,4,18,False
2018-07-15,2,3,68,4,17,False
2018-07-22,3,3,67,5,17,False
2018-07-29,3,4,71,4,17,False
2018-08-05,3,3,64,4,15,False
2018-08-12,3,3,65,4,15,False
2018-08-19,3,3,62,5,15,False
2018-08-26,3,2,65,5,16,False
2018-09-02,2,3,70,4,16,False
2018-09-09,3,4,69,4,16,False
2018-09-16,4,4,72,4,22,False
2018-09-23,3,4,74,5,18,False
2018-09-30,2,2,69,6,21,False
2018-10-07,2,3,67,4,21,False
2018-10-14,2,2,70,5,19,False
2018-10-21,2,4,59,5,19,False
2018-10-28,3,4,64,5,21,False
2018-11-04,3,3,77,6,20,False
2018-11-11,3,4,62,5,21,False
2018-11-18,2,3,61,3,21,False
2018-11-25,3,3,68,4,23,False
2018-12-02,2,3,66,4,22,False
2018-12-09,3,3,67,3,20,False
2018-12-16,2,3,64,4,19,False
2018-12-23,2,2,64,2,15,False
2018-12-30,3,3,61,3,18,False
2019-01-06,4,3,62,3,17,False
2019-01-13,2,4,66,3,19,False
2019-01-20,3,3,64,5,18,False
2019-01-27,3,4,70,4,21,False
2019-02-03,4,4,68,4,20,False
2019-02-10,2,4,67,4,20,False
2019-02-17,2,5,68,3,22,False
2019-02-24,3,3,64,4,19,False
2019-03-03,2,4,72,5,23,False
2019-03-10,3,3,69,4,21,False
2019-03-17,2,4,70,5,23,False
2019-03-24,2,4,72,4,21,False
2019-03-31,2,3,79,5,21,False
2019-04-07,3,4,83,3,24,False
2019-04-14,2,4,73,3,21,False
2019-04-21,2,4,77,4,24,False
2019-04-28,3,3,77,4,21,False
2019-05-05,3,3,77,4,25,False
2019-05-12,2,3,74,4,21,False
2019-05-19,2,3,76,4,17,False
2019-05-26,3,3,70,3,18,False
2019-06-02,3,3,76,4,17,False
2019-06-09,2,4,77,3,16,False
2019-06-16,3,4,76,3,18,False
2019-06-23,1,3,79,4,16,False
2019-06-30,2,3,79,3,14,False
2019-07-07,3,3,79,3,17,False
2019-07-14,2,3,73,4,17,False
2019-07-21,2,3,81,3,17,False
2019-07-28,3,2,80,2,14,False
2019-08-04,3,2,74,2,16,False
2019-08-11,3,3,72,4,14,False
2019-08-18,3,3,69,4,15,False
2019-08-25,2,3,73,3,19,False
2019-09-01,2,3,73,3,16,False
2019-09-08,2,3,75,4,18,False
2019-09-15,4,4,70,4,16,False
2019-09-22,3,3,72,3,19,False
2019-09-29,3,5,79,4,23,False
2019-10-06,2,4,78,4,20,False
2019-10-13,2,3,70,5,19,False
2019-10-20,3,4,75,4,21,False
2019-10-27,2,3,71,4,20,False
2019-11-03,2,3,79,4,20,False
2019-11-10,2,3,71,4,21,False
2019-11-17,2,4,79,5,22,False
2019-11-24,2,2,66,3,15,False
2019-12-01,2,4,74,3,22,False
2019-12-08,2,2,69,3,21,False
2019-12-15,2,3,66,4,16,False
2019-12-22,3,2,70,3,15,False
2019-12-29,3,3,73,3,17,False
2020-01-05,3,4,72,4,18,False
2020-01-12,3,4,72,4,16,False
2020-01-19,4,3,73,4,17,False
2020-01-26,3,4,70,4,19,False
2020-02-02,3,3,70,3,21,False
2020-02-09,2,3,68,3,20,False
2020-02-16,4,4,73,3,19,False
2020-02-23,3,3,76,5,21,False
2020-03-01,2,4,80,5,19,False
2020-03-08,3,4,79,4,17,False
2020-03-15,4,3,63,5,15,False
2020-03-22,3,2,69,3,16,False
2020-03-29,3,4,73,4,17,False
2020-04-05,2,4,81,4,22,False
2020-04-12,2,2,76,3,19,False
2020-04-19,2,3,76,4,22,False
2020-04-26,3,2,76,4,21,False
2020-05-03,3,3,79,4,19,False
2020-05-10,2,3,75,4,17,False
2020-05-17,2,2,81,5,18,False
2020-05-24,2,4,80,4,17,False
2020-05-31,2,2,76,2,15,False
2020-06-07,2,4,80,5,16,False
2020-06-14,3,3,79,4,17,False
2020-06-21,2,3,91,5,20,False
2020-06-28,2,4,93,3,16,False
2020-07-05,2,4,100,5,17,False
2020-07-12,2,4,85,4,19,False
2020-07-19,2,4,85,4,20,False
2020-07-26,2,3,80,4,15,False
2020-08-02,2,2,74,4,18,False
2020-08-09,2,3,74,4,19,False
2020-08-16,3,3,66,5,20,False
2020-08-23,2,3,66,4,17,False
2020-08-30,2,3,83,3,18,False
2020-09-06,2,3,77,3,16,False
2020-09-13,1,4,82,4,19,False
2020-09-20,2,4,78,4,22,False
2020-09-27,2,3,79,3,20,False
2020-10-04,1,4,83,2,20,False
2020-10-11,3,3,77,4,20,False
2020-10-18,2,4,94,4,21,False
2020-10-25,2,2,82,3,18,False
2020-11-01,2,4,64,4,16,False
2020-11-08,3,4,84,4,20,False
2020-11-15,3,3,90,5,22,False
2020-11-22,3,3,80,4,17,False
2020-11-29,2,5,86,5,19,False
2020-12-06,2,3,79,4,19,False
2020-12-13,2,3,77,5,18,False
2020-12-20,1,2,74,3,13,False
2020-12-27,2,2,78,3,13,False
2021-01-03,2,2,76,3,14,False
2021-01-10,3,3,84,5,17,False
2021-01-17,2,3,78,5,17,False
2021-01-24,3,4,84,4,20,False
2021-01-31,2,4,78,5,19,False
2021-02-07,2,4,83,4,20,False
2021-02-14,2,4,78,3,19,False
2021-02-21,2,4,86,4,22,False
2021-02-28,2,4,91,4,24,False
2021-03-07,3,3,90,5,20,False
2021-03-14,3,3,85,4,16,False
2021-03-21,3,4,86,3,19,False
2021-03-28,3,3,80,4,17,False
2021-04-04,4,3,88,4,19,False
2021-04-11,3,4,87,4,21,False
2021-04-18,1,3,87,4,19,False
2021-04-25,2,4,93,3,19,False
2021-05-02,1,4,77,3,19,False
2021-05-09,3,3,79,3,16,False
2021-05-16,2,3,83,3,16,False
2021-05-23,3,3,80,4,19,False
2021-05-30,3,3,80,3,14,False
2021-06-06,3,4,78,4,19,False
2021-06-13,1,3,77,3,17,False
2021-06-20,3,3,79,3,18,False
2021-06-27,2,4,75,3,17,False
2021-07-04,2,3,85,3,18,False
2021-07-11,3,4,91,5,16,False
2021-07-18,2,3,82,4,15,False
2021-07-25,3,3,79,3,16,False
2021-08-01,2,3,80,3,16,False
2021-08-08,2,2,83,3,16,False
2021-08-15,2,3,73,5,17,False
2021-08-22,2,3,81,3,15,False
2021-08-29,2,4,76,4,16,False
2021-09-05,2,3,72,4,16,False
2021-09-12,2,3,81,3,18,False
2021-09-19,2,4,77,5,19,False
2021-09-26,3,5,77,4,20,False
2021-10-03,2,4,78,3,20,False
2021-10-10,2,4,81,5,18,False
2021-10-17,2,3,78,4,22,False
2021-10-24,2,5,81,4,19,False
2021-10-31,3,3,75,5,16,False
2021-11-07,2,4,78,3,18,False
2021-11-14,2,4,82,3,17,False
2021-11-21,3,2,74,3,16,False
2021-11-28,3,3,78,4,21,False
2021-12-05,2,2,70,4,19,False
2021-12-12,2,4,70,4,18,False
2021-12-19,3,2,67,3,17,False
2021-12-26,2,2,72,4,14,False
2022-01-02,2,3,77,3,14,False
2022-01-09,3,2,76,5,19,False
2022-01-16,3,2,77,3,20,False
2022-01-23,4,3,79,3,18,False
2022-01-30,2,4,86,5,20,False
2022-02-06,2,5,88,5,19,False
2022-02-13,2,3,77,3,18,False
2022-02-20,3,4,78,4,21,False
2022-02-27,3,4,85,3,20,False
2022-03-06,3,4,81,3,20,False
2022-03-13,2,3,82,3,21,False
2022-03-20,3,3,84,4,17,False
2022-03-27,2,2,84,4,17,False
2022-04-03,2,5,89,4,21,False
2022-04-10,3,3,83,4,19,False
2022-04-17,2,4,81,4,22,False
2022-04-24,2,5,81,3,20,False
2022-05-01,3,3,84,3,17,False
2022-05-08,2,4,81,3,19,False
2022-05-15,2,3,80,3,18,False
2022-05-22,0,0,0,0,0,True
