date,diabetes prevention,diabetes prevention program,diabetes target range,diabetic diet,diabetes causes,isPartial
2017-05-28,10,3,0,82,41,False
2017-06-04,14,4,0,90,46,False
2017-06-11,12,5,0,97,49,False
2017-06-18,7,2,0,91,58,False
2017-06-25,12,3,0,91,51,False
2017-07-02,8,3,0,93,59,False
2017-07-09,9,3,0,92,60,False
2017-07-16,10,4,0,86,58,False
2017-07-23,13,5,0,92,62,False
2017-07-30,10,5,0,86,51,False
2017-08-06,9,5,0,88,49,False
2017-08-13,9,4,1,83,46,False
2017-08-20,9,4,0,70,47,False
2017-08-27,12,5,0,68,43,False
2017-09-03,10,3,0,68,47,False
2017-09-10,11,4,0,71,52,False
2017-09-17,14,5,0,73,60,False
2017-09-24,14,5,1,74,53,False
2017-10-01,11,1,1,78,58,False
2017-10-08,13,5,0,80,56,False
2017-10-15,14,5,0,81,54,False
2017-10-22,15,5,0,79,62,False
2017-10-29,16,6,0,80,65,False
2017-11-05,17,6,0,88,56,False
2017-11-12,23,7,0,81,66,False
2017-11-19,11,4,0,78,47,False
2017-11-26,16,5,0,73,61,False
2017-12-03,16,5,0,87,67,False
2017-12-10,13,3,0,65,61,False
2017-12-17,10,4,0,62,44,False
2017-12-24,5,3,0,79,43,False
2017-12-31,10,4,0,75,43,False
2018-01-07,13,5,0,91,48,False
2018-01-14,8,3,0,94,53,False
2018-01-21,13,4,0,82,60,False
2018-01-28,14,4,0,92,56,False
2018-02-04,20,6,0,89,57,False
2018-02-11,12,5,1,76,55,False
2018-02-18,18,4,0,82,62,False
2018-02-25,14,5,0,98,66,False
2018-03-04,17,7,0,89,63,False
2018-03-11,11,4,0,80,55,False
2018-03-18,13,3,0,86,56,False
2018-03-25,13,5,1,90,67,False
2018-04-01,17,7,0,80,60,False
2018-04-08,16,4,0,95,64,False
2018-04-15,15,4,0,93,61,False
2018-04-22,16,5,0,88,55,False
2018-04-29,11,4,0,81,53,False
2018-05-06,11,4,0,88,59,False
2018-05-13,7,2,0,79,49,False
2018-05-20,12,4,0,79,43,False
2018-05-27,10,3,0,79,57,False
2018-06-03,11,2,0,82,44,False
2018-06-10,14,6,0,80,42,False
2018-06-17,9,5,0,84,43,False
2018-06-24,7,2,0,82,43,False
2018-07-01,8,3,0,81,36,False
2018-07-08,8,4,0,85,51,False
2018-07-15,7,4,0,80,48,False
2018-07-22,8,3,0,84,48,False
2018-07-29,8,3,1,86,48,False
2018-08-05,11,4,0,79,45,False
2018-08-12,7,4,0,88,44,False
2018-08-19,8,2,0,87,45,False
2018-08-26,13,4,0,81,47,False
2018-09-02,8,3,0,70,46,False
2018-09-09,12,3,0,77,46,False
2018-09-16,16,7,0,73,62,False
2018-09-23,12,2,0,84,52,False
2018-09-30,14,6,0,76,61,False
2018-10-07,11,5,0,74,60,False
2018-10-14,15,5,0,70,54,False
2018-10-21,16,6,0,86,56,False
2018-10-28,12,4,0,77,61,False
