date,glycemic index,physical activity,adult blindness,Autonomic Neuropathy,diabetes causes,isPartial
2017-05-28,35,29,0,2,16,False
2017-06-04,39,35,0,3,18,False
2017-06-11,33,28,0,3,19,False
2017-06-18,33,25,0,2,22,False
2017-06-25,31,24,0,3,20,False
2017-07-02,34,21,0,2,23,False
2017-07-09,34,23,0,3,23,False
2017-07-16,30,22,0,4,22,False
2017-07-23,33,22,0,3,24,False
2017-07-30,32,23,0,3,19,False
2017-08-06,35,22,0,3,19,False
2017-08-13,28,23,0,4,17,False
2017-08-20,26,24,0,3,18,False
2017-08-27,26,37,0,4,16,False
2017-09-03,28,41,0,4,18,False
2017-09-10,28,44,0,2,20,False
2017-09-17,29,47,0,4,23,False
2017-09-24,31,46,0,3,20,False
2017-10-01,28,48,0,3,22,False
2017-10-08,32,51,0,3,21,False
2017-10-15,29,45,0,3,21,False
2017-10-22,28,51,0,3,23,False
2017-10-29,27,50,0,3,25,False
2017-11-05,33,48,0,3,21,False
2017-11-12,28,52,0,4,25,False
2017-11-19,25,29,0,2,18,False
2017-11-26,25,49,0,4,23,False
2017-12-03,27,47,0,3,25,False
2017-12-10,27,41,0,3,23,False
2017-12-17,22,28,0,3,17,False
2017-12-24,25,9,0,3,16,False
2017-12-31,27,18,0,3,16,False
2018-01-07,36,32,0,2,18,False
2018-01-14,36,34,0,3,20,False
2018-01-21,36,44,0,3,23,False
2018-01-28,39,46,0,3,21,False
2018-02-04,35,46,0,2,22,False
2018-02-11,34,49,0,2,21,False
2018-02-18,35,49,0,3,23,False
2018-02-25,40,54,0,4,25,False
2018-03-04,34,48,0,3,24,False
2018-03-11,32,42,0,3,21,False
2018-03-18,30,46,0,4,21,False
2018-03-25,33,42,0,4,25,False
2018-04-01,35,44,0,3,23,False
2018-04-08,35,50,0,4,25,False
2018-04-15,34,47,0,3,23,False
2018-04-22,30,47,0,2,21,False
2018-04-29,34,48,0,3,20,False
2018-05-06,36,39,0,3,22,False
2018-05-13,33,30,0,3,18,False
2018-05-20,29,30,0,2,16,False
2018-05-27,30,27,0,3,22,False
2018-06-03,36,29,0,3,17,False
2018-06-10,33,31,0,2,16,False
2018-06-17,31,29,0,3,16,False
2018-06-24,38,26,0,5,16,False
2018-07-01,31,24,0,3,14,False
2018-07-08,36,26,0,4,19,False
2018-07-15,34,28,0,3,18,False
2018-07-22,35,23,0,3,18,False
2018-07-29,30,20,0,2,18,False
2018-08-05,33,18,0,3,17,False
2018-08-12,32,22,0,3,17,False
2018-08-19,33,28,0,3,17,False
2018-08-26,31,38,0,3,18,False
2018-09-02,30,41,0,3,17,False
2018-09-09,32,53,0,3,18,False
2018-09-16,31,53,0,3,24,False
2018-09-23,29,54,0,3,20,False
2018-09-30,35,50,0,3,23,False
2018-10-07,30,50,0,2,23,False
2018-10-14,32,45,1,4,21,False
2018-10-21,32,53,0,3,21,False
2018-10-28,29,47,0,3,23,False
2018-11-04,28,48,0,3,22,False
2018-11-11,28,56,0,3,23,False
2018-11-18,24,27,0,2,23,False
2018-11-25,27,52,0,3,25,False
2018-12-02,29,56,0,3,24,False
2018-12-09,28,42,0,3,22,False
2018-12-16,24,29,0,3,21,False
2018-12-23,25,10,0,3,17,False
2018-12-30,32,18,0,3,20,False
2019-01-06,35,34,0,4,18,False
2019-01-13,39,42,0,3,21,False
2019-01-20,33,41,0,2,20,False
2019-01-27,36,49,0,3,23,False
2019-02-03,33,50,0,3,22,False
2019-02-10,37,47,0,3,22,False
2019-02-17,33,46,0,3,24,False
2019-02-24,32,52,0,3,21,False
2019-03-03,31,50,0,4,25,False
2019-03-10,31,45,0,3,23,False
2019-03-17,33,39,0,4,26,False
2019-03-24,31,44,0,3,23,False
2019-03-31,37,44,0,4,23,False
2019-04-07,32,47,0,3,26,False
2019-04-14,29,39,0,3,23,False
2019-04-21,26,44,0,4,26,False
2019-04-28,31,45,0,3,23,False
2019-05-05,29,39,0,4,27,False
2019-05-12,30,38,0,3,23,False
2019-05-19,33,31,0,3,18,False
2019-05-26,33,27,0,4,20,False
2019-06-02,31,31,0,3,18,False
2019-06-09,34,31,0,3,17,False
2019-06-16,31,30,0,3,20,False
2019-06-23,34,27,0,4,18,False
2019-06-30,33,22,0,4,15,False
2019-07-07,32,26,0,2,18,False
2019-07-14,30,25,0,3,18,False
2019-07-21,35,22,0,3,19,False
2019-07-28,34,21,0,3,16,False
2019-08-04,34,20,0,4,17,False
2019-08-11,35,21,0,3,16,False
2019-08-18,32,28,0,5,16,False
2019-08-25,30,35,0,3,21,False
2019-09-01,27,39,0,2,18,False
2019-09-08,27,49,0,3,20,False
2019-09-15,31,51,0,3,17,False
2019-09-22,29,49,0,3,21,False
2019-09-29,29,53,0,3,25,False
2019-10-06,30,50,0,2,21,False
2019-10-13,24,47,0,3,21,False
2019-10-20,31,47,0,3,23,False
2019-10-27,25,47,0,3,22,False
2019-11-03,27,52,0,2,22,False
2019-11-10,33,44,0,2,23,False
2019-11-17,29,46,0,3,24,False
2019-11-24,25,24,0,2,17,False
2019-12-01,24,47,0,4,24,False
2019-12-08,25,46,0,3,23,False
2019-12-15,25,30,0,2,18,False
2019-12-22,21,10,0,2,17,False
2019-12-29,31,13,0,4,19,False
2020-01-05,30,29,0,3,20,False
2020-01-12,38,39,0,3,18,False
2020-01-19,34,36,0,3,18,False
2020-01-26,31,49,0,3,21,False
2020-02-02,30,46,0,4,23,False
2020-02-09,36,46,0,3,22,False
2020-02-16,36,47,0,3,21,False
2020-02-23,35,48,0,3,23,False
2020-03-01,27,46,0,3,21,False
2020-03-08,23,44,0,3,18,False
2020-03-15,17,42,0,3,17,False
2020-03-22,20,50,0,2,17,False
2020-03-29,18,64,0,3,19,False
2020-04-05,22,64,0,3,24,False
2020-04-12,23,62,0,3,21,False
2020-04-19,26,63,0,2,24,False
2020-04-26,23,58,0,3,23,False
2020-05-03,25,56,0,3,21,False
2020-05-10,24,46,0,2,18,False
2020-05-17,26,39,0,2,19,False
2020-05-24,29,31,0,3,19,False
2020-05-31,27,35,0,1,16,False
2020-06-07,28,40,0,2,17,False
2020-06-14,32,33,0,3,19,False
2020-06-21,29,35,0,2,21,False
2020-06-28,27,32,0,3,18,False
2020-07-05,31,33,0,3,19,False
2020-07-12,30,31,0,3,20,False
2020-07-19,30,29,0,3,22,False
2020-07-26,29,26,0,3,16,False
2020-08-02,30,24,0,2,19,False
2020-08-09,28,25,0,3,21,False
2020-08-16,28,42,0,3,22,False
2020-08-23,25,64,0,2,19,False
2020-08-30,25,81,0,2,20,False
2020-09-06,30,90,0,2,18,False
2020-09-13,28,99,0,3,21,False
2020-09-20,32,100,0,2,24,False
2020-09-27,29,87,0,4,22,False
2020-10-04,29,75,0,3,22,False
2020-10-11,29,60,0,2,22,False
2020-10-18,31,61,0,3,23,False
2020-10-25,30,63,0,3,20,False
2020-11-01,19,49,0,2,17,False
2020-11-08,26,53,0,3,22,False
2020-11-15,30,58,0,3,25,False
2020-11-22,20,29,0,2,18,False
2020-11-29,27,52,0,3,21,False
2020-12-06,25,55,0,2,21,False
2020-12-13,23,46,0,3,20,False
2020-12-20,22,14,0,2,14,False
2020-12-27,22,11,0,2,15,False
2021-01-03,28,34,0,2,15,False
2021-01-10,28,37,0,2,19,False
2021-01-17,24,40,0,3,18,False
2021-01-24,33,51,0,3,22,False
2021-01-31,33,49,0,2,21,False
2021-02-07,35,47,0,2,22,False
2021-02-14,29,44,0,2,21,False
2021-02-21,32,49,0,2,25,False
2021-02-28,35,51,0,2,26,False
2021-03-07,34,46,0,3,22,False
2021-03-14,34,41,0,2,17,False
2021-03-21,29,49,0,2,21,False
2021-03-28,29,38,0,2,19,False
2021-04-04,31,47,0,3,21,False
2021-04-11,28,48,0,4,23,False
2021-04-18,30,45,0,3,20,False
2021-04-25,31,47,0,4,20,False
2021-05-02,29,42,0,3,21,False
2021-05-09,31,42,0,3,18,False
2021-05-16,27,35,0,3,18,False
2021-05-23,28,30,0,3,21,False
2021-05-30,29,26,0,2,16,False
2021-06-06,31,28,1,5,21,False
2021-06-13,32,25,0,4,19,False
2021-06-20,28,25,0,2,19,False
2021-06-27,31,24,0,3,19,False
2021-07-04,31,23,0,3,19,False
2021-07-11,31,23,0,3,18,False
2021-07-18,29,24,0,3,16,False
2021-07-25,33,23,0,2,17,False
2021-08-01,30,22,0,2,17,False
2021-08-08,28,18,0,3,17,False
2021-08-15,29,23,0,4,19,False
2021-08-22,27,34,0,3,17,False
2021-08-29,25,42,0,3,18,False
2021-09-05,27,44,0,2,17,False
2021-09-12,30,49,0,3,20,False
2021-09-19,33,52,0,3,20,False
2021-09-26,32,49,0,2,21,False
2021-10-03,28,48,0,2,22,False
2021-10-10,27,46,0,2,20,False
2021-10-17,29,45,0,2,24,False
2021-10-24,25,49,0,2,21,False
2021-10-31,26,46,0,2,17,False
2021-11-07,27,47,0,3,20,False
2021-11-14,29,50,1,2,18,False
2021-11-21,23,28,0,2,17,False
2021-11-28,25,43,0,3,23,False
2021-12-05,28,45,0,3,21,False
2021-12-12,23,37,0,2,19,False
2021-12-19,20,14,0,2,18,False
2021-12-26,25,11,0,2,15,False
2022-01-02,30,21,0,2,15,False
2022-01-09,34,34,0,2,21,False
2022-01-16,35,35,0,2,22,False
2022-01-23,30,46,0,3,20,False
2022-01-30,34,43,0,2,22,False
2022-02-06,35,48,0,3,21,False
2022-02-13,34,43,0,3,20,False
2022-02-20,36,42,0,4,23,False
2022-02-27,29,44,0,3,22,False
2022-03-06,35,36,0,2,22,False
2022-03-13,33,36,0,3,23,False
2022-03-20,31,43,0,3,18,False
2022-03-27,31,37,0,3,19,False
2022-04-03,34,47,0,3,23,False
2022-04-10,33,39,0,3,21,False
2022-04-17,32,44,0,3,24,False
2022-04-24,27,44,0,3,22,False
2022-05-01,30,42,0,3,19,False
2022-05-08,29,34,0,2,20,False
2022-05-15,29,30,0,2,20,False
2022-05-22,27,28,0,2,15,True
