date,cellulitis,diabetes and anorexia,diabetes and female sexual dysfunction,diabetes and nausea,diabetes causes,isPartial
2017-05-28,76,0,0,1,9,False
2017-06-04,84,0,0,1,10,False
2017-06-11,82,0,0,1,11,False
2017-06-18,83,0,0,1,13,False
2017-06-25,85,0,0,1,11,False
2017-07-02,92,0,0,1,13,False
2017-07-09,87,0,0,0,13,False
2017-07-16,87,0,0,1,13,False
2017-07-23,86,0,0,1,14,False
2017-07-30,92,0,0,1,11,False
2017-08-06,90,0,0,0,11,False
2017-08-13,81,0,0,0,10,False
2017-08-20,79,0,0,1,10,False
2017-08-27,76,0,0,1,10,False
2017-09-03,72,0,0,1,10,False
2017-09-10,77,0,0,0,12,False
2017-09-17,79,0,0,1,13,False
2017-09-24,82,0,0,1,12,False
2017-10-01,73,0,0,1,13,False
2017-10-08,73,0,0,1,12,False
2017-10-15,75,0,0,1,12,False
2017-10-22,72,0,0,0,14,False
2017-10-29,70,0,0,1,14,False
2017-11-05,66,0,0,1,12,False
2017-11-12,69,0,0,1,15,False
2017-11-19,57,0,0,1,10,False
2017-11-26,68,0,0,1,14,False
2017-12-03,66,0,0,1,15,False
2017-12-10,58,0,0,1,13,False
2017-12-17,64,0,0,1,10,False
2017-12-24,67,0,0,1,9,False
2017-12-31,66,0,0,1,10,False
2018-01-07,65,0,0,0,11,False
2018-01-14,65,0,0,0,12,False
2018-01-21,70,0,0,0,13,False
2018-01-28,66,0,0,0,12,False
2018-02-04,70,0,0,0,13,False
2018-02-11,68,0,0,1,12,False
2018-02-18,69,0,0,1,14,False
2018-02-25,71,0,0,0,15,False
2018-03-04,66,0,0,1,14,False
2018-03-11,68,0,0,1,12,False
2018-03-18,67,0,0,0,13,False
2018-03-25,72,1,0,1,15,False
2018-04-01,74,0,0,1,13,False
2018-04-08,79,0,0,1,14,False
2018-04-15,70,0,0,1,14,False
2018-04-22,74,0,0,1,12,False
2018-04-29,73,0,0,1,12,False
2018-05-06,77,0,0,1,13,False
2018-05-13,79,0,0,1,11,False
2018-05-20,78,0,0,1,10,False
2018-05-27,84,0,0,0,13,False
2018-06-03,89,0,0,1,10,False
2018-06-10,95,0,0,0,9,False
2018-06-17,98,0,0,1,10,False
2018-06-24,93,0,0,0,10,False
2018-07-01,89,0,0,1,8,False
