date,diabetes staph infection,diabetes urinary tract infections,diabetes UTI,diabetic coma,diabetes causes,isPartial
2017-05-28,1,1,4,29,57,False
2017-06-04,0,0,6,18,65,False
2017-06-11,1,0,7,20,69,False
2017-06-18,0,0,3,17,81,False
2017-06-25,1,0,7,15,72,False
2017-07-02,0,0,6,16,83,False
2017-07-09,1,1,8,15,84,False
2017-07-16,1,0,8,15,82,False
2017-07-23,1,1,6,13,87,False
2017-07-30,0,0,10,18,71,False
2017-08-06,0,0,7,15,68,False
2017-08-13,0,1,7,14,64,False
2017-08-20,1,0,9,16,66,False
2017-08-27,0,0,4,9,60,False
2017-09-03,0,0,9,13,65,False
2017-09-10,1,0,6,14,73,False
2017-09-17,0,0,8,18,83,False
2017-09-24,0,0,5,12,74,False
2017-10-01,0,0,4,9,81,False
2017-10-08,0,1,6,11,78,False
2017-10-15,0,0,10,17,76,False
2017-10-22,0,0,6,13,86,False
2017-10-29,1,0,12,14,91,False
2017-11-05,0,0,7,11,78,False
2017-11-12,1,0,9,13,92,False
2017-11-19,0,0,9,16,65,False
2017-11-26,1,1,5,21,85,False
2017-12-03,0,0,9,14,93,False
2017-12-10,0,0,6,18,85,False
2017-12-17,1,1,6,15,61,False
2017-12-24,0,1,6,16,60,False
2017-12-31,0,0,7,20,60,False
2018-01-07,0,0,7,19,67,False
2018-01-14,0,1,9,18,74,False
2018-01-21,0,0,7,13,84,False
2018-01-28,1,0,8,16,78,False
2018-02-04,1,0,10,21,80,False
2018-02-11,0,1,4,16,77,False
2018-02-18,0,0,6,14,86,False
2018-02-25,1,0,8,20,92,False
2018-03-04,0,1,8,17,88,False
2018-03-11,0,0,5,24,76,False
2018-03-18,0,0,7,19,79,False
2018-03-25,0,1,6,17,93,False
2018-04-01,0,0,7,22,84,False
2018-04-08,1,0,6,21,90,False
2018-04-15,1,0,5,17,85,False
2018-04-22,0,0,10,16,78,False
2018-04-29,0,1,10,13,74,False
2018-05-06,1,0,8,15,83,False
2018-05-13,0,0,6,16,68,False
2018-05-20,0,0,8,17,60,False
2018-05-27,2,1,5,13,80,False
2018-06-03,1,0,8,20,62,False
2018-06-10,1,0,4,17,58,False
2018-06-17,0,0,6,14,60,False
2018-06-24,1,0,8,18,60,False
2018-07-01,0,1,9,14,50,False
2018-07-08,0,0,5,14,72,False
2018-07-15,1,0,6,13,67,False
2018-07-22,0,0,9,13,68,False
2018-07-29,1,0,10,15,67,False
2018-08-05,1,0,7,13,62,False
2018-08-12,0,0,11,11,62,False
2018-08-19,0,0,8,15,62,False
2018-08-26,0,0,5,12,66,False
2018-09-02,1,0,6,17,64,False
2018-09-09,0,0,8,10,65,False
2018-09-16,0,0,11,17,87,False
2018-09-23,0,0,7,14,73,False
2018-09-30,1,0,13,13,85,False
2018-10-07,0,0,10,14,84,False
2018-10-14,1,0,12,13,75,False
2018-10-21,1,0,3,15,78,False
2018-10-28,0,0,7,17,85,False
2018-11-04,1,0,7,15,82,False
2018-11-11,0,0,7,18,85,False
2018-11-18,0,0,5,13,83,False
2018-11-25,0,0,8,13,91,False
2018-12-02,1,1,8,18,89,False
2018-12-09,0,0,6,18,82,False
2018-12-16,0,0,8,19,77,False
2018-12-23,1,0,8,16,61,False
2018-12-30,1,0,6,15,74,False
2019-01-06,0,1,6,17,67,False
2019-01-13,0,0,9,22,78,False
2019-01-20,1,0,9,16,74,False
2019-01-27,0,1,8,13,84,False
2019-02-03,0,1,8,18,82,False
2019-02-10,0,0,8,18,81,False
2019-02-17,1,0,10,20,89,False
2019-02-24,0,0,10,19,78,False
2019-03-03,0,0,4,12,91,False
2019-03-10,0,0,6,15,86,False
2019-03-17,0,0,9,12,94,False
2019-03-24,0,0,8,20,85,False
2019-03-31,0,0,7,22,85,False
2019-04-07,0,0,9,17,97,False
2019-04-14,0,1,9,19,84,False
2019-04-21,1,1,5,16,95,False
2019-04-28,0,0,5,22,85,False
2019-05-05,0,0,9,15,100,False
2019-05-12,0,0,12,18,83,False
2019-05-19,0,0,7,14,67,False
2019-05-26,0,1,9,10,74,False
2019-06-02,0,0,12,14,68,False
2019-06-09,0,0,8,17,63,False
2019-06-16,0,1,3,13,73,False
2019-06-23,1,0,6,21,65,False
2019-06-30,0,0,8,14,57,False
2019-07-07,2,0,8,15,68,False
2019-07-14,1,0,5,16,67,False
2019-07-21,0,0,11,14,70,False
2019-07-28,0,0,9,13,58,False
2019-08-04,0,1,4,13,63,False
2019-08-11,0,0,5,19,58,False
2019-08-18,1,0,6,19,59,False
2019-08-25,1,0,6,12,77,False
2019-09-01,0,0,6,12,66,False
2019-09-08,0,0,7,13,72,False
2019-09-15,0,0,7,12,64,False
2019-09-22,0,1,9,18,76,False
2019-09-29,0,0,10,19,91,False
2019-10-06,0,0,10,14,78,False
2019-10-13,0,0,5,16,76,False
2019-10-20,0,0,10,14,86,False
2019-10-27,0,0,10,15,81,False
2019-11-03,1,0,7,15,80,False
2019-11-10,0,0,7,16,84,False
2019-11-17,0,0,6,20,88,False
2019-11-24,0,0,8,17,62,False
2019-12-01,0,0,8,20,89,False
2019-12-08,0,1,7,18,86,False
2019-12-15,0,0,7,16,65,False
2019-12-22,0,0,7,20,62,False
2019-12-29,0,0,7,18,70,False
2020-01-05,0,0,9,19,72,False
2020-01-12,0,0,6,16,66,False
2020-01-19,0,0,9,16,67,False
2020-01-26,0,0,5,16,76,False
2020-02-02,0,0,10,18,84,False
2020-02-09,0,0,4,22,82,False
2020-02-16,1,0,5,13,76,False
2020-02-23,0,0,6,16,86,False
2020-03-01,1,0,5,18,77,False
2020-03-08,0,1,10,14,66,False
2020-03-15,0,0,5,13,62,False
2020-03-22,0,0,5,11,64,False
2020-03-29,0,0,6,10,70,False
2020-04-05,0,0,9,12,90,False
2020-04-12,0,0,6,14,75,False
2020-04-19,0,0,8,20,87,False
2020-04-26,0,1,8,14,83,False
2020-05-03,0,0,7,12,77,False
2020-05-10,0,0,5,14,66,False
2020-05-17,0,0,9,19,71,False
2020-05-24,0,0,8,15,69,False
2020-05-31,0,0,6,13,59,False
2020-06-07,0,0,8,13,63,False
2020-06-14,0,0,6,17,69,False
2020-06-21,0,0,5,15,79,False
2020-06-28,0,0,7,16,65,False
2020-07-05,0,1,9,12,69,False
2020-07-12,0,0,8,16,75,False
2020-07-19,0,0,10,14,80,False
2020-07-26,1,0,4,17,60,False
2020-08-02,2,1,8,12,71,False
2020-08-09,0,1,8,15,78,False
2020-08-16,1,0,7,14,82,False
2020-08-23,0,1,10,13,70,False
2020-08-30,0,0,9,14,74,False
2020-09-06,0,0,6,11,65,False
2020-09-13,0,0,9,17,76,False
2020-09-20,0,0,7,11,88,False
2020-09-27,0,0,11,17,81,False
2020-10-04,0,0,8,16,79,False
2020-10-11,0,0,10,11,81,False
2020-10-18,1,0,9,15,86,False
2020-10-25,1,0,8,18,74,False
2020-11-01,0,0,7,10,63,False
2020-11-08,1,1,10,15,80,False
2020-11-15,0,0,10,21,90,False
2020-11-22,0,0,10,14,68,False
2020-11-29,1,0,9,10,76,False
2020-12-06,0,0,11,17,76,False
2020-12-13,0,0,11,17,73,False
2020-12-20,0,0,8,16,51,False
2020-12-27,0,0,6,19,54,False
2021-01-03,0,0,7,17,55,False
2021-01-10,0,0,7,20,69,False
2021-01-17,1,0,7,17,68,False
2021-01-24,0,1,10,16,80,False
2021-01-31,0,0,11,15,77,False
2021-02-07,0,0,11,13,82,False
2021-02-14,0,1,9,16,76,False
2021-02-21,0,0,9,16,90,False
2021-02-28,0,1,9,18,95,False
2021-03-07,0,0,10,15,79,False
2021-03-14,1,0,6,16,64,False
2021-03-21,0,1,8,19,78,False
2021-03-28,0,0,4,17,70,False
2021-04-04,0,0,10,14,77,False
2021-04-11,0,0,7,20,86,False
2021-04-18,0,0,6,18,75,False
2021-04-25,0,0,10,12,75,False
2021-05-02,0,0,7,18,76,False
2021-05-09,0,1,7,12,65,False
2021-05-16,0,0,8,13,66,False
2021-05-23,0,1,7,17,77,False
2021-05-30,0,0,9,16,58,False
2021-06-06,0,0,11,16,77,False
2021-06-13,0,0,9,10,70,False
2021-06-20,0,0,9,8,71,False
2021-06-27,0,0,8,18,68,False
2021-07-04,0,0,6,14,71,False
2021-07-11,1,0,9,20,66,False
2021-07-18,0,0,7,18,60,False
2021-07-25,0,0,8,15,63,False
2021-08-01,0,1,9,12,63,False
2021-08-08,0,0,9,11,64,False
2021-08-15,0,1,9,15,68,False
2021-08-22,1,0,11,11,61,False
2021-08-29,0,0,8,10,66,False
2021-09-05,0,0,7,18,63,False
2021-09-12,0,0,11,10,73,False
2021-09-19,0,0,9,14,75,False
2021-09-26,0,0,9,17,79,False
2021-10-03,0,0,10,17,80,False
2021-10-10,1,0,8,9,73,False
2021-10-17,0,0,9,15,90,False
2021-10-24,0,1,8,13,77,False
2021-10-31,1,0,7,15,64,False
2021-11-07,0,0,8,13,73,False
2021-11-14,0,0,14,11,68,False
2021-11-21,0,1,5,14,63,False
2021-11-28,0,0,8,17,85,False
2021-12-05,0,0,11,11,76,False
2021-12-12,0,0,7,18,71,False
2021-12-19,0,0,5,15,66,False
2021-12-26,0,0,6,15,57,False
2022-01-02,0,0,11,15,54,False
2022-01-09,0,0,7,17,76,False
2022-01-16,0,0,8,14,82,False
2022-01-23,0,0,9,21,74,False
2022-01-30,0,0,7,17,80,False
2022-02-06,1,0,14,13,78,False
2022-02-13,1,0,8,14,74,False
2022-02-20,0,0,12,12,83,False
2022-02-27,0,0,13,12,80,False
2022-03-06,0,1,11,10,82,False
2022-03-13,0,0,11,14,86,False
2022-03-20,0,0,10,17,68,False
2022-03-27,0,0,9,13,68,False
2022-04-03,0,1,11,17,85,False
2022-04-10,0,1,9,16,77,False
2022-04-17,0,1,15,16,88,False
2022-04-24,0,0,9,13,82,False
2022-05-01,1,0,10,17,69,False
2022-05-08,0,0,5,20,75,False
2022-05-15,0,1,9,12,72,False
2022-05-22,0,0,7,7,54,True
