date,diabetic dermopathy,diabetic foot,diabetic heart disease,diabetic keto acidosis,diabetes causes,isPartial
2017-05-28,3,62,2,0,57,False
2017-06-04,2,65,1,1,65,False
2017-06-11,3,61,4,0,69,False
2017-06-18,2,54,2,0,81,False
2017-06-25,2,62,2,1,72,False
2017-07-02,1,61,2,1,83,False
2017-07-09,4,60,3,0,84,False
2017-07-16,2,62,1,0,82,False
2017-07-23,3,55,1,2,87,False
2017-07-30,0,55,1,1,71,False
2017-08-06,3,58,1,0,68,False
2017-08-13,2,58,1,0,64,False
2017-08-20,1,44,1,0,66,False
2017-08-27,1,59,1,0,60,False
2017-09-03,0,51,1,0,65,False
2017-09-10,1,59,1,1,73,False
2017-09-17,2,63,2,1,83,False
2017-09-24,2,56,3,1,74,False
2017-10-01,2,45,2,0,81,False
2017-10-08,3,66,2,0,78,False
2017-10-15,0,59,2,0,76,False
2017-10-22,3,55,4,1,86,False
2017-10-29,1,63,3,0,91,False
2017-11-05,1,61,2,0,78,False
2017-11-12,1,58,4,1,92,False
2017-11-19,2,50,1,0,65,False
2017-11-26,1,62,1,0,85,False
2017-12-03,1,60,4,0,93,False
2017-12-10,1,64,1,0,85,False
2017-12-17,2,50,4,0,61,False
2017-12-24,3,48,1,0,60,False
2017-12-31,2,52,2,0,60,False
2018-01-07,2,54,1,1,67,False
2018-01-14,1,62,0,0,74,False
2018-01-21,3,60,2,0,84,False
2018-01-28,2,53,2,0,78,False
2018-02-04,3,60,2,0,80,False
2018-02-11,3,64,0,1,77,False
2018-02-18,4,60,2,0,86,False
2018-02-25,3,60,3,0,92,False
2018-03-04,1,63,5,1,88,False
2018-03-11,1,55,0,0,76,False
2018-03-18,2,57,1,1,79,False
2018-03-25,1,53,3,1,93,False
2018-04-01,5,54,3,1,84,False
2018-04-08,1,61,2,0,90,False
2018-04-15,2,69,1,0,85,False
2018-04-22,4,65,0,2,78,False
2018-04-29,2,66,1,0,74,False
2018-05-06,1,57,3,0,83,False
2018-05-13,2,61,1,0,68,False
2018-05-20,4,67,2,0,60,False
2018-05-27,3,62,1,0,80,False
2018-06-03,2,67,2,0,62,False
2018-06-10,2,71,0,0,58,False
2018-06-17,3,62,2,0,60,False
2018-06-24,2,57,1,0,60,False
2018-07-01,3,65,1,0,50,False
2018-07-08,3,64,0,1,72,False
2018-07-15,2,75,1,0,67,False
2018-07-22,2,75,1,0,68,False
2018-07-29,2,77,1,0,67,False
2018-08-05,3,69,1,0,62,False
2018-08-12,4,74,1,0,62,False
2018-08-19,3,65,1,0,62,False
2018-08-26,4,66,1,0,66,False
2018-09-02,6,60,1,1,64,False
2018-09-09,1,52,4,0,65,False
2018-09-16,2,68,2,0,87,False
2018-09-23,2,59,2,1,73,False
2018-09-30,1,73,2,0,85,False
2018-10-07,0,62,1,0,84,False
2018-10-14,1,56,2,1,75,False
2018-10-21,0,60,1,0,78,False
2018-10-28,1,71,2,0,85,False
2018-11-04,0,56,2,1,82,False
2018-11-11,5,56,2,0,85,False
2018-11-18,1,51,1,0,83,False
2018-11-25,2,66,1,0,91,False
2018-12-02,1,56,1,1,89,False
2018-12-09,1,59,2,0,82,False
2018-12-16,3,58,2,1,77,False
2018-12-23,2,52,2,2,61,False
2018-12-30,3,47,0,0,74,False
2019-01-06,2,61,3,1,67,False
2019-01-13,1,66,1,0,78,False
2019-01-20,3,53,1,0,74,False
2019-01-27,2,63,1,0,84,False
2019-02-03,0,67,2,0,82,False
2019-02-10,3,61,2,1,81,False
2019-02-17,0,59,2,0,89,False
2019-02-24,2,58,3,0,78,False
2019-03-03,2,58,2,0,91,False
2019-03-10,3,62,0,0,86,False
2019-03-17,5,50,0,0,94,False
2019-03-24,0,60,2,0,85,False
2019-03-31,2,71,2,1,85,False
2019-04-07,2,67,2,1,97,False
2019-04-14,1,59,2,0,84,False
2019-04-21,0,67,3,0,95,False
2019-04-28,3,58,3,0,85,False
2019-05-05,1,60,2,0,100,False
2019-05-12,4,64,2,0,83,False
2019-05-19,3,62,0,1,67,False
2019-05-26,2,66,2,1,74,False
2019-06-02,2,64,1,1,68,False
2019-06-09,1,56,2,0,63,False
2019-06-16,1,56,1,0,73,False
2019-06-23,2,64,2,0,65,False
2019-06-30,4,63,0,0,57,False
2019-07-07,2,67,2,1,68,False
2019-07-14,1,63,2,2,67,False
2019-07-21,5,66,1,1,70,False
2019-07-28,4,60,2,0,58,False
2019-08-04,2,59,2,0,63,False
2019-08-11,0,60,2,1,58,False
2019-08-18,4,58,1,1,59,False
2019-08-25,2,57,2,0,77,False
2019-09-01,1,58,2,0,66,False
2019-09-08,2,61,2,2,72,False
2019-09-15,3,64,1,0,64,False
2019-09-22,2,68,2,0,76,False
2019-09-29,3,66,1,1,91,False
2019-10-06,1,59,2,0,78,False
2019-10-13,2,55,1,0,76,False
2019-10-20,3,63,3,0,86,False
2019-10-27,2,61,2,0,81,False
2019-11-03,1,62,1,0,80,False
2019-11-10,2,55,2,0,84,False
2019-11-17,2,67,2,0,88,False
2019-11-24,2,41,1,0,62,False
2019-12-01,2,65,2,1,89,False
2019-12-08,1,55,2,0,86,False
2019-12-15,0,52,1,0,65,False
2019-12-22,1,45,0,0,62,False
2019-12-29,2,45,1,0,70,False
2020-01-05,3,57,1,0,72,False
2020-01-12,1,58,2,1,66,False
2020-01-19,2,56,3,1,67,False
2020-01-26,0,66,2,1,76,False
2020-02-02,2,60,2,1,84,False
2020-02-09,1,57,3,1,82,False
2020-02-16,2,60,2,1,76,False
2020-02-23,2,54,1,0,86,False
2020-03-01,1,55,2,0,77,False
2020-03-08,3,59,2,0,66,False
2020-03-15,1,43,1,0,62,False
2020-03-22,2,46,2,1,64,False
2020-03-29,1,54,1,1,70,False
2020-04-05,2,46,1,1,90,False
2020-04-12,2,50,2,1,75,False
2020-04-19,1,53,1,0,87,False
2020-04-26,1,54,1,0,83,False
2020-05-03,3,59,2,0,77,False
2020-05-10,3,56,2,1,66,False
2020-05-17,2,52,2,0,71,False
2020-05-24,3,52,1,0,69,False
2020-05-31,3,53,1,0,59,False
2020-06-07,1,50,3,0,63,False
2020-06-14,2,62,1,1,69,False
2020-06-21,2,57,2,1,79,False
2020-06-28,2,60,2,0,65,False
2020-07-05,2,57,1,1,69,False
2020-07-12,1,60,2,0,75,False
2020-07-19,3,60,1,0,80,False
2020-07-26,3,57,2,1,60,False
2020-08-02,2,64,2,0,71,False
2020-08-09,2,58,1,0,78,False
2020-08-16,0,63,1,0,82,False
2020-08-23,1,49,2,1,70,False
2020-08-30,1,63,3,0,74,False
2020-09-06,3,56,2,0,65,False
2020-09-13,2,55,1,0,76,False
2020-09-20,1,52,1,0,88,False
2020-09-27,2,58,2,0,81,False
2020-10-04,0,49,3,1,79,False
2020-10-11,1,57,2,0,81,False
2020-10-18,3,50,1,1,86,False
2020-10-25,1,66,2,1,74,False
2020-11-01,1,54,1,1,63,False
2020-11-08,0,64,3,0,80,False
2020-11-15,1,63,4,1,90,False
2020-11-22,2,51,2,0,68,False
2020-11-29,1,63,2,0,76,False
2020-12-06,1,64,2,1,76,False
2020-12-13,1,44,2,0,73,False
2020-12-20,2,47,1,0,51,False
2020-12-27,0,48,0,0,54,False
2021-01-03,2,61,1,0,55,False
2021-01-10,0,56,3,1,69,False
2021-01-17,1,50,2,1,68,False
2021-01-24,1,61,3,1,80,False
2021-01-31,1,51,2,0,77,False
2021-02-07,0,58,3,0,82,False
2021-02-14,2,48,2,0,76,False
2021-02-21,3,64,0,1,90,False
2021-02-28,2,54,2,1,95,False
2021-03-07,0,63,5,0,79,False
2021-03-14,1,56,1,0,64,False
2021-03-21,2,59,3,0,78,False
2021-03-28,2,66,2,0,70,False
2021-04-04,1,61,3,0,77,False
2021-04-11,3,56,1,1,86,False
2021-04-18,3,65,2,1,75,False
2021-04-25,2,65,0,1,75,False
2021-05-02,0,62,1,2,76,False
2021-05-09,2,61,2,0,65,False
2021-05-16,2,61,2,0,66,False
2021-05-23,3,62,2,0,77,False
2021-05-30,1,64,1,1,58,False
2021-06-06,4,61,0,0,77,False
2021-06-13,2,63,1,1,70,False
2021-06-20,2,68,1,1,71,False
2021-06-27,2,58,1,0,68,False
2021-07-04,0,69,1,1,71,False
2021-07-11,3,71,0,0,66,False
2021-07-18,3,67,1,1,60,False
2021-07-25,4,50,1,1,63,False
2021-08-01,1,64,0,1,63,False
2021-08-08,1,64,2,1,64,False
2021-08-15,2,49,1,0,68,False
2021-08-22,1,61,2,1,61,False
2021-08-29,2,58,1,0,66,False
2021-09-05,2,58,1,1,63,False
2021-09-12,2,61,2,0,73,False
2021-09-19,0,56,2,0,75,False
2021-09-26,0,69,1,1,79,False
2021-10-03,2,66,2,0,80,False
2021-10-10,3,62,1,0,73,False
2021-10-17,1,60,3,0,90,False
2021-10-24,1,55,2,1,77,False
2021-10-31,2,71,1,2,64,False
2021-11-07,2,74,2,0,73,False
2021-11-14,2,62,1,1,68,False
2021-11-21,1,51,1,0,63,False
2021-11-28,1,53,1,1,85,False
2021-12-05,1,61,2,2,76,False
2021-12-12,2,55,3,0,71,False
2021-12-19,1,42,2,1,66,False
2021-12-26,2,50,2,0,57,False
2022-01-02,0,49,3,1,54,False
2022-01-09,1,53,2,2,76,False
2022-01-16,0,58,2,0,82,False
2022-01-23,3,60,0,0,74,False
2022-01-30,1,63,1,0,80,False
2022-02-06,1,70,2,1,78,False
2022-02-13,1,67,3,2,74,False
