date,diabetic mononeuropathy,diabetic nephropathy,diabetic neuropathy,diabetic peripheral vascular disease,diabetes causes,isPartial
2017-05-28,1,6,46,0,57,False
2017-06-04,0,6,51,1,65,False
2017-06-11,0,8,50,1,69,False
2017-06-18,0,7,58,1,81,False
2017-06-25,0,5,55,1,72,False
2017-07-02,0,6,52,1,83,False
2017-07-09,0,7,53,0,84,False
2017-07-16,0,4,44,0,82,False
2017-07-23,0,7,49,1,87,False
2017-07-30,0,5,51,0,71,False
2017-08-06,0,4,66,0,68,False
2017-08-13,0,7,51,1,64,False
2017-08-20,0,6,60,1,66,False
2017-08-27,0,4,58,1,60,False
2017-09-03,0,6,51,0,65,False
2017-09-10,1,6,52,1,73,False
2017-09-17,0,7,61,1,83,False
2017-09-24,0,8,63,1,74,False
2017-10-01,0,9,60,0,81,False
2017-10-08,0,9,53,0,78,False
2017-10-15,0,8,55,0,76,False
2017-10-22,0,8,50,1,86,False
2017-10-29,0,8,53,1,91,False
2017-11-05,0,11,54,0,78,False
2017-11-12,0,11,59,0,92,False
2017-11-19,0,6,48,1,65,False
2017-11-26,0,6,58,0,85,False
2017-12-03,0,11,49,0,93,False
2017-12-10,0,7,52,0,85,False
2017-12-17,0,7,47,1,61,False
2017-12-24,0,1,39,1,60,False
2017-12-31,0,4,42,1,60,False
2018-01-07,0,6,49,0,67,False
2018-01-14,0,11,45,1,74,False
2018-01-21,0,8,56,0,84,False
2018-01-28,0,11,55,1,78,False
2018-02-04,0,7,56,1,80,False
2018-02-11,0,6,50,1,77,False
2018-02-18,0,8,55,1,86,False
2018-02-25,0,8,51,1,92,False
2018-03-04,0,8,57,0,88,False
2018-03-11,0,7,54,1,76,False
2018-03-18,0,10,55,1,79,False
2018-03-25,0,6,54,0,93,False
2018-04-01,0,15,55,1,84,False
2018-04-08,0,10,56,0,90,False
2018-04-15,0,10,58,0,85,False
2018-04-22,0,9,63,1,78,False
2018-04-29,0,5,53,0,74,False
2018-05-06,1,4,53,1,83,False
2018-05-13,0,10,46,1,68,False
2018-05-20,0,8,43,0,60,False
2018-05-27,0,9,49,0,80,False
2018-06-03,1,6,61,1,62,False
2018-06-10,0,10,53,1,58,False
2018-06-17,0,9,60,0,60,False
2018-06-24,0,5,56,0,60,False
2018-07-01,0,4,52,1,50,False
2018-07-08,0,8,60,0,72,False
2018-07-15,0,10,53,1,67,False
2018-07-22,0,3,50,1,68,False
2018-07-29,0,5,48,0,67,False
2018-08-05,0,9,65,0,62,False
2018-08-12,0,6,65,0,62,False
2018-08-19,0,7,54,0,62,False
2018-08-26,0,7,57,0,66,False
2018-09-02,0,9,59,0,64,False
2018-09-09,0,3,51,1,65,False
2018-09-16,0,10,55,1,87,False
2018-09-23,0,10,52,2,73,False
2018-09-30,0,10,56,1,85,False
2018-10-07,0,10,60,0,84,False
2018-10-14,0,7,58,0,75,False
2018-10-21,0,7,52,1,78,False
2018-10-28,1,12,64,2,85,False
2018-11-04,0,9,52,0,82,False
2018-11-11,0,8,57,0,85,False
2018-11-18,0,7,42,0,83,False
2018-11-25,0,5,57,0,91,False
2018-12-02,0,13,58,1,89,False
2018-12-09,0,7,51,0,82,False
2018-12-16,0,6,53,0,77,False
2018-12-23,0,5,52,0,61,False
2018-12-30,0,5,48,0,74,False
2019-01-06,0,4,60,1,67,False
2019-01-13,0,6,47,0,78,False
2019-01-20,0,5,50,0,74,False
2019-01-27,0,6,53,0,84,False
2019-02-03,0,6,60,1,82,False
2019-02-10,0,8,65,1,81,False
2019-02-17,0,9,58,0,89,False
2019-02-24,0,5,50,1,78,False
2019-03-03,0,6,56,1,91,False
2019-03-10,0,5,57,0,86,False
2019-03-17,0,5,49,1,94,False
2019-03-24,0,10,61,0,85,False
2019-03-31,0,7,62,0,85,False
2019-04-07,0,7,63,0,97,False
2019-04-14,1,5,55,0,84,False
2019-04-21,0,10,60,1,95,False
2019-04-28,0,11,58,0,85,False
2019-05-05,0,7,60,0,100,False
2019-05-12,0,9,60,1,83,False
2019-05-19,0,9,66,1,67,False
2019-05-26,0,6,53,1,74,False
2019-06-02,0,8,51,1,68,False
2019-06-09,0,7,54,0,63,False
2019-06-16,0,6,51,1,73,False
2019-06-23,0,8,54,1,65,False
2019-06-30,0,4,60,1,57,False
2019-07-07,0,9,61,0,68,False
2019-07-14,0,10,62,1,67,False
2019-07-21,0,5,59,1,70,False
2019-07-28,0,6,54,0,58,False
2019-08-04,0,7,62,0,63,False
2019-08-11,0,7,52,1,58,False
2019-08-18,0,7,61,2,59,False
2019-08-25,0,7,60,0,77,False
2019-09-01,0,5,57,0,66,False
2019-09-08,0,7,61,0,72,False
2019-09-15,0,6,55,1,64,False
2019-09-22,0,7,64,0,76,False
2019-09-29,0,6,59,0,91,False
2019-10-06,0,7,61,0,78,False
2019-10-13,0,10,53,0,76,False
2019-10-20,0,6,61,0,86,False
2019-10-27,0,8,59,0,81,False
2019-11-03,0,10,66,0,80,False
2019-11-10,0,9,66,0,84,False
2019-11-17,0,11,61,0,88,False
2019-11-24,0,6,47,1,62,False
2019-12-01,0,6,56,1,89,False
2019-12-08,0,7,58,0,86,False
2019-12-15,1,7,59,0,65,False
2019-12-22,0,4,50,0,62,False
2019-12-29,0,3,55,0,70,False
2020-01-05,1,3,52,0,72,False
2020-01-12,0,7,52,1,66,False
2020-01-19,1,4,61,1,67,False
2020-01-26,0,7,49,0,76,False
2020-02-02,0,5,58,0,84,False
2020-02-09,1,8,56,0,82,False
2020-02-16,0,11,62,0,76,False
2020-02-23,0,11,67,0,86,False
2020-03-01,0,7,56,1,77,False
2020-03-08,0,5,51,0,66,False
2020-03-15,0,6,35,0,62,False
2020-03-22,0,9,37,0,64,False
2020-03-29,0,7,43,0,70,False
2020-04-05,0,6,44,0,90,False
2020-04-12,1,4,41,1,75,False
2020-04-19,0,8,42,0,87,False
2020-04-26,0,8,45,0,83,False
2020-05-03,0,8,55,0,77,False
2020-05-10,0,7,58,0,66,False
2020-05-17,1,4,58,0,71,False
2020-05-24,0,4,57,0,69,False
2020-05-31,0,4,43,1,59,False
2020-06-07,0,8,48,0,63,False
2020-06-14,0,7,54,0,69,False
2020-06-21,0,6,52,0,79,False
2020-06-28,0,7,53,0,65,False
2020-07-05,0,9,55,0,69,False
2020-07-12,0,7,42,0,75,False
2020-07-19,1,7,54,0,80,False
2020-07-26,0,3,49,0,60,False
2020-08-02,0,5,58,0,71,False
2020-08-09,0,8,51,0,78,False
2020-08-16,0,2,54,0,82,False
2020-08-23,1,5,51,2,70,False
2020-08-30,1,7,61,0,74,False
2020-09-06,0,6,46,0,65,False
2020-09-13,0,5,57,0,76,False
2020-09-20,0,9,55,0,88,False
2020-09-27,0,7,64,0,81,False
2020-10-04,0,9,59,0,79,False
2020-10-11,0,5,60,0,81,False
2020-10-18,0,7,61,0,86,False
2020-10-25,0,5,58,1,74,False
2020-11-01,0,6,47,1,63,False
2020-11-08,0,9,49,0,80,False
2020-11-15,0,9,58,1,90,False
2020-11-22,0,8,54,0,68,False
2020-11-29,0,6,59,1,76,False
2020-12-06,0,6,44,0,76,False
2020-12-13,0,6,51,0,73,False
2020-12-20,1,3,40,0,51,False
2020-12-27,0,5,54,0,54,False
2021-01-03,1,9,54,0,55,False
2021-01-10,0,6,45,0,69,False
2021-01-17,1,5,54,0,68,False
2021-01-24,1,5,52,0,80,False
2021-01-31,0,6,63,0,77,False
2021-02-07,0,9,63,1,82,False
2021-02-14,0,6,54,0,76,False
2021-02-21,0,11,62,1,90,False
2021-02-28,0,7,67,0,95,False
2021-03-07,0,6,64,1,79,False
2021-03-14,0,7,56,1,64,False
2021-03-21,0,7,53,0,78,False
2021-03-28,0,7,63,0,70,False
2021-04-04,0,11,54,0,77,False
2021-04-11,0,10,61,0,86,False
2021-04-18,0,7,64,0,75,False
2021-04-25,0,6,53,1,75,False
2021-05-02,0,6,57,0,76,False
2021-05-09,0,6,50,1,65,False
2021-05-16,0,8,58,0,66,False
2021-05-23,0,6,51,1,77,False
2021-05-30,0,6,54,1,58,False
2021-06-06,0,7,60,0,77,False
2021-06-13,0,4,54,1,70,False
2021-06-20,0,4,59,0,71,False
2021-06-27,0,3,54,0,68,False
2021-07-04,0,2,53,0,71,False
2021-07-11,0,6,55,0,66,False
2021-07-18,0,6,58,1,60,False
2021-07-25,0,4,54,0,63,False
2021-08-01,0,5,43,0,63,False
2021-08-08,0,2,54,1,64,False
2021-08-15,0,4,51,0,68,False
2021-08-22,0,4,56,0,61,False
2021-08-29,0,5,44,0,66,False
2021-09-05,0,5,50,0,63,False
2021-09-12,0,3,53,0,73,False
2021-09-19,0,4,65,0,75,False
2021-09-26,1,4,68,0,79,False
2021-10-03,0,7,50,0,80,False
2021-10-10,0,6,51,0,73,False
2021-10-17,0,6,55,0,90,False
2021-10-24,0,9,61,0,77,False
2021-10-31,0,7,59,1,64,False
2021-11-07,0,7,61,0,73,False
2021-11-14,0,6,65,1,68,False
2021-11-21,0,4,45,0,63,False
2021-11-28,0,6,61,1,85,False
2021-12-05,0,6,63,0,76,False
2021-12-12,1,7,52,0,71,False
2021-12-19,0,4,41,0,66,False
2021-12-26,0,4,45,2,57,False
2022-01-02,0,5,45,0,54,False
2022-01-09,0,9,56,1,76,False
2022-01-16,0,5,49,1,82,False
2022-01-23,0,7,58,0,74,False
2022-01-30,0,6,73,1,80,False
2022-02-06,0,6,55,1,78,False
2022-02-13,0,7,56,1,74,False
2022-02-20,0,3,55,0,83,False
2022-02-27,0,7,52,0,80,False
2022-03-06,0,7,59,1,82,False
2022-03-13,0,8,64,0,86,False
2022-03-20,0,6,63,0,68,False
2022-03-27,0,7,63,1,68,False
2022-04-03,0,10,67,0,85,False
2022-04-10,0,7,65,0,77,False
2022-04-17,0,7,62,0,88,False
2022-04-24,0,8,61,0,82,False
2022-05-01,0,9,61,0,69,False
2022-05-08,0,7,55,0,75,False
2022-05-15,0,8,67,0,72,False
2022-05-22,0,7,81,0,54,True
