date,diabetic polyneuropathy,diabetic retinopathy,diabetic skin spots,End stage renal disease,diabetes causes,isPartial
2017-05-28,2,23,1,17,57,False
2017-06-04,3,29,1,18,65,False
2017-06-11,0,26,2,18,69,False
2017-06-18,1,27,0,17,81,False
2017-06-25,2,25,1,16,72,False
2017-07-02,2,22,0,9,83,False
2017-07-09,2,25,0,21,84,False
2017-07-16,2,27,0,18,82,False
2017-07-23,3,29,1,16,87,False
2017-07-30,1,31,0,21,71,False
2017-08-06,3,30,0,17,68,False
2017-08-13,1,34,1,18,64,False
2017-08-20,1,27,0,14,66,False
2017-08-27,1,29,0,19,60,False
2017-09-03,0,29,0,15,65,False
2017-09-10,2,27,1,22,73,False
2017-09-17,1,32,0,23,83,False
2017-09-24,1,31,0,21,74,False
2017-10-01,1,31,0,18,81,False
2017-10-08,3,35,1,20,78,False
2017-10-15,1,27,0,22,76,False
2017-10-22,3,34,0,21,86,False
2017-10-29,2,28,0,20,91,False
2017-11-05,1,28,0,22,78,False
2017-11-12,1,36,0,22,92,False
2017-11-19,1,18,0,15,65,False
2017-11-26,0,27,1,24,85,False
2017-12-03,1,38,0,20,93,False
2017-12-10,2,34,0,16,85,False
2017-12-17,3,26,0,17,61,False
2017-12-24,1,15,0,16,60,False
2017-12-31,0,19,1,12,60,False
2018-01-07,1,24,1,15,67,False
2018-01-14,0,28,1,18,74,False
2018-01-21,1,26,1,20,84,False
2018-01-28,2,36,0,27,78,False
2018-02-04,0,28,1,16,80,False
2018-02-11,1,27,0,24,77,False
2018-02-18,2,33,0,21,86,False
2018-02-25,1,27,0,28,92,False
2018-03-04,2,25,0,22,88,False
2018-03-11,0,32,0,20,76,False
2018-03-18,1,31,0,27,79,False
2018-03-25,1,30,1,30,93,False
2018-04-01,1,30,2,26,84,False
2018-04-08,4,32,0,23,90,False
2018-04-15,1,34,0,20,85,False
2018-04-22,2,30,0,26,78,False
2018-04-29,2,29,0,15,74,False
2018-05-06,2,35,0,19,83,False
2018-05-13,2,33,0,17,68,False
2018-05-20,1,32,0,15,60,False
2018-05-27,2,35,0,17,80,False
2018-06-03,2,30,1,23,62,False
2018-06-10,1,36,0,20,58,False
2018-06-17,0,38,0,17,60,False
2018-06-24,0,28,0,21,60,False
2018-07-01,1,31,1,17,50,False
2018-07-08,2,20,0,18,72,False
2018-07-15,1,26,0,21,67,False
2018-07-22,2,26,0,18,68,False
2018-07-29,3,29,0,16,67,False
2018-08-05,1,38,0,16,62,False
2018-08-12,3,35,0,20,62,False
2018-08-19,2,28,0,17,62,False
2018-08-26,1,36,0,20,66,False
2018-09-02,2,30,0,17,64,False
2018-09-09,4,30,0,19,65,False
2018-09-16,0,40,0,16,87,False
2018-09-23,2,34,0,26,73,False
2018-09-30,1,35,0,18,85,False
2018-10-07,1,40,0,24,84,False
2018-10-14,1,35,0,24,75,False
2018-10-21,0,38,1,24,78,False
2018-10-28,4,39,0,33,85,False
2018-11-04,2,31,0,29,82,False
2018-11-11,3,35,0,25,85,False
2018-11-18,1,24,0,21,83,False
2018-11-25,1,42,0,21,91,False
2018-12-02,1,34,0,19,89,False
2018-12-09,2,33,0,19,82,False
2018-12-16,3,26,0,16,77,False
2018-12-23,2,22,0,19,61,False
2018-12-30,2,27,1,15,74,False
2019-01-06,1,32,1,20,67,False
2019-01-13,0,37,0,20,78,False
2019-01-20,4,29,0,22,74,False
2019-01-27,2,32,1,20,84,False
2019-02-03,4,48,1,20,82,False
2019-02-10,3,33,1,21,81,False
2019-02-17,1,37,0,22,89,False
2019-02-24,0,41,0,17,78,False
2019-03-03,3,34,0,24,91,False
2019-03-10,2,38,0,20,86,False
2019-03-17,2,41,1,26,94,False
2019-03-24,1,31,0,17,85,False
2019-03-31,3,40,0,23,85,False
2019-04-07,1,46,0,24,97,False
2019-04-14,2,31,0,23,84,False
2019-04-21,2,44,0,24,95,False
2019-04-28,3,35,0,22,85,False
2019-05-05,1,34,0,18,100,False
2019-05-12,1,33,0,22,83,False
2019-05-19,2,32,0,20,67,False
2019-05-26,1,33,0,19,74,False
2019-06-02,0,37,0,24,68,False
2019-06-09,4,30,1,17,63,False
2019-06-16,1,40,0,21,73,False
2019-06-23,2,37,0,20,65,False
2019-06-30,1,28,0,20,57,False
2019-07-07,3,33,0,15,68,False
2019-07-14,3,40,0,20,67,False
2019-07-21,1,27,1,17,70,False
2019-07-28,2,35,0,20,58,False
2019-08-04,0,34,1,19,63,False
2019-08-11,4,36,0,27,58,False
2019-08-18,1,29,0,17,59,False
2019-08-25,2,27,0,20,77,False
2019-09-01,1,36,0,16,66,False
2019-09-08,1,38,1,20,72,False
2019-09-15,3,39,0,22,64,False
2019-09-22,1,43,1,17,76,False
2019-09-29,2,32,0,26,91,False
2019-10-06,3,45,0,20,78,False
2019-10-13,3,37,0,26,76,False
2019-10-20,3,37,0,23,86,False
2019-10-27,2,36,1,21,81,False
2019-11-03,0,48,0,28,80,False
2019-11-10,4,40,1,16,84,False
2019-11-17,1,40,0,24,88,False
2019-11-24,2,27,1,14,62,False
2019-12-01,1,39,0,21,89,False
2019-12-08,1,36,0,22,86,False
2019-12-15,1,28,0,20,65,False
2019-12-22,1,24,0,16,62,False
2019-12-29,2,24,0,15,70,False
2020-01-05,1,31,0,23,72,False
2020-01-12,2,34,0,24,66,False
2020-01-19,1,34,1,22,67,False
2020-01-26,2,36,0,25,76,False
2020-02-02,0,38,0,23,84,False
2020-02-09,1,37,0,20,82,False
2020-02-16,1,44,0,28,76,False
2020-02-23,2,44,1,23,86,False
2020-03-01,5,41,0,19,77,False
