date,ESRD,foot ulcers,gangrene,gastroparesis,diabetes causes,isPartial
2017-05-28,18,3,38,52,24,False
2017-06-04,23,4,42,48,27,False
2017-06-11,17,3,34,47,29,False
2017-06-18,21,1,36,49,34,False
2017-06-25,18,3,35,52,30,False
2017-07-02,12,3,34,61,35,False
2017-07-09,23,3,37,88,36,False
2017-07-16,22,2,30,92,34,False
2017-07-23,23,5,40,78,36,False
2017-07-30,18,3,41,76,30,False
2017-08-06,26,3,34,100,29,False
2017-08-13,21,4,42,86,27,False
2017-08-20,20,3,40,69,28,False
2017-08-27,17,3,41,73,25,False
2017-09-03,21,4,40,67,28,False
2017-09-10,23,5,36,63,31,False
2017-09-17,19,4,41,60,35,False
2017-09-24,26,5,42,58,31,False
2017-10-01,21,3,41,55,34,False
2017-10-08,25,4,41,59,33,False
2017-10-15,27,4,40,59,32,False
2017-10-22,19,3,46,63,36,False
2017-10-29,25,3,49,60,38,False
2017-11-05,22,2,46,60,33,False
2017-11-12,21,4,48,61,39,False
2017-11-19,18,2,39,46,28,False
2017-11-26,23,5,47,57,36,False
2017-12-03,21,3,40,54,39,False
2017-12-10,22,5,38,50,36,False
2017-12-17,17,3,67,51,26,False
2017-12-24,15,3,42,58,25,False
2017-12-31,17,3,46,51,25,False
2018-01-07,22,5,42,58,28,False
2018-01-14,20,3,52,61,31,False
2018-01-21,23,2,57,61,35,False
2018-01-28,20,4,56,95,33,False
2018-02-04,25,4,45,68,34,False
2018-02-11,25,3,56,62,32,False
2018-02-18,26,4,49,68,36,False
2018-02-25,26,3,50,70,39,False
2018-03-04,23,4,46,64,37,False
2018-03-11,19,1,50,57,32,False
2018-03-18,24,3,52,64,33,False
2018-03-25,27,3,53,66,39,False
2018-04-01,26,4,45,65,35,False
2018-04-08,21,4,47,77,38,False
2018-04-15,24,3,48,77,36,False
2018-04-22,22,4,48,70,33,False
2018-04-29,20,3,42,59,31,False
2018-05-06,22,2,44,58,35,False
2018-05-13,20,3,49,59,29,False
2018-05-20,22,3,40,56,25,False
2018-05-27,18,3,40,58,34,False
2018-06-03,20,4,48,62,26,False
2018-06-10,21,5,41,75,25,False
2018-06-17,22,4,43,66,25,False
2018-06-24,26,6,46,64,25,False
2018-07-01,22,4,38,58,21,False
2018-07-08,23,2,40,62,30,False
2018-07-15,23,4,40,60,28,False
2018-07-22,25,4,39,66,29,False
2018-07-29,24,5,38,71,28,False
2018-08-05,22,3,38,72,26,False
2018-08-12,23,4,43,71,26,False
2018-08-19,24,5,43,61,26,False
2018-08-26,21,4,61,71,28,False
2018-09-02,20,3,48,60,27,False
2018-09-09,24,3,56,62,27,False
2018-09-16,24,4,74,59,37,False
2018-09-23,24,4,60,67,31,False
2018-09-30,28,3,57,63,36,False
2018-10-07,25,2,51,57,35,False
2018-10-14,24,2,46,61,32,False
2018-10-21,26,5,56,65,33,False
2018-10-28,29,2,61,72,36,False
2018-11-04,24,4,59,63,35,False
