date,hypoglycemia,insulin reaction,insulin shock,neuropathy,diabetes causes,isPartial
2017-05-28,28,0,1,58,7,False
2017-06-04,32,0,1,61,8,False
2017-06-11,29,0,0,62,8,False
2017-06-18,24,0,0,63,10,False
2017-06-25,28,0,0,65,9,False
2017-07-02,27,0,1,60,10,False
2017-07-09,30,1,0,63,10,False
2017-07-16,28,0,0,63,10,False
2017-07-23,28,1,1,65,10,False
2017-07-30,28,0,0,69,8,False
2017-08-06,27,0,1,72,8,False
2017-08-13,25,1,0,67,8,False
2017-08-20,27,0,1,60,8,False
2017-08-27,28,0,1,63,7,False
2017-09-03,28,1,0,59,8,False
2017-09-10,28,0,1,58,9,False
2017-09-17,29,1,1,71,10,False
2017-09-24,30,1,0,69,9,False
2017-10-01,32,0,0,61,10,False
2017-10-08,28,0,1,65,9,False
2017-10-15,31,0,1,68,9,False
2017-10-22,31,1,1,62,10,False
2017-10-29,29,0,1,65,11,False
2017-11-05,30,1,1,66,9,False
2017-11-12,31,0,1,66,11,False
2017-11-19,29,1,1,58,8,False
2017-11-26,31,1,1,69,10,False
2017-12-03,27,1,1,59,11,False
2017-12-10,30,0,1,64,10,False
2017-12-17,27,0,1,61,7,False
2017-12-24,24,0,0,57,7,False
2017-12-31,24,1,0,56,7,False
2018-01-07,33,0,1,66,8,False
2018-01-14,30,0,0,66,9,False
2018-01-21,31,0,0,69,10,False
2018-01-28,33,1,1,64,9,False
2018-02-04,32,0,1,65,10,False
2018-02-11,33,0,1,67,9,False
2018-02-18,34,0,1,68,10,False
2018-02-25,34,0,1,69,11,False
2018-03-04,34,0,1,69,10,False
2018-03-11,31,1,1,69,9,False
2018-03-18,31,1,1,70,9,False
2018-03-25,31,1,0,67,11,False
2018-04-01,32,1,0,70,10,False
2018-04-08,32,1,1,67,11,False
2018-04-15,34,0,1,71,10,False
2018-04-22,34,0,1,71,9,False
2018-04-29,33,0,1,71,9,False
2018-05-06,32,1,1,74,10,False
2018-05-13,29,1,1,69,8,False
2018-05-20,27,1,1,69,7,False
2018-05-27,28,0,1,68,9,False
2018-06-03,29,0,1,73,7,False
2018-06-10,30,1,1,71,7,False
2018-06-17,30,0,1,70,7,False
2018-06-24,30,0,1,100,7,False
2018-07-01,28,1,1,78,6,False
2018-07-08,30,0,1,77,9,False
2018-07-15,30,0,1,73,8,False
2018-07-22,28,0,1,74,8,False
2018-07-29,28,0,1,70,8,False
2018-08-05,29,0,1,87,7,False
2018-08-12,29,0,0,81,7,False
2018-08-19,29,0,1,76,7,False
2018-08-26,29,1,1,74,8,False
2018-09-02,26,1,1,73,8,False
