date,diabetes treatment,diabetes type 1 symptoms,diabetes type 2 symptoms,diets for diabetes,diabetes causes,isPartial
2017-05-28,34,21,39,2,57,False
2017-06-04,50,27,48,2,65,False
2017-06-11,47,19,33,2,69,False
2017-06-18,42,18,43,2,81,False
2017-06-25,49,23,52,2,72,False
2017-07-02,48,19,45,2,83,False
2017-07-09,56,24,50,2,84,False
2017-07-16,43,19,42,3,82,False
2017-07-23,43,26,49,3,87,False
2017-07-30,37,19,41,3,71,False
2017-08-06,47,21,40,2,68,False
2017-08-13,52,18,41,3,64,False
2017-08-20,35,23,38,3,66,False
2017-08-27,40,23,33,0,60,False
2017-09-03,41,19,34,3,65,False
2017-09-10,59,21,31,3,73,False
2017-09-17,55,36,50,3,83,False
2017-09-24,59,30,41,2,74,False
2017-10-01,59,32,45,1,81,False
2017-10-08,54,31,51,2,78,False
2017-10-15,68,33,49,3,76,False
2017-10-22,61,27,51,1,86,False
2017-10-29,64,31,49,2,91,False
2017-11-05,65,30,42,1,78,False
2017-11-12,66,36,54,1,92,False
2017-11-19,44,23,40,2,65,False
2017-11-26,64,27,57,3,85,False
2017-12-03,62,34,48,1,93,False
2017-12-10,60,29,54,2,85,False
2017-12-17,43,23,41,2,61,False
2017-12-24,35,20,38,4,60,False
2017-12-31,45,27,44,2,60,False
2018-01-07,55,25,51,3,67,False
2018-01-14,51,25,47,2,74,False
2018-01-21,53,26,52,3,84,False
2018-01-28,67,34,52,3,78,False
2018-02-04,64,30,47,1,80,False
2018-02-11,53,27,51,3,77,False
2018-02-18,68,32,52,0,86,False
2018-02-25,55,28,39,2,92,False
2018-03-04,66,29,46,2,88,False
2018-03-11,63,29,47,3,76,False
2018-03-18,63,27,49,4,79,False
2018-03-25,58,23,41,3,93,False
2018-04-01,70,34,53,2,84,False
2018-04-08,70,24,44,2,90,False
2018-04-15,68,31,37,1,85,False
2018-04-22,66,25,36,2,78,False
2018-04-29,57,23,35,3,74,False
2018-05-06,58,23,37,2,83,False
2018-05-13,55,28,40,4,68,False
2018-05-20,59,20,39,3,60,False
2018-05-27,60,23,42,3,80,False
2018-06-03,51,20,37,1,62,False
2018-06-10,54,22,36,0,58,False
2018-06-17,51,15,37,2,60,False
2018-06-24,47,22,44,2,60,False
2018-07-01,40,11,29,2,50,False
2018-07-08,47,24,29,1,72,False
2018-07-15,52,22,40,1,67,False
2018-07-22,55,19,29,2,68,False
2018-07-29,48,25,41,2,67,False
2018-08-05,51,20,41,1,62,False
2018-08-12,42,20,34,0,62,False
2018-08-19,40,26,42,2,62,False
2018-08-26,43,23,41,1,66,False
2018-09-02,56,28,41,3,64,False
2018-09-09,49,25,47,0,65,False
2018-09-16,49,35,42,2,87,False
2018-09-23,55,35,50,2,73,False
2018-09-30,58,26,43,3,85,False
2018-10-07,56,28,45,1,84,False
2018-10-14,56,25,40,2,75,False
2018-10-21,62,24,40,1,78,False
2018-10-28,66,26,37,3,85,False
2018-11-04,64,33,50,1,82,False
2018-11-11,66,23,37,3,85,False
2018-11-18,49,23,35,1,83,False
2018-11-25,69,33,47,2,91,False
2018-12-02,73,36,55,2,89,False
2018-12-09,61,31,49,4,82,False
2018-12-16,48,26,46,2,77,False
2018-12-23,35,18,53,3,61,False
2018-12-30,41,15,48,1,74,False
2019-01-06,48,24,41,1,67,False
2019-01-13,64,25,33,3,78,False
2019-01-20,57,18,29,2,74,False
2019-01-27,58,24,33,2,84,False
2019-02-03,66,23,33,2,82,False
2019-02-10,50,25,39,3,81,False
2019-02-17,52,30,42,5,89,False
2019-02-24,63,32,37,3,78,False
2019-03-03,59,32,41,4,91,False
2019-03-10,70,24,44,2,86,False
2019-03-17,58,26,38,2,94,False
2019-03-24,65,35,47,3,85,False
2019-03-31,68,31,48,4,85,False
2019-04-07,57,33,52,5,97,False
2019-04-14,62,22,42,2,84,False
2019-04-21,63,26,42,2,95,False
2019-04-28,63,29,41,2,85,False
2019-05-05,72,22,38,1,100,False
2019-05-12,61,24,37,2,83,False
2019-05-19,55,25,36,1,67,False
2019-05-26,49,17,42,2,74,False
2019-06-02,63,23,40,2,68,False
2019-06-09,46,24,39,2,63,False
2019-06-16,54,26,43,1,73,False
2019-06-23,58,27,42,2,65,False
2019-06-30,50,24,46,2,57,False
2019-07-07,52,21,37,2,68,False
2019-07-14,60,21,31,0,67,False
2019-07-21,48,18,39,1,70,False
2019-07-28,48,20,40,1,58,False
2019-08-04,48,22,37,2,63,False
2019-08-11,49,27,40,2,58,False
2019-08-18,45,25,31,0,59,False
2019-08-25,48,16,35,1,77,False
2019-09-01,50,21,37,3,66,False
2019-09-08,55,25,39,3,72,False
2019-09-15,69,22,37,5,64,False
2019-09-22,52,22,28,3,76,False
2019-09-29,66,27,41,2,91,False
2019-10-06,66,23,50,2,78,False
2019-10-13,54,21,36,2,76,False
2019-10-20,73,31,48,4,86,False
2019-10-27,68,27,35,2,81,False
2019-11-03,66,34,44,2,80,False
2019-11-10,74,33,46,4,84,False
2019-11-17,76,28,53,2,88,False
2019-11-24,43,20,41,1,62,False
2019-12-01,66,32,49,4,89,False
2019-12-08,58,31,44,1,86,False
2019-12-15,53,25,41,2,65,False
2019-12-22,39,17,39,0,62,False
2019-12-29,44,21,44,1,70,False
2020-01-05,56,17,42,1,72,False
2020-01-12,51,26,38,1,66,False
2020-01-19,59,26,42,3,67,False
2020-01-26,60,26,37,3,76,False
2020-02-02,69,25,45,4,84,False
2020-02-09,59,30,41,3,82,False
2020-02-16,56,23,42,3,76,False
2020-02-23,66,28,42,3,86,False
2020-03-01,66,26,50,4,77,False
2020-03-08,55,21,46,1,66,False
2020-03-15,48,16,29,1,62,False
2020-03-22,44,23,37,1,64,False
2020-03-29,49,20,41,1,70,False
2020-04-05,63,28,42,1,90,False
2020-04-12,52,26,41,1,75,False
2020-04-19,58,27,46,3,87,False
2020-04-26,64,25,38,4,83,False
2020-05-03,60,27,45,2,77,False
2020-05-10,53,23,42,1,66,False
2020-05-17,45,22,43,3,71,False
2020-05-24,49,20,40,1,69,False
2020-05-31,52,20,48,2,59,False
2020-06-07,54,25,42,3,63,False
2020-06-14,46,15,40,1,69,False
2020-06-21,44,27,48,3,79,False
2020-06-28,44,23,41,3,65,False
2020-07-05,46,34,54,3,69,False
2020-07-12,45,23,44,2,75,False
2020-07-19,49,29,44,3,80,False
2020-07-26,40,19,42,3,60,False
2020-08-02,52,20,49,2,71,False
2020-08-09,44,22,40,2,78,False
2020-08-16,56,18,36,1,82,False
2020-08-23,52,19,30,4,70,False
2020-08-30,54,24,51,2,74,False
2020-09-06,53,25,38,4,65,False
2020-09-13,58,29,45,3,76,False
2020-09-20,60,23,45,2,88,False
2020-09-27,58,27,36,2,81,False
2020-10-04,64,23,44,3,79,False
2020-10-11,58,28,39,2,81,False
2020-10-18,58,29,58,2,86,False
2020-10-25,58,31,47,3,74,False
2020-11-01,54,20,37,1,63,False
2020-11-08,63,35,50,4,80,False
2020-11-15,60,30,47,4,90,False
2020-11-22,48,26,46,1,68,False
2020-11-29,60,30,46,3,76,False
2020-12-06,65,28,46,3,76,False
2020-12-13,46,23,43,1,73,False
2020-12-20,32,23,29,2,51,False
2020-12-27,34,25,37,3,54,False
2021-01-03,49,25,40,2,55,False
2021-01-10,47,27,52,2,69,False
2021-01-17,48,22,41,1,68,False
2021-01-24,59,24,42,1,80,False
2021-01-31,56,21,40,3,77,False
2021-02-07,68,26,43,2,82,False
2021-02-14,52,26,48,0,76,False
2021-02-21,53,25,45,2,90,False
2021-02-28,60,23,51,3,95,False
2021-03-07,62,36,52,2,79,False
2021-03-14,51,28,44,3,64,False
2021-03-21,53,27,46,1,78,False
2021-03-28,61,24,40,3,70,False
2021-04-04,51,28,43,4,77,False
2021-04-11,55,28,57,1,86,False
2021-04-18,57,27,45,3,75,False
2021-04-25,48,26,49,3,75,False
2021-05-02,54,27,44,4,76,False
2021-05-09,57,23,44,3,65,False
2021-05-16,53,26,49,2,66,False
2021-05-23,56,18,42,0,77,False
2021-05-30,48,26,39,1,58,False
2021-06-06,44,26,41,3,77,False
2021-06-13,45,24,39,1,70,False
2021-06-20,50,32,52,2,71,False
2021-06-27,46,22,43,5,68,False
2021-07-04,46,26,44,2,71,False
2021-07-11,56,27,51,3,66,False
2021-07-18,52,22,50,4,60,False
2021-07-25,54,26,50,3,63,False
2021-08-01,53,27,43,2,63,False
2021-08-08,44,29,48,2,64,False
2021-08-15,46,21,35,2,68,False
2021-08-22,54,25,49,4,61,False
2021-08-29,56,30,49,2,66,False
2021-09-05,52,29,40,3,63,False
2021-09-12,60,26,46,4,73,False
2021-09-19,60,32,49,3,75,False
2021-09-26,59,30,41,3,79,False
2021-10-03,66,28,40,3,80,False
2021-10-10,48,33,43,6,73,False
2021-10-17,63,29,43,6,90,False
2021-10-24,65,29,47,2,77,False
2021-10-31,67,31,44,3,64,False
2021-11-07,54,37,45,3,73,False
2021-11-14,75,37,47,1,68,False
2021-11-21,48,31,52,2,63,False
2021-11-28,57,32,37,2,85,False
2021-12-05,60,24,45,3,76,False
2021-12-12,48,26,45,2,71,False
2021-12-19,34,20,33,1,66,False
2021-12-26,31,26,31,0,57,False
2022-01-02,41,28,41,0,54,False
2022-01-09,45,29,47,1,76,False
2022-01-16,47,24,40,2,82,False
2022-01-23,58,32,51,2,74,False
2022-01-30,61,34,51,1,80,False
2022-02-06,66,37,50,3,78,False
2022-02-13,54,28,48,2,74,False
2022-02-20,52,27,50,2,83,False
2022-02-27,57,28,52,3,80,False
2022-03-06,54,26,50,3,82,False
2022-03-13,58,31,56,2,86,False
2022-03-20,49,30,44,2,68,False
2022-03-27,68,33,44,2,68,False
2022-04-03,62,31,50,3,85,False
2022-04-10,47,35,52,0,77,False
2022-04-17,64,33,49,1,88,False
2022-04-24,55,34,42,1,82,False
2022-05-01,61,26,49,4,69,False
2022-05-08,48,26,42,3,75,False
2022-05-15,53,28,43,3,72,False
2022-05-22,0,0,0,0,0,True
