date,nocturnal diarrhea,peripheral neuropathy,acromegaly,Cushing’s disease,diabetes causes,isPartial
2017-05-28,0,64,17,0,35,False
2017-06-04,0,64,13,1,39,False
2017-06-11,0,68,18,0,42,False
2017-06-18,0,61,15,1,49,False
2017-06-25,0,67,13,0,44,False
2017-07-02,1,63,13,1,51,False
2017-07-09,0,71,15,0,51,False
2017-07-16,0,63,17,1,50,False
2017-07-23,0,74,18,0,53,False
2017-07-30,1,72,20,0,43,False
2017-08-06,0,71,14,0,42,False
2017-08-13,0,67,14,0,39,False
2017-08-20,0,66,16,0,40,False
2017-08-27,0,67,15,0,37,False
2017-09-03,1,63,18,1,40,False
2017-09-10,0,57,29,1,44,False
2017-09-17,0,70,22,0,51,False
2017-09-24,1,68,23,1,45,False
2017-10-01,0,66,29,1,49,False
2017-10-08,0,70,29,1,48,False
2017-10-15,0,73,32,0,46,False
2017-10-22,0,66,29,0,52,False
2017-10-29,0,71,26,1,55,False
2017-11-05,0,70,28,0,48,False
2017-11-12,0,74,27,0,56,False
2017-11-19,0,61,21,1,40,False
2017-11-26,0,80,22,1,52,False
2017-12-03,0,62,27,1,57,False
2017-12-10,1,79,25,1,52,False
2017-12-17,0,67,17,1,37,False
2017-12-24,0,55,16,0,36,False
2017-12-31,0,62,15,1,37,False
2018-01-07,1,71,25,0,41,False
2018-01-14,1,73,25,0,45,False
2018-01-21,0,75,30,0,51,False
2018-01-28,1,72,30,1,47,False
2018-02-04,1,68,30,0,49,False
2018-02-11,0,66,24,1,47,False
2018-02-18,0,70,31,1,52,False
2018-02-25,0,77,26,1,56,False
2018-03-04,0,69,26,1,53,False
2018-03-11,0,72,29,1,47,False
2018-03-18,0,73,29,1,48,False
2018-03-25,1,75,44,1,57,False
2018-04-01,0,73,30,1,51,False
2018-04-08,1,63,61,1,55,False
2018-04-15,0,66,41,1,52,False
2018-04-22,1,70,37,0,47,False
2018-04-29,0,74,36,1,45,False
2018-05-06,0,63,22,1,50,False
2018-05-13,0,69,24,1,41,False
2018-05-20,1,67,21,0,37,False
2018-05-27,1,61,20,0,48,False
2018-06-03,0,70,21,1,37,False
2018-06-10,0,69,21,0,35,False
2018-06-17,0,66,20,0,37,False
2018-06-24,1,74,24,0,37,False
2018-07-01,0,68,28,1,31,False
2018-07-08,0,82,20,1,44,False
2018-07-15,1,75,21,0,41,False
2018-07-22,0,79,22,1,41,False
2018-07-29,0,76,22,0,41,False
2018-08-05,0,100,20,1,38,False
2018-08-12,0,98,17,0,38,False
2018-08-19,0,73,24,0,38,False
2018-08-26,2,78,19,1,40,False
2018-09-02,1,75,23,1,39,False
2018-09-09,1,76,22,1,39,False
2018-09-16,1,71,17,1,53,False
2018-09-23,1,73,26,0,45,False
2018-09-30,1,74,24,1,52,False
2018-10-07,1,78,22,1,51,False
2018-10-14,0,72,23,1,46,False
2018-10-21,0,69,22,0,47,False
2018-10-28,1,71,22,0,52,False
2018-11-04,0,77,24,0,50,False
2018-11-11,0,79,27,1,52,False
2018-11-18,1,65,26,1,51,False
2018-11-25,0,68,28,1,55,False
2018-12-02,0,73,28,1,54,False
2018-12-09,0,73,27,1,50,False
2018-12-16,1,65,18,1,47,False
2018-12-23,0,63,13,1,37,False
2018-12-30,0,64,16,1,45,False
2019-01-06,0,69,20,0,41,False
2019-01-13,1,74,21,1,47,False
2019-01-20,0,63,26,1,45,False
2019-01-27,1,70,32,0,51,False
2019-02-03,1,66,31,1,50,False
2019-02-10,1,73,27,0,49,False
2019-02-17,0,72,30,2,54,False
2019-02-24,0,73,26,1,48,False
2019-03-03,2,64,24,1,56,False
2019-03-10,1,59,19,1,53,False
2019-03-17,0,80,26,1,57,False
2019-03-24,1,74,26,1,52,False
2019-03-31,0,73,26,1,52,False
2019-04-07,2,78,32,1,59,False
2019-04-14,0,71,40,1,51,False
2019-04-21,0,71,42,1,58,False
2019-04-28,0,79,29,1,52,False
2019-05-05,1,77,25,2,61,False
2019-05-12,1,79,21,1,51,False
2019-05-19,0,69,21,0,41,False
2019-05-26,0,68,18,1,45,False
2019-06-02,0,72,17,1,41,False
2019-06-09,0,70,18,1,39,False
2019-06-16,1,71,14,1,45,False
2019-06-23,1,83,16,1,40,False
2019-06-30,1,69,16,0,35,False
2019-07-07,1,78,19,2,41,False
2019-07-14,0,79,18,0,41,False
2019-07-21,1,75,19,0,43,False
