date,Cystic fibrosis–related DM,diabetes quality of life,diabetes study,fulminant diabetes,diabetes causes,isPartial
2017-05-28,0,1,6,0,57,False
2017-06-04,0,1,11,0,65,False
2017-06-11,0,0,11,0,69,False
2017-06-18,0,0,9,0,81,False
2017-06-25,0,0,10,0,72,False
2017-07-02,0,0,8,0,83,False
2017-07-09,0,1,14,0,84,False
2017-07-16,0,0,10,0,82,False
2017-07-23,0,1,14,0,87,False
2017-07-30,0,0,11,0,71,False
2017-08-06,0,0,7,0,68,False
2017-08-13,0,1,9,0,64,False
2017-08-20,0,0,8,0,66,False
2017-08-27,0,0,11,0,60,False
2017-09-03,0,1,10,0,65,False
2017-09-10,0,1,15,0,73,False
2017-09-17,0,0,17,0,83,False
2017-09-24,0,1,13,0,74,False
2017-10-01,0,0,12,0,81,False
2017-10-08,0,1,12,0,78,False
2017-10-15,0,1,13,0,76,False
2017-10-22,0,1,14,0,86,False
2017-10-29,0,1,19,0,91,False
2017-11-05,0,0,15,0,78,False
2017-11-12,0,0,13,0,92,False
2017-11-19,0,1,13,0,65,False
2017-11-26,0,2,20,0,85,False
2017-12-03,0,0,24,0,93,False
2017-12-10,0,1,19,0,85,False
2017-12-17,0,0,7,0,61,False
2017-12-24,0,0,5,0,60,False
2017-12-31,0,0,8,0,60,False
2018-01-07,0,1,13,0,67,False
2018-01-14,0,1,11,0,74,False
2018-01-21,0,1,15,0,84,False
2018-01-28,0,0,14,0,78,False
2018-02-04,0,1,18,0,80,False
2018-02-11,0,1,19,0,77,False
2018-02-18,0,0,11,0,86,False
2018-02-25,0,0,16,0,92,False
2018-03-04,0,0,12,0,88,False
2018-03-11,0,0,13,0,76,False
2018-03-18,0,0,18,0,79,False
2018-03-25,0,0,16,0,93,False
2018-04-01,0,0,12,0,84,False
2018-04-08,0,0,15,0,90,False
2018-04-15,0,1,10,0,85,False
2018-04-22,0,0,17,0,78,False
2018-04-29,0,0,11,0,74,False
2018-05-06,0,0,11,0,83,False
2018-05-13,0,0,9,0,68,False
2018-05-20,0,0,11,0,60,False
2018-05-27,0,1,14,0,80,False
2018-06-03,0,0,13,0,62,False
2018-06-10,0,0,7,0,58,False
2018-06-17,0,0,14,0,60,False
2018-06-24,0,1,13,0,60,False
2018-07-01,0,0,12,0,50,False
2018-07-08,0,0,12,0,72,False
2018-07-15,0,0,12,0,67,False
2018-07-22,0,0,11,0,68,False
2018-07-29,0,0,15,0,67,False
2018-08-05,0,0,7,0,62,False
2018-08-12,0,0,11,0,62,False
2018-08-19,0,0,11,0,62,False
2018-08-26,0,0,8,0,66,False
2018-09-02,0,1,12,0,64,False
2018-09-09,0,0,10,0,65,False
2018-09-16,0,2,13,0,87,False
2018-09-23,0,0,15,0,73,False
2018-09-30,0,0,18,0,85,False
2018-10-07,0,1,12,0,84,False
2018-10-14,0,0,13,0,75,False
2018-10-21,0,0,12,0,78,False
2018-10-28,0,1,13,0,85,False
2018-11-04,0,1,15,0,82,False
2018-11-11,0,0,15,0,85,False
2018-11-18,0,0,8,0,83,False
2018-11-25,0,0,17,0,91,False
2018-12-02,0,1,14,0,89,False
2018-12-09,0,0,9,0,82,False
2018-12-16,0,0,10,0,77,False
2018-12-23,0,0,3,0,61,False
2018-12-30,0,0,6,0,74,False
2019-01-06,0,0,13,0,67,False
2019-01-13,0,0,13,0,78,False
2019-01-20,0,0,10,0,74,False
2019-01-27,0,0,11,0,84,False
2019-02-03,0,3,12,0,82,False
2019-02-10,0,1,13,0,81,False
2019-02-17,0,0,14,0,89,False
2019-02-24,0,2,10,0,78,False
2019-03-03,0,0,12,0,91,False
2019-03-10,0,0,13,0,86,False
2019-03-17,0,0,15,0,94,False
2019-03-24,0,1,12,0,85,False
2019-03-31,0,1,14,0,85,False
2019-04-07,0,0,11,0,97,False
2019-04-14,0,0,11,0,84,False
2019-04-21,0,2,13,0,95,False
2019-04-28,0,1,13,0,85,False
2019-05-05,0,1,8,0,100,False
2019-05-12,0,2,12,0,83,False
2019-05-19,0,1,12,0,67,False
2019-05-26,0,0,8,0,74,False
2019-06-02,0,0,7,0,68,False
2019-06-09,0,1,9,0,63,False
2019-06-16,0,1,9,0,73,False
2019-06-23,0,0,8,0,65,False
2019-06-30,0,1,6,0,57,False
2019-07-07,0,0,10,0,68,False
2019-07-14,0,1,7,0,67,False
2019-07-21,0,0,7,0,70,False
2019-07-28,0,0,7,0,58,False
2019-08-04,0,0,4,0,63,False
2019-08-11,0,1,8,0,58,False
2019-08-18,0,1,7,0,59,False
2019-08-25,0,0,11,0,77,False
2019-09-01,0,0,11,0,66,False
2019-09-08,0,2,15,0,72,False
2019-09-15,0,1,11,0,64,False
2019-09-22,0,1,13,0,76,False
2019-09-29,0,0,13,0,91,False
2019-10-06,0,1,11,0,78,False
2019-10-13,0,1,11,0,76,False
2019-10-20,0,0,11,0,86,False
2019-10-27,0,0,10,0,81,False
2019-11-03,0,1,11,0,80,False
2019-11-10,0,1,10,0,84,False
2019-11-17,0,1,16,0,88,False
