date,latent autoimmune diabetes of adulthood ,Maturity-onset diabetes of the young,maturity-onset diabetes of the young ,metabolic syndrome,diabetes causes,isPartial
2017-05-28,0,0,0,49,50,False
2017-06-04,0,0,0,52,57,False
2017-06-11,0,0,0,41,60,False
2017-06-18,0,0,0,53,71,False
2017-06-25,0,0,0,44,63,False
2017-07-02,0,0,0,41,73,False
2017-07-09,0,0,0,37,74,False
2017-07-16,0,0,0,48,72,False
2017-07-23,0,0,0,53,76,False
2017-07-30,0,0,0,46,62,False
2017-08-06,0,0,0,48,60,False
2017-08-13,0,0,0,38,56,False
2017-08-20,0,0,0,37,58,False
2017-08-27,0,0,0,43,53,False
2017-09-03,0,0,0,44,57,False
2017-09-10,0,0,0,64,64,False
2017-09-17,0,0,0,61,73,False
2017-09-24,0,0,0,41,65,False
2017-10-01,0,0,0,53,71,False
2017-10-08,0,0,0,56,68,False
2017-10-15,0,0,0,57,66,False
2017-10-22,0,0,0,57,75,False
2017-10-29,0,0,0,58,80,False
2017-11-05,0,0,0,52,69,False
2017-11-12,0,0,0,63,80,False
2017-11-19,0,0,0,41,57,False
2017-11-26,0,0,0,55,75,False
2017-12-03,0,0,0,65,82,False
2017-12-10,0,0,0,66,75,False
2017-12-17,0,0,0,49,53,False
2017-12-24,0,0,0,30,52,False
2017-12-31,0,0,0,34,53,False
2018-01-07,0,0,0,47,59,False
2018-01-14,0,0,0,45,65,False
2018-01-21,0,0,0,57,73,False
2018-01-28,0,0,0,42,68,False
2018-02-04,0,0,0,51,70,False
2018-02-11,0,0,0,62,67,False
2018-02-18,0,0,0,54,76,False
2018-02-25,0,0,0,65,81,False
2018-03-04,0,0,0,63,77,False
2018-03-11,0,0,0,58,67,False
2018-03-18,0,0,0,58,69,False
2018-03-25,0,0,0,60,82,False
2018-04-01,0,0,0,62,74,False
2018-04-08,0,0,0,66,79,False
2018-04-15,0,0,0,65,75,False
2018-04-22,0,0,0,72,68,False
2018-04-29,0,0,0,64,65,False
2018-05-06,0,0,0,62,72,False
2018-05-13,0,0,0,53,60,False
2018-05-20,0,0,0,54,53,False
2018-05-27,0,0,0,46,70,False
2018-06-03,0,0,0,45,54,False
2018-06-10,0,0,0,42,51,False
2018-06-17,0,0,0,53,53,False
2018-06-24,0,0,0,44,53,False
2018-07-01,0,0,0,41,44,False
2018-07-08,0,0,0,44,63,False
2018-07-15,0,0,0,46,59,False
2018-07-22,0,0,0,58,59,False
2018-07-29,0,0,0,38,58,False
2018-08-05,0,0,0,48,55,False
2018-08-12,0,0,0,44,54,False
2018-08-19,0,0,0,49,55,False
2018-08-26,0,0,0,47,58,False
2018-09-02,0,0,0,45,56,False
2018-09-09,0,0,0,50,57,False
2018-09-16,0,0,0,55,76,False
2018-09-23,0,0,0,56,64,False
2018-09-30,0,0,0,51,75,False
2018-10-07,0,0,0,51,73,False
2018-10-14,0,0,0,56,66,False
2018-10-21,0,0,0,48,68,False
2018-10-28,0,0,0,58,74,False
2018-11-04,0,0,0,57,72,False
2018-11-11,0,0,0,49,74,False
2018-11-18,0,0,0,49,73,False
2018-11-25,0,0,0,46,80,False
2018-12-02,0,0,0,55,78,False
2018-12-09,0,0,0,51,72,False
2018-12-16,0,0,0,39,67,False
2018-12-23,0,0,0,24,54,False
2018-12-30,0,0,0,42,65,False
2019-01-06,0,0,0,41,59,False
2019-01-13,0,0,0,45,68,False
2019-01-20,0,0,0,46,65,False
2019-01-27,0,0,0,53,74,False
2019-02-03,0,0,0,52,72,False
2019-02-10,0,0,0,61,71,False
2019-02-17,0,0,0,56,78,False
2019-02-24,0,0,0,65,68,False
2019-03-03,0,0,0,58,80,False
2019-03-10,0,0,0,56,76,False
2019-03-17,0,0,0,51,82,False
2019-03-24,0,0,0,58,74,False
2019-03-31,0,0,0,65,74,False
2019-04-07,0,0,0,58,85,False
2019-04-14,0,0,0,58,74,False
2019-04-21,0,0,0,61,84,False
2019-04-28,0,0,0,56,74,False
2019-05-05,0,0,0,57,88,False
2019-05-12,0,0,0,54,73,False
2019-05-19,0,0,0,57,59,False
2019-05-26,0,0,0,54,65,False
2019-06-02,0,0,0,56,60,False
2019-06-09,0,0,0,53,55,False
2019-06-16,0,0,0,49,64,False
2019-06-23,0,0,0,43,57,False
2019-06-30,0,0,0,51,50,False
2019-07-07,0,0,0,48,60,False
2019-07-14,0,0,0,45,59,False
2019-07-21,0,0,0,49,62,False
2019-07-28,0,0,0,49,51,False
2019-08-04,0,0,0,46,56,False
2019-08-11,0,0,0,45,51,False
2019-08-18,0,0,0,42,52,False
2019-08-25,0,0,0,49,68,False
2019-09-01,0,0,0,41,57,False
2019-09-08,0,0,0,49,63,False
2019-09-15,0,0,0,50,56,False
