date,monogenic diabetes,non-insulin dependent diabetes mellitus,prediabetes,prediabetes self management,diabetes causes,isPartial
2017-05-28,0,0,41,0,30,False
2017-06-04,0,0,42,0,34,False
2017-06-11,0,0,44,0,36,False
2017-06-18,0,0,40,0,43,False
2017-06-25,0,0,42,0,38,False
2017-07-02,0,0,48,0,44,False
2017-07-09,0,0,46,0,45,False
2017-07-16,1,0,47,0,43,False
2017-07-23,0,0,49,0,46,False
2017-07-30,1,0,43,0,37,False
2017-08-06,1,0,42,0,36,False
2017-08-13,1,0,39,0,34,False
2017-08-20,1,0,34,0,35,False
2017-08-27,0,0,38,0,32,False
2017-09-03,0,0,37,0,35,False
2017-09-10,0,0,41,0,39,False
2017-09-17,0,0,34,0,44,False
2017-09-24,0,0,43,0,39,False
2017-10-01,0,0,45,0,43,False
2017-10-08,0,0,41,0,41,False
2017-10-15,0,0,41,0,40,False
2017-10-22,1,0,40,0,46,False
2017-10-29,0,0,36,0,48,False
2017-11-05,1,0,44,0,41,False
2017-11-12,0,0,42,0,49,False
2017-11-19,0,0,29,0,35,False
2017-11-26,0,0,40,0,45,False
2017-12-03,0,0,43,0,49,False
2017-12-10,1,0,38,0,45,False
2017-12-17,0,0,38,0,32,False
2017-12-24,0,0,39,0,32,False
2017-12-31,0,0,40,0,32,False
2018-01-07,0,0,41,0,36,False
2018-01-14,0,0,39,0,39,False
2018-01-21,0,0,50,0,44,False
2018-01-28,0,0,42,0,41,False
2018-02-04,0,0,44,0,42,False
2018-02-11,0,0,45,0,41,False
2018-02-18,0,0,44,0,46,False
2018-02-25,0,0,46,0,49,False
2018-03-04,0,0,34,0,46,False
2018-03-11,0,0,47,0,40,False
2018-03-18,0,0,41,0,42,False
2018-03-25,0,0,44,0,49,False
2018-04-01,0,0,40,0,44,False
2018-04-08,0,0,38,0,48,False
2018-04-15,0,0,39,0,45,False
2018-04-22,0,0,46,0,41,False
2018-04-29,1,0,42,0,39,False
2018-05-06,0,0,37,0,44,False
2018-05-13,1,0,40,0,36,False
2018-05-20,0,0,49,0,32,False
2018-05-27,0,0,40,0,42,False
2018-06-03,0,0,43,0,33,False
2018-06-10,0,0,41,0,31,False
2018-06-17,0,0,48,0,32,False
2018-06-24,0,0,49,0,32,False
2018-07-01,0,0,45,0,27,False
2018-07-08,1,0,45,0,38,False
2018-07-15,0,0,42,0,36,False
2018-07-22,0,0,52,0,36,False
2018-07-29,0,0,42,0,35,False
2018-08-05,0,0,48,0,33,False
2018-08-12,0,0,46,0,33,False
2018-08-19,1,0,55,0,33,False
2018-08-26,0,0,60,0,35,False
2018-09-02,0,0,55,0,34,False
2018-09-09,0,0,55,0,34,False
2018-09-16,0,0,52,0,46,False
2018-09-23,1,0,60,0,39,False
2018-09-30,0,0,49,0,45,False
2018-10-07,0,0,58,0,44,False
2018-10-14,0,0,59,0,40,False
2018-10-21,0,0,50,0,41,False
2018-10-28,0,0,61,0,45,False
2018-11-04,0,0,54,0,44,False
2018-11-11,1,0,52,0,45,False
2018-11-18,1,0,44,0,44,False
2018-11-25,0,0,52,0,48,False
2018-12-02,1,0,51,0,47,False
2018-12-09,1,0,46,0,43,False
2018-12-16,0,0,46,0,41,False
2018-12-23,0,0,42,0,33,False
2018-12-30,0,0,52,0,39,False
2019-01-06,0,0,57,0,36,False
2019-01-13,0,0,59,0,41,False
2019-01-20,0,0,50,0,39,False
2019-01-27,0,0,50,0,45,False
2019-02-03,0,0,54,0,43,False
2019-02-10,0,0,56,0,43,False
2019-02-17,0,0,67,0,47,False
2019-02-24,1,0,57,0,41,False
2019-03-03,0,0,59,0,48,False
2019-03-10,0,0,60,0,46,False
2019-03-17,0,0,62,0,50,False
2019-03-24,0,0,66,0,45,False
2019-03-31,0,0,61,0,45,False
2019-04-07,0,0,75,0,52,False
2019-04-14,0,0,74,0,45,False
2019-04-21,0,0,77,0,50,False
2019-04-28,0,0,69,0,45,False
2019-05-05,0,0,69,0,53,False
2019-05-12,0,0,63,0,44,False
2019-05-19,0,0,70,0,36,False
2019-05-26,0,0,59,0,39,False
2019-06-02,0,0,65,0,36,False
2019-06-09,0,0,65,0,34,False
2019-06-16,1,0,71,0,39,False
2019-06-23,0,0,71,0,34,False
2019-06-30,0,0,66,0,30,False
2019-07-07,1,0,75,0,36,False
2019-07-14,1,0,72,0,36,False
2019-07-21,0,0,67,0,37,False
2019-07-28,1,0,62,0,31,False
2019-08-04,0,0,67,0,34,False
2019-08-11,0,0,69,0,31,False
2019-08-18,1,0,68,0,31,False
2019-08-25,0,0,68,0,41,False
2019-09-01,1,0,60,0,35,False
2019-09-08,0,0,65,0,38,False
2019-09-15,0,0,65,0,34,False
2019-09-22,0,0,63,0,40,False
2019-09-29,0,0,71,0,48,False
2019-10-06,1,0,67,0,42,False
2019-10-13,0,0,65,0,40,False
2019-10-20,0,0,72,0,46,False
2019-10-27,0,0,61,0,43,False
2019-11-03,1,0,70,0,43,False
2019-11-10,0,0,64,0,45,False
2019-11-17,0,0,67,0,47,False
2019-11-24,0,0,60,0,33,False
2019-12-01,0,0,68,0,47,False
2019-12-08,0,0,64,0,46,False
2019-12-15,0,0,57,0,35,False
2019-12-22,0,0,55,0,33,False
2019-12-29,0,0,55,0,37,False
2020-01-05,1,0,73,0,38,False
2020-01-12,0,0,69,0,35,False
2020-01-19,0,0,68,0,35,False
2020-01-26,0,0,72,0,40,False
2020-02-02,1,0,73,0,45,False
2020-02-09,0,0,71,0,43,False
2020-02-16,0,0,73,0,40,False
2020-02-23,1,0,68,0,45,False
2020-03-01,1,0,64,0,41,False
2020-03-08,0,0,61,0,35,False
2020-03-15,0,0,50,0,33,False
2020-03-22,0,0,54,0,34,False
2020-03-29,0,0,53,0,37,False
2020-04-05,0,0,45,0,48,False
2020-04-12,0,0,43,0,40,False
2020-04-19,0,0,50,0,46,False
2020-04-26,0,0,49,0,44,False
2020-05-03,0,0,47,0,41,False
2020-05-10,0,0,54,0,35,False
2020-05-17,0,0,56,0,38,False
2020-05-24,0,0,59,0,37,False
2020-05-31,0,0,54,0,31,False
2020-06-07,0,0,64,0,34,False
2020-06-14,0,0,57,0,37,False
2020-06-21,0,0,64,0,42,False
2020-06-28,0,0,58,0,35,False
2020-07-05,0,0,69,0,37,False
2020-07-12,0,0,73,0,40,False
2020-07-19,0,0,77,0,42,False
2020-07-26,0,0,77,0,32,False
2020-08-02,0,0,74,0,37,False
2020-08-09,0,0,73,0,41,False
2020-08-16,1,0,75,0,43,False
2020-08-23,0,0,77,0,37,False
2020-08-30,1,0,67,0,39,False
2020-09-06,0,0,60,0,35,False
2020-09-13,0,0,65,0,40,False
2020-09-20,0,0,72,0,46,False
2020-09-27,0,0,69,0,43,False
2020-10-04,0,0,80,0,42,False
2020-10-11,0,0,77,0,43,False
2020-10-18,0,0,82,0,46,False
2020-10-25,0,0,87,0,39,False
2020-11-01,0,0,55,0,33,False
2020-11-08,0,0,80,0,42,False
2020-11-15,0,0,76,0,48,False
2020-11-22,0,0,62,0,36,False
2020-11-29,1,0,76,0,40,False
2020-12-06,0,0,68,0,40,False
2020-12-13,0,0,72,0,38,False
2020-12-20,0,0,57,0,27,False
2020-12-27,0,0,65,0,28,False
2021-01-03,0,0,60,0,29,False
2021-01-10,0,0,76,0,36,False
2021-01-17,0,0,71,0,36,False
2021-01-24,0,0,76,0,42,False
2021-01-31,0,0,83,0,41,False
2021-02-07,0,0,78,0,43,False
2021-02-14,0,0,77,0,40,False
2021-02-21,0,0,86,0,48,False
2021-02-28,0,0,79,0,50,False
2021-03-07,0,0,80,0,42,False
2021-03-14,0,0,76,0,34,False
2021-03-21,1,0,70,0,41,False
2021-03-28,0,0,70,0,37,False
2021-04-04,0,0,70,0,41,False
2021-04-11,0,0,74,0,45,False
2021-04-18,0,0,71,0,40,False
2021-04-25,0,0,73,0,40,False
2021-05-02,0,0,73,0,40,False
2021-05-09,0,0,78,0,34,False
2021-05-16,0,0,67,0,35,False
2021-05-23,0,0,79,0,41,False
2021-05-30,0,0,74,0,31,False
2021-06-06,0,0,72,0,41,False
2021-06-13,0,0,72,0,37,False
2021-06-20,0,0,78,0,38,False
2021-06-27,0,0,74,0,36,False
2021-07-04,0,0,72,0,37,False
2021-07-11,0,0,84,0,35,False
2021-07-18,0,0,76,0,32,False
2021-07-25,0,0,65,0,34,False
2021-08-01,0,0,72,0,33,False
2021-08-08,0,0,84,0,34,False
2021-08-15,0,0,69,0,36,False
2021-08-22,0,0,81,0,33,False
2021-08-29,0,0,65,0,35,False
2021-09-05,1,0,72,0,34,False
2021-09-12,0,0,74,0,39,False
2021-09-19,0,0,79,0,40,False
2021-09-26,0,0,81,0,42,False
2021-10-03,0,0,78,0,42,False
2021-10-10,0,0,86,0,39,False
2021-10-17,0,0,80,0,48,False
2021-10-24,0,0,80,0,41,False
2021-10-31,0,0,76,0,34,False
2021-11-07,0,0,82,0,39,False
2021-11-14,1,0,86,0,36,False
2021-11-21,0,0,59,0,33,False
2021-11-28,0,0,65,0,45,False
2021-12-05,0,0,67,0,40,False
2021-12-12,0,0,77,0,37,False
2021-12-19,0,0,66,0,35,False
2021-12-26,0,0,65,0,30,False
2022-01-02,0,0,74,0,29,False
2022-01-09,0,0,80,0,40,False
2022-01-16,1,0,66,0,43,False
2022-01-23,0,0,78,0,39,False
2022-01-30,0,0,82,0,42,False
2022-02-06,1,0,88,0,42,False
2022-02-13,1,0,86,0,39,False
2022-02-20,1,0,94,0,44,False
2022-02-27,0,0,96,0,42,False
2022-03-06,0,0,90,0,43,False
2022-03-13,0,0,93,0,46,False
2022-03-20,0,0,100,0,36,False
2022-03-27,0,0,97,0,36,False
2022-04-03,0,0,100,0,45,False
2022-04-10,0,0,81,0,41,False
2022-04-17,1,0,92,0,47,False
2022-04-24,0,0,83,0,44,False
2022-05-01,0,0,90,0,36,False
2022-05-08,0,0,87,0,40,False
2022-05-15,0,0,84,0,38,False
2022-05-22,3,0,74,0,29,True
