date,Acanthosis nigricans,body mass index,body weight,diabetes risk factor,diabetes causes,isPartial
2017-05-28,5,11,85,1,9,False
2017-06-04,4,10,79,0,10,False
2017-06-11,6,11,81,0,11,False
2017-06-18,5,10,79,1,13,False
2017-06-25,4,11,79,0,12,False
2017-07-02,5,10,77,0,14,False
2017-07-09,6,12,81,0,14,False
2017-07-16,4,11,82,0,13,False
2017-07-23,4,12,79,0,14,False
2017-07-30,5,13,76,1,12,False
2017-08-06,4,11,74,1,11,False
2017-08-13,5,12,69,0,10,False
2017-08-20,4,10,68,0,11,False
2017-08-27,4,11,64,0,10,False
2017-09-03,4,11,65,0,11,False
2017-09-10,4,12,67,0,12,False
2017-09-17,5,15,73,1,14,False
2017-09-24,4,12,76,1,12,False
2017-10-01,4,12,70,0,13,False
2017-10-08,4,15,78,1,13,False
2017-10-15,4,15,75,1,12,False
2017-10-22,5,14,79,1,14,False
2017-10-29,4,13,73,1,15,False
2017-11-05,4,14,73,1,13,False
2017-11-12,4,16,78,1,15,False
2017-11-19,4,9,59,1,11,False
2017-11-26,3,15,75,1,14,False
2017-12-03,4,13,71,1,15,False
2017-12-10,4,11,70,1,14,False
2017-12-17,4,10,58,0,10,False
2017-12-24,3,6,63,0,10,False
2017-12-31,4,11,82,0,10,False
2018-01-07,4,12,88,0,11,False
2018-01-14,4,19,86,1,12,False
2018-01-21,5,13,94,0,14,False
2018-01-28,4,14,89,1,13,False
2018-02-04,5,14,89,1,13,False
2018-02-11,6,14,87,1,12,False
2018-02-18,5,18,82,1,14,False
2018-02-25,5,15,90,1,15,False
2018-03-04,5,16,88,0,14,False
2018-03-11,4,13,85,0,12,False
2018-03-18,5,12,83,0,13,False
2018-03-25,6,14,83,0,15,False
2018-04-01,6,13,83,1,14,False
2018-04-08,7,14,91,1,15,False
2018-04-15,6,14,83,1,14,False
2018-04-22,5,13,82,1,13,False
2018-04-29,5,17,87,1,12,False
2018-05-06,5,13,86,1,13,False
2018-05-13,4,12,74,1,11,False
2018-05-20,5,12,76,0,10,False
2018-05-27,5,11,76,1,13,False
2018-06-03,5,11,76,1,10,False
2018-06-10,5,13,81,1,9,False
2018-06-17,6,12,73,0,10,False
2018-06-24,4,11,81,0,10,False
2018-07-01,7,11,74,0,8,False
2018-07-08,5,11,78,0,12,False
2018-07-15,5,11,77,1,11,False
2018-07-22,4,13,77,0,11,False
2018-07-29,5,12,76,0,11,False
2018-08-05,3,10,78,0,10,False
2018-08-12,5,10,67,0,10,False
2018-08-19,5,11,71,0,10,False
2018-08-26,5,12,69,0,11,False
2018-09-02,5,10,71,1,10,False
2018-09-09,5,12,67,1,10,False
2018-09-16,4,14,71,1,14,False
2018-09-23,4,12,72,1,12,False
2018-09-30,5,11,75,1,14,False
2018-10-07,5,10,72,1,14,False
2018-10-14,3,13,73,1,12,False
2018-10-21,4,11,68,1,13,False
2018-10-28,5,11,72,1,14,False
2018-11-04,5,13,69,1,13,False
2018-11-11,5,13,66,1,14,False
2018-11-18,3,11,52,0,14,False
2018-11-25,5,10,72,1,15,False
2018-12-02,3,13,72,1,14,False
2018-12-09,4,11,66,1,13,False
2018-12-16,4,10,64,1,13,False
2018-12-23,3,6,54,0,10,False
2018-12-30,4,11,75,0,12,False
2019-01-06,4,12,79,0,11,False
2019-01-13,5,10,77,0,13,False
2019-01-20,4,13,76,0,12,False
2019-01-27,4,12,75,0,14,False
2019-02-03,6,13,78,1,13,False
2019-02-10,4,15,80,0,13,False
2019-02-17,4,14,78,1,15,False
2019-02-24,5,12,86,0,13,False
2019-03-03,4,13,77,1,15,False
2019-03-10,6,10,71,1,14,False
2019-03-17,6,13,80,1,15,False
2019-03-24,5,11,80,1,14,False
2019-03-31,5,11,79,1,14,False
2019-04-07,4,12,80,1,16,False
2019-04-14,5,14,74,1,14,False
2019-04-21,5,12,78,1,16,False
2019-04-28,7,12,74,1,14,False
2019-05-05,5,11,73,1,16,False
2019-05-12,6,10,74,0,14,False
