date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial
2017-05-28,6,3,31,2,57,False
2017-06-04,8,4,32,1,65,False
2017-06-11,5,6,30,3,69,False
2017-06-18,5,5,33,1,81,False
2017-06-25,5,4,39,3,72,False
2017-07-02,6,5,32,4,83,False
2017-07-09,7,6,44,1,84,False
2017-07-16,6,8,38,4,82,False
2017-07-23,10,6,32,2,87,False
2017-07-30,7,7,37,3,71,False
2017-08-06,5,3,25,5,68,False
2017-08-13,8,2,30,5,64,False
2017-08-20,6,4,27,4,66,False
2017-08-27,5,8,35,1,60,False
2017-09-03,5,5,27,2,65,False
2017-09-10,11,8,32,4,73,False
2017-09-17,17,8,38,1,83,False
2017-09-24,17,8,35,1,74,False
2017-10-01,17,6,42,2,81,False
2017-10-08,14,8,36,3,78,False
2017-10-15,18,9,33,4,76,False
2017-10-22,17,6,37,3,86,False
2017-10-29,21,8,39,3,91,False
2017-11-05,20,9,48,3,78,False
2017-11-12,19,12,42,4,92,False
2017-11-19,11,7,26,3,65,False
2017-11-26,17,12,43,3,85,False
2017-12-03,15,13,42,4,93,False
2017-12-10,13,7,36,7,85,False
2017-12-17,7,5,25,1,61,False
2017-12-24,3,4,32,2,60,False
2017-12-31,5,4,25,3,60,False
2018-01-07,6,4,32,3,67,False
2018-01-14,12,3,34,3,74,False
2018-01-21,11,7,43,2,84,False
2018-01-28,10,9,39,3,78,False
2018-02-04,12,5,47,4,80,False
2018-02-11,20,9,34,2,77,False
2018-02-18,11,7,44,6,86,False
2018-02-25,13,6,39,2,92,False
2018-03-04,15,9,36,4,88,False
2018-03-11,13,6,41,0,76,False
2018-03-18,13,10,41,2,79,False
2018-03-25,13,8,40,3,93,False
2018-04-01,12,10,54,4,84,False
2018-04-08,14,9,37,3,90,False
2018-04-15,20,11,41,3,85,False
2018-04-22,18,9,47,10,78,False
2018-04-29,14,12,45,4,74,False
2018-05-06,12,8,39,2,83,False
2018-05-13,8,6,34,2,68,False
2018-05-20,5,5,36,3,60,False
2018-05-27,11,3,29,2,80,False
2018-06-03,8,4,40,3,62,False
2018-06-10,11,4,37,5,58,False
2018-06-17,5,4,32,3,60,False
2018-06-24,10,4,37,1,60,False
2018-07-01,4,4,27,4,50,False
2018-07-08,9,6,37,2,72,False
2018-07-15,7,5,38,2,67,False
2018-07-22,7,4,37,5,68,False
