date,weight gain,diabetes causes,isPartial
2017-05-28,80,2,False
2017-06-04,83,3,False
2017-06-11,76,3,False
2017-06-18,77,3,False
2017-06-25,76,3,False
2017-07-02,76,4,False
2017-07-09,82,4,False
2017-07-16,77,3,False
2017-07-23,81,4,False
2017-07-30,78,3,False
2017-08-06,80,3,False
2017-08-13,73,3,False
2017-08-20,69,3,False
2017-08-27,69,3,False
2017-09-03,62,3,False
2017-09-10,66,3,False
2017-09-17,70,4,False
2017-09-24,72,3,False
2017-10-01,65,3,False
2017-10-08,68,3,False
2017-10-15,66,3,False
2017-10-22,67,4,False
2017-10-29,63,4,False
2017-11-05,67,3,False
2017-11-12,69,4,False
2017-11-19,65,3,False
2017-11-26,68,4,False
2017-12-03,65,4,False
2017-12-10,64,4,False
2017-12-17,65,3,False
2017-12-24,68,3,False
2017-12-31,73,3,False
2018-01-07,76,3,False
2018-01-14,71,3,False
2018-01-21,75,4,False
2018-01-28,81,3,False
2018-02-04,75,3,False
2018-02-11,71,3,False
2018-02-18,76,4,False
2018-02-25,77,4,False
2018-03-04,76,4,False
2018-03-11,73,3,False
2018-03-18,74,3,False
2018-03-25,74,4,False
2018-04-01,83,4,False
2018-04-08,81,4,False
2018-04-15,77,4,False
2018-04-22,78,3,False
2018-04-29,79,3,False
2018-05-06,81,4,False
2018-05-13,77,3,False
2018-05-20,77,3,False
2018-05-27,77,3,False
2018-06-03,78,3,False
2018-06-10,80,2,False
2018-06-17,77,3,False
2018-06-24,79,3,False
2018-07-01,76,2,False
2018-07-08,85,3,False
2018-07-15,80,3,False
2018-07-22,85,3,False
2018-07-29,81,3,False
2018-08-05,83,3,False
2018-08-12,79,3,False
2018-08-19,72,3,False
2018-08-26,71,3,False
2018-09-02,70,3,False
2018-09-09,69,3,False
2018-09-16,71,4,False
2018-09-23,67,3,False
2018-09-30,68,4,False
2018-10-07,68,4,False
2018-10-14,67,3,False
2018-10-21,66,3,False
2018-10-28,66,4,False
2018-11-04,68,4,False
2018-11-11,65,4,False
2018-11-18,63,4,False
2018-11-25,65,4,False
2018-12-02,66,4,False
2018-12-09,67,3,False
2018-12-16,63,3,False
2018-12-23,68,3,False
2018-12-30,80,3,False
2019-01-06,83,3,False
2019-01-13,75,3,False
2019-01-20,77,3,False
2019-01-27,74,4,False
2019-02-03,78,3,False
2019-02-10,71,3,False
2019-02-17,77,4,False
2019-02-24,74,3,False
2019-03-03,73,4,False
2019-03-10,74,4,False
2019-03-17,78,4,False
2019-03-24,75,4,False
2019-03-31,77,4,False
2019-04-07,78,4,False
2019-04-14,77,4,False
2019-04-21,78,4,False
2019-04-28,77,4,False
2019-05-05,76,4,False
2019-05-12,73,4,False
2019-05-19,77,3,False
2019-05-26,74,3,False
2019-06-02,79,3,False
2019-06-09,79,3,False
2019-06-16,80,3,False
2019-06-23,78,3,False
2019-06-30,76,2,False
2019-07-07,82,3,False
2019-07-14,84,3,False
2019-07-21,82,3,False
2019-07-28,80,2,False
2019-08-04,76,3,False
2019-08-11,73,2,False
2019-08-18,74,3,False
2019-08-25,67,3,False
2019-09-01,65,3,False
2019-09-08,66,3,False
2019-09-15,67,3,False
2019-09-22,66,3,False
2019-09-29,66,4,False
2019-10-06,64,3,False
2019-10-13,64,3,False
2019-10-20,66,4,False
2019-10-27,60,3,False
2019-11-03,67,3,False
2019-11-10,66,4,False
2019-11-17,67,4,False
2019-11-24,62,3,False
2019-12-01,66,4,False
2019-12-08,62,4,False
2019-12-15,61,3,False
2019-12-22,64,3,False
2019-12-29,73,3,False
2020-01-05,81,3,False
2020-01-12,83,3,False
2020-01-19,77,3,False
