date,Gestational diabetes,gestational DM,increased risk of diabetes,insulin dependent diabetes mellitus,diabetes causes,isPartial
2017-05-28,78,0,0,0,23,False
2017-06-04,83,0,0,1,26,False
2017-06-11,82,0,1,1,27,False
2017-06-18,81,1,1,1,32,False
2017-06-25,82,0,1,0,29,False
2017-07-02,71,0,0,1,33,False
2017-07-09,91,0,0,0,34,False
2017-07-16,88,0,1,1,32,False
2017-07-23,86,1,0,1,34,False
2017-07-30,85,0,1,1,28,False
2017-08-06,72,0,0,1,27,False
2017-08-13,77,0,1,1,26,False
2017-08-20,73,0,0,1,26,False
2017-08-27,74,0,1,1,24,False
2017-09-03,63,0,0,1,26,False
2017-09-10,75,0,1,1,29,False
2017-09-17,85,0,1,1,33,False
2017-09-24,76,0,1,1,29,False
2017-10-01,83,0,1,1,32,False
2017-10-08,69,0,1,1,31,False
2017-10-15,75,0,1,0,30,False
2017-10-22,78,0,1,1,34,False
2017-10-29,80,1,2,1,36,False
2017-11-05,76,1,1,1,31,False
2017-11-12,81,1,2,1,36,False
2017-11-19,64,0,1,1,26,False
2017-11-26,83,0,2,0,34,False
2017-12-03,75,0,1,1,37,False
2017-12-10,71,0,1,1,34,False
2017-12-17,73,0,1,1,24,False
2017-12-24,66,0,0,1,24,False
2017-12-31,77,0,0,0,24,False
2018-01-07,86,0,0,0,27,False
2018-01-14,81,0,1,1,30,False
2018-01-21,87,0,1,1,33,False
2018-01-28,84,0,0,1,31,False
2018-02-04,93,0,0,0,32,False
2018-02-11,86,0,2,1,31,False
2018-02-18,82,0,1,1,34,False
2018-02-25,84,0,1,1,37,False
2018-03-04,85,0,1,1,35,False
2018-03-11,83,0,0,1,30,False
2018-03-18,80,0,1,1,31,False
2018-03-25,82,0,1,0,37,False
2018-04-01,91,0,1,0,33,False
2018-04-08,88,0,1,1,36,False
2018-04-15,83,0,1,1,34,False
2018-04-22,82,0,0,1,31,False
2018-04-29,89,0,1,1,29,False
2018-05-06,86,0,0,1,33,False
2018-05-13,83,0,0,0,27,False
2018-05-20,85,0,0,0,24,False
2018-05-27,81,0,1,1,32,False
2018-06-03,82,0,1,0,24,False
2018-06-10,86,0,1,0,23,False
2018-06-17,85,0,0,1,24,False
2018-06-24,83,0,0,0,24,False
2018-07-01,82,1,1,1,20,False
2018-07-08,87,0,0,1,28,False
2018-07-15,95,0,0,1,27,False
2018-07-22,91,1,0,1,27,False
2018-07-29,90,1,0,1,26,False
2018-08-05,84,0,1,1,25,False
2018-08-12,84,0,0,1,25,False
2018-08-19,86,0,0,1,25,False
2018-08-26,86,0,1,0,26,False
2018-09-02,75,0,0,1,25,False
2018-09-09,84,0,0,1,26,False
2018-09-16,80,0,1,1,35,False
2018-09-23,80,0,1,1,29,False
2018-09-30,76,0,1,1,34,False
2018-10-07,93,0,0,1,33,False
2018-10-14,85,0,1,1,30,False
2018-10-21,80,0,1,0,31,False
2018-10-28,79,0,1,1,34,False
2018-11-04,83,0,1,1,33,False
2018-11-11,87,0,1,0,34,False
2018-11-18,70,0,0,1,33,False
2018-11-25,78,0,1,0,36,False
2018-12-02,87,0,1,1,35,False
2018-12-09,81,0,1,1,32,False
2018-12-16,75,0,1,0,31,False
2018-12-23,68,0,0,1,24,False
2018-12-30,80,0,0,0,30,False
2019-01-06,90,0,1,0,27,False
2019-01-13,87,0,1,0,31,False
2019-01-20,79,0,1,1,29,False
2019-01-27,88,0,1,1,34,False
2019-02-03,93,0,1,1,33,False
2019-02-10,81,0,1,0,32,False
2019-02-17,81,0,1,0,36,False
2019-02-24,82,0,2,1,31,False
2019-03-03,83,0,1,1,36,False
2019-03-10,76,0,1,0,34,False
2019-03-17,86,0,1,0,37,False
2019-03-24,87,0,1,0,34,False
2019-03-31,84,0,1,1,34,False
2019-04-07,88,0,1,0,39,False
2019-04-14,81,0,1,1,33,False
2019-04-21,86,0,1,0,38,False
2019-04-28,81,0,1,0,34,False
2019-05-05,81,0,1,0,40,False
2019-05-12,82,0,1,1,33,False
2019-05-19,84,0,0,0,27,False
2019-05-26,82,0,0,0,30,False
2019-06-02,83,0,1,0,27,False
2019-06-09,89,0,1,0,25,False
2019-06-16,89,0,1,1,29,False
2019-06-23,88,0,1,0,26,False
2019-06-30,76,0,0,1,23,False
2019-07-07,94,0,1,1,27,False
2019-07-14,86,0,0,0,27,False
2019-07-21,88,0,1,1,28,False
2019-07-28,90,0,0,1,23,False
2019-08-04,83,0,0,0,25,False
2019-08-11,76,0,0,1,23,False
2019-08-18,77,1,0,0,24,False
2019-08-25,80,0,0,0,31,False
2019-09-01,69,0,1,1,26,False
2019-09-08,69,0,0,0,29,False
2019-09-15,78,0,0,0,25,False
2019-09-22,83,1,2,0,30,False
2019-09-29,85,0,1,0,36,False
2019-10-06,74,0,1,1,31,False
2019-10-13,80,0,1,0,30,False
2019-10-20,78,0,1,0,34,False
2019-10-27,71,0,0,1,32,False
2019-11-03,81,0,1,1,32,False
2019-11-10,75,0,1,1,33,False
2019-11-17,78,0,1,0,35,False
2019-11-24,61,0,1,1,25,False
2019-12-01,75,0,1,0,36,False
2019-12-08,76,0,0,1,34,False
2019-12-15,71,0,0,1,26,False
2019-12-22,71,0,0,0,25,False
