date,Type 1 diabetes,type 1 DM,Type 2 diabetes,Type 2 DM,diabetes causes,isPartial
2017-05-28,41,0,61,1,10,False
2017-06-04,44,0,67,1,12,False
2017-06-11,44,0,66,1,12,False
2017-06-18,43,1,71,1,15,False
2017-06-25,42,0,63,1,13,False
2017-07-02,40,0,64,1,15,False
2017-07-09,44,0,65,1,15,False
2017-07-16,39,1,65,1,15,False
2017-07-23,46,1,74,1,16,False
2017-07-30,44,0,66,1,13,False
2017-08-06,46,1,62,1,12,False
2017-08-13,42,0,61,1,12,False
2017-08-20,41,1,59,1,12,False
2017-08-27,37,0,61,1,11,False
2017-09-03,38,0,60,1,12,False
2017-09-10,45,1,63,1,13,False
2017-09-17,47,1,72,1,15,False
2017-09-24,51,1,72,1,13,False
2017-10-01,52,1,76,1,15,False
2017-10-08,52,0,80,1,14,False
2017-10-15,56,1,84,1,14,False
2017-10-22,53,0,83,1,16,False
2017-10-29,56,1,86,1,16,False
2017-11-05,58,1,87,1,14,False
2017-11-12,69,1,86,1,17,False
2017-11-19,44,1,63,1,12,False
2017-11-26,57,0,90,1,15,False
2017-12-03,55,1,84,1,17,False
2017-12-10,54,0,81,1,15,False
2017-12-17,42,0,65,1,11,False
2017-12-24,36,0,56,1,11,False
2017-12-31,42,0,62,1,11,False
2018-01-07,50,1,76,1,12,False
2018-01-14,44,1,73,1,13,False
2018-01-21,50,0,77,1,15,False
2018-01-28,53,1,80,2,14,False
2018-02-04,55,0,82,1,14,False
2018-02-11,54,0,80,1,14,False
2018-02-18,56,1,81,1,16,False
2018-02-25,58,1,81,1,17,False
2018-03-04,53,1,78,2,16,False
2018-03-11,54,1,77,1,14,False
2018-03-18,54,0,73,1,14,False
2018-03-25,53,1,82,1,17,False
2018-04-01,56,1,79,2,15,False
2018-04-08,50,0,75,1,16,False
2018-04-15,54,1,82,2,15,False
2018-04-22,56,1,78,1,14,False
2018-04-29,51,0,72,1,13,False
2018-05-06,48,0,74,1,15,False
2018-05-13,49,1,70,1,12,False
2018-05-20,48,1,69,1,11,False
2018-05-27,44,1,73,1,14,False
2018-06-03,45,1,69,1,11,False
2018-06-10,44,1,71,2,11,False
2018-06-17,53,1,62,1,11,False
2018-06-24,46,0,64,1,11,False
2018-07-01,38,0,61,1,9,False
2018-07-08,47,1,68,1,13,False
2018-07-15,46,1,68,1,12,False
2018-07-22,46,1,65,1,12,False
2018-07-29,49,1,71,1,12,False
2018-08-05,44,0,63,2,11,False
2018-08-12,45,0,69,1,11,False
2018-08-19,47,1,69,1,11,False
2018-08-26,47,1,63,1,12,False
2018-09-02,48,1,68,1,12,False
2018-09-09,47,0,72,1,12,False
2018-09-16,61,1,75,1,16,False
