date,type I diabetes,type I DM,Type II diabetes,Type II DM,diabetes causes,isPartial
2017-05-28,19,0,15,0,57,False
2017-06-04,22,0,10,1,65,False
2017-06-11,20,0,7,1,69,False
2017-06-18,28,0,11,2,81,False
2017-06-25,22,1,10,2,72,False
2017-07-02,18,0,7,0,83,False
2017-07-09,21,0,7,1,84,False
2017-07-16,22,0,8,1,82,False
2017-07-23,18,0,11,2,87,False
2017-07-30,32,1,7,1,71,False
2017-08-06,23,0,7,1,68,False
2017-08-13,16,0,12,1,64,False
2017-08-20,21,0,10,1,66,False
2017-08-27,23,0,6,0,60,False
2017-09-03,24,0,5,0,65,False
2017-09-10,21,0,11,0,73,False
2017-09-17,25,0,11,0,83,False
2017-09-24,22,0,8,0,74,False
2017-10-01,24,0,15,0,81,False
2017-10-08,28,1,12,0,78,False
2017-10-15,21,1,16,0,76,False
2017-10-22,24,0,17,1,86,False
2017-10-29,31,0,13,0,91,False
2017-11-05,26,0,14,0,78,False
2017-11-12,33,1,16,1,92,False
2017-11-19,19,1,9,0,65,False
2017-11-26,30,0,10,0,85,False
2017-12-03,30,0,14,0,93,False
2017-12-10,18,1,11,1,85,False
2017-12-17,23,0,8,0,61,False
2017-12-24,25,2,7,0,60,False
2017-12-31,20,0,8,0,60,False
2018-01-07,17,0,10,0,67,False
2018-01-14,22,0,11,0,74,False
2018-01-21,31,0,8,0,84,False
2018-01-28,26,0,12,1,78,False
2018-02-04,20,1,14,1,80,False
2018-02-11,27,0,17,0,77,False
2018-02-18,33,0,13,0,86,False
2018-02-25,32,1,13,1,92,False
2018-03-04,27,0,10,2,88,False
2018-03-11,25,0,12,1,76,False
2018-03-18,32,1,12,0,79,False
2018-03-25,27,0,10,0,93,False
2018-04-01,26,0,12,1,84,False
2018-04-08,30,1,11,1,90,False
2018-04-15,33,0,16,0,85,False
2018-04-22,30,0,11,0,78,False
2018-04-29,26,0,15,0,74,False
2018-05-06,27,0,8,0,83,False
2018-05-13,21,0,8,0,68,False
2018-05-20,24,0,7,1,60,False
2018-05-27,25,2,7,0,80,False
2018-06-03,29,1,9,0,62,False
2018-06-10,26,0,11,0,58,False
2018-06-17,23,0,8,0,60,False
2018-06-24,24,0,10,1,60,False
2018-07-01,21,0,9,0,50,False
2018-07-08,26,0,11,1,72,False
2018-07-15,29,0,13,0,67,False
2018-07-22,26,1,7,2,68,False
2018-07-29,28,0,7,0,67,False
2018-08-05,23,0,6,0,62,False
2018-08-12,27,0,10,1,62,False
2018-08-19,25,0,9,1,62,False
2018-08-26,23,0,9,0,66,False
2018-09-02,23,0,7,1,64,False
2018-09-09,22,0,10,1,65,False
2018-09-16,28,1,11,2,87,False
2018-09-23,29,2,13,1,73,False
2018-09-30,27,1,8,0,85,False
2018-10-07,26,1,11,1,84,False
2018-10-14,22,0,7,1,75,False
2018-10-21,24,0,10,1,78,False
2018-10-28,26,0,9,1,85,False
2018-11-04,36,1,14,0,82,False
2018-11-11,32,0,13,1,85,False
2018-11-18,21,0,11,0,83,False
2018-11-25,25,0,10,0,91,False
2018-12-02,28,0,16,0,89,False
2018-12-09,28,0,8,0,82,False
2018-12-16,25,0,8,0,77,False
2018-12-23,22,0,7,0,61,False
2018-12-30,23,0,5,0,74,False
2019-01-06,25,1,6,0,67,False
2019-01-13,21,1,9,1,78,False
2019-01-20,25,1,14,1,74,False
2019-01-27,22,0,8,0,84,False
2019-02-03,28,0,13,1,82,False
2019-02-10,24,1,11,0,81,False
2019-02-17,31,1,18,0,89,False
2019-02-24,29,1,8,0,78,False
2019-03-03,34,0,12,1,91,False
2019-03-10,26,0,12,1,86,False
2019-03-17,18,0,12,1,94,False
2019-03-24,36,0,15,2,85,False
2019-03-31,27,0,10,1,85,False
2019-04-07,36,1,14,0,97,False
2019-04-14,28,1,11,0,84,False
2019-04-21,30,0,16,0,95,False
2019-04-28,29,0,12,0,85,False
2019-05-05,25,1,12,0,100,False
2019-05-12,30,0,8,0,83,False
2019-05-19,19,0,9,0,67,False
2019-05-26,22,0,10,0,74,False
2019-06-02,20,0,14,1,68,False
2019-06-09,20,0,9,0,63,False
2019-06-16,23,0,6,1,73,False
2019-06-23,26,1,5,0,65,False
2019-06-30,29,0,8,1,57,False
2019-07-07,24,0,8,1,68,False
2019-07-14,22,0,10,1,67,False
2019-07-21,22,0,10,0,70,False
2019-07-28,22,0,12,0,58,False
2019-08-04,20,0,6,0,63,False
2019-08-11,26,1,7,0,58,False
2019-08-18,24,0,3,0,59,False
2019-08-25,26,0,7,0,77,False
2019-09-01,21,0,6,0,66,False
2019-09-08,25,2,7,2,72,False
2019-09-15,22,0,9,0,64,False
2019-09-22,30,0,10,2,76,False
2019-09-29,30,1,11,1,91,False
2019-10-06,27,1,13,0,78,False
2019-10-13,23,0,13,0,76,False
2019-10-20,27,1,10,2,86,False
2019-10-27,24,0,7,1,81,False
2019-11-03,28,1,12,1,80,False
2019-11-10,28,0,13,1,84,False
2019-11-17,23,0,13,2,88,False
2019-11-24,27,0,9,0,62,False
2019-12-01,28,0,12,0,89,False
2019-12-08,27,0,11,0,86,False
2019-12-15,27,1,7,1,65,False
2019-12-22,21,1,4,0,62,False
2019-12-29,21,0,4,0,70,False
2020-01-05,24,0,7,0,72,False
2020-01-12,29,2,9,0,66,False
2020-01-19,30,0,10,0,67,False
2020-01-26,30,1,8,2,76,False
2020-02-02,30,0,10,1,84,False
2020-02-09,33,0,10,1,82,False
2020-02-16,31,0,9,1,76,False
2020-02-23,30,0,9,0,86,False
2020-03-01,34,1,8,0,77,False
2020-03-08,25,1,10,1,66,False
2020-03-15,33,0,9,1,62,False
2020-03-22,38,0,9,0,64,False
2020-03-29,27,0,9,2,70,False
2020-04-05,30,1,14,3,90,False
2020-04-12,29,0,8,1,75,False
2020-04-19,33,0,14,0,87,False
2020-04-26,30,1,15,0,83,False
2020-05-03,31,0,7,0,77,False
2020-05-10,36,0,9,0,66,False
2020-05-17,24,0,8,0,71,False
2020-05-24,20,0,5,0,69,False
2020-05-31,30,0,8,0,59,False
2020-06-07,28,1,11,1,63,False
2020-06-14,31,1,8,1,69,False
2020-06-21,33,0,5,0,79,False
2020-06-28,31,1,8,1,65,False
2020-07-05,23,0,5,0,69,False
2020-07-12,30,0,6,0,75,False
2020-07-19,33,1,9,1,80,False
2020-07-26,29,0,11,1,60,False
2020-08-02,24,1,8,1,71,False
2020-08-09,21,0,6,0,78,False
2020-08-16,24,0,7,1,82,False
2020-08-23,28,0,7,0,70,False
2020-08-30,18,1,9,0,74,False
2020-09-06,25,0,11,1,65,False
2020-09-13,37,1,9,1,76,False
2020-09-20,34,1,14,0,88,False
2020-09-27,27,1,9,0,81,False
2020-10-04,37,0,10,1,79,False
2020-10-11,31,3,11,1,81,False
2020-10-18,33,0,9,1,86,False
2020-10-25,28,0,12,1,74,False
2020-11-01,26,0,8,1,63,False
2020-11-08,34,0,10,1,80,False
2020-11-15,39,0,10,1,90,False
2020-11-22,23,0,7,0,68,False
2020-11-29,33,0,9,0,76,False
2020-12-06,31,0,11,0,76,False
2020-12-13,37,0,8,0,73,False
2020-12-20,20,0,4,0,51,False
2020-12-27,21,1,8,0,54,False
2021-01-03,29,1,7,0,55,False
2021-01-10,31,1,8,0,69,False
2021-01-17,32,0,9,0,68,False
2021-01-24,34,0,10,1,80,False
2021-01-31,39,0,13,1,77,False
2021-02-07,38,1,14,2,82,False
2021-02-14,35,0,10,0,76,False
2021-02-21,35,0,11,0,90,False
2021-02-28,39,0,9,1,95,False
2021-03-07,37,1,10,1,79,False
2021-03-14,34,1,13,1,64,False
2021-03-21,40,0,12,1,78,False
2021-03-28,32,0,10,1,70,False
2021-04-04,34,0,12,0,77,False
2021-04-11,31,0,12,1,86,False
2021-04-18,37,0,11,1,75,False
2021-04-25,35,0,9,0,75,False
2021-05-02,29,0,5,1,76,False
2021-05-09,26,1,11,1,65,False
2021-05-16,27,0,10,0,66,False
2021-05-23,33,0,8,0,77,False
2021-05-30,31,0,8,0,58,False
2021-06-06,31,0,10,1,77,False
2021-06-13,32,0,6,0,70,False
2021-06-20,29,1,6,1,71,False
2021-06-27,26,0,9,2,68,False
2021-07-04,36,0,7,1,71,False
2021-07-11,34,0,9,2,66,False
2021-07-18,25,0,8,0,60,False
2021-07-25,36,1,7,1,63,False
2021-08-01,25,1,5,1,63,False
2021-08-08,24,0,7,0,64,False
2021-08-15,29,0,4,0,68,False
2021-08-22,27,1,6,1,61,False
2021-08-29,25,0,6,0,66,False
2021-09-05,27,0,9,0,63,False
2021-09-12,26,2,10,0,73,False
2021-09-19,35,1,8,0,75,False
2021-09-26,29,0,9,1,79,False
2021-10-03,31,0,8,1,80,False
2021-10-10,36,2,8,0,73,False
2021-10-17,30,0,9,0,90,False
2021-10-24,33,0,7,0,77,False
2021-10-31,29,0,11,0,64,False
2021-11-07,34,0,16,0,73,False
2021-11-14,28,1,11,1,68,False
2021-11-21,27,1,7,2,63,False
2021-11-28,32,0,12,1,85,False
2021-12-05,36,0,12,0,76,False
2021-12-12,28,1,7,0,71,False
2021-12-19,23,1,4,0,66,False
2021-12-26,26,0,4,0,57,False
2022-01-02,30,0,5,0,54,False
2022-01-09,30,0,9,0,76,False
2022-01-16,37,1,7,0,82,False
2022-01-23,33,1,7,0,74,False
2022-01-30,32,1,7,1,80,False
2022-02-06,29,0,8,1,78,False
2022-02-13,37,0,4,1,74,False
2022-02-20,37,0,10,1,83,False
2022-02-27,35,0,9,1,80,False
2022-03-06,32,1,13,0,82,False
2022-03-13,42,2,8,0,86,False
2022-03-20,36,0,6,2,68,False
2022-03-27,33,0,12,1,68,False
2022-04-03,36,0,12,0,85,False
2022-04-10,32,0,8,1,77,False
2022-04-17,46,0,14,1,88,False
2022-04-24,37,1,9,0,82,False
2022-05-01,35,0,5,1,69,False
2022-05-08,38,0,8,1,75,False
2022-05-15,36,1,9,0,72,False
2022-05-22,0,0,0,0,0,True
