date,diabetes lose weight ,borderline diabetes,diabetes kit,onset diabetes,diabetes causes,isPartial
2017-05-28,8,5,2,9,57,False
2017-06-04,9,4,7,10,65,False
2017-06-11,11,2,10,9,69,False
2017-06-18,9,3,7,9,81,False
2017-06-25,8,6,4,12,72,False
2017-07-02,11,4,8,12,83,False
2017-07-09,12,3,9,8,84,False
2017-07-16,7,3,6,11,82,False
2017-07-23,8,4,4,14,87,False
2017-07-30,12,6,7,9,71,False
2017-08-06,7,2,6,11,68,False
2017-08-13,7,6,7,12,64,False
2017-08-20,8,5,8,15,66,False
2017-08-27,7,5,7,9,60,False
2017-09-03,8,3,8,12,65,False
2017-09-10,9,6,5,13,73,False
2017-09-17,6,2,5,12,83,False
2017-09-24,8,3,4,12,74,False
2017-10-01,6,6,7,17,81,False
2017-10-08,12,5,10,15,78,False
2017-10-15,14,2,7,14,76,False
2017-10-22,10,5,7,14,86,False
2017-10-29,10,6,7,12,91,False
2017-11-05,11,5,8,15,78,False
2017-11-12,9,5,9,14,92,False
2017-11-19,7,4,7,8,65,False
2017-11-26,12,1,8,12,85,False
2017-12-03,8,3,8,9,93,False
2017-12-10,9,2,9,14,85,False
2017-12-17,8,4,10,12,61,False
2017-12-24,11,3,4,10,60,False
2017-12-31,10,5,8,9,60,False
2018-01-07,9,7,10,9,67,False
2018-01-14,9,2,8,13,74,False
2018-01-21,9,3,7,9,84,False
2018-01-28,8,3,5,11,78,False
2018-02-04,10,6,9,18,80,False
2018-02-11,6,3,7,17,77,False
2018-02-18,9,4,5,12,86,False
2018-02-25,11,4,8,16,92,False
2018-03-04,8,4,5,13,88,False
2018-03-11,10,5,8,12,76,False
2018-03-18,9,4,3,16,79,False
2018-03-25,11,4,6,13,93,False
2018-04-01,13,2,7,16,84,False
2018-04-08,13,5,7,14,90,False
2018-04-15,9,2,7,13,85,False
2018-04-22,11,4,4,13,78,False
2018-04-29,12,6,6,14,74,False
2018-05-06,11,5,8,10,83,False
2018-05-13,11,6,7,9,68,False
2018-05-20,9,5,6,14,60,False
2018-05-27,16,6,8,13,80,False
2018-06-03,11,7,6,14,62,False
2018-06-10,7,8,8,14,58,False
2018-06-17,10,7,4,12,60,False
2018-06-24,8,6,6,12,60,False
2018-07-01,5,2,7,11,50,False
2018-07-08,9,1,4,11,72,False
2018-07-15,10,6,8,13,67,False
2018-07-22,8,3,5,11,68,False
2018-07-29,7,4,7,12,67,False
2018-08-05,10,6,7,14,62,False
2018-08-12,12,3,5,10,62,False
2018-08-19,9,4,7,6,62,False
2018-08-26,8,5,7,10,66,False
2018-09-02,9,3,6,14,64,False
2018-09-09,8,7,6,13,65,False
2018-09-16,6,8,5,14,87,False
2018-09-23,8,5,7,14,73,False
2018-09-30,10,5,6,14,85,False
2018-10-07,9,4,7,10,84,False
2018-10-14,7,5,6,14,75,False
2018-10-21,9,4,4,13,78,False
2018-10-28,12,4,6,10,85,False
2018-11-04,11,6,6,13,82,False
2018-11-11,11,2,8,15,85,False
2018-11-18,7,3,6,13,83,False
2018-11-25,10,3,4,12,91,False
2018-12-02,9,3,6,15,89,False
2018-12-09,8,5,5,14,82,False
2018-12-16,9,2,5,12,77,False
2018-12-23,5,3,7,9,61,False
2018-12-30,12,1,5,9,74,False
2019-01-06,9,4,7,10,67,False
2019-01-13,8,4,5,12,78,False
2019-01-20,13,4,4,15,74,False
2019-01-27,7,1,8,10,84,False
2019-02-03,9,5,7,9,82,False
2019-02-10,9,3,6,12,81,False
2019-02-17,9,5,8,10,89,False
2019-02-24,8,5,6,13,78,False
2019-03-03,14,2,7,13,91,False
2019-03-10,11,3,5,14,86,False
2019-03-17,9,5,5,15,94,False
2019-03-24,9,3,4,14,85,False
2019-03-31,14,4,7,13,85,False
2019-04-07,13,5,9,10,97,False
2019-04-14,9,2,5,13,84,False
2019-04-21,14,3,9,15,95,False
2019-04-28,11,2,7,14,85,False
2019-05-05,12,4,8,10,100,False
2019-05-12,14,2,7,14,83,False
2019-05-19,10,3,8,11,67,False
2019-05-26,11,1,6,10,74,False
2019-06-02,11,3,7,11,68,False
2019-06-09,9,3,9,7,63,False
2019-06-16,10,1,6,12,73,False
2019-06-23,10,4,6,10,65,False
2019-06-30,11,5,5,15,57,False
2019-07-07,11,3,3,12,68,False
2019-07-14,11,3,4,11,67,False
2019-07-21,9,4,5,9,70,False
2019-07-28,7,3,10,11,58,False
2019-08-04,9,4,5,9,63,False
2019-08-11,7,2,8,13,58,False
2019-08-18,14,5,4,11,59,False
2019-08-25,6,3,10,14,77,False
2019-09-01,7,5,6,12,66,False
2019-09-08,6,4,6,13,72,False
2019-09-15,8,4,5,11,64,False
2019-09-22,8,3,6,12,76,False
2019-09-29,8,4,10,13,91,False
2019-10-06,8,4,7,10,78,False
2019-10-13,9,3,8,13,76,False
2019-10-20,13,4,3,11,86,False
2019-10-27,8,5,6,14,81,False
2019-11-03,8,5,8,14,80,False
2019-11-10,8,1,6,13,84,False
2019-11-17,8,2,6,11,88,False
2019-11-24,4,4,6,16,62,False
2019-12-01,5,3,6,15,89,False
2019-12-08,7,3,6,16,86,False
2019-12-15,9,4,6,10,65,False
2019-12-22,9,3,6,6,62,False
2019-12-29,10,6,6,10,70,False
2020-01-05,12,2,5,11,72,False
2020-01-12,9,3,7,11,66,False
2020-01-19,10,4,9,10,67,False
2020-01-26,10,4,8,13,76,False
2020-02-02,7,2,4,14,84,False
2020-02-09,10,4,9,15,82,False
2020-02-16,10,2,7,9,76,False
2020-02-23,9,4,9,18,86,False
2020-03-01,11,5,6,11,77,False
2020-03-08,10,5,7,12,66,False
2020-03-15,5,3,8,11,62,False
2020-03-22,5,4,10,10,64,False
2020-03-29,7,3,8,12,70,False
2020-04-05,14,4,11,13,90,False
2020-04-12,10,2,9,11,75,False
2020-04-19,11,3,11,15,87,False
2020-04-26,12,1,13,9,83,False
2020-05-03,12,2,9,11,77,False
2020-05-10,14,5,7,11,66,False
2020-05-17,9,3,11,10,71,False
2020-05-24,9,0,10,9,69,False
2020-05-31,8,3,7,12,59,False
2020-06-07,10,1,7,9,63,False
2020-06-14,12,3,8,16,69,False
2020-06-21,14,3,9,14,79,False
2020-06-28,10,3,9,15,65,False
2020-07-05,8,3,11,9,69,False
2020-07-12,9,2,9,13,75,False
2020-07-19,13,3,8,10,80,False
2020-07-26,9,3,8,12,60,False
2020-08-02,8,2,10,15,71,False
2020-08-09,7,3,8,12,78,False
2020-08-16,10,4,7,10,82,False
2020-08-23,9,3,10,12,70,False
2020-08-30,6,3,8,14,74,False
2020-09-06,7,3,5,15,65,False
2020-09-13,10,4,7,15,76,False
2020-09-20,9,2,9,11,88,False
2020-09-27,14,2,7,13,81,False
2020-10-04,8,3,6,18,79,False
2020-10-11,10,4,12,12,81,False
