date,Diabetes,diabetes complication,diabetes cure,diabetes depression,diabetes causes,isPartial,date,diabetes diagnosis,diabetes exercise,diabetes high risk,diabetes information,diabetes causes,isPartial,date,diabetes medication,Diabetes Mellitus,diabetes self care,diabetes self management,diabetes causes,isPartial,date,diabetes supplies,diabetes surgery,diabetes symptoms,diabetes testing,diabetes causes,isPartial,date,diabetes treatment,diabetes type 1 symptoms,diabetes type 2 symptoms,diets for diabetes,diabetes causes,isPartial,date,Gestational diabetes,gestational DM,increased risk of diabetes,insulin dependent diabetes mellitus,diabetes causes,isPartial,date,Type 1 diabetes,type 1 DM,Type 2 diabetes,Type 2 DM,diabetes causes,isPartial,date,type I diabetes,type I DM,Type II diabetes,Type II DM,diabetes causes,isPartial,date,diabetes lose weight ,borderline diabetes,diabetes kit,onset diabetes,diabetes causes,isPartial,date,diabetes magazines,herbal treatment for diabetes,diabetes supplements,diabetes type,diabetes causes,isPartial,date,diabetes and depression,diabetes impotence,about diabetes,diabetes recipes,diabetes causes,isPartial,date,diabetes lifestyle,diabetes medication side effects,blood glucose,blood pressure,diabetes causes,isPartial,date,continuous glucose monitoring systems,c-peptide test,fasting glucose,fasting plasma glucose,diabetes causes,isPartial,date,fingerstick glucose test,FPG,glucometers,glucose meter,diabetes causes,isPartial,date,glucose monitor,glucose test strip,glucose tolerance test,HbA1c,diabetes causes,isPartial,date,HemoglobinA1c,high glucose,iv glucose tolerance test,lifescan,diabetes causes,isPartial,date,normal blood glucose levels,normal glucose tolerance,oral glucose challenge,Oral glucose tolerance test,diabetes causes,isPartial,date,plasma concentration,plasma glucose,post glucose tolerance test,post prandial glucose,diabetes causes,isPartial,date,Post-prandial glucose,PPG,urine glucose,Acarbose,diabetes causes,isPartial,date,ACTOS,alogliptin,alpha-glucosidase inhibitors,Apidra,diabetes causes,isPartial,date,artificial pancreas,Aspart,Avandia,bariatric surgery,diabetes causes,isPartial,date,Biguanides,bolus insulin,Canagliflozin,carbohydrate counting,diabetes causes,isPartial,date,colesevelam,Cycloset,Detemir,diabetes clinical trails,diabetes causes,isPartial,date,Diabetes medicine,DPP-4 Inhibitors,FlexPen,Glargine,diabetes causes,isPartial,date,Glucophage,Glulisine,Glumetza,glyset,diabetes causes,isPartial,date,Humalog,Humulin,Humulin N,inhaled insulin,diabetes causes,isPartial,date,injection site rotation,insulin infusion pump,insulin injection,insulin needles,diabetes causes,isPartial,date,insulin pen injector,insulin pump,insulin syringe,insulin therapy,diabetes causes,isPartial,date,intermediate acting insulin,Invokana,islet cell transplantation,Januvia,diabetes causes,isPartial,date,Lantus,Levemir,linagliptin,Lispro,diabetes causes,isPartial,date,long acting insulin,meglitinides,metformin,miglitol,diabetes causes,isPartial,date,Nateglinide,Nesina,Novolin,Novolin N,diabetes causes,isPartial,date,Novolog,NPH insulin,Onglyza,oral hypoglycemic agents,diabetes causes,isPartial,date,pancreatic transplantation,parenteral glucagon emergency,pioglitazone,Pramlintide,diabetes causes,isPartial,date,prandin,precose,rapid acting insulin,Regular insulin,diabetes causes,isPartial,date,Repaglinide,Rosiglitazone,Ryzodeg,saxagliptin,diabetes causes,isPartial,date,SGLT2 inhibitors,short acting insulin,Sitagliptin,starlix,diabetes causes,isPartial,date,SymlinPen,thiazolidinediones,Toujeo,Tradjenta,diabetes causes,isPartial,date,Tresiba,Welchol,artificial sweetener,diabetes diet,diabetes causes,isPartial,date,diabetes prevention,diabetes prevention program,diabetes target range,diabetic diet,diabetes causes,isPartial,date,glycemic index,physical activity,adult blindness,Autonomic Neuropathy,diabetes causes,isPartial,date,cellulitis,diabetes and anorexia,diabetes and female sexual dysfunction,diabetes and nausea,diabetes causes,isPartial,date,diabetes and reduced sexual desire women,diabetes and vomiting,diabetes infections,diabetes myocardial infarct,diabetes causes,isPartial,date,diabetes staph infection,diabetes urinary tract infections,diabetes UTI,diabetic coma,diabetes causes,isPartial,date,diabetic dermopathy,diabetic foot,diabetic heart disease,diabetic keto acidosis,diabetes causes,isPartial,date,diabetic mononeuropathy,diabetic nephropathy,diabetic neuropathy,diabetic peripheral vascular disease,diabetes causes,isPartial,date,diabetic polyneuropathy,diabetic retinopathy,diabetic skin spots,End stage renal disease,diabetes causes,isPartial,date,ESRD,foot ulcers,gangrene,gastroparesis,diabetes causes,isPartial,date,hypoglycemia,insulin reaction,insulin shock,neuropathy,diabetes causes,isPartial,date,nocturnal diarrhea,peripheral neuropathy,acromegaly,Cushing’s disease,diabetes causes,isPartial,date,Cystic fibrosis–related DM,diabetes quality of life,diabetes study,fulminant diabetes,diabetes causes,isPartial,date,latent autoimmune diabetes of adulthood ,Maturity-onset diabetes of the young,maturity-onset diabetes of the young ,metabolic syndrome,diabetes causes,isPartial,date,monogenic diabetes,non-insulin dependent diabetes mellitus,prediabetes,prediabetes self management,diabetes causes,isPartial,date,Acanthosis nigricans,body mass index,body weight,diabetes risk factor,diabetes causes,isPartial,date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial,date,increased urination,increased water intake,intermediate hyperglycemia,PCOS,diabetes causes,isPartial,date,polycystic ovarian syndrome,polydipsia,polyuria,weight loss,diabetes causes,isPartial
2017-05-28,77,0,1,0,1,False,2017-05-28,11,17,1,5,57,False,2017-05-28,18,52,1,2,41,False,2017-05-28,3,3,84,4,14,False,2017-05-28,34,21,39,2,57,False,2017-05-28,78,0,0,0,23,False,2017-05-28,41,0,61,1,10,False,2017-05-28,19,0,15,0,57,False,2017-05-28,8,5,2,9,57,False,2017-05-28,0,0,1,59,6,False,2017-05-28,3,2,20,11,57,False,2017-05-28,0,0,3,57,1,False,2017-05-28,0,1,49,2,55,False,2017-05-28,0,15,3,50,57,False,2017-05-28,20,2,31,27,57,False,2017-05-28,0,49,0,3,32,False,2017-05-28,18,3,0,2,57,False,2017-05-28,6,5,0,1,57,False,2017-05-28,0,77,4,1,10,False,2017-05-28,39,5,0,8,57,False,2017-05-28,1,4,1,56,20,False,2017-05-28,1,3,4,2,57,False,2017-05-28,3,0,3,0,57,False,2017-05-28,20,1,12,18,57,False,2017-05-28,20,1,2,1,57,False,2017-05-28,46,25,8,1,47,False,2017-05-28,0,2,17,12,57,False,2017-05-28,0,37,7,4,32,False,2017-05-28,0,53,0,60,42,False,2017-05-28,75,33,5,9,39,False,2017-05-28,0,0,38,0,4,False,2017-05-28,5,3,26,5,57,False,2017-05-28,54,19,12,1,57,False,2017-05-28,0,0,26,1,57,False,2017-05-28,5,2,2,17,57,False,2017-05-28,5,1,0,4,57,False,2017-05-28,5,3,12,4,57,False,2017-05-28,1,5,25,27,57,False,2017-05-28,23,12,12,77,37,False,2017-05-28,10,3,0,82,41,False,2017-05-28,35,29,0,2,16,False,2017-05-28,76,0,0,1,9,False,2017-05-28,0,2,3,0,57,False,2017-05-28,1,1,4,29,57,False,2017-05-28,3,62,2,0,57,False,2017-05-28,1,6,46,0,57,False,2017-05-28,2,23,1,17,57,False,2017-05-28,18,3,38,52,24,False,2017-05-28,28,0,1,58,7,False,2017-05-28,0,64,17,0,35,False,2017-05-28,0,1,6,0,57,False,2017-05-28,0,0,0,49,50,False,2017-05-28,0,0,41,0,30,False,2017-05-28,5,11,85,1,9,False,2017-05-28,6,3,31,2,57,False,2017-05-28,1,0,0,49,6,False,2017-05-28,1,0,0,73,1,False
2017-06-04,85,0,1,0,1,False,2017-06-04,23,17,6,8,65,False,2017-06-04,27,67,0,2,46,False,2017-06-04,4,3,88,3,16,False,2017-06-04,50,27,48,2,65,False,2017-06-04,83,0,0,1,26,False,2017-06-04,44,0,67,1,12,False,2017-06-04,22,0,10,1,65,False,2017-06-04,9,4,7,10,65,False,2017-06-04,0,0,1,68,7,False,2017-06-04,1,1,21,21,65,False,2017-06-04,0,0,3,58,1,False,2017-06-04,0,0,64,2,62,False,2017-06-04,0,9,5,52,65,False,2017-06-04,28,3,36,26,65,False,2017-06-04,0,49,0,4,36,False,2017-06-04,14,4,0,1,65,False,2017-06-04,7,10,0,0,65,False,2017-06-04,0,83,4,1,12,False,2017-06-04,41,4,0,9,65,False,2017-06-04,2,4,2,62,23,False,2017-06-04,1,3,7,2,65,False,2017-06-04,1,0,8,0,65,False,2017-06-04,29,2,12,23,65,False,2017-06-04,18,1,4,1,65,False,2017-06-04,56,28,8,1,53,False,2017-06-04,0,2,22,18,65,False,2017-06-04,0,34,11,5,36,False,2017-06-04,0,55,0,70,48,False,2017-06-04,74,38,5,16,44,False,2017-06-04,1,0,41,0,5,False,2017-06-04,3,3,25,5,65,False,2017-06-04,60,17,12,2,65,False,2017-06-04,0,0,32,1,65,False,2017-06-04,5,3,4,18,65,False,2017-06-04,7,3,0,5,65,False,2017-06-04,5,8,12,3,65,False,2017-06-04,1,4,34,34,65,False,2017-06-04,21,13,9,82,42,False,2017-06-04,14,4,0,90,46,False,2017-06-04,39,35,0,3,18,False,2017-06-04,84,0,0,1,10,False,2017-06-04,0,1,4,0,65,False,2017-06-04,0,0,6,18,65,False,2017-06-04,2,65,1,1,65,False,2017-06-04,0,6,51,1,65,False,2017-06-04,3,29,1,18,65,False,2017-06-04,23,4,42,48,27,False,2017-06-04,32,0,1,61,8,False,2017-06-04,0,64,13,1,39,False,2017-06-04,0,1,11,0,65,False,2017-06-04,0,0,0,52,57,False,2017-06-04,0,0,42,0,34,False,2017-06-04,4,10,79,0,10,False,2017-06-04,8,4,32,1,65,False,2017-06-04,1,0,0,50,6,False,2017-06-04,1,0,0,75,1,False
2017-06-11,83,0,1,0,1,False,2017-06-11,19,16,4,6,69,False,2017-06-11,20,62,0,1,49,False,2017-06-11,2,2,82,4,17,False,2017-06-11,47,19,33,2,69,False,2017-06-11,82,0,1,1,27,False,2017-06-11,44,0,66,1,12,False,2017-06-11,20,0,7,1,69,False,2017-06-11,11,2,10,9,69,False,2017-06-11,0,0,0,66,7,False,2017-06-11,2,2,20,14,69,False,2017-06-11,0,0,3,58,1,False,2017-06-11,0,1,52,2,66,False,2017-06-11,0,7,1,50,69,False,2017-06-11,23,1,25,35,69,False,2017-06-11,0,49,0,6,38,False,2017-06-11,22,1,0,3,69,False,2017-06-11,9,8,0,1,69,False,2017-06-11,0,74,5,1,12,False,2017-06-11,45,7,0,6,69,False,2017-06-11,2,5,2,61,24,False,2017-06-11,3,3,14,0,69,False,2017-06-11,5,2,9,0,69,False,2017-06-11,28,1,13,20,69,False,2017-06-11,18,1,2,1,69,False,2017-06-11,46,35,9,0,57,False,2017-06-11,0,3,18,13,69,False,2017-06-11,0,34,8,2,38,False,2017-06-11,0,62,0,67,51,False,2017-06-11,80,33,6,10,47,False,2017-06-11,1,0,43,0,5,False,2017-06-11,3,2,26,9,69,False,2017-06-11,62,16,17,2,69,False,2017-06-11,0,0,26,3,69,False,2017-06-11,6,1,2,18,69,False,2017-06-11,6,2,1,5,69,False,2017-06-11,7,6,10,3,69,False,2017-06-11,1,2,31,33,69,False,2017-06-11,24,13,11,92,44,False,2017-06-11,12,5,0,97,49,False,2017-06-11,33,28,0,3,19,False,2017-06-11,82,0,0,1,11,False,2017-06-11,0,3,5,0,69,False,2017-06-11,1,0,7,20,69,False,2017-06-11,3,61,4,0,69,False,2017-06-11,0,8,50,1,69,False,2017-06-11,0,26,2,18,69,False,2017-06-11,17,3,34,47,29,False,2017-06-11,29,0,0,62,8,False,2017-06-11,0,68,18,0,42,False,2017-06-11,0,0,11,0,69,False,2017-06-11,0,0,0,41,60,False,2017-06-11,0,0,44,0,36,False,2017-06-11,6,11,81,0,11,False,2017-06-11,5,6,30,3,69,False,2017-06-11,1,0,0,48,7,False,2017-06-11,1,0,0,71,1,False
2017-06-18,83,0,1,0,2,False,2017-06-18,20,14,2,6,81,False,2017-06-18,23,54,1,2,58,False,2017-06-18,3,4,82,4,20,False,2017-06-18,42,18,43,2,81,False,2017-06-18,81,1,1,1,32,False,2017-06-18,43,1,71,1,15,False,2017-06-18,28,0,11,2,81,False,2017-06-18,9,3,7,9,81,False,2017-06-18,0,0,1,66,9,False,2017-06-18,3,1,15,16,81,False,2017-06-18,0,0,3,57,1,False,2017-06-18,0,3,53,3,78,False,2017-06-18,0,14,3,47,81,False,2017-06-18,22,3,32,27,81,False,2017-06-18,0,41,0,3,45,False,2017-06-18,17,1,0,2,81,False,2017-06-18,10,8,0,0,81,False,2017-06-18,0,60,4,2,14,False,2017-06-18,41,5,0,5,81,False,2017-06-18,1,4,2,59,28,False,2017-06-18,2,3,7,1,81,False,2017-06-18,2,3,8,0,81,False,2017-06-18,27,1,11,19,81,False,2017-06-18,16,1,5,1,81,False,2017-06-18,52,27,8,1,66,False,2017-06-18,0,0,18,15,81,False,2017-06-18,0,34,8,5,44,False,2017-06-18,0,59,0,60,60,False,2017-06-18,74,38,4,12,55,False,2017-06-18,1,0,41,0,6,False,2017-06-18,3,2,29,8,81,False,2017-06-18,76,18,12,0,81,False,2017-06-18,0,0,32,2,81,False,2017-06-18,4,1,3,17,81,False,2017-06-18,6,1,0,7,81,False,2017-06-18,8,2,11,4,81,False,2017-06-18,0,5,45,31,81,False,2017-06-18,28,10,15,81,52,False,2017-06-18,7,2,0,91,58,False,2017-06-18,33,25,0,2,22,False,2017-06-18,83,0,0,1,13,False,2017-06-18,0,1,5,0,81,False,2017-06-18,0,0,3,17,81,False,2017-06-18,2,54,2,0,81,False,2017-06-18,0,7,58,1,81,False,2017-06-18,1,27,0,17,81,False,2017-06-18,21,1,36,49,34,False,2017-06-18,24,0,0,63,10,False,2017-06-18,0,61,15,1,49,False,2017-06-18,0,0,9,0,81,False,2017-06-18,0,0,0,53,71,False,2017-06-18,0,0,40,0,43,False,2017-06-18,5,10,79,1,13,False,2017-06-18,5,5,33,1,81,False,2017-06-18,1,0,0,50,8,False,2017-06-18,1,0,0,72,1,False
2017-06-25,84,0,1,0,2,False,2017-06-25,24,17,6,7,72,False,2017-06-25,19,63,1,2,51,False,2017-06-25,3,2,84,3,18,False,2017-06-25,49,23,52,2,72,False,2017-06-25,82,0,1,0,29,False,2017-06-25,42,0,63,1,13,False,2017-06-25,22,1,10,2,72,False,2017-06-25,8,6,4,12,72,False,2017-06-25,0,0,1,65,8,False,2017-06-25,7,0,23,18,72,False,2017-06-25,0,0,3,55,1,False,2017-06-25,0,1,58,2,69,False,2017-06-25,0,13,4,60,72,False,2017-06-25,20,2,30,30,72,False,2017-06-25,0,42,0,5,40,False,2017-06-25,15,1,0,4,72,False,2017-06-25,5,4,0,1,72,False,2017-06-25,0,66,5,0,13,False,2017-06-25,32,4,0,7,72,False,2017-06-25,1,6,1,60,25,False,2017-06-25,3,4,8,1,72,False,2017-06-25,4,2,6,0,72,False,2017-06-25,21,2,9,15,72,False,2017-06-25,12,3,3,1,72,False,2017-06-25,56,24,5,1,59,False,2017-06-25,0,2,27,15,72,False,2017-06-25,0,34,11,3,40,False,2017-06-25,0,59,0,66,53,False,2017-06-25,81,33,5,13,49,False,2017-06-25,1,0,43,0,5,False,2017-06-25,4,3,31,7,72,False,2017-06-25,66,18,13,1,72,False,2017-06-25,0,0,28,1,72,False,2017-06-25,4,3,3,20,72,False,2017-06-25,7,3,1,3,72,False,2017-06-25,5,4,13,2,72,False,2017-06-25,1,5,30,36,72,False,2017-06-25,26,14,13,83,46,False,2017-06-25,12,3,0,91,51,False,2017-06-25,31,24,0,3,20,False,2017-06-25,85,0,0,1,11,False,2017-06-25,0,3,4,0,72,False,2017-06-25,1,0,7,15,72,False,2017-06-25,2,62,2,1,72,False,2017-06-25,0,5,55,1,72,False,2017-06-25,2,25,1,16,72,False,2017-06-25,18,3,35,52,30,False,2017-06-25,28,0,0,65,9,False,2017-06-25,0,67,13,0,44,False,2017-06-25,0,0,10,0,72,False,2017-06-25,0,0,0,44,63,False,2017-06-25,0,0,42,0,38,False,2017-06-25,4,11,79,0,12,False,2017-06-25,5,4,39,3,72,False,2017-06-25,1,0,0,51,7,False,2017-06-25,1,0,0,67,1,False
2017-07-02,76,0,1,0,2,False,2017-07-02,23,24,2,8,83,False,2017-07-02,22,67,1,1,59,False,2017-07-02,2,2,76,4,21,False,2017-07-02,48,19,45,2,83,False,2017-07-02,71,0,0,1,33,False,2017-07-02,40,0,64,1,15,False,2017-07-02,18,0,7,0,83,False,2017-07-02,11,4,8,12,83,False,2017-07-02,0,0,1,60,9,False,2017-07-02,4,1,21,18,83,False,2017-07-02,0,0,3,55,1,False,2017-07-02,0,0,63,1,80,False,2017-07-02,0,11,4,51,83,False,2017-07-02,20,2,25,26,83,False,2017-07-02,0,43,0,5,47,False,2017-07-02,19,3,0,0,83,False,2017-07-02,5,7,0,1,83,False,2017-07-02,0,58,4,1,15,False,2017-07-02,33,3,0,5,83,False,2017-07-02,1,4,1,53,29,False,2017-07-02,3,5,5,2,83,False,2017-07-02,3,1,7,0,83,False,2017-07-02,21,2,11,22,83,False,2017-07-02,21,2,1,0,83,False,2017-07-02,58,24,5,1,68,False,2017-07-02,0,2,13,18,83,False,2017-07-02,0,31,9,4,46,False,2017-07-02,1,41,0,55,61,False,2017-07-02,78,34,2,11,57,False,2017-07-02,1,0,43,0,6,False,2017-07-02,4,4,29,6,83,False,2017-07-02,69,15,6,1,83,False,2017-07-02,0,0,29,1,83,False,2017-07-02,3,2,2,19,83,False,2017-07-02,10,2,1,4,83,False,2017-07-02,7,8,12,4,83,False,2017-07-02,0,4,24,27,83,False,2017-07-02,18,13,12,83,54,False,2017-07-02,8,3,0,93,59,False,2017-07-02,34,21,0,2,23,False,2017-07-02,92,0,0,1,13,False,2017-07-02,0,2,5,0,83,False,2017-07-02,0,0,6,16,83,False,2017-07-02,1,61,2,1,83,False,2017-07-02,0,6,52,1,83,False,2017-07-02,2,22,0,9,83,False,2017-07-02,12,3,34,61,35,False,2017-07-02,27,0,1,60,10,False,2017-07-02,1,63,13,1,51,False,2017-07-02,0,0,8,0,83,False,2017-07-02,0,0,0,41,73,False,2017-07-02,0,0,48,0,44,False,2017-07-02,5,10,77,0,14,False,2017-07-02,6,5,32,4,83,False,2017-07-02,1,0,0,51,8,False,2017-07-02,1,0,0,68,1,False
2017-07-09,86,0,1,0,2,False,2017-07-09,25,15,5,7,84,False,2017-07-09,26,64,0,2,60,False,2017-07-09,3,3,82,5,21,False,2017-07-09,56,24,50,2,84,False,2017-07-09,91,0,0,0,34,False,2017-07-09,44,0,65,1,15,False,2017-07-09,21,0,7,1,84,False,2017-07-09,12,3,9,8,84,False,2017-07-09,0,0,1,68,9,False,2017-07-09,3,1,17,15,84,False,2017-07-09,0,0,3,60,1,False,2017-07-09,0,0,56,3,81,False,2017-07-09,0,8,5,50,84,False,2017-07-09,26,2,34,34,84,False,2017-07-09,0,36,0,6,47,False,2017-07-09,13,2,0,2,84,False,2017-07-09,6,8,0,0,84,False,2017-07-09,0,57,4,1,15,False,2017-07-09,43,7,1,4,84,False,2017-07-09,2,5,1,64,30,False,2017-07-09,2,2,3,1,84,False,2017-07-09,2,0,8,0,84,False,2017-07-09,22,0,14,22,84,False,2017-07-09,21,2,4,1,84,False,2017-07-09,55,32,11,0,70,False,2017-07-09,0,2,17,17,84,False,2017-07-09,0,44,8,5,47,False,2017-07-09,0,63,0,75,62,False,2017-07-09,89,37,6,13,58,False,2017-07-09,1,0,43,0,6,False,2017-07-09,3,3,33,9,84,False,2017-07-09,65,19,16,1,84,False,2017-07-09,0,0,29,1,84,False,2017-07-09,5,2,2,16,84,False,2017-07-09,6,2,0,6,84,False,2017-07-09,5,6,12,3,84,False,2017-07-09,1,4,38,33,84,False,2017-07-09,32,13,14,80,54,False,2017-07-09,9,3,0,92,60,False,2017-07-09,34,23,0,3,23,False,2017-07-09,87,0,0,0,13,False,2017-07-09,0,3,9,0,84,False,2017-07-09,1,1,8,15,84,False,2017-07-09,4,60,3,0,84,False,2017-07-09,0,7,53,0,84,False,2017-07-09,2,25,0,21,84,False,2017-07-09,23,3,37,88,36,False,2017-07-09,30,1,0,63,10,False,2017-07-09,0,71,15,0,51,False,2017-07-09,0,1,14,0,84,False,2017-07-09,0,0,0,37,74,False,2017-07-09,0,0,46,0,45,False,2017-07-09,6,12,81,0,14,False,2017-07-09,7,6,44,1,84,False,2017-07-09,1,0,0,61,8,False,2017-07-09,1,0,0,70,1,False
2017-07-16,83,0,1,0,2,False,2017-07-16,14,10,6,5,82,False,2017-07-16,23,60,0,1,58,False,2017-07-16,3,4,77,4,20,False,2017-07-16,43,19,42,3,82,False,2017-07-16,88,0,1,1,32,False,2017-07-16,39,1,65,1,15,False,2017-07-16,22,0,8,1,82,False,2017-07-16,7,3,6,11,82,False,2017-07-16,0,0,0,64,9,False,2017-07-16,4,1,22,19,82,False,2017-07-16,0,0,3,59,1,False,2017-07-16,0,1,65,0,79,False,2017-07-16,0,14,4,40,82,False,2017-07-16,25,2,31,33,82,False,2017-07-16,1,50,0,4,46,False,2017-07-16,17,3,0,1,82,False,2017-07-16,7,4,0,0,82,False,2017-07-16,0,59,4,1,15,False,2017-07-16,45,7,0,5,82,False,2017-07-16,2,6,1,55,29,False,2017-07-16,1,5,8,1,82,False,2017-07-16,2,0,10,0,82,False,2017-07-16,24,2,10,24,82,False,2017-07-16,13,1,5,1,82,False,2017-07-16,63,28,9,0,67,False,2017-07-16,0,4,21,13,82,False,2017-07-16,0,38,9,5,45,False,2017-07-16,2,54,0,69,60,False,2017-07-16,83,40,2,14,56,False,2017-07-16,0,0,43,0,6,False,2017-07-16,5,1,32,9,82,False,2017-07-16,66,20,10,1,82,False,2017-07-16,0,0,32,1,82,False,2017-07-16,7,3,2,15,82,False,2017-07-16,4,3,0,5,82,False,2017-07-16,5,5,14,3,82,False,2017-07-16,0,2,44,31,82,False,2017-07-16,26,12,21,89,53,False,2017-07-16,10,4,0,86,58,False,2017-07-16,30,22,0,4,22,False,2017-07-16,87,0,0,1,13,False,2017-07-16,0,1,3,0,82,False,2017-07-16,1,0,8,15,82,False,2017-07-16,2,62,1,0,82,False,2017-07-16,0,4,44,0,82,False,2017-07-16,2,27,0,18,82,False,2017-07-16,22,2,30,92,34,False,2017-07-16,28,0,0,63,10,False,2017-07-16,0,63,17,1,50,False,2017-07-16,0,0,10,0,82,False,2017-07-16,0,0,0,48,72,False,2017-07-16,1,0,47,0,43,False,2017-07-16,4,11,82,0,13,False,2017-07-16,6,8,38,4,82,False,2017-07-16,1,0,0,53,8,False,2017-07-16,1,0,0,70,1,False
2017-07-23,85,0,1,0,2,False,2017-07-23,23,12,5,6,87,False,2017-07-23,26,67,0,1,62,False,2017-07-23,3,3,83,3,22,False,2017-07-23,43,26,49,3,87,False,2017-07-23,86,1,0,1,34,False,2017-07-23,46,1,74,1,16,False,2017-07-23,18,0,11,2,87,False,2017-07-23,8,4,4,14,87,False,2017-07-23,0,0,0,69,9,False,2017-07-23,2,3,21,19,87,False,2017-07-23,0,0,3,60,1,False,2017-07-23,0,1,64,0,83,False,2017-07-23,0,14,5,47,87,False,2017-07-23,24,2,33,31,87,False,2017-07-23,0,40,0,7,48,False,2017-07-23,21,1,0,2,87,False,2017-07-23,6,6,0,1,87,False,2017-07-23,0,60,3,1,15,False,2017-07-23,42,6,0,8,87,False,2017-07-23,1,4,1,62,30,False,2017-07-23,1,2,6,2,87,False,2017-07-23,3,3,6,0,87,False,2017-07-23,27,2,12,22,87,False,2017-07-23,19,2,4,2,87,False,2017-07-23,54,28,7,1,71,False,2017-07-23,0,2,19,15,87,False,2017-07-23,0,39,8,4,48,False,2017-07-23,0,62,0,69,64,False,2017-07-23,76,33,4,13,59,False,2017-07-23,1,0,43,0,6,False,2017-07-23,7,3,32,10,87,False,2017-07-23,63,20,16,0,87,False,2017-07-23,0,0,29,4,87,False,2017-07-23,4,4,2,18,87,False,2017-07-23,5,2,1,5,87,False,2017-07-23,9,5,13,2,87,False,2017-07-23,1,3,41,37,87,False,2017-07-23,30,12,16,94,56,False,2017-07-23,13,5,0,92,62,False,2017-07-23,33,22,0,3,24,False,2017-07-23,86,0,0,1,14,False,2017-07-23,0,3,7,0,87,False,2017-07-23,1,1,6,13,87,False,2017-07-23,3,55,1,2,87,False,2017-07-23,0,7,49,1,87,False,2017-07-23,3,29,1,16,87,False,2017-07-23,23,5,40,78,36,False,2017-07-23,28,1,1,65,10,False,2017-07-23,0,74,18,0,53,False,2017-07-23,0,1,14,0,87,False,2017-07-23,0,0,0,53,76,False,2017-07-23,0,0,49,0,46,False,2017-07-23,4,12,79,0,14,False,2017-07-23,10,6,32,2,87,False,2017-07-23,2,0,0,57,8,False,2017-07-23,1,0,0,69,1,False
2017-07-30,85,0,1,0,2,False,2017-07-30,26,18,4,7,71,False,2017-07-30,21,66,1,2,51,False,2017-07-30,4,4,80,2,18,False,2017-07-30,37,19,41,3,71,False,2017-07-30,85,0,1,1,28,False,2017-07-30,44,0,66,1,13,False,2017-07-30,32,1,7,1,71,False,2017-07-30,12,6,7,9,71,False,2017-07-30,0,0,1,65,8,False,2017-07-30,3,0,24,16,71,False,2017-07-30,0,0,3,59,1,False,2017-07-30,0,1,66,0,68,False,2017-07-30,0,10,1,53,71,False,2017-07-30,27,1,37,37,71,False,2017-07-30,0,40,0,5,40,False,2017-07-30,18,3,0,2,71,False,2017-07-30,4,5,0,1,71,False,2017-07-30,0,58,4,2,13,False,2017-07-30,39,5,0,13,71,False,2017-07-30,1,5,1,57,25,False,2017-07-30,2,3,4,1,71,False,2017-07-30,3,2,8,0,71,False,2017-07-30,25,1,15,21,71,False,2017-07-30,24,0,3,2,71,False,2017-07-30,57,30,9,0,58,False,2017-07-30,0,2,14,15,71,False,2017-07-30,0,39,7,4,39,False,2017-07-30,0,62,0,62,52,False,2017-07-30,88,46,6,15,48,False,2017-07-30,1,0,46,0,5,False,2017-07-30,4,3,26,7,71,False,2017-07-30,68,23,15,1,71,False,2017-07-30,0,0,31,1,71,False,2017-07-30,7,3,2,17,71,False,2017-07-30,10,2,0,3,71,False,2017-07-30,5,8,7,4,71,False,2017-07-30,0,2,38,43,71,False,2017-07-30,28,10,12,88,46,False,2017-07-30,10,5,0,86,51,False,2017-07-30,32,23,0,3,19,False,2017-07-30,92,0,0,1,11,False,2017-07-30,0,2,3,0,71,False,2017-07-30,0,0,10,18,71,False,2017-07-30,0,55,1,1,71,False,2017-07-30,0,5,51,0,71,False,2017-07-30,1,31,0,21,71,False,2017-07-30,18,3,41,76,30,False,2017-07-30,28,0,0,69,8,False,2017-07-30,1,72,20,0,43,False,2017-07-30,0,0,11,0,71,False,2017-07-30,0,0,0,46,62,False,2017-07-30,1,0,43,0,37,False,2017-07-30,5,13,76,1,12,False,2017-07-30,7,7,37,3,71,False,2017-07-30,1,0,0,52,7,False,2017-07-30,1,0,0,68,1,False
