,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
0,ZtVoHOayVmg,1,1,1,6.083846154,2,26,24,1,0,3,218,14.0,0.888718466,125.0,76.0,22.0,0.0,4.0,56.0,41.0,1,0
1,UGOoeqSo_ws,1,1,1,22.71418283,10,361,174,9,0,46,317,13.0,0.943194878,118.0,70.0,25.0,0.0,6.0,43.0,12.0,0,0
2,Ab9OZsDECZw,1,1,1,27.61285714,5,154,100,2,0,15,272,13.0,0.843059316,160.0,99.0,18.0,0.0,3.0,48.0,25.0,0,1
3,qWti317qb_w,1,1,1,9.007857143,3,42,34,2,0,4,169,2.0,0.946466775,3.0,3.0,0.0,0.0,0.0,45.0,25.0,1,1
4,8efeQ8H5cRg,1,1,0,25.00285714,2,70,61,3,0,9,126,19.0,0.971678734,418.0,174.0,59.0,0.0,23.0,10.0,2.0,1,1
5,V04zDVXMbuw,1,1,1,19.49316667,6,200,118,4,0,22,296,33.0,0.9602709,596.0,275.0,74.0,0.0,26.0,26.0,3.0,1,1
6,kdu5QaRINIY,1,1,1,9.029080882,17,272,144,5,0,41,124,3.0,0.963834708,32.0,27.0,7.0,0.0,2.0,18.0,5.0,1,1
7,PDB5K5q7II4,1,1,1,29.98148515,2,101,65,2,0,10,61,51.0,0.92960931,816.0,253.0,170.0,0.0,52.0,83.0,73.0,0,0
8,6EwqFalqfGE,1,1,1,25.7073494,2,83,61,3,0,9,199,46.0,0.953419702,930.0,277.0,115.0,1.0,52.0,5.0,2.0,1,1
9,XOxQyO-Sw-g,1,1,1,12.67499396,9,184,122,7,0,23,117,11.0,0.65199267,45.0,33.0,2.0,0.0,1.0,2.0,1.0,1,1
10,Q6OtzmR3eXo,1,1,1,0.0,0,0,0,0,0,0,97,37.0,0.927582017,347.0,142.0,47.0,0.0,19.0,5.0,8.0,0,1
